date,open,high,low,close,volume,average,barCount
2020-07-13,3280.0,3340.0,3205.05,3214.63,6128.0,3260.185,459
2020-07-14,3199.53,3306.5,3199.53,3306.49,7425.0,3259.953,540
2020-07-15,3366.99,3366.99,3260.0,3337.32,12944.0,3323.536,897
2020-07-16,3329.47,3365.98,3302.77,3345.05,6887.0,3344.9,555
2020-07-17,3399.45,3460.58,3330.98,3342.8,10563.0,3388.159,664
2020-07-20,3359.97,3417.53,3277.85,3397.12,9434.0,3357.231,635
2020-07-21,3460.1,3470.01,3350.0,3373.46,11448.0,3420.261,715
2020-07-22,3510.25,3770.0,3500.0,3733.8,31879.0,3664.74,1998
2020-07-23,3757.86,3899.99,3681.99,3726.19,15081.0,3797.895,1022
2020-07-24,3712.0,3837.88,3657.99,3810.39,14889.0,3776.412,1058
2020-07-27,3817.67,3961.24,3760.25,3912.0,19253.0,3877.589,1172
2020-07-28,3931.5,3936.96,3778.08,3787.8,15634.0,3853.017,975
2020-07-29,3817.0,3937.36,3807.01,3934.0,10612.0,3884.759,770
2020-07-30,3872.0,4000.0,3872.0,3943.55,14249.0,3945.177,793
2020-07-31,3945.0,3979.5,3850.1,3930.15,5827.0,3914.026,375
2020-08-03,3935.0,3988.55,3867.55,3874.2,12613.0,3903.894,663
2020-08-04,3858.0,3869.85,3820.0,3867.47,5825.0,3853.756,428
2020-08-05,3874.56,3874.56,3803.53,3831.69,12431.0,3835.579,929
2020-08-06,3818.44,3877.52,3770.02,3873.98,9148.0,3833.997,583
2020-08-07,3895.0,3942.55,3796.86,3875.01,14048.0,3854.338,971
2020-08-10,3865.0,4001.33,3858.04,3910.01,14724.0,3942.731,902
2020-08-11,3935.51,3983.63,3859.93,3934.4,26389.0,3923.304,913
2020-08-12,3946.58,4059.5,3920.0,4035.47,14085.0,4000.883,911
2020-08-13,3992.99,4074.18,3980.0,4050.0,7494.0,4033.104,477
2020-08-14,4049.0,4051.08,3990.18,4044.81,9144.0,4028.444,584
2020-08-17,4045.0,4185.25,4045.0,4145.39,10949.0,4127.664,664
2020-08-18,4181.26,4222.25,4125.02,4197.05,16407.0,4172.095,1120
2020-08-19,4167.7,4197.0,4104.55,4151.03,8287.0,4153.905,563
2020-08-20,4147.88,4196.99,4115.0,4155.62,6607.0,4154.007,491
2020-08-21,4137.78,4247.98,4117.0,4223.76,9446.0,4190.894,671
2020-08-24,4245.01,4317.58,4198.0,4310.09,18844.0,4278.025,1323
2020-08-25,4295.11,4295.12,4189.31,4224.28,7924.0,4221.609,624
2020-08-26,4200.01,4242.88,4100.0,4220.0,12075.0,4216.904,692
2020-08-27,4261.03,4318.0,4191.92,4218.28,13860.0,4227.483,875
2020-08-28,4164.22,4260.02,4164.21,4207.18,6354.0,4222.499,399
2020-08-31,4185.2,4218.0,4116.54,4168.34,10010.0,4159.398,694
2020-09-01,4140.0,4199.88,4138.08,4186.88,6737.0,4170.107,481
2020-09-02,4187.0,4247.43,4111.54,4219.21,4735.0,4180.127,355
2020-09-03,4209.39,4209.4,4007.2,4030.8,9802.0,4073.837,759
