date,open,high,low,close,volume,average,barCount
2020-07-13,12.03,12.22,11.85,11.93,1338024.0,12.049,8824
2020-07-14,11.92,12.44,11.79,12.43,2228494.0,12.234,13815
2020-07-15,12.54,12.71,12.44,12.65,1946048.0,12.592,12955
2020-07-16,12.59,12.87,12.58,12.76,796217.0,12.751,5558
2020-07-17,12.79,12.89,12.64,12.82,783595.0,12.779,4257
2020-07-20,12.75,12.82,12.6,12.66,653634.0,12.67,4378
2020-07-21,12.7,12.88,12.66,12.75,691172.0,12.764,4675
2020-07-22,13.05,13.05,12.75,12.85,1087023.0,12.848,6431
2020-07-23,12.89,13.0,12.67,12.72,1050919.0,12.807,6816
2020-07-24,12.81,12.9,12.67,12.71,656476.0,12.741,3999
2020-07-27,12.72,12.91,12.65,12.88,665069.0,12.813,4666
2020-07-28,12.77,12.82,12.56,12.71,900179.0,12.752,5804
2020-07-29,12.82,12.95,12.76,12.87,827034.0,12.847,5300
2020-07-30,12.76,12.97,12.63,12.9,763771.0,12.863,5275
2020-07-31,12.85,12.92,12.6,12.72,1097589.0,12.707,6929
2020-08-03,12.76,13.04,12.67,13.0,1272387.0,12.927,7962
2020-08-04,12.98,13.41,12.64,13.39,1164153.0,13.299,8120
2020-08-05,13.4,13.51,13.19,13.29,1539606.0,13.306,9047
2020-08-06,13.15,13.6,13.02,13.51,2043652.0,13.487,12318
2020-08-07,13.44,14.36,13.33,14.34,2091677.0,14.047,11065
2020-08-10,14.34,14.97,14.34,14.84,3661465.0,14.769,20351
2020-08-11,14.85,15.33,14.82,14.89,2065855.0,15.038,13402
2020-08-12,15.1,15.41,15.05,15.17,2745384.0,15.219,17764
2020-08-13,15.21,15.42,15.16,15.29,1699612.0,15.324,9765
2020-08-14,15.31,15.46,15.2,15.33,1310723.0,15.339,7737
2020-08-17,15.32,15.39,15.03,15.12,1427165.0,15.12,8797
2020-08-18,14.89,15.27,14.83,15.18,1698901.0,15.151,10327
2020-08-19,15.22,15.41,15.2,15.22,1300815.0,15.278,8472
2020-08-20,15.04,15.28,15.01,15.14,1520962.0,15.183,8259
2020-08-21,15.05,15.17,14.57,14.61,1781993.0,14.699,10653
2020-08-24,14.85,14.88,14.73,14.87,1557695.0,14.811,8955
2020-08-25,14.96,15.01,14.82,14.98,1006204.0,14.912,6058
2020-08-26,15.05,15.15,14.88,15.0,906796.0,15.01,5839
2020-08-27,15.08,15.16,14.9,15.06,815206.0,15.044,5602
2020-08-28,15.15,15.28,14.95,15.26,895633.0,15.187,6197
2020-08-31,15.32,15.43,15.11,15.12,1271472.0,15.23,7748
2020-09-01,15.11,15.3,14.96,15.18,1092738.0,15.158,7921
2020-09-02,15.19,15.28,14.98,15.24,1104547.0,15.135,8111
2020-09-03,15.27,15.45,15.05,15.21,2442296.0,15.218,11782
2020-09-04,15.26,15.39,14.66,14.95,1954262.0,14.91,11328
2020-09-08,14.85,14.9,14.62,14.64,1382134.0,14.746,9699
2020-09-09,14.77,15.17,14.69,15.12,1289109.0,15.016,8348
2020-09-10,15.09,15.23,14.82,14.84,1551021.0,15.035,10266
2020-09-11,14.97,15.21,14.88,15.06,1261072.0,15.083,8717
2020-09-14,15.17,15.37,15.14,15.31,1408530.0,15.291,10166
2020-09-15,15.27,15.36,15.19,15.32,1218517.0,15.286,8220
2020-09-16,15.4,15.4,15.08,15.11,1763261.0,15.236,12772
2020-09-17,14.87,15.25,14.86,15.21,2511465.0,15.085,14491
2020-09-18,14.97,15.9,14.9,15.64,5098681.0,15.523,25843
2020-09-21,15.42,15.59,14.37,14.57,3995242.0,14.756,23918
2020-09-22,14.67,14.81,14.47,14.74,1968881.0,14.658,13003
2020-09-23,14.67,14.88,14.16,14.24,2172670.0,14.456,13009
2020-09-24,14.29,14.33,13.96,14.02,1237585.0,14.117,8751
2020-09-25,13.94,14.12,13.84,14.1,1613742.0,13.985,10492
2020-09-28,14.35,14.55,14.17,14.34,1946602.0,14.38,8728
2020-09-29,14.11,14.24,13.78,13.89,1273314.0,13.945,7804
2020-09-30,13.97,14.15,13.89,14.02,1599519.0,14.017,10465
2020-10-01,14.04,14.23,13.97,14.18,1200808.0,14.146,8272
2020-10-02,14.01,14.32,13.89,14.21,872922.0,14.189,6498
2020-10-05,14.27,14.43,14.13,14.34,1130611.0,14.335,6854
2020-10-06,14.41,14.7,14.13,14.32,1825543.0,14.419,12095
2020-10-07,14.62,14.62,14.23,14.23,1299856.0,14.391,6539
2020-10-08,14.27,14.45,14.03,14.44,1201800.0,14.28,7859
2020-10-09,14.57,14.57,14.22,14.25,1128041.0,14.334,7628
2020-10-12,14.59,14.59,14.12,14.21,1053251.0,14.266,7487
2020-10-13,14.08,14.34,13.9,14.31,1555325.0,14.132,10325
2020-10-14,14.36,14.6,14.13,14.18,988468.0,14.292,7385
2020-10-15,14.06,14.13,13.8,13.97,929518.0,13.915,6058
2020-10-16,14.05,14.23,13.92,14.06,665370.0,14.086,4165
2020-10-19,13.97,14.1,13.61,13.77,982571.0,13.801,6346
2020-10-20,13.81,13.98,13.75,13.85,748727.0,13.869,5181
2020-10-21,13.8,14.01,13.76,13.95,704660.0,13.917,5072
2020-10-22,13.96,14.09,13.78,13.92,832289.0,13.9,5891
2020-10-23,13.99,14.54,13.73,13.98,968269.0,13.883,6566
2020-10-26,13.79,13.87,13.46,13.65,942408.0,13.625,6292
2020-10-27,13.63,13.74,13.39,13.43,858478.0,13.532,6267
2020-10-28,13.18,13.29,12.94,12.97,1915588.0,13.107,11986
2020-10-29,12.92,13.25,12.79,13.09,908940.0,13.1,7092
2020-10-30,13.07,13.18,12.86,13.13,1260512.0,13.018,8963
2020-11-02,13.31,13.44,13.07,13.29,1106437.0,13.251,7909
2020-11-03,13.54,13.66,13.41,13.5,802374.0,13.512,5681
2020-11-04,13.49,13.71,13.32,13.54,904153.0,13.58,6651
2020-11-05,13.72,14.12,13.28,14.0,1102361.0,13.973,7798
2020-11-06,15.68,15.91,14.79,15.16,2151964.0,15.204,14087
2020-11-09,15.93,16.49,15.64,15.67,2821477.0,15.989,20679
2020-11-10,15.71,16.37,15.71,16.27,3318618.0,16.133,20471
2020-11-11,16.3,17.21,16.26,17.2,4875001.0,16.878,26727
2020-11-12,17.08,17.18,16.23,16.39,2062845.0,16.58,13637
2020-11-13,16.46,17.03,16.34,16.98,1331379.0,16.881,9045
2020-11-16,17.79,18.15,17.15,17.39,1322296.0,17.317,8962
2020-11-17,17.32,17.84,17.25,17.68,1710151.0,17.59,10658
2020-11-18,17.6,17.96,17.5,17.55,1184007.0,17.73,6980
2020-11-19,17.54,17.7,17.4,17.55,1526407.0,17.558,8768
2020-11-20,17.53,17.6,17.24,17.52,1354532.0,17.453,7542
2020-11-23,17.69,18.0,17.55,17.9,907120.0,17.839,6001
2020-11-24,18.06,18.28,17.81,18.17,1836139.0,18.141,11087
2020-11-25,18.22,18.27,17.79,18.0,1975719.0,18.009,13280
2020-11-27,17.99,18.01,17.66,17.71,845416.0,17.796,5521
2020-11-30,17.7,17.92,17.59,17.65,2029168.0,17.71,10852
2020-12-01,17.7,18.21,17.7,18.07,1714637.0,18.038,9785
2020-12-02,18.0,18.46,17.74,18.39,2148898.0,18.122,10445
2020-12-03,18.35,18.6,18.22,18.57,1557635.0,18.486,9235
2020-12-04,18.63,18.7,18.41,18.68,1129891.0,18.559,8187
2020-12-07,18.57,18.63,18.39,18.5,1298016.0,18.489,8155
2020-12-08,18.29,18.5,18.23,18.38,1854125.0,18.39,11004
2020-12-09,18.43,18.47,18.18,18.27,1324823.0,18.323,9479
2020-12-10,18.22,18.55,18.1,18.35,2552373.0,18.393,16540
