date,open,high,low,close,volume,average,barCount
2024-05-07,181.57,185.6,181.19,184.79,972049.0,184.389,4372
2024-05-08,186.0,186.79,181.68,181.7,564253.0,183.541,3752
2024-05-09,182.0,187.37,181.92,183.16,825516.0,184.396,6223
2024-05-10,183.41,186.65,183.41,185.04,573349.0,184.996,4031
2024-05-13,185.3,185.91,181.86,182.02,925541.0,183.978,4926
2024-05-14,184.35,185.96,180.42,181.94,1307447.0,182.286,9106
2024-05-15,183.87,185.75,182.37,183.92,1448043.0,183.419,7577
2024-05-16,183.3,184.32,180.87,182.17,1120890.0,182.169,6263
2024-05-17,182.17,184.93,181.19,183.07,1410704.0,182.559,7990
2024-05-20,183.0,183.0,178.69,178.97,794175.0,180.678,5839
2024-05-21,178.85,179.17,174.71,175.46,1705977.0,175.979,9459
2024-05-22,175.2,175.79,172.25,172.49,1868852.0,174.166,9510
2024-05-23,172.75,172.75,169.76,171.57,1169685.0,171.031,7855
2024-05-24,172.33,173.96,170.96,173.06,1214651.0,172.739,5418
2024-05-28,171.95,173.75,170.34,173.31,1386320.0,172.487,7165
2024-05-29,171.37,173.1,170.56,171.3,860534.0,171.606,6286
2024-05-30,170.91,174.08,170.56,173.04,918885.0,172.929,6274
2024-05-31,173.0,175.41,171.99,175.25,823175.0,173.918,5680
2024-06-03,176.53,177.99,168.25,169.33,1055149.0,170.77,7626
2024-06-04,177.1,182.0,171.96,172.14,1807813.0,177.042,12702
2024-06-05,172.67,177.58,172.67,175.7,773900.0,176.032,6118
2024-06-06,170.8,171.29,165.49,169.84,1394837.0,169.156,9702
2024-06-07,168.69,170.25,165.89,168.53,690359.0,168.646,5158
2024-06-10,167.71,171.97,167.21,171.12,1000723.0,170.525,7114
2024-06-11,170.01,174.13,168.77,173.91,815729.0,172.531,6392
2024-06-12,174.6,178.35,173.89,174.79,815306.0,176.065,6503
2024-06-13,173.95,173.95,169.82,172.91,539276.0,171.894,4265
2024-06-14,171.55,173.12,166.83,172.74,1441272.0,170.094,7460
2024-06-17,171.48,174.11,170.93,173.92,834264.0,173.118,5071
2024-06-18,173.93,174.69,172.02,173.3,710113.0,173.166,4183
2024-06-20,174.22,176.82,173.3,174.65,907554.0,175.083,6964
2024-06-21,175.88,176.48,173.11,174.89,718330.0,175.325,3412
2024-06-24,174.89,178.84,174.05,176.07,805436.0,177.114,6106
2024-06-25,173.77,175.72,172.45,174.85,652465.0,174.681,4485
2024-06-26,175.84,178.62,174.98,176.04,810861.0,177.065,4841
2024-06-27,175.92,177.2,173.65,174.37,590297.0,174.962,3896
2024-06-28,176.0,178.42,174.97,176.6,1228802.0,176.673,8746
2024-07-01,176.16,180.59,175.65,178.7,1043952.0,178.839,7637
2024-07-02,179.06,182.69,178.3,182.17,1030054.0,181.177,7167
2024-07-03,182.86,184.21,181.26,181.87,490102.0,182.433,3588
2024-07-05,182.05,183.68,180.87,182.77,588117.0,182.824,4246
2024-07-08,182.51,183.1,177.99,181.06,824191.0,180.196,6301
2024-07-09,181.32,181.5,177.42,178.41,570642.0,178.78,4537
2024-07-10,179.03,182.32,177.84,182.12,695655.0,180.468,4947
2024-07-11,183.17,187.7,182.64,186.76,783772.0,186.279,5836
2024-07-12,187.46,193.57,187.46,190.22,915531.0,191.528,6799
2024-07-15,190.36,197.77,190.0,195.25,1093581.0,195.972,8627
2024-07-16,195.77,204.12,195.77,203.84,966878.0,202.065,7188
2024-07-17,202.06,204.35,198.67,198.68,1353724.0,200.441,9032
2024-07-18,198.68,200.04,193.89,195.46,826083.0,196.762,5538
2024-07-19,195.73,197.39,193.6,195.47,566745.0,195.25,4279
2024-07-22,197.59,199.29,192.88,195.31,608885.0,194.865,4819
2024-07-23,193.85,196.15,192.66,193.85,1039249.0,194.493,7524
2024-07-24,197.14,200.56,182.86,194.62,1956307.0,194.446,13259
2024-07-25,194.65,210.52,194.65,205.7,1872277.0,206.027,12733
2024-07-26,200.3,206.97,199.42,202.93,1551627.0,203.244,10682
2024-07-29,203.61,206.8,200.49,201.5,685975.0,202.582,5202
2024-07-30,203.29,208.0,203.29,205.03,632379.0,205.198,4688
2024-07-31,206.19,214.23,205.6,210.18,766489.0,210.259,5774
2024-08-01,210.71,216.54,202.57,203.2,1081418.0,206.709,8710
2024-08-02,199.37,200.14,191.1,195.12,1147186.0,193.964,8134
2024-08-05,191.05,198.37,187.0,194.26,871973.0,194.037,5616
2024-08-06,195.0,202.65,194.5,197.86,850618.0,199.978,5263
2024-08-07,198.76,199.23,193.12,193.15,1709339.0,195.691,6856
2024-08-08,195.71,197.88,192.7,196.0,1769482.0,195.232,9004
2024-08-09,196.02,197.47,190.79,193.23,1317118.0,192.216,8268
2024-08-12,193.37,193.84,189.21,190.62,938394.0,190.954,5972
2024-08-13,191.2,195.29,190.85,195.02,565487.0,193.375,4337
2024-08-14,195.02,197.78,192.09,193.0,426026.0,194.646,2936
2024-08-15,196.75,201.56,196.64,197.14,706833.0,199.007,5091
2024-08-16,194.78,200.49,194.78,200.17,591621.0,198.915,4404
2024-08-19,200.17,200.92,198.29,200.16,339675.0,199.442,2920
2024-08-20,199.75,201.96,198.53,198.75,434121.0,199.34,3501
2024-08-21,200.59,203.22,199.35,202.9,418840.0,201.566,3411
2024-08-22,202.98,205.11,199.7,200.9,423235.0,201.278,3497
2024-08-23,201.87,204.77,201.03,203.77,245337.0,203.405,1952
2024-08-26,204.16,205.09,198.71,199.12,377581.0,200.099,3049
2024-08-27,198.08,198.97,191.54,192.86,529706.0,193.466,3900
2024-08-28,192.84,195.43,192.08,194.2,304051.0,194.19,2391
2024-08-29,195.3,195.63,191.12,192.12,432421.0,193.329,3283
2024-08-30,192.05,193.1,188.6,192.8,716833.0,191.348,4883
2024-09-03,191.57,196.38,189.96,194.78,659646.0,194.176,4842
2024-09-04,198.14,199.4,194.3,195.64,514140.0,195.926,3780
2024-09-05,187.21,187.78,179.82,186.06,1635742.0,184.628,10733
2024-09-06,186.29,187.42,182.86,184.82,716360.0,184.534,5534
2024-09-09,185.98,190.99,185.77,189.78,836777.0,189.531,5835
2024-09-10,190.28,191.72,188.28,191.16,456406.0,190.635,3565
2024-09-11,190.49,190.55,182.8,188.85,681263.0,186.941,5372
2024-09-12,189.75,191.69,187.34,191.26,429085.0,189.975,3333
2024-09-13,190.98,193.8,190.07,192.61,564241.0,192.364,4282
2024-09-16,193.78,195.18,190.34,191.92,370700.0,191.836,2900
2024-09-17,192.54,197.19,192.54,194.66,384860.0,195.05,3207
2024-09-18,196.09,201.19,194.43,196.75,557235.0,198.144,4286
2024-09-19,202.21,206.54,201.96,204.52,1132185.0,204.434,7671
2024-09-20,202.21,202.41,192.62,193.97,1090267.0,196.022,6684
2024-09-23,195.56,196.27,193.88,196.17,345507.0,195.318,2483
2024-09-24,198.19,199.94,197.09,198.42,456368.0,198.645,3403
2024-09-25,199.82,204.25,198.28,199.46,689287.0,200.615,4892
2024-09-26,201.7,203.08,193.91,195.33,614392.0,196.732,4442
2024-09-27,197.76,200.9,195.82,196.71,545011.0,198.078,3760
2024-09-30,196.6,200.29,195.51,198.64,443231.0,198.268,3276
2024-10-01,197.31,197.31,192.27,194.75,566101.0,194.244,3167
2024-10-02,194.81,195.97,193.07,193.5,346317.0,194.433,2639
2024-10-03,192.64,192.8,190.06,190.93,498740.0,191.409,3556
2024-10-04,194.55,195.99,190.4,191.86,646688.0,192.245,3367
2024-10-07,189.82,189.82,185.37,188.58,635438.0,188.397,4418
2024-10-08,189.07,192.44,188.24,192.16,471595.0,191.052,3493
2024-10-09,192.19,195.19,191.85,194.44,476491.0,193.935,3626
2024-10-10,192.94,194.8,191.63,194.59,337708.0,193.623,2565
2024-10-11,196.0,200.48,196.0,199.58,572451.0,198.813,3423
2024-10-14,198.52,202.52,197.87,202.45,422816.0,200.813,3315
2024-10-15,202.52,204.11,200.88,201.46,708513.0,202.23,4182
2024-10-16,204.91,208.6,202.98,203.49,537335.0,204.883,3640
2024-10-17,203.86,203.86,200.34,201.52,649119.0,201.501,4817
2024-10-18,201.02,201.97,198.13,199.54,771584.0,199.882,5331
2024-10-21,197.4,198.49,196.1,198.05,684127.0,197.423,4833
2024-10-22,196.69,200.94,195.0,199.55,705308.0,198.685,5288
2024-10-23,193.79,198.0,186.11,188.67,2008959.0,189.905,14060
2024-10-24,190.25,193.09,188.82,191.81,954526.0,191.01,6166
2024-10-25,194.35,199.32,193.36,197.79,1104324.0,196.876,6839
2024-10-28,199.39,201.08,197.82,200.88,941641.0,199.265,4989
2024-10-29,200.98,203.36,198.85,201.31,721203.0,201.96,5049
2024-10-30,201.5,208.82,201.5,203.82,679234.0,205.392,5223
2024-10-31,203.16,204.53,201.24,201.32,504733.0,202.603,3992
2024-11-01,200.31,203.03,200.31,200.98,369124.0,201.728,2993
2024-11-04,200.6,205.34,200.6,203.99,388130.0,203.659,3019
2024-11-05,204.25,207.17,202.67,207.01,665653.0,205.737,4758
2024-11-06,216.96,231.36,215.75,230.18,1589508.0,227.378,10930
2024-11-07,230.18,230.92,222.31,222.91,864340.0,226.138,6342
2024-11-08,222.14,226.4,220.56,226.11,445858.0,225.009,3223
2024-11-11,228.08,233.26,227.93,231.84,738654.0,231.931,5235
2024-11-12,230.09,231.24,226.06,226.32,608648.0,228.333,4620
2024-11-13,227.14,227.44,223.35,225.6,635409.0,225.898,4333
2024-11-14,225.41,226.77,222.5,223.43,503889.0,223.989,3645
2024-11-15,223.15,223.15,215.08,215.57,646470.0,217.287,4783
2024-11-18,218.95,219.68,213.91,213.99,573496.0,216.141,4364
2024-11-19,211.65,213.56,211.15,211.8,378498.0,212.33,2812
2024-11-20,210.95,214.64,210.36,214.33,223592.0,212.718,1766
2024-11-21,216.2,219.78,214.12,218.39,573037.0,218.368,4135
2024-11-22,219.67,221.71,218.03,220.25,299696.0,220.052,2262
2024-11-25,222.76,227.44,221.88,225.11,594716.0,225.781,4007
2024-11-26,223.39,226.21,221.83,225.97,406095.0,224.421,2902
2024-11-27,227.0,228.72,222.33,224.11,395756.0,224.275,3020
