date,open,high,low,close,volume,average,barCount
2020-07-13,41.47,41.47,39.67,40.77,1298588.0,40.45,7457
2020-07-14,40.76,40.9,40.17,40.65,948514.0,40.537,5501
2020-07-15,41.62,42.78,41.28,42.75,966418.0,42.156,5153
2020-07-16,42.75,43.12,41.63,43.04,746049.0,42.663,4087
2020-07-17,43.0,43.44,42.21,42.53,479575.0,42.621,2503
2020-07-20,42.37,42.79,41.11,41.13,745488.0,41.648,3965
2020-07-21,41.38,42.59,41.34,42.31,686499.0,42.253,3848
2020-07-22,42.09,42.12,41.48,42.01,478081.0,41.816,2327
2020-07-23,41.92,42.65,41.56,42.33,608269.0,42.247,3285
2020-07-24,42.39,42.59,41.71,41.88,800380.0,42.197,3519
2020-07-27,41.88,41.95,41.15,41.68,843862.0,41.637,4199
2020-07-28,41.55,41.86,41.13,41.23,449018.0,41.394,2677
2020-07-29,41.65,42.57,41.34,42.44,1083598.0,41.993,6951
2020-07-30,41.83,42.0,40.3,41.34,1757540.0,40.938,9673
2020-07-31,41.05,41.45,39.72,40.49,1238912.0,40.308,6793
2020-08-03,40.5,41.19,39.9,40.54,900324.0,40.526,4685
2020-08-04,41.0,41.06,40.12,40.68,1089900.0,40.586,4877
2020-08-05,41.08,41.38,40.3,40.76,1269053.0,40.784,6813
2020-08-06,40.04,41.15,39.98,40.35,1424859.0,40.719,7058
2020-08-07,40.0,40.89,40.0,40.7,940097.0,40.515,3404
2020-08-10,40.61,41.06,40.28,40.99,1155492.0,40.697,5765
2020-08-11,41.5,41.75,40.73,40.92,1100946.0,41.257,5487
2020-08-12,41.6,41.85,41.14,41.52,706570.0,41.542,4022
2020-08-13,41.17,41.82,41.1,41.46,619080.0,41.519,3187
2020-08-14,41.77,42.28,41.3,41.39,625960.0,41.725,2995
2020-08-17,41.53,42.29,41.03,41.81,880706.0,41.983,5202
2020-08-18,41.64,41.85,40.95,41.18,647997.0,41.229,3840
2020-08-19,41.14,41.72,41.0,41.37,816175.0,41.332,4779
2020-08-20,41.0,41.22,40.34,40.88,803460.0,40.958,4358
2020-08-21,40.6,41.63,39.87,40.11,1244233.0,40.301,6086
2020-08-24,40.23,40.38,39.27,39.48,1145047.0,39.77,6171
2020-08-25,39.75,39.91,38.5,39.0,1358812.0,38.973,6301
2020-08-26,38.99,39.13,37.57,37.78,1499962.0,38.061,7743
2020-08-27,37.64,38.75,37.64,38.49,953696.0,38.385,5156
2020-08-28,38.57,39.26,38.47,39.18,541172.0,38.925,2950
2020-08-31,39.1,39.1,38.01,38.01,672529.0,38.438,3734
2020-09-01,37.96,38.32,37.31,38.11,595396.0,37.911,2722
2020-09-02,38.0,38.65,37.7,37.81,621075.0,38.201,3379
2020-09-03,37.87,38.69,37.76,37.97,865797.0,38.145,4729
2020-09-04,38.13,38.39,37.37,37.64,692705.0,37.7,3598
2020-09-08,37.25,37.4,36.7,37.36,656180.0,37.118,3539
2020-09-09,37.6,38.39,36.99,36.99,715791.0,37.469,3799
2020-09-10,37.02,37.38,36.86,36.92,1030094.0,37.154,5778
2020-09-11,36.92,37.5,36.75,37.16,624253.0,37.049,4259
2020-09-14,37.3,37.67,36.92,37.44,1093380.0,37.289,5194
2020-09-15,37.49,38.05,36.87,36.88,966010.0,37.506,5675
2020-09-16,37.23,38.18,37.1,37.4,726192.0,37.638,4273
2020-09-17,36.83,37.43,36.38,37.0,938032.0,36.89,4980
2020-09-18,36.85,37.02,36.31,36.92,1036679.0,36.647,5984
2020-09-21,36.65,37.02,36.07,36.81,1136168.0,36.609,5930
2020-09-22,36.83,37.3,35.52,35.65,1542114.0,36.093,8490
2020-09-23,35.8,36.29,34.19,34.23,1473080.0,35.09,7126
2020-09-24,34.15,34.39,33.22,33.75,1537510.0,33.691,7356
2020-09-25,33.81,34.03,33.17,33.89,1649940.0,33.587,8699
2020-09-28,34.17,35.45,34.02,35.01,1593327.0,34.66,7841
2020-09-29,34.95,35.6,34.56,34.9,941059.0,34.95,4225
2020-09-30,35.01,35.52,34.1,34.2,946500.0,34.629,5200
2020-10-01,34.15,34.63,33.37,33.63,1053421.0,33.731,5014
2020-10-02,33.05,34.84,32.61,34.67,962076.0,33.759,4438
2020-10-05,35.18,35.82,34.93,35.7,716404.0,35.386,3252
2020-10-06,36.17,36.38,35.04,35.22,1442188.0,35.594,5389
2020-10-07,35.22,35.84,35.11,35.4,759134.0,35.418,2549
2020-10-08,35.52,36.97,35.46,36.93,906186.0,36.355,4266
2020-10-09,37.09,37.33,36.35,37.06,734608.0,36.888,3148
2020-10-12,37.0,37.58,36.95,37.26,537070.0,37.228,2399
2020-10-13,37.06,37.55,36.35,36.52,780286.0,36.722,4331
2020-10-14,36.47,37.57,36.47,36.96,865284.0,37.207,3636
2020-10-15,36.48,37.41,36.21,37.24,524346.0,37.102,2906
