date,open,high,low,close,volume,average,barCount
2020-07-13,54.27,55.46,54.07,54.53,1096503.0,54.802,8001
2020-07-14,54.32,55.27,53.82,54.86,880439.0,54.767,6287
2020-07-15,56.0,56.62,55.29,56.23,1166573.0,56.075,8934
2020-07-16,56.02,56.98,55.43,56.25,879246.0,56.271,7182
2020-07-17,56.23,56.32,55.03,55.69,947983.0,55.588,7021
2020-07-20,55.22,55.22,53.05,53.97,1079720.0,53.818,6880
2020-07-21,54.21,55.42,54.01,54.5,769293.0,54.51,5774
2020-07-22,54.37,55.29,54.13,54.98,677794.0,54.829,4701
2020-07-23,57.07,57.73,55.91,56.33,1896220.0,56.617,13218
2020-07-24,56.46,57.72,55.65,56.56,1684319.0,56.559,12482
2020-07-27,56.18,57.45,55.76,57.01,2928448.0,56.971,16947
2020-07-28,53.0,55.26,52.25,54.66,4129465.0,54.009,24296
2020-07-29,54.66,55.51,53.75,54.02,3482049.0,54.352,21285
2020-07-30,53.39,53.65,52.39,53.26,1803656.0,53.2,12750
2020-07-31,52.92,53.8,52.23,53.73,1795762.0,53.072,13005
2020-08-03,53.84,54.58,53.2,53.7,1698531.0,53.956,11019
2020-08-04,53.32,54.07,52.97,53.14,1462798.0,53.392,10140
2020-08-05,53.62,53.88,52.55,52.7,1680566.0,52.897,10797
2020-08-06,52.5,53.95,52.43,53.68,1483245.0,53.582,10282
2020-08-07,53.19,53.3,52.46,53.27,1371024.0,52.97,9231
2020-08-10,53.46,55.26,53.33,55.01,1285409.0,54.945,8751
2020-08-11,55.87,57.37,55.6,55.74,1065128.0,56.31,7488
2020-08-12,56.11,56.31,54.08,54.15,1170790.0,54.588,7380
2020-08-13,53.64,54.71,53.37,54.32,847278.0,54.273,4937
2020-08-14,53.94,55.37,53.94,54.85,730394.0,54.831,5353
2020-08-17,54.7,54.96,53.51,53.83,1143632.0,54.017,7149
2020-08-18,53.82,54.62,53.5,54.12,1043456.0,54.158,7074
2020-08-19,54.03,54.73,53.53,53.73,674401.0,54.013,4847
2020-08-20,53.42,53.63,52.83,52.86,757944.0,53.131,4903
2020-08-21,52.78,52.98,51.9,52.55,1377725.0,52.627,5658
2020-08-24,52.71,54.71,52.35,54.49,1175312.0,54.08,7817
2020-08-25,54.5,54.98,53.21,53.8,709933.0,53.759,4798
2020-08-26,53.57,54.0,52.82,53.66,1142045.0,53.507,6465
2020-08-27,54.07,55.62,54.07,54.96,1294540.0,55.141,8654
2020-08-28,54.98,55.26,54.28,55.11,692357.0,54.845,4959
2020-08-31,55.05,55.27,54.0,54.09,798451.0,54.409,5633
2020-09-01,53.72,53.85,52.99,53.02,955182.0,53.353,5985
2020-09-02,52.93,54.29,52.76,53.93,1202248.0,53.898,6392
2020-09-03,54.46,55.95,53.64,54.29,1358729.0,54.271,9575
2020-09-04,54.56,55.31,53.75,54.08,819311.0,54.41,6070
2020-09-08,53.97,54.34,53.34,53.83,1027816.0,53.907,6668
2020-09-09,53.74,54.17,52.98,53.0,724212.0,53.354,5320
2020-09-10,53.01,53.62,51.58,51.8,1036966.0,52.286,7331
2020-09-11,51.84,52.55,51.51,52.32,1038254.0,52.028,6799
2020-09-14,52.9,54.56,52.54,53.83,1140422.0,53.777,7530
2020-09-15,53.87,54.76,53.14,53.71,1137157.0,53.87,7474
2020-09-16,54.07,55.18,53.64,53.92,1312570.0,54.445,9326
2020-09-17,53.31,54.17,52.95,53.59,1122630.0,53.661,7573
2020-09-18,52.65,53.38,51.42,51.55,1687865.0,52.163,10255
2020-09-21,50.62,50.85,48.93,49.25,1730660.0,49.553,11730
2020-09-22,49.33,50.04,49.09,49.71,1280344.0,49.592,7560
2020-09-23,49.83,50.79,48.7,48.81,1271703.0,49.231,9197
2020-09-24,48.89,49.57,48.0,48.9,801377.0,48.918,5407
2020-09-25,48.58,49.25,48.14,49.15,744193.0,48.747,5123
2020-09-28,49.92,50.29,49.41,49.64,1148091.0,49.811,7909
2020-09-29,49.53,49.93,48.53,48.85,1035122.0,48.992,6672
2020-09-30,49.14,49.98,48.92,49.5,997052.0,49.531,6466
2020-10-01,49.65,49.91,49.04,49.57,1073935.0,49.429,7492
2020-10-02,48.97,51.6,48.81,51.33,1098317.0,50.892,7563
2020-10-05,51.75,52.45,51.14,51.7,1003762.0,51.581,6166
2020-10-06,52.18,52.75,51.04,51.22,1112625.0,51.865,7401
2020-10-07,51.71,52.51,51.49,52.15,861445.0,52.098,6152
2020-10-08,52.73,53.21,52.49,53.15,1410400.0,52.961,8186
2020-10-09,53.52,53.75,52.38,52.47,1380922.0,52.87,7699
2020-10-12,53.21,53.83,52.83,53.45,1815292.0,53.3,9796
2020-10-13,53.56,53.89,52.71,52.86,1465435.0,53.087,9260
2020-10-14,52.53,53.56,52.53,53.18,1508807.0,53.269,8584
2020-10-15,52.11,53.03,50.94,52.79,1260691.0,52.293,8073
2020-10-16,52.73,52.91,51.68,52.48,1147662.0,52.308,6955
2020-10-19,52.57,52.61,50.66,50.84,929586.0,51.542,5816
2020-10-20,51.45,51.56,50.82,51.15,857670.0,51.191,5925
2020-10-21,51.28,52.16,50.56,51.5,1512649.0,51.433,10476
2020-10-22,51.8,52.0,50.73,51.58,1608487.0,51.414,10402
2020-10-23,52.23,52.78,51.82,52.72,1522767.0,52.415,9405
2020-10-26,52.3,52.33,50.87,51.24,1814951.0,51.446,10890
2020-10-27,53.0,53.0,48.48,48.82,5549499.0,49.108,23097
2020-10-28,48.1,48.6,45.96,46.09,2684560.0,46.669,17429
2020-10-29,45.73,46.39,44.5,45.8,3111036.0,45.628,16386
2020-10-30,45.75,47.4,45.68,47.2,2376489.0,46.775,13400
2020-11-02,47.96,49.21,47.66,48.72,2137654.0,48.551,12575
2020-11-03,49.6,50.95,49.29,50.05,2379720.0,50.263,15005
2020-11-04,49.77,49.77,47.61,47.84,2788402.0,48.215,17260
2020-11-05,48.36,49.98,48.04,49.32,1323720.0,49.402,9659
2020-11-06,49.24,49.67,48.05,48.36,1280792.0,48.584,9076
2020-11-09,52.56,56.91,52.46,55.49,4900421.0,55.286,26452
2020-11-10,56.06,57.42,55.61,57.0,3918567.0,56.618,18809
2020-11-11,57.16,57.79,56.33,57.23,3423946.0,57.131,19294
2020-11-12,56.51,57.23,55.77,56.23,4485514.0,56.426,21071
2020-11-13,56.73,58.41,56.64,58.36,1821890.0,57.855,12073
2020-11-16,60.74,61.96,59.95,61.88,2753825.0,61.435,15387
2020-11-17,60.84,62.31,60.72,61.84,1440674.0,61.727,9599
2020-11-18,61.61,61.73,59.68,59.7,2160768.0,60.672,12046
2020-11-19,59.3,59.54,58.12,59.39,1184809.0,58.766,7422
2020-11-20,59.13,59.82,58.84,59.65,1052595.0,59.534,6263
2020-11-23,60.27,61.47,59.61,61.1,666030.0,60.844,4933
2020-11-24,62.17,65.12,62.0,64.44,3422371.0,64.333,13987
2020-11-25,63.43,64.55,63.35,64.17,2241106.0,64.047,9687
2020-11-27,63.63,64.27,62.98,63.0,1084364.0,63.596,6334
2020-11-30,63.0,63.95,62.56,63.0,1995217.0,63.013,13887
2020-12-01,63.89,64.82,62.85,63.37,1330879.0,63.467,9200
2020-12-02,63.42,64.19,63.15,63.67,1430511.0,63.7,7550
2020-12-03,64.22,65.48,63.85,65.06,1296673.0,64.874,6736
2020-12-04,65.3,65.8,64.74,64.99,1379174.0,65.168,7257
2020-12-07,64.65,64.88,64.0,64.3,1293522.0,64.377,6856
2020-12-08,63.77,64.7,63.68,64.65,993273.0,64.362,5588
2020-12-09,64.86,65.23,64.04,64.36,1115111.0,64.65,7566
2020-12-10,63.88,64.38,63.4,63.96,810999.0,63.797,6095
2020-12-11,63.65,65.26,63.53,64.59,976896.0,64.833,6415
2020-12-14,64.82,64.98,63.57,63.58,895345.0,64.074,6467
2020-12-15,64.43,64.64,63.28,64.34,880666.0,64.08,5956
2020-12-16,64.04,64.98,63.84,64.74,953240.0,64.593,5935
2020-12-17,65.09,65.35,63.13,63.31,1296877.0,63.562,7094
2020-12-18,62.43,62.88,61.25,61.62,1408511.0,61.898,8183
2020-12-21,60.79,60.9,59.05,60.54,1535913.0,60.101,10178
2020-12-22,60.74,61.07,59.47,59.79,1205066.0,59.875,7381
2020-12-23,59.93,62.01,59.88,61.28,1031380.0,61.363,6423
2020-12-24,61.33,61.43,60.76,61.3,218316.0,61.197,1333
2020-12-28,61.8,63.21,61.54,62.38,755225.0,62.65,4843
2020-12-29,62.46,62.64,61.68,62.05,534367.0,62.065,3430
2020-12-30,62.1,62.65,61.72,61.89,392900.0,61.976,2560
2020-12-31,61.71,62.53,61.36,62.37,594691.0,62.217,4180
2021-01-04,62.23,62.54,60.37,60.88,1031488.0,60.905,7418
2021-01-05,60.66,62.55,60.66,61.88,1069444.0,61.78,7239
2021-01-06,62.91,67.63,62.91,66.97,2406946.0,66.604,15346
2021-01-07,66.89,67.56,63.84,63.97,1931327.0,65.093,11985
2021-01-08,64.08,64.6,62.49,63.59,1518385.0,63.351,9973
2021-01-11,63.15,64.66,62.72,63.7,827980.0,63.749,5633
