date,open,high,low,close,volume,average,barCount
2020-07-13,57.4,57.84,56.97,57.01,13405458.0,57.497,70145
2020-07-14,56.67,57.29,56.48,57.2,12706605.0,56.985,73293
2020-07-15,57.42,57.84,56.38,56.62,8424468.0,56.921,54313
2020-07-16,56.42,56.49,55.57,55.82,6852086.0,55.962,41594
2020-07-17,56.08,56.12,54.76,54.9,11130241.0,55.128,59040
2020-07-20,54.88,55.52,54.69,55.4,9812393.0,55.143,49805
2020-07-21,55.8,56.34,55.58,55.91,8403607.0,56.07,54953
2020-07-22,55.7,56.18,55.7,56.01,8171373.0,56.017,47791
2020-07-23,56.0,56.36,55.6,55.76,10379256.0,55.972,57745
2020-07-24,55.47,56.04,55.26,55.65,6758825.0,55.667,43213
2020-07-27,55.66,55.95,55.32,55.34,8273830.0,55.621,45370
2020-07-28,55.25,55.74,55.2,55.35,10698973.0,55.444,52922
2020-07-29,55.56,55.9,55.35,55.7,5952541.0,55.651,37298
2020-07-30,55.0,55.48,54.89,55.25,6213633.0,55.221,41134
2020-07-31,55.18,55.47,54.32,55.45,6799853.0,54.897,43975
2020-08-03,55.78,56.09,55.49,55.98,6568945.0,55.842,36145
2020-08-04,55.78,56.01,55.53,56.0,4840336.0,55.771,27983
2020-08-05,56.32,56.32,55.37,55.5,4679458.0,55.746,26981
2020-08-06,55.49,55.6,54.93,55.28,6196281.0,55.204,35692
2020-08-07,55.01,55.24,54.75,55.23,7005142.0,54.96,36517
2020-08-10,55.24,55.62,54.88,54.94,7665275.0,55.151,39083
2020-08-11,55.24,55.46,54.13,54.27,6490090.0,54.778,38744
2020-08-12,54.52,54.7,53.97,54.17,6681133.0,54.302,36722
2020-08-13,53.91,54.2,53.67,54.02,6449655.0,53.93,41139
2020-08-14,54.03,54.56,53.77,54.2,3857445.0,54.233,25381
2020-08-17,54.2,54.39,53.66,53.99,7224011.0,53.904,37753
2020-08-18,55.62,56.93,54.87,55.18,18021490.0,55.655,88359
2020-08-19,55.58,56.8,55.46,56.2,13602016.0,56.223,69493
2020-08-20,55.59,55.81,55.09,55.26,9037764.0,55.446,51986
2020-08-21,55.38,55.45,54.73,55.19,6578267.0,55.085,39301
2020-08-24,55.76,56.11,55.44,56.01,5543379.0,55.813,33745
2020-08-25,56.15,56.75,56.02,56.09,5155400.0,56.285,32522
2020-08-26,56.34,57.49,56.05,57.49,7942725.0,56.909,44318
2020-08-27,57.45,58.45,56.58,57.18,13638656.0,57.346,71530
2020-08-28,57.33,58.16,57.2,57.88,6571198.0,57.727,38643
2020-08-31,57.13,57.76,57.03,57.22,7984412.0,57.334,48478
2020-09-01,57.37,58.01,57.08,57.66,7492491.0,57.675,48537
2020-09-02,57.72,59.32,57.72,59.03,11202903.0,58.585,69692
2020-09-03,58.72,58.99,56.65,57.1,12413682.0,57.384,85044
2020-09-04,56.88,57.27,55.15,55.73,11631692.0,55.98,75271
2020-09-08,55.35,55.79,54.87,55.32,11955586.0,55.408,83047
2020-09-09,56.16,57.4,55.86,56.95,10244031.0,56.903,66235
2020-09-10,57.44,58.18,56.75,57.33,14536330.0,57.513,93617
2020-09-11,60.72,61.86,56.87,57.0,34196213.0,58.778,190149
2020-09-14,60.86,61.5,59.35,59.46,38244944.0,60.217,165106
2020-09-15,60.0,61.68,59.39,60.94,25202038.0,60.889,123749
2020-09-16,61.12,61.39,59.65,60.43,15585382.0,60.768,90819
2020-09-17,59.42,60.61,59.0,60.18,17358531.0,59.894,96223
2020-09-18,59.98,60.29,59.42,59.75,16297361.0,59.854,88508
2020-09-21,62.46,62.6,60.03,60.82,26859293.0,60.983,138870
2020-09-22,60.38,60.75,59.46,60.62,10244722.0,60.084,61934
2020-09-23,60.11,60.49,58.9,58.96,10692089.0,59.445,64563
2020-09-24,58.74,59.9,58.29,59.3,7149146.0,59.234,44167
2020-09-25,59.27,59.99,58.96,59.8,6693581.0,59.501,38706
2020-09-28,60.03,60.54,59.47,59.58,6625621.0,59.838,41075
2020-09-29,59.58,60.16,59.4,59.47,4770445.0,59.711,30506
2020-09-30,59.52,60.39,59.37,59.7,6218252.0,59.879,38614
2020-10-01,60.17,60.27,59.45,59.68,5117989.0,59.837,32569
2020-10-02,58.71,59.52,58.51,58.83,5354722.0,59.158,35255
2020-10-05,59.44,59.67,59.09,59.56,4978006.0,59.485,28399
2020-10-06,59.51,60.53,59.4,59.51,7467513.0,59.959,48907
2020-10-07,59.77,60.9,59.63,60.59,6416465.0,60.452,41289
2020-10-08,60.79,61.3,60.63,60.89,5324128.0,60.961,33219
2020-10-09,61.15,61.38,60.86,61.15,5525793.0,61.11,32612
2020-10-12,61.24,61.83,61.07,61.46,5220059.0,61.556,30876
2020-10-13,61.57,61.78,60.87,60.97,5114346.0,61.172,32416
2020-10-14,61.35,61.53,60.85,60.96,5182892.0,61.148,32943
2020-10-15,60.27,60.74,60.07,60.52,4975417.0,60.418,32129
2020-10-16,60.71,61.11,60.26,60.29,4522971.0,60.686,23491
2020-10-19,60.39,60.76,59.39,59.62,6195792.0,59.932,33692
2020-10-20,59.92,60.33,59.63,59.75,7723119.0,59.966,38308
2020-10-21,59.24,60.12,59.22,59.67,7650962.0,59.752,39306
2020-10-22,59.44,59.87,58.69,59.69,6822159.0,59.332,35805
2020-10-23,59.91,60.16,59.71,59.9,7874901.0,59.927,35698
2020-10-26,58.1,58.48,56.52,57.49,15773659.0,57.33,81155
2020-10-27,57.64,57.98,57.02,57.08,8667246.0,57.378,45374
2020-10-28,56.31,56.6,55.53,55.59,10331494.0,55.868,52290
2020-10-29,55.2,56.76,55.14,56.02,10595617.0,56.11,50317
2020-10-30,55.8,56.64,55.45,56.11,9015831.0,55.916,45468
2020-11-02,56.22,57.47,56.11,56.45,9139513.0,56.675,44518
2020-11-03,57.0,57.5,56.56,56.8,5879674.0,56.975,33605
2020-11-04,58.0,58.09,56.35,56.49,9570247.0,57.219,60950
2020-11-05,57.47,57.65,56.41,56.66,6954566.0,56.876,42626
2020-11-06,56.77,56.98,56.15,56.8,5358935.0,56.688,33797
2020-11-09,58.19,59.08,56.77,56.84,9104412.0,57.978,59476
2020-11-10,56.91,57.24,56.2,56.67,6918754.0,56.63,43902
2020-11-11,57.06,57.63,56.8,57.2,6096352.0,57.278,34348
2020-11-12,57.26,57.49,56.1,56.45,5487350.0,56.55,32863
2020-11-13,56.88,57.09,56.54,56.91,4456887.0,56.863,25946
2020-11-16,57.06,57.61,56.87,57.15,4437917.0,57.171,25526
2020-11-17,57.0,57.39,56.81,57.12,3824414.0,57.135,21561
2020-11-18,57.12,57.29,56.24,56.25,5268580.0,56.846,31038
2020-11-19,56.09,56.48,55.56,56.45,7393985.0,56.082,45616
2020-11-20,56.36,56.44,55.68,55.7,6008359.0,56.061,32885
2020-11-23,55.85,56.57,55.77,56.08,5778427.0,56.025,34095
2020-11-24,56.6,57.9,56.36,57.57,7453906.0,57.36,41471
2020-11-25,57.72,57.76,57.26,57.41,4799427.0,57.423,29582
2020-11-27,57.4,57.87,57.15,57.76,3849627.0,57.655,20353
2020-11-30,57.61,58.2,57.2,57.72,8064996.0,57.614,47252
2020-12-01,58.2,59.28,58.01,58.74,9226109.0,58.939,41439
2020-12-02,58.3,59.27,58.14,59.08,6752859.0,58.912,30192
2020-12-03,59.22,59.98,59.06,59.27,6736178.0,59.477,28913
2020-12-04,59.28,60.55,59.27,59.96,8290468.0,60.127,34378
2020-12-07,59.51,60.19,59.51,59.8,7646416.0,59.89,35733
2020-12-08,58.99,59.71,58.22,59.03,11028407.0,59.216,48115
2020-12-09,58.89,59.91,58.8,59.73,9187819.0,59.462,41424
2020-12-10,59.51,59.81,59.04,59.48,9035526.0,59.464,47552
2020-12-11,60.94,61.0,59.42,60.61,12086345.0,60.183,68214
2020-12-14,60.83,61.66,60.69,60.76,12795290.0,61.159,60032
2020-12-15,61.09,62.19,60.9,61.86,12052464.0,61.665,54881
2020-12-16,61.87,63.19,61.85,62.78,11230462.0,62.835,49552
2020-12-17,62.99,64.05,62.73,63.61,10924063.0,63.576,47374
2020-12-18,63.48,65.34,63.43,65.06,15178118.0,64.628,59836
2020-12-21,63.91,65.19,63.88,64.48,12735014.0,64.76,53342
2020-12-22,64.56,66.0,64.43,65.15,12740798.0,65.241,50461
