date,open,high,low,close,volume,average,barCount
2020-07-13,28.22,28.62,27.88,27.99,3430125.0,28.30346666666667,1948
2020-07-14,27.83,28.63,27.82,28.53,2073420.0,28.3046,1261
2020-07-15,28.73,29.01,28.49,28.86,2655750.0,28.83106666666667,1570
2020-07-16,28.77,29.0,28.61,28.78,2536980.0,28.7722,1425
2020-07-17,29.0,29.0,28.6,28.78,2924280.0,28.8158,1568
2020-07-20,29.2,29.51,28.71,29.21,4732260.0,29.13966666666667,2484
2020-07-21,29.33,29.9,29.33,29.76,4312350.0,29.71986666666667,2499
2020-07-22,29.85,30.3,29.85,30.05,3560655.0,30.01413333333333,1807
2020-07-23,30.07,30.87,29.61,29.86,4597905.0,29.9978,2323
2020-07-24,29.74,30.08,29.48,29.49,4499460.0,29.70026666666667,2409
2020-07-27,29.58,30.12,29.57,30.03,7936875.0,29.8922,4330
2020-07-28,30.43,30.58,29.98,30.0,4549080.0,30.23693333333333,2514
2020-07-29,30.05,30.59,29.89,30.38,6584640.0,30.1954,3675
2020-07-30,32.0,32.53,31.35,32.03,14182755.0,32.0468,7356
2020-07-31,31.95,32.07,31.42,31.83,4966065.0,31.65673333333333,2479
2020-08-03,31.97,32.05,31.4,31.59,4646340.0,31.6088,2394
2020-08-04,31.33,31.77,31.14,31.53,4282335.0,31.45353333333333,2117
2020-08-05,31.65,31.71,31.11,31.24,2549220.0,31.35566666666667,1465
2020-08-06,31.12,31.37,30.89,31.07,3834165.0,31.06966666666667,2251
2020-08-07,30.88,31.32,30.85,31.01,3648675.0,30.9986,1996
2020-08-10,31.0,31.26,30.65,30.74,2990655.0,30.82046666666667,1698
2020-08-11,30.89,30.89,30.17,30.27,4161735.0,30.421,2156
2020-08-12,30.42,31.09,30.42,30.9,2996700.0,30.8914,1770
2020-08-13,30.73,31.12,30.61,30.76,2515335.0,30.79433333333333,1533
2020-08-14,30.74,31.11,30.73,30.9,2675415.0,30.95606666666667,1556
2020-08-17,30.93,31.4,30.93,31.3,2394570.0,31.2926,1407
2020-08-18,31.72,31.81,31.06,31.34,3340245.0,31.3926,1968
2020-08-19,31.33,31.55,30.99,31.07,4146405.0,31.15526666666667,2372
2020-08-20,30.83,31.15,30.74,30.8,3475005.0,30.91733333333333,1992
2020-08-21,30.73,30.89,30.53,30.69,3484005.0,30.68513333333333,1910
2020-08-24,30.85,31.01,30.71,30.93,3027780.0,30.8904,1592
2020-08-25,30.8,31.08,30.79,31.06,2840985.0,30.95966666666667,1602
2020-08-26,30.86,31.21,30.79,30.85,2184465.0,30.87826666666667,1318
2020-08-27,31.13,31.16,30.76,30.84,2446335.0,30.9708,1335
2020-08-28,30.84,31.06,30.6,30.86,2903100.0,30.817,1648
2020-08-31,30.8,31.24,30.67,31.04,3259980.0,31.0006,2036
2020-09-01,31.16,31.64,30.93,31.55,3400425.0,31.3456,1998
2020-09-02,31.58,32.3,31.52,32.17,3930405.0,32.07113333333333,2089
