date,open,high,low,close,volume,average,barCount
2020-07-13,56.62,57.94,56.46,56.89,1190318.0,57.267,8002
2020-07-14,56.22,57.45,56.03,57.37,1610062.0,56.806,11250
2020-07-15,58.01,59.0,57.86,58.2,1784842.0,58.379,9899
2020-07-16,58.0,58.56,57.65,58.32,1498856.0,58.272,8317
2020-07-17,58.73,59.03,58.15,58.55,1683084.0,58.646,9566
2020-07-20,58.42,59.65,57.99,58.56,1803215.0,58.462,10942
2020-07-21,58.38,58.94,58.1,58.44,1729959.0,58.462,10616
2020-07-22,57.96,58.93,57.68,58.48,1538407.0,58.5,8783
2020-07-23,58.5,59.47,58.34,59.06,1813722.0,58.826,12446
2020-07-24,59.15,59.2,57.63,58.13,2000971.0,58.25,10190
2020-07-27,57.86,58.44,57.6,58.32,1975536.0,58.043,12003
2020-07-28,59.82,61.83,59.7,60.28,3548502.0,60.655,20688
2020-07-29,60.96,64.36,60.96,64.3,3729450.0,63.264,21258
2020-07-30,63.45,64.52,63.15,63.39,1575929.0,63.649,10927
2020-07-31,62.93,63.19,62.18,62.74,1333372.0,62.668,8547
2020-08-03,63.02,63.82,62.74,63.21,1396429.0,63.242,8490
2020-08-04,62.58,62.9,61.97,62.61,1091319.0,62.358,6455
2020-08-05,62.74,63.65,62.34,63.09,1744990.0,62.988,9741
2020-08-06,62.89,63.52,62.86,63.48,1076178.0,63.218,4761
2020-08-07,63.16,64.47,63.16,64.41,847061.0,64.097,5792
2020-08-10,64.29,65.3,64.29,65.21,874651.0,64.878,5491
2020-08-11,65.52,65.95,64.33,64.37,1785135.0,65.049,12002
2020-08-12,64.97,65.47,64.22,64.9,979658.0,64.941,6477
2020-08-13,64.96,64.96,63.83,64.0,645068.0,64.401,4401
2020-08-14,63.71,64.51,63.6,64.07,736970.0,64.134,4525
2020-08-17,64.46,64.53,63.71,63.96,1246392.0,64.121,7919
2020-08-18,63.85,64.4,63.37,63.45,1073551.0,63.722,6350
2020-08-19,63.48,63.59,62.59,62.92,953248.0,62.989,6553
2020-08-20,62.16,63.25,61.81,62.97,792654.0,62.834,5171
2020-08-21,63.03,63.74,62.59,63.63,1106437.0,63.234,5710
2020-08-24,63.61,64.23,63.04,63.8,1027810.0,63.723,6718
2020-08-25,64.43,64.81,63.9,64.29,1043810.0,64.279,7056
2020-08-26,64.28,64.79,63.74,64.18,709828.0,64.208,5407
2020-08-27,64.47,64.91,63.17,63.23,863429.0,63.656,6328
2020-08-28,63.27,63.63,62.65,63.59,685679.0,63.298,4006
2020-08-31,63.61,63.84,62.84,62.9,967263.0,63.078,7552
2020-09-01,62.52,64.28,62.32,64.05,1767143.0,63.576,9921
2020-09-02,63.73,65.56,63.65,65.34,1234060.0,64.725,7917
2020-09-03,64.88,65.45,61.06,61.85,2266646.0,62.226,15950
2020-09-04,62.5,62.6,60.43,61.49,1732961.0,61.346,13070
2020-09-08,61.39,61.75,60.46,60.63,1417698.0,61.175,9901
2020-09-09,61.03,62.53,61.0,62.08,1076616.0,62.173,7726
2020-09-10,61.98,61.98,59.73,59.9,2746949.0,60.664,17943
2020-09-11,60.26,60.71,59.77,60.14,1582364.0,60.098,9441
2020-09-14,60.57,60.57,59.06,59.99,1345330.0,59.89,9744
2020-09-15,60.03,61.62,60.03,60.3,1115751.0,60.756,7645
2020-09-16,60.86,61.01,59.4,59.79,1703972.0,59.976,9909
2020-09-17,58.75,61.09,58.04,61.04,1319391.0,60.226,9343
2020-09-18,61.16,62.64,60.39,60.88,2170416.0,61.438,11417
2020-09-21,60.0,60.22,58.67,59.41,1527752.0,59.439,9262
2020-09-22,58.94,61.12,58.86,60.99,1251868.0,60.566,6299
