date,open,high,low,close,volume,average,barCount
2020-07-13,41.71,42.64,40.09,40.18,9046584.0,41.70866666666666,9516
2020-07-14,40.01,40.92,39.27,40.89,4829934.0,40.30483333333334,6683
2020-07-15,41.09,41.13,39.91,40.08,2763144.0,40.37116666666666,3166
2020-07-16,39.67,39.92,39.13,39.56,3216696.0,39.587,3137
2020-07-17,39.72,40.11,39.27,39.97,1855728.0,39.77383333333334,2224
2020-07-20,40.24,42.06,40.17,41.93,3531366.0,41.49816666666666,4397
2020-07-21,42.06,42.17,41.31,41.55,3607680.0,41.63583333333334,4139
2020-07-22,41.87,42.55,41.5,41.73,2934198.0,41.90966666666666,3082
2020-07-23,41.69,42.5,41.19,41.42,3586806.0,41.81166666666666,4647
2020-07-24,40.77,40.93,40.25,40.63,1600092.0,40.58333333333334,1928
2020-07-27,40.86,41.38,40.55,41.28,1372758.0,41.06766666666666,1456
2020-07-28,41.25,41.59,40.77,40.8,1120476.0,41.164,1440
2020-07-29,41.22,41.91,41.21,41.43,1775694.0,41.57316666666666,2122
2020-07-30,41.17,42.12,40.91,41.96,1799484.0,41.6995,2024
2020-07-31,42.17,42.65,41.24,42.65,1651224.0,42.11333333333334,2043
2020-08-03,42.65,42.74,42.1,42.41,1870848.0,42.42483333333334,2192
2020-08-04,42.17,42.49,41.79,42.49,1135248.0,42.18533333333334,1441
2020-08-05,43.18,44.37,42.91,44.02,5182908.0,43.89066666666666,6014
2020-08-06,44.11,44.32,43.19,44.31,2494254.0,43.8895,3222
2020-08-07,44.18,44.29,42.94,43.54,3133620.0,43.652,3891
2020-08-10,43.54,43.62,42.31,43.04,2505636.0,42.9145,3193
2020-08-11,42.74,43.5,42.34,42.54,1864230.0,42.80516666666666,2380
2020-08-12,42.7,43.62,42.66,43.3,1779390.0,43.24966666666666,2288
2020-08-13,43.25,43.93,42.83,43.59,1330512.0,43.54,1536
2020-08-14,43.67,43.77,43.06,43.19,1657614.0,43.307,1792
2020-08-17,43.37,44.03,43.33,43.74,2339346.0,43.707,2873
2020-08-18,44.4,44.92,44.02,44.29,3244830.0,44.36033333333334,3412
2020-08-19,44.47,45.38,43.92,44.91,5724996.0,44.85566666666666,5746
2020-08-20,44.72,45.59,44.53,45.42,4527012.0,45.25483333333334,4815
2020-08-21,45.6,45.84,44.74,44.89,5297238.0,45.09166666666666,5402
2020-08-24,45.67,45.73,44.13,44.51,9846678.0,44.66833333333334,10685
2020-08-25,43.33,44.26,43.33,43.5,19302372.0,43.75716666666666,17794
2020-08-26,43.5,44.1,43.44,43.91,9260316.0,43.7485,9196
2020-08-27,43.83,43.83,42.02,42.56,8823930.0,42.59683333333334,10196
2020-08-28,42.82,43.1,42.11,42.45,5023878.0,42.48766666666666,5882
2020-08-31,42.27,43.04,42.16,42.9,5479992.0,42.76416666666666,6292
2020-09-01,43.15,43.52,42.88,43.08,5611674.0,43.06,5543
2020-09-02,43.24,43.44,42.27,42.91,3624246.0,42.804,4526
2020-09-03,42.26,42.27,39.76,40.37,9013866.0,40.49783333333334,10119
2020-09-04,40.11,40.46,37.86,39.27,6885348.0,38.96983333333334,8186
2020-09-08,38.33,39.61,38.09,38.99,6160944.0,39.11583333333334,8038
2020-09-09,39.87,40.01,38.93,39.73,3256362.0,39.73716666666666,4426
2020-09-10,39.79,40.54,39.43,39.49,4010652.0,39.94483333333334,5051
2020-09-11,40.33,40.68,39.75,40.49,6127338.0,40.31183333333334,7006
2020-09-14,41.0,41.31,40.68,40.96,4104492.0,41.02933333333334,5548
2020-09-15,41.33,41.6,40.83,41.35,2558250.0,41.31816666666666,3490
2020-09-16,41.47,41.79,41.13,41.15,2595882.0,41.477,3452
2020-09-17,40.38,40.52,39.72,40.24,4224150.0,40.116,5794
2020-09-18,40.69,40.72,39.65,40.27,2269140.0,40.147,3161
2020-09-21,39.65,40.63,39.47,40.44,3326820.0,40.234,4533
2020-09-22,40.68,41.29,39.94,41.08,2842848.0,40.7335,3781
2020-09-23,41.08,41.32,39.75,39.85,4077936.0,40.4465,5107
2020-09-24,39.68,40.12,39.2,39.67,2636154.0,39.69483333333334,3617
2020-09-25,39.67,40.46,39.37,40.36,3708456.0,40.028,4317
2020-09-28,40.74,41.26,40.67,40.99,3528150.0,41.03333333333334,4993
2020-09-29,41.0,41.44,40.95,41.08,3508200.0,41.18766666666666,4832
2020-09-30,40.79,41.3,40.63,40.79,2065992.0,40.98983333333334,2823
2020-10-01,41.45,42.13,41.27,41.76,4012320.0,41.76766666666666,5205
2020-10-02,41.05,41.89,40.61,40.86,2238822.0,41.13616666666666,3056
2020-10-05,40.95,41.59,40.67,41.45,2639514.0,41.356,2951
