date,open,high,low,close,volume,average,barCount
2020-07-13,312.21,312.65,290.08,290.25,345911.0,299.812,2687
2020-07-14,288.78,289.57,276.59,286.44,490833.0,282.823,3730
2020-07-15,291.46,297.62,289.0,294.19,217780.0,293.307,1699
2020-07-16,291.29,293.24,285.9,290.3,168553.0,289.318,1367
2020-07-17,292.22,296.93,286.52,295.07,161299.0,293.47,1254
2020-07-20,296.27,303.54,292.73,302.8,189805.0,300.055,1430
2020-07-21,305.45,305.85,292.46,293.9,172931.0,295.551,1257
2020-07-22,293.71,301.93,293.71,298.06,118435.0,298.217,912
2020-07-23,298.01,306.94,287.84,291.2,214542.0,297.086,1527
2020-07-24,287.12,294.38,282.04,286.97,142801.0,287.902,1040
2020-07-27,289.01,291.8,285.92,290.29,101096.0,288.88,791
2020-07-28,288.66,292.39,286.55,286.79,118841.0,289.553,1010
2020-07-29,293.0,295.06,290.0,294.42,179608.0,293.269,1382
2020-07-30,288.57,289.08,278.03,286.53,312938.0,284.042,2469
2020-07-31,289.94,290.0,277.23,284.37,291243.0,282.724,2257
2020-08-03,286.13,290.32,283.24,288.08,359409.0,287.02,2569
2020-08-04,286.83,288.73,281.45,285.5,410333.0,284.609,2967
2020-08-05,284.96,304.67,283.19,302.05,849895.0,298.413,5912
2020-08-06,296.67,302.49,289.3,298.66,386641.0,296.709,3070
2020-08-07,297.61,301.26,292.69,296.66,468584.0,297.713,3531
2020-08-10,295.17,295.17,282.0,289.44,417225.0,288.451,2919
2020-08-11,289.21,294.81,282.63,285.49,218804.0,288.807,1812
2020-08-12,286.94,290.29,285.39,287.7,188196.0,288.02,1463
2020-08-13,288.06,305.86,288.06,301.88,298134.0,300.976,2099
2020-08-14,304.17,309.33,300.64,303.07,437853.0,304.993,3275
2020-08-17,306.3,307.33,298.79,299.05,235525.0,301.705,1840
2020-08-18,299.82,301.06,291.13,292.31,198627.0,294.265,1434
2020-08-19,293.0,295.14,287.31,293.0,251735.0,292.222,1659
2020-08-20,290.03,297.49,290.03,293.43,267158.0,294.943,2079
2020-08-21,292.69,292.69,286.44,287.21,130289.0,288.424,950
2020-08-24,289.65,290.0,283.08,284.43,155442.0,285.75,1231
2020-08-25,284.34,287.98,283.37,287.27,165357.0,286.358,1229
2020-08-26,289.57,300.06,289.29,295.84,208689.0,296.104,1596
2020-08-27,295.67,298.53,291.08,293.0,199165.0,294.501,1536
2020-08-28,294.94,301.65,294.75,299.84,148246.0,299.328,1228
2020-08-31,299.65,305.72,299.43,299.46,245440.0,301.465,1907
2020-09-01,302.95,311.89,300.79,307.52,211277.0,307.32,1524
2020-09-02,311.48,311.48,301.47,305.3,241768.0,305.059,1904
2020-09-03,300.65,300.65,280.06,284.0,470125.0,285.997,3008
2020-09-04,280.04,285.63,265.15,270.75,335380.0,272.621,2424
2020-09-08,259.1,280.21,257.87,272.51,370468.0,272.65,2767
2020-09-09,279.53,286.04,278.33,280.17,245525.0,282.24,1871
2020-09-10,282.52,289.0,273.77,275.49,142832.0,280.023,1109
2020-09-11,278.64,279.0,263.35,265.49,254630.0,268.015,1950
2020-09-14,269.04,274.52,268.72,272.64,140940.0,272.467,1067
2020-09-15,275.39,280.72,273.74,280.09,200587.0,277.931,1663
2020-09-16,285.74,291.72,280.42,280.55,145274.0,284.408,1107
2020-09-17,271.98,279.1,270.76,278.93,230405.0,274.813,1656
2020-09-18,279.31,282.33,269.77,273.7,264099.0,275.603,1612
2020-09-21,268.07,274.37,265.0,274.32,280593.0,269.907,1959
2020-09-22,275.98,280.34,271.45,280.08,158138.0,275.723,1286
2020-09-23,279.65,283.5,273.44,275.53,122290.0,277.259,1026
2020-09-24,273.47,278.9,265.71,273.41,179681.0,272.921,1428
2020-09-25,273.28,285.36,270.21,283.7,132231.0,280.131,1083
2020-09-28,288.68,291.65,286.0,290.83,156335.0,289.171,1135
2020-09-29,292.57,304.93,292.23,303.83,409193.0,301.251,2925
2020-09-30,302.35,312.72,301.28,311.3,423027.0,309.093,3472
