date,open,high,low,close,volume,average,barCount
2020-07-13,73.67,73.84,71.45,71.63,1358452.0,72.897,10604
2020-07-14,70.12,71.98,69.96,71.87,1437199.0,71.135,11085
2020-07-15,72.32,73.75,72.27,73.53,1255514.0,73.252,9497
2020-07-16,73.11,73.48,72.16,72.74,863895.0,72.578,6468
2020-07-17,73.22,73.67,72.47,73.49,911878.0,73.159,6535
2020-07-20,73.13,73.73,72.51,73.36,809710.0,73.111,6369
2020-07-21,73.44,74.24,72.95,73.33,851712.0,73.649,6321
2020-07-22,73.38,74.14,73.24,73.83,729987.0,73.693,5634
2020-07-23,73.66,74.47,72.87,73.17,913036.0,73.712,6958
2020-07-24,73.11,73.36,71.56,72.19,1174659.0,72.238,8886
2020-07-27,71.91,72.7,71.78,72.59,982844.0,72.379,7364
2020-07-28,72.6,73.52,72.38,73.14,1428175.0,73.147,9411
2020-07-29,72.78,73.6,72.13,73.55,1661696.0,73.005,10502
2020-07-30,72.74,72.74,71.71,72.35,1509624.0,72.251,10645
2020-07-31,71.56,71.93,70.38,71.92,2077661.0,71.118,13028
2020-08-03,71.87,73.05,71.47,72.76,1396102.0,72.63,9189
2020-08-04,72.4,73.07,72.34,72.61,1400686.0,72.689,9027
2020-08-05,72.94,73.57,72.56,72.72,959774.0,72.987,5588
2020-08-06,72.47,72.94,71.97,72.59,1273133.0,72.319,8952
2020-08-07,72.53,73.66,72.37,73.45,975488.0,73.151,7296
2020-08-10,73.17,74.43,73.06,74.39,925967.0,73.863,7135
2020-08-11,74.91,75.75,73.76,73.95,1302005.0,74.933,9571
2020-08-12,74.43,74.7,73.83,74.13,735934.0,74.175,5974
2020-08-13,74.06,75.05,73.87,74.48,631358.0,74.636,4936
2020-08-14,74.23,74.71,73.9,74.31,492697.0,74.383,3736
2020-08-17,74.44,75.46,74.05,74.45,623899.0,74.784,4360
2020-08-18,74.51,75.0,74.03,74.5,636652.0,74.506,4686
2020-08-19,74.72,74.93,74.01,74.14,649721.0,74.397,4820
2020-08-20,73.81,74.31,73.6,74.04,564976.0,74.085,4118
2020-08-21,73.96,73.98,73.13,73.91,639438.0,73.648,4453
2020-08-24,74.23,75.57,73.92,75.52,659348.0,74.941,5102
2020-08-25,75.68,76.19,75.45,75.85,695511.0,75.846,5414
2020-08-26,75.55,76.23,75.06,75.84,664662.0,75.77,5395
2020-08-27,76.48,77.0,75.96,76.54,907945.0,76.536,6270
2020-08-28,76.71,77.42,76.13,77.31,691666.0,76.678,5180
2020-08-31,76.76,77.15,76.16,76.47,786377.0,76.555,5790
2020-09-01,76.24,76.35,75.52,76.26,788094.0,75.97,5154
2020-09-02,76.67,78.28,76.5,78.01,818855.0,77.572,5567
2020-09-03,78.07,78.28,75.71,76.34,1454024.0,76.649,11192
2020-09-04,76.56,77.19,75.15,76.06,1122735.0,76.139,9020
2020-09-08,74.55,75.32,74.1,74.29,1524797.0,74.693,11848
2020-09-09,74.78,76.49,74.16,75.78,779104.0,75.526,5730
2020-09-10,75.99,76.88,75.03,75.3,1470898.0,76.017,11050
2020-09-11,75.59,75.99,74.49,74.99,934152.0,75.216,7390
2020-09-14,75.89,77.97,75.6,77.62,1232634.0,77.219,8467
2020-09-15,77.88,79.38,77.86,78.91,966053.0,78.914,7080
2020-09-16,79.23,80.52,79.14,79.75,1342161.0,79.717,9549
2020-09-17,77.95,79.78,77.95,79.52,1355566.0,79.039,10229
2020-09-18,79.77,79.93,77.91,78.59,1605088.0,79.022,9094
2020-09-21,77.57,77.77,75.61,76.75,904868.0,76.397,7043
2020-09-22,77.18,77.77,76.54,77.6,747239.0,77.148,5431
2020-09-23,77.92,78.07,75.69,76.07,1257409.0,76.535,9421
2020-09-24,75.73,76.85,75.08,75.91,773469.0,75.878,6132
2020-09-25,75.46,77.95,75.32,77.7,800867.0,76.861,6380
2020-09-28,78.77,79.83,78.77,79.58,903196.0,79.5,7086
2020-09-29,79.54,80.03,78.9,79.17,1106540.0,79.384,8377
2020-09-30,79.26,80.44,79.03,79.77,1132522.0,79.861,8672
2020-10-01,80.11,80.95,78.7,79.35,931487.0,79.527,7381
2020-10-02,78.01,79.99,78.0,79.43,906761.0,79.195,7170
2020-10-05,80.14,81.79,79.97,81.45,1706695.0,81.298,12350
2020-10-06,80.68,82.86,79.07,79.43,2297925.0,80.827,15022
2020-10-07,80.42,81.16,80.17,80.52,1227957.0,80.699,9595
2020-10-08,82.0,83.5,81.56,82.07,1220004.0,82.211,9029
2020-10-09,82.54,82.98,81.58,82.4,781661.0,82.405,5713
2020-10-12,83.22,83.65,82.41,83.01,922814.0,83.105,7107
2020-10-13,83.34,83.67,82.58,83.0,1026352.0,83.137,5366
2020-10-14,83.19,84.74,83.08,84.34,1112447.0,83.962,8269
2020-10-15,83.46,83.97,82.58,83.28,772394.0,83.265,5982
2020-10-16,83.71,84.65,83.39,83.73,769548.0,83.801,5650
2020-10-19,83.81,84.31,81.63,81.93,756076.0,82.686,5826
2020-10-20,82.36,83.35,81.66,82.28,494101.0,82.687,3765
2020-10-21,82.34,83.18,82.0,82.62,632184.0,82.644,4574
2020-10-22,82.7,84.2,82.26,83.99,670029.0,83.377,4515
2020-10-23,84.57,85.12,84.06,85.03,651593.0,84.79,4795
2020-10-26,83.55,84.01,81.8,82.48,928123.0,82.555,6169
2020-10-27,82.63,83.18,81.76,81.93,568036.0,82.205,3983
2020-10-28,80.26,81.76,79.95,80.15,831912.0,80.51,6088
2020-10-29,79.86,83.21,79.63,82.45,828393.0,82.093,6166
2020-10-30,81.12,82.34,81.04,82.25,1033479.0,81.696,8066
2020-11-02,83.19,84.12,82.41,83.3,877526.0,83.233,6607
2020-11-03,84.0,87.08,83.99,86.54,1029572.0,86.177,8038
2020-11-04,89.8,89.8,85.32,85.49,1522901.0,86.44,11364
2020-11-05,87.0,87.84,86.1,86.6,865248.0,86.845,6432
2020-11-06,87.0,88.38,86.54,88.02,644894.0,87.755,4972
2020-11-09,93.42,94.95,90.55,90.59,1518930.0,92.33,11583
2020-11-10,89.44,92.69,89.44,91.29,967262.0,91.274,7209
2020-11-11,91.89,92.16,90.85,91.55,474749.0,91.594,3476
2020-11-12,91.65,91.97,89.85,90.39,651874.0,90.54,5280
2020-11-13,91.21,91.99,90.44,91.87,530178.0,91.363,4070
2020-11-16,92.46,93.32,91.97,93.13,876962.0,92.784,5809
2020-11-17,92.09,92.64,91.52,92.5,927960.0,92.209,7251
2020-11-18,92.31,93.09,91.82,91.9,988148.0,92.31,7106
2020-11-19,91.69,92.22,90.9,92.08,597199.0,91.75,4738
