date,open,high,low,close,volume,average,barCount
2020-07-13,50.96,51.98,50.72,51.81,2258578.0,51.683,14760
2020-07-14,51.74,52.09,51.04,51.52,1203166.0,51.602,8666
2020-07-15,52.19,53.2,51.6,52.4,2053600.0,52.567,14292
2020-07-16,52.39,53.07,51.87,52.91,1375007.0,52.688,9812
2020-07-17,53.16,55.09,53.03,55.08,3252334.0,54.365,18791
2020-07-20,54.53,54.59,52.79,52.82,1362425.0,53.269,9852
2020-07-21,52.35,53.24,52.08,52.27,1247012.0,52.506,8301
2020-07-22,51.95,53.06,51.12,52.99,2130172.0,52.307,13286
2020-07-23,52.85,53.47,52.38,52.71,1239026.0,52.928,9105
2020-07-24,52.99,53.43,52.09,52.27,1201712.0,52.535,7810
2020-07-27,52.17,52.32,51.01,51.99,1024719.0,51.626,7055
2020-07-28,51.85,52.65,51.85,52.41,1056363.0,52.359,7018
2020-07-29,52.55,52.67,51.85,52.59,1356049.0,52.274,10057
2020-07-30,51.97,52.55,51.56,52.39,843526.0,52.213,6298
2020-07-31,52.5,56.13,52.31,55.94,3270807.0,55.189,18887
2020-08-03,55.5,55.68,53.96,54.47,2131467.0,54.824,13501
2020-08-04,54.57,56.21,54.35,55.65,1928878.0,55.561,12312
2020-08-05,55.93,55.93,54.4,54.58,1269172.0,54.867,7938
2020-08-06,53.64,54.7,53.36,54.63,1249263.0,54.187,8339
2020-08-07,54.14,55.94,54.14,55.65,1074457.0,55.391,7317
2020-08-10,55.77,56.13,55.24,55.35,1040780.0,55.521,6976
2020-08-11,55.77,56.23,54.42,54.47,979341.0,54.913,7121
2020-08-12,54.71,55.86,54.52,55.53,1271955.0,55.337,6754
2020-08-13,55.13,55.66,54.69,55.46,973246.0,55.354,6632
2020-08-14,55.38,55.64,54.79,55.17,621127.0,55.255,4454
2020-08-17,55.04,55.16,54.43,54.72,851842.0,54.801,5777
2020-08-18,54.66,54.98,53.97,54.53,957641.0,54.412,6283
2020-08-19,54.74,54.76,54.14,54.34,738554.0,54.414,5119
2020-08-20,53.93,54.24,53.6,53.85,668200.0,53.907,4553
2020-08-21,54.06,54.06,52.81,53.28,1134349.0,53.376,7681
2020-08-24,53.47,53.92,52.97,53.9,871073.0,53.535,6181
2020-08-25,54.04,54.05,53.05,53.6,918289.0,53.382,5306
2020-08-26,53.05,53.08,52.13,52.45,918358.0,52.497,5647
2020-08-27,52.77,53.0,51.91,52.29,1690830.0,52.35,11103
2020-08-28,52.31,52.36,51.56,52.16,2075140.0,52.001,11748
2020-08-31,52.2,52.5,51.91,52.24,952351.0,52.182,7231
2020-09-01,51.82,51.82,50.75,51.0,897507.0,51.054,5723
2020-09-02,50.93,53.1,50.69,52.92,1493283.0,52.218,9542
2020-09-03,53.27,53.73,51.54,52.03,998046.0,52.51,7368
2020-09-04,52.17,52.63,51.36,52.52,1470779.0,52.242,10658
2020-09-08,52.25,52.25,51.12,52.0,1828960.0,51.763,13349
2020-09-09,52.29,54.09,52.18,53.43,2379855.0,53.621,16408
2020-09-10,52.92,53.37,52.28,52.3,1517452.0,52.898,9437
2020-09-11,52.36,52.58,51.5,52.39,928497.0,52.136,6870
2020-09-14,52.6,52.77,52.16,52.48,859498.0,52.537,6155
2020-09-15,52.69,52.69,51.48,51.65,1117086.0,52.022,7333
2020-09-16,51.69,53.17,51.46,53.0,1403318.0,52.742,9406
2020-09-17,52.51,53.11,51.91,52.24,1226573.0,52.441,7452
2020-09-18,52.0,52.48,51.04,51.33,1820833.0,51.598,9262
2020-09-21,50.85,51.55,50.32,51.17,1046397.0,51.004,7748
2020-09-22,51.87,52.74,51.54,52.47,1502389.0,52.303,10089
2020-09-23,52.52,52.75,51.83,51.92,1137319.0,52.211,8310
2020-09-24,51.86,53.94,51.66,53.47,2376697.0,53.203,15887
2020-09-25,53.0,54.35,52.79,54.13,1396346.0,53.856,10272
2020-09-28,54.57,55.17,54.29,54.35,977642.0,54.7,6826
2020-09-29,54.6,55.36,54.35,54.8,1215685.0,54.799,8209
2020-09-30,55.18,55.4,54.53,54.91,1553829.0,55.02,10976
2020-10-01,54.96,55.37,54.47,55.07,1320165.0,54.98,9361
2020-10-02,54.59,56.41,54.18,55.95,2900750.0,55.772,15815
2020-10-05,56.05,56.9,55.56,56.32,1085496.0,56.408,7382
2020-10-06,56.39,56.95,55.56,55.9,1596635.0,56.11,9194
2020-10-07,56.31,57.34,56.31,57.03,1151923.0,57.002,7422
2020-10-08,57.13,58.49,57.12,58.4,841086.0,58.019,5155
2020-10-09,58.64,58.69,57.35,57.56,1293086.0,57.63,8727
2020-10-12,57.52,58.04,57.24,57.76,1215605.0,57.69,8081
2020-10-13,57.28,57.96,56.8,57.92,1855606.0,57.469,10552
2020-10-14,57.92,58.67,57.84,58.02,933059.0,58.19,6798
2020-10-15,57.5,58.88,57.41,58.45,889930.0,58.421,6198
2020-10-16,58.68,59.83,58.26,59.5,1773874.0,59.429,11932
2020-10-19,59.54,59.86,59.05,59.5,1250389.0,59.383,8420
2020-10-20,59.78,60.08,59.49,59.89,914820.0,59.795,6351
2020-10-21,59.78,60.17,59.47,59.52,1241743.0,59.75,8286
2020-10-22,59.67,60.89,59.14,60.87,1061754.0,60.187,6081
2020-10-23,60.94,61.06,60.44,60.92,958935.0,60.827,6556
2020-10-26,60.45,60.99,59.97,60.98,1106747.0,60.578,7166
2020-10-27,60.96,61.89,60.77,61.0,1080765.0,61.242,7343
2020-10-28,60.23,60.71,58.51,58.68,1471913.0,59.19,9352
2020-10-29,58.53,60.3,58.16,59.72,1452824.0,59.305,9191
2020-10-30,59.17,59.72,57.43,58.15,2184367.0,58.171,14027
2020-11-02,58.89,59.18,58.0,58.49,2508821.0,58.377,11028
2020-11-03,59.49,60.02,58.87,59.32,1094525.0,59.389,6878
2020-11-04,59.44,60.16,58.25,58.4,1250362.0,59.032,9045
2020-11-05,58.65,59.64,58.3,58.79,1106895.0,58.857,7419
2020-11-06,58.6,59.14,58.39,58.42,838612.0,58.648,5873
2020-11-09,61.04,62.15,60.3,60.38,1624131.0,61.188,11708
2020-11-10,60.39,60.74,59.86,60.73,1261288.0,60.334,7427
2020-11-11,61.12,61.24,60.13,60.88,1054923.0,60.832,6022
2020-11-12,60.16,60.27,58.78,59.18,1085702.0,59.318,6615
2020-11-13,59.57,59.93,59.15,59.38,2127213.0,59.482,12446
2020-11-16,60.43,60.51,59.26,59.52,3506124.0,59.528,16860
2020-11-17,59.31,59.45,58.94,59.05,2938360.0,59.199,15993
2020-11-18,59.38,59.38,57.76,57.82,1663980.0,58.424,10263
2020-11-19,57.82,57.82,56.84,57.62,1503417.0,57.338,8042
2020-11-20,57.8,58.43,57.35,58.21,2387120.0,58.076,15435
2020-11-23,58.51,58.9,58.0,58.42,1105228.0,58.429,7053
2020-11-24,58.65,59.9,58.44,59.68,1103256.0,59.499,7748
2020-11-25,59.67,60.0,59.41,59.97,1254378.0,59.743,7869
2020-11-27,59.81,59.97,58.85,59.35,531698.0,59.301,3720
2020-11-30,59.08,59.08,58.17,58.28,1441815.0,58.424,10993
2020-12-01,58.89,59.26,57.34,57.51,1653808.0,57.925,9458
2020-12-02,57.34,58.04,57.01,57.7,1967942.0,57.672,10562
2020-12-03,57.4,57.89,56.85,57.63,1917407.0,57.572,7690
2020-12-04,57.58,57.94,57.29,57.63,1943778.0,57.601,9658
2020-12-07,57.32,57.97,57.18,57.53,1069622.0,57.518,7019
2020-12-08,57.05,57.4,56.66,57.23,1547850.0,57.192,10204
2020-12-09,56.94,57.25,56.47,56.89,944724.0,56.807,6602
2020-12-10,56.7,57.07,55.81,56.6,903037.0,56.394,5951
2020-12-11,56.21,56.78,56.12,56.48,865671.0,56.411,5823
2020-12-14,56.87,57.37,56.23,56.43,1168880.0,56.646,7905
2020-12-15,56.78,57.93,56.38,57.81,1184469.0,57.397,7009
2020-12-16,57.63,58.18,57.06,57.15,1096629.0,57.382,7205
2020-12-17,57.53,57.96,57.17,57.19,1040739.0,57.424,6597
2020-12-18,57.13,57.4,56.4,56.82,2088116.0,56.891,8907
2020-12-21,56.27,56.91,55.9,56.47,1639273.0,56.299,9470
2020-12-22,56.36,56.69,56.15,56.39,1067968.0,56.475,6705
2020-12-23,56.56,57.33,56.53,56.53,952645.0,56.863,5716
2020-12-24,56.54,57.19,56.51,57.15,557553.0,56.806,3818
2020-12-28,57.64,57.7,57.19,57.32,656249.0,57.416,4161
2020-12-29,57.42,57.9,56.9,57.08,832962.0,57.199,5825
2020-12-30,56.96,57.67,56.96,57.36,667107.0,57.345,4567
2020-12-31,57.28,58.34,57.19,58.3,1081693.0,57.736,6432
2021-01-04,58.14,58.91,55.54,55.73,2423461.0,56.298,14846
2021-01-05,55.71,56.05,54.96,55.74,1628117.0,55.587,9540
2021-01-06,56.24,57.05,55.86,56.91,1456760.0,56.699,8674
2021-01-07,56.8,57.02,55.78,56.1,1716150.0,56.172,10310
2021-01-08,56.19,57.49,56.12,57.31,2130750.0,56.893,10316
2021-01-11,57.04,57.46,56.61,56.98,1650174.0,56.955,8988
2021-01-12,56.95,57.54,56.33,57.35,1351591.0,57.12,8480
2021-01-13,57.58,58.89,57.41,58.68,1835581.0,58.44,10617
2021-01-14,58.42,58.68,57.75,57.78,1249390.0,58.11,7502
2021-01-15,57.71,59.56,57.32,59.38,2032878.0,58.639,9513
2021-01-19,59.63,59.63,58.11,58.18,1352908.0,58.608,7556
2021-01-20,58.11,59.45,57.56,59.26,1763687.0,58.745,11924
2021-01-21,59.1,59.33,58.27,58.35,899171.0,58.57,5733
2021-01-22,58.06,58.59,57.64,58.36,762005.0,58.198,4776
2021-01-25,58.29,58.94,57.81,58.52,1572205.0,58.406,9821
2021-01-26,58.69,58.77,57.77,58.33,883488.0,58.283,5580
2021-01-27,57.86,58.26,55.96,56.36,1338603.0,56.887,9565
2021-01-28,56.46,58.06,56.35,57.05,1083564.0,57.385,7768
2021-01-29,56.55,57.1,55.57,56.43,1090239.0,56.354,6850
2021-02-01,56.52,57.5,55.72,57.15,723653.0,57.063,5064
2021-02-02,57.46,58.99,57.11,58.35,1771582.0,58.613,9851
2021-02-03,58.19,58.66,57.86,58.1,1108124.0,58.173,7369
2021-02-04,58.03,58.94,57.93,58.56,869952.0,58.541,6098
2021-02-05,58.99,59.49,58.48,59.32,954677.0,59.099,6134
2021-02-08,59.35,59.99,58.39,58.81,984715.0,58.866,6422
2021-02-09,58.98,59.15,58.21,58.73,1032573.0,58.585,5366
2021-02-10,59.09,59.16,58.55,58.85,1098606.0,58.837,6769
2021-02-11,58.77,58.96,58.26,58.57,687935.0,58.533,4371
