date,open,high,low,close,volume,average,barCount
2020-07-13,136.76,138.07,134.47,134.91,6360323.0,136.352,37675
2020-07-14,134.67,136.96,134.25,135.52,3635444.0,135.691,25665
2020-07-15,135.35,136.19,133.25,133.69,2958101.0,134.667,21412
2020-07-16,133.97,134.36,133.05,133.88,2263542.0,133.789,15445
2020-07-17,134.41,135.06,133.55,134.66,1925288.0,134.521,12292
2020-07-20,134.61,134.62,132.18,133.11,2152822.0,132.994,14212
2020-07-21,134.0,136.41,133.79,134.43,3223280.0,134.97,22768
2020-07-22,135.33,136.25,133.68,136.01,2212646.0,135.122,15417
2020-07-23,136.43,137.25,135.49,137.08,3022351.0,136.441,19303
2020-07-24,137.09,138.64,135.39,136.06,2033212.0,136.706,14640
2020-07-27,135.53,137.76,134.85,137.67,2112666.0,136.861,13977
2020-07-28,137.98,138.59,137.09,137.38,1640429.0,137.815,11003
2020-07-29,137.31,139.0,137.04,137.93,2106845.0,138.14,13146
2020-07-30,136.92,138.22,136.48,137.69,1558667.0,137.315,10893
2020-07-31,137.26,137.7,135.2,137.66,1989651.0,136.523,14024
2020-08-03,137.17,137.5,136.0,136.7,1447632.0,136.749,10052
2020-08-04,137.48,137.59,136.02,137.47,1112558.0,137.058,8159
2020-08-05,137.49,138.15,135.77,136.25,1620575.0,136.606,10851
2020-08-06,135.52,136.29,135.27,135.86,1585920.0,135.804,11955
2020-08-07,135.94,136.76,135.37,136.74,1829453.0,136.227,13212
2020-08-10,136.32,136.88,135.38,135.98,1620923.0,136.01,11535
2020-08-11,136.9,137.45,134.62,135.12,2004441.0,135.905,13823
2020-08-12,135.42,138.68,135.25,137.8,1889664.0,137.816,12963
2020-08-13,137.16,138.61,137.1,138.1,1312510.0,138.025,9601
2020-08-14,138.11,138.18,137.2,137.56,1119319.0,137.714,8237
2020-08-17,137.5,138.89,137.05,137.92,1403098.0,138.083,9651
2020-08-18,138.61,138.61,137.04,138.11,1481875.0,137.914,10293
2020-08-19,138.5,138.8,136.1,136.45,1897499.0,137.217,12437
2020-08-20,135.66,137.15,135.63,136.72,1265290.0,136.514,8986
2020-08-21,136.37,136.66,135.25,136.46,2470899.0,136.072,11934
2020-08-24,136.51,137.68,136.11,137.64,1846918.0,137.085,12623
2020-08-25,138.09,138.38,136.7,137.3,1353080.0,137.168,9300
2020-08-26,136.46,138.66,136.38,138.47,1966246.0,137.625,13973
2020-08-27,138.71,139.93,137.91,138.4,2588805.0,138.559,14933
2020-08-28,138.53,139.96,137.24,139.94,1828331.0,138.816,13744
2020-08-31,139.06,141.02,139.0,140.06,1929891.0,140.157,13044
2020-09-01,140.17,140.48,138.5,139.19,2136594.0,139.23,15090
2020-09-02,139.75,143.82,139.35,143.29,2959319.0,142.327,20327
2020-09-03,142.73,144.04,138.12,139.37,3229627.0,140.771,23182
2020-09-04,139.68,140.31,136.94,138.76,2280318.0,138.622,17519
2020-09-08,138.16,138.63,134.41,135.55,2500078.0,135.731,17660
2020-09-09,135.49,138.46,135.4,137.11,1976295.0,137.371,14275
2020-09-10,136.71,137.55,133.88,134.76,2410362.0,135.728,17018
2020-09-11,135.22,136.38,134.23,135.81,1944653.0,135.376,14708
2020-09-14,136.82,137.5,135.8,136.67,1399065.0,136.886,9178
2020-09-15,136.47,137.24,135.41,135.62,2189509.0,136.218,15549
2020-09-16,136.28,136.6,134.78,134.98,1714516.0,135.85,12897
2020-09-17,133.39,134.55,131.69,133.2,2954518.0,132.697,19629
2020-09-18,133.71,134.79,130.01,131.47,4150258.0,132.618,18514
2020-09-21,130.34,131.31,129.36,131.24,2529588.0,130.217,17749
2020-09-22,131.02,132.89,130.44,132.15,2230716.0,132.209,15135
2020-09-23,132.7,132.82,129.85,131.0,2695828.0,130.739,17558
2020-09-24,131.44,132.31,129.92,131.58,2806262.0,131.443,18350
2020-09-25,130.89,133.83,130.51,133.55,2675802.0,132.28,17475
2020-09-28,136.01,138.58,135.67,137.97,4328315.0,137.504,28136
2020-09-29,138.7,139.54,137.13,137.16,2616862.0,138.094,17748
2020-09-30,137.97,139.19,136.9,138.6,3589957.0,138.321,23607
2020-10-01,139.53,140.85,137.48,140.8,3926351.0,139.409,25972
2020-10-02,139.28,139.91,136.2,138.06,3228424.0,138.284,22248
2020-10-05,138.09,138.38,136.98,137.93,2145037.0,137.512,13764
2020-10-06,137.88,138.82,135.15,135.7,3163403.0,137.115,19605
2020-10-07,135.99,137.52,135.76,137.01,2298947.0,136.573,13043
2020-10-08,137.08,138.13,136.76,137.85,1455134.0,137.7,10610
2020-10-09,138.72,139.26,137.89,138.44,1723819.0,138.609,12265
2020-10-12,140.88,143.49,139.78,142.13,3655054.0,142.005,25298
2020-10-13,142.22,144.0,141.91,143.54,2504302.0,143.034,18024
2020-10-14,143.55,144.11,141.62,142.52,1816838.0,142.844,12940
2020-10-15,141.16,141.97,140.62,141.43,2032543.0,141.288,14475
2020-10-16,141.58,142.82,141.13,141.73,2218002.0,142.092,13511
2020-10-19,141.38,142.53,139.25,139.68,1870871.0,140.682,12989
2020-10-20,140.89,141.22,139.4,139.71,1448576.0,140.436,9928
2020-10-21,139.46,140.48,139.1,139.6,1329887.0,139.794,8823
2020-10-22,139.8,140.2,139.01,139.61,1702523.0,139.576,11604
2020-10-23,140.23,140.53,139.04,139.56,1340271.0,139.626,9758
2020-10-26,138.74,139.08,136.41,138.06,2041090.0,137.344,13722
2020-10-27,138.58,139.89,138.3,139.12,1849539.0,139.159,12507
2020-10-28,137.1,137.71,133.94,134.17,2611807.0,135.144,17099
2020-10-29,133.62,135.63,132.26,133.99,2078738.0,134.162,13604
2020-10-30,132.96,133.84,131.71,133.29,2073015.0,132.808,14414
2020-11-02,135.41,136.23,133.78,135.15,1553896.0,135.083,11425
2020-11-03,136.62,138.6,136.28,137.04,1802369.0,137.224,12135
2020-11-04,139.0,141.7,137.66,137.86,2621622.0,139.38,17193
2020-11-05,139.35,140.27,137.47,138.05,2171048.0,138.793,14190
2020-11-06,138.64,139.77,137.33,138.38,1618509.0,138.455,10771
