date,open,high,low,close,volume,average,barCount
2020-07-13,80.92,81.32,79.68,80.33,1385506.0,80.71,10775
2020-07-14,80.57,84.51,80.45,84.5,3007932.0,83.068,17264
2020-07-15,85.0,86.49,84.35,85.89,2927173.0,85.483,19734
2020-07-16,85.85,87.59,85.72,87.11,1893990.0,86.882,11877
2020-07-17,87.36,87.76,86.39,87.63,1474647.0,87.4,9126
2020-07-20,87.7,88.41,87.43,88.13,1302491.0,88.021,9106
2020-07-21,88.05,89.39,88.05,88.85,1091948.0,88.814,7726
2020-07-22,89.15,90.22,88.52,90.14,1138939.0,89.7,7107
2020-07-23,89.97,90.72,88.34,88.64,1247750.0,89.02,9217
2020-07-24,88.86,89.17,87.51,87.86,1238420.0,88.133,9702
2020-07-27,87.84,88.3,86.8,87.3,1143961.0,87.528,8348
2020-07-28,87.53,87.83,86.66,87.42,1089458.0,87.454,8395
2020-07-29,87.01,89.26,87.01,88.92,1244082.0,88.616,8977
2020-07-30,87.89,89.33,87.68,88.52,1369067.0,88.581,10672
2020-07-31,88.2,90.41,88.11,90.34,1467723.0,89.33,11663
2020-08-03,90.7,91.23,89.65,89.89,1303330.0,90.302,9327
2020-08-04,89.58,90.47,89.43,90.25,1277750.0,90.085,9120
2020-08-05,91.03,91.81,90.55,90.62,1424598.0,91.068,9822
2020-08-06,90.7,91.38,88.91,89.61,1719034.0,89.699,13323
2020-08-07,89.31,90.77,89.31,90.73,1088806.0,90.273,7280
2020-08-10,90.99,91.14,89.71,90.12,1607975.0,90.092,9914
2020-08-11,90.93,91.12,88.87,89.02,1596385.0,89.641,11554
2020-08-12,90.03,90.48,88.72,89.01,1287974.0,89.355,9361
2020-08-13,88.38,89.05,87.93,89.04,1463357.0,88.607,9914
2020-08-14,89.0,89.56,88.6,88.97,1067154.0,89.066,7626
2020-08-17,88.55,89.78,88.47,88.83,1079802.0,89.007,7126
2020-08-18,88.96,89.96,88.9,89.74,944685.0,89.598,6685
2020-08-19,90.16,91.02,89.95,90.41,1681691.0,90.517,10730
2020-08-20,90.28,91.05,90.09,90.84,1056860.0,90.767,7939
2020-08-21,91.22,92.0,90.81,91.82,1393620.0,91.482,8659
2020-08-24,92.0,92.34,91.43,92.0,1547961.0,91.882,11760
2020-08-25,92.45,93.03,91.72,92.77,1589452.0,92.446,11683
