date,open,high,low,close,volume,average,barCount
2020-07-13,124.0,125.59,123.34,124.05,5125971.0,124.618,32797
2020-07-14,123.99,125.66,123.5,125.09,3653542.0,124.653,26711
2020-07-15,125.98,126.9,124.26,124.5,4119542.0,125.523,28158
2020-07-16,125.08,125.52,123.91,124.76,2616936.0,124.568,18079
2020-07-17,125.09,126.07,124.83,125.63,2918245.0,125.488,17876
2020-07-20,125.47,125.84,124.79,125.24,2534947.0,125.272,17070
2020-07-21,125.49,126.64,124.92,125.07,2671551.0,125.783,17752
2020-07-22,125.5,126.4,124.21,126.14,4086649.0,125.369,24705
2020-07-23,126.1,127.18,125.6,126.16,4355732.0,126.499,28168
2020-07-24,126.99,127.77,125.31,125.96,3513262.0,126.21,24717
2020-07-27,125.71,126.64,125.54,126.32,3413396.0,126.211,21670
2020-07-28,126.37,128.46,126.29,127.88,4676543.0,127.734,29007
2020-07-29,127.56,129.24,127.36,128.31,4394819.0,128.504,27315
2020-07-30,130.66,132.03,129.65,131.42,7891512.0,130.986,41650
2020-07-31,130.01,131.21,129.27,131.12,5143624.0,130.134,30663
2020-08-03,130.47,131.92,130.47,131.29,3873293.0,131.373,23811
2020-08-04,130.77,133.93,130.7,133.79,5592636.0,132.729,33807
2020-08-05,133.59,134.65,133.12,133.44,3852775.0,133.723,22989
2020-08-06,132.85,133.37,132.12,132.71,2756295.0,132.659,16687
2020-08-07,132.89,133.64,132.45,133.55,2644788.0,132.976,17116
2020-08-10,133.7,134.44,133.18,134.1,3345446.0,133.92,21201
2020-08-11,134.27,134.74,132.79,133.23,3602217.0,133.643,23923
2020-08-12,133.77,135.97,133.7,135.46,4307820.0,135.354,25017
2020-08-13,135.08,135.87,134.93,135.78,3228628.0,135.439,19821
2020-08-14,135.61,135.64,134.55,135.1,3524504.0,135.043,18808
2020-08-17,134.95,135.7,134.66,135.5,3535975.0,135.252,18699
2020-08-18,135.81,137.52,135.42,136.51,5975592.0,136.565,33560
2020-08-19,135.54,136.32,135.5,135.77,3924080.0,135.877,23152
2020-08-20,135.43,136.98,135.19,136.85,2780073.0,136.363,17789
2020-08-21,136.6,138.11,135.91,137.44,3826891.0,137.136,19036
2020-08-24,137.49,138.78,137.2,138.51,4009349.0,138.079,21045
2020-08-25,139.0,139.15,137.8,139.06,3206079.0,138.607,18780
