date,open,high,low,close,volume,average,barCount
2020-07-13,35.15,35.48,33.86,33.89,2205562.0,34.644,16304
2020-07-14,33.74,35.5,33.71,35.45,1893808.0,34.955,13674
2020-07-15,36.48,36.53,35.24,36.18,1998016.0,35.89,14233
2020-07-16,35.98,37.0,35.64,36.75,1972910.0,36.727,14032
2020-07-17,37.48,37.94,36.97,37.3,2633060.0,37.374,17056
2020-07-20,37.16,37.81,36.73,37.58,2212434.0,37.465,15399
2020-07-21,37.05,37.88,36.77,37.7,2116841.0,37.509,14372
2020-07-22,37.97,39.74,37.71,39.44,2992672.0,39.225,17907
2020-07-23,41.92,43.99,40.74,41.29,7478905.0,42.446,40812
2020-07-24,41.78,42.91,40.7,42.62,4015067.0,42.29,23759
2020-07-27,43.63,44.4,42.57,44.24,3300106.0,43.748,19347
2020-07-28,44.55,44.98,43.43,43.49,3210377.0,44.044,22424
2020-07-29,43.66,44.74,43.62,44.7,1847978.0,44.412,12848
2020-07-30,43.87,44.39,43.47,43.87,1542437.0,43.935,11122
2020-07-31,43.86,43.86,42.51,43.6,1903978.0,43.172,12838
2020-08-03,43.87,44.64,43.58,44.03,1452669.0,44.06,9032
2020-08-04,43.85,44.37,43.62,44.14,1698793.0,44.056,11525
2020-08-05,44.29,44.76,43.84,44.51,1278527.0,44.425,8912
2020-08-06,44.45,44.95,44.26,44.72,1264049.0,44.594,8562
2020-08-07,44.26,44.62,43.56,44.26,1583111.0,44.057,10292
2020-08-10,44.48,46.16,44.21,45.16,1835385.0,45.471,11542
2020-08-11,45.64,46.06,44.15,44.37,2476286.0,44.772,13569
2020-08-12,44.74,45.75,44.35,45.44,1535951.0,45.131,9592
2020-08-13,45.23,45.84,44.58,45.52,1423835.0,45.401,9794
2020-08-14,45.16,45.25,44.8,45.07,1057790.0,44.987,7054
2020-08-17,45.35,46.66,45.2,46.43,1615464.0,46.224,9848
2020-08-18,47.43,47.43,46.47,46.61,1540082.0,46.767,9843
2020-08-19,46.32,46.6,45.75,46.17,1250992.0,46.178,8051
2020-08-20,45.71,46.88,45.55,46.34,1345840.0,46.48,9166
2020-08-21,46.37,47.64,46.18,47.48,1333485.0,47.105,8564
2020-08-24,47.59,47.9,46.89,47.62,1383940.0,47.479,9185
2020-08-25,48.0,48.0,46.54,47.18,1460274.0,47.134,10170
2020-08-26,47.24,47.39,46.24,46.29,1303880.0,46.655,8552
2020-08-27,46.59,47.0,45.73,45.75,1860426.0,46.275,11999
2020-08-28,46.02,46.42,45.19,45.32,1474464.0,45.618,10898
2020-08-31,45.47,45.47,44.21,44.59,1553675.0,44.859,10951
2020-09-01,44.53,46.06,44.27,46.05,1546679.0,45.608,10697
2020-09-02,46.07,46.42,44.76,46.14,1248817.0,45.819,8529
2020-09-03,46.13,46.27,43.67,44.19,1575455.0,44.538,9680
2020-09-04,44.45,44.93,42.18,43.21,2004450.0,43.391,13104
