date,open,high,low,close,volume,average,barCount
2020-07-13,177.33,180.54,175.4,176.0,1082591.0,177.672,8469
2020-07-14,176.5,183.78,174.88,183.66,783618.0,179.851,6239
2020-07-15,188.19,189.0,183.97,186.82,670793.0,187.053,5404
2020-07-16,186.22,186.28,182.37,184.46,692871.0,183.955,5996
2020-07-17,185.38,186.33,183.74,184.96,278525.0,185.104,2172
2020-07-20,183.67,184.31,180.15,181.31,348382.0,181.307,2960
2020-07-21,182.6,185.77,182.25,183.21,473310.0,183.986,3035
2020-07-22,182.92,185.55,182.3,184.8,300523.0,184.399,2219
2020-07-23,184.23,185.79,182.92,184.06,268605.0,184.297,2279
2020-07-24,184.01,184.9,182.03,182.86,221356.0,182.948,1747
2020-07-27,182.87,186.12,180.66,185.65,422518.0,184.817,3010
2020-07-28,184.96,185.82,180.35,180.37,286087.0,182.06,2432
2020-07-29,182.44,183.58,180.89,183.54,554844.0,182.879,3967
2020-07-30,180.5,180.83,175.02,180.52,541852.0,178.854,3687
2020-07-31,179.9,179.9,175.65,178.92,563061.0,177.663,3846
2020-08-03,179.65,183.43,178.68,181.89,414700.0,182.101,2986
2020-08-04,181.21,182.7,180.14,181.26,388088.0,181.214,3157
2020-08-05,183.47,186.81,183.02,185.61,705551.0,185.663,4539
2020-08-06,186.0,194.72,185.69,193.03,1630135.0,192.468,8187
2020-08-07,194.32,198.04,192.63,197.6,812550.0,195.79,6009
2020-08-10,197.56,204.63,197.37,204.47,776529.0,203.095,5688
2020-08-11,207.29,213.86,206.77,208.53,1372442.0,209.354,8757
2020-08-12,210.58,211.26,206.86,209.56,636811.0,208.682,3596
2020-08-13,207.5,209.29,206.58,207.9,356727.0,208.278,2757
2020-08-14,206.06,210.93,205.87,209.62,349338.0,209.423,2425
2020-08-17,209.43,211.33,208.46,208.73,365349.0,209.587,2524
2020-08-18,208.25,209.16,206.37,206.72,369688.0,207.783,2650
2020-08-19,206.45,208.07,205.21,206.11,259492.0,206.559,2067
2020-08-20,203.74,206.21,202.97,204.87,394738.0,204.997,2450
2020-08-21,204.76,207.83,204.63,206.32,545305.0,206.165,3179
2020-08-24,207.37,210.29,206.14,209.77,415289.0,209.158,2889
2020-08-25,210.87,211.24,207.89,209.53,527836.0,209.55,3075
2020-08-26,208.28,210.59,207.4,209.78,404681.0,209.237,2202
2020-08-27,210.75,211.69,207.72,207.79,367766.0,208.922,2941
2020-08-28,209.11,211.22,208.39,210.47,606696.0,209.759,3484
2020-08-31,209.36,209.96,205.95,206.01,516502.0,207.143,3979
2020-09-01,205.0,211.99,203.57,211.77,698590.0,209.811,4366
2020-09-02,212.87,215.21,210.66,214.33,659797.0,213.232,4363
2020-09-03,214.0,214.54,204.41,206.31,544089.0,207.638,4043
2020-09-04,209.07,210.57,204.81,207.3,686192.0,207.691,3428
2020-09-08,205.23,207.35,202.86,203.11,347425.0,204.986,2898
2020-09-09,205.0,208.8,204.8,207.09,448154.0,207.352,3010
2020-09-10,207.97,209.54,203.52,204.31,384976.0,206.129,2362
2020-09-11,205.64,209.96,205.11,209.13,485121.0,208.582,3404
2020-09-14,211.16,212.44,209.42,211.44,394248.0,211.033,3129
2020-09-15,212.31,214.25,209.77,209.93,276266.0,210.716,2271
2020-09-16,212.23,217.59,211.1,214.33,425713.0,214.953,3115
2020-09-17,211.71,215.89,208.46,214.07,379061.0,213.958,3086
2020-09-18,213.6,215.45,207.79,208.41,508995.0,210.928,3116
2020-09-21,202.85,204.4,194.42,198.99,728205.0,198.067,5147
2020-09-22,198.51,201.09,197.35,200.63,328482.0,199.182,2727
2020-09-23,200.0,204.01,195.12,195.47,428133.0,198.253,3477
2020-09-24,195.47,198.97,192.25,195.92,359879.0,195.698,2998
2020-09-25,194.03,201.36,193.4,199.98,329083.0,198.877,2845
2020-09-28,203.14,206.71,202.45,202.94,305556.0,204.205,2388
2020-09-29,203.13,204.64,200.43,202.18,219064.0,202.308,1901
2020-09-30,203.41,206.77,199.89,202.34,401425.0,203.853,3092
2020-10-01,203.43,205.1,198.81,200.73,449729.0,201.07,3393
2020-10-02,198.13,210.98,196.98,207.3,567824.0,206.968,4229
2020-10-05,210.83,214.04,210.13,213.14,372319.0,212.628,2943
2020-10-06,213.38,217.0,209.43,209.84,279827.0,213.2,2262
2020-10-07,212.98,217.84,212.8,217.55,313410.0,216.232,2614
2020-10-08,218.69,218.77,215.31,217.91,230060.0,217.673,1832
2020-10-09,220.19,221.16,217.73,218.11,337272.0,219.327,2309
2020-10-12,219.19,219.5,216.63,218.07,414531.0,218.282,2358
2020-10-13,216.45,217.86,214.4,215.52,247201.0,215.849,2045
2020-10-14,216.25,219.05,215.61,216.02,280418.0,217.356,1893
2020-10-15,212.62,222.73,211.81,222.66,548787.0,219.758,4076
2020-10-16,223.47,226.59,222.31,222.86,1071216.0,224.763,7232
2020-10-19,222.76,225.88,220.76,221.57,366524.0,222.869,2543
2020-10-20,222.37,226.77,222.37,223.57,382477.0,224.433,2785
2020-10-21,223.57,225.14,221.78,222.39,353491.0,223.28,2408
2020-10-22,223.27,226.23,222.74,225.35,317892.0,224.652,2188
2020-10-23,227.47,228.67,224.26,226.16,381067.0,226.303,2386
2020-10-26,222.98,223.01,216.69,218.73,306112.0,218.418,2387
2020-10-27,217.71,218.66,211.59,211.76,344688.0,213.176,2577
2020-10-28,206.45,209.28,203.03,203.23,393858.0,205.418,2902
2020-10-29,202.8,210.39,200.03,207.84,402038.0,207.212,3228
2020-10-30,207.33,209.65,204.66,208.36,339453.0,206.924,2719
2020-11-02,212.45,219.14,211.03,218.02,444395.0,216.935,3278
2020-11-03,222.23,227.68,220.95,226.2,647691.0,225.039,4444
2020-11-04,223.46,224.42,216.92,217.94,659804.0,221.445,4790
2020-11-05,228.67,239.56,226.99,237.98,1406083.0,235.778,8178
2020-11-06,236.77,238.49,236.11,237.56,712543.0,237.458,4713
2020-11-09,258.82,269.12,251.77,252.79,1230682.0,256.309,7954
2020-11-10,252.64,262.73,252.64,261.16,961060.0,259.868,6675
2020-11-11,262.91,263.5,257.59,260.77,1034057.0,260.059,6726
2020-11-12,260.58,260.97,255.07,256.87,1427845.0,258.976,9704
2020-11-13,259.57,261.76,256.37,258.99,444011.0,258.417,3564
2020-11-16,265.27,269.8,261.01,267.89,526194.0,266.446,3998
2020-11-17,265.36,265.49,259.37,263.12,500046.0,262.383,4072
2020-11-18,264.14,268.17,263.16,265.04,564165.0,266.222,3838
2020-11-19,263.44,268.99,260.82,268.84,592422.0,265.708,4052
2020-11-20,268.59,268.71,266.14,267.12,473188.0,267.501,3444
2020-11-23,269.58,273.44,268.17,271.91,359232.0,271.545,2593
2020-11-24,276.52,280.29,273.92,279.86,431166.0,277.818,3189
2020-11-25,278.26,278.27,272.29,274.1,628686.0,274.433,4091
2020-11-27,275.9,277.36,271.14,272.85,162207.0,273.192,1319
2020-11-30,270.74,271.25,265.3,267.26,426535.0,267.53,3384
2020-12-01,271.61,273.06,269.18,270.36,417114.0,270.93,3229
2020-12-02,268.76,271.11,265.7,270.11,397037.0,268.373,2893
2020-12-03,269.39,272.6,268.42,269.12,257780.0,270.759,1862
2020-12-04,271.17,277.05,270.91,275.74,345412.0,274.761,2652
2020-12-07,274.03,274.56,268.85,271.54,511181.0,271.203,3571
2020-12-08,269.06,274.84,269.06,274.24,207267.0,273.465,1537
2020-12-09,275.18,276.93,272.38,276.32,276864.0,274.709,2110
2020-12-10,275.06,276.52,272.48,274.44,389332.0,274.367,2965
2020-12-11,270.83,276.48,270.83,274.68,310880.0,274.41,2623
2020-12-14,278.11,278.62,270.0,270.09,297217.0,273.501,2377
2020-12-15,274.04,277.09,270.54,275.79,286850.0,274.725,2326
2020-12-16,275.68,276.22,271.41,272.81,228934.0,273.344,1817
2020-12-17,274.51,274.61,271.29,273.3,313705.0,272.869,2695
2020-12-18,273.04,275.6,270.46,272.0,605887.0,272.497,4276
2020-12-21,266.22,273.14,264.25,272.79,294485.0,269.346,2356
2020-12-22,272.46,272.46,267.09,267.58,316729.0,268.491,2588
2020-12-23,269.58,271.06,267.68,269.4,373079.0,269.324,3141
2020-12-24,269.1,271.08,267.33,269.45,71659.0,268.65,598
2020-12-28,270.99,272.14,267.65,267.7,201511.0,269.462,1542
2020-12-29,269.31,270.74,263.0,266.13,262485.0,265.512,2023
2020-12-30,267.46,271.21,267.46,270.22,166280.0,269.787,1366
2020-12-31,269.5,272.75,267.97,272.41,254511.0,271.216,1992
2021-01-04,273.51,275.03,264.2,266.02,305755.0,268.187,2365
2021-01-05,265.32,273.71,265.32,272.02,323994.0,271.253,2422
2021-01-06,274.37,286.37,274.19,280.85,439050.0,282.472,3220
2021-01-07,284.59,285.56,279.71,281.36,444456.0,282.312,3517
2021-01-08,281.4,282.67,275.98,280.66,676213.0,279.657,4870
2021-01-11,277.17,285.44,276.74,284.02,459144.0,282.685,3588
2021-01-12,284.87,290.22,283.69,287.76,459443.0,288.186,3290
2021-01-13,287.22,289.11,285.39,286.22,533546.0,286.925,3789
2021-01-14,288.87,293.8,287.77,291.12,317858.0,291.162,2324
2021-01-15,287.98,288.5,282.33,285.17,506044.0,285.672,3571
2021-01-19,288.62,291.18,287.41,288.8,588394.0,289.427,4588
2021-01-20,290.55,290.71,286.19,286.87,459418.0,288.122,3500
2021-01-21,287.28,287.94,278.68,279.2,492220.0,281.242,3282
2021-01-22,275.92,276.38,271.68,275.17,643137.0,274.614,4684
2021-01-25,274.0,274.97,265.32,269.77,676110.0,269.242,4940
