date,open,high,low,close,volume,average,barCount
2020-07-13,99.25,100.3,98.23,98.78,251472.0,99.307,2233
2020-07-14,98.89,102.23,98.85,102.12,364852.0,101.639,3168
2020-07-15,104.21,104.21,101.61,102.84,353842.0,103.026,2968
2020-07-16,102.86,108.36,102.72,107.05,685876.0,106.68,4927
2020-07-17,107.32,107.32,104.61,104.71,458678.0,105.403,3754
2020-07-20,105.14,105.15,103.34,103.72,200615.0,104.066,1510
2020-07-21,103.68,105.15,103.58,104.12,250941.0,104.207,2095
2020-07-22,104.05,104.95,103.25,104.27,243395.0,104.235,1940
2020-07-23,103.87,105.31,103.14,103.46,260162.0,103.757,2261
2020-07-24,103.73,104.39,102.41,102.79,205674.0,103.187,1671
2020-07-27,102.43,104.13,101.36,103.53,452199.0,103.532,3383
2020-07-28,103.07,103.79,101.1,101.98,652306.0,102.446,4872
2020-07-29,102.01,103.09,99.52,101.97,678219.0,101.958,5048
2020-07-30,100.58,101.65,97.71,98.28,599349.0,98.971,3866
2020-07-31,98.17,98.17,94.61,96.12,496175.0,95.343,3224
2020-08-03,96.79,97.11,95.47,95.95,384813.0,96.283,2934
2020-08-04,94.76,95.98,93.96,95.37,1213561.0,95.207,9014
2020-08-05,96.13,97.41,95.79,95.86,408797.0,96.493,3222
2020-08-06,95.96,96.43,94.91,95.01,376805.0,95.485,3026
2020-08-07,92.17,95.53,92.01,95.47,1773953.0,95.019,8276
2020-08-10,95.69,97.56,95.17,97.56,1577529.0,96.739,7516
2020-08-11,98.72,101.76,98.57,100.0,578639.0,100.814,4144
2020-08-12,100.62,101.43,98.45,99.4,283506.0,99.486,2065
2020-08-13,98.74,99.83,98.39,99.22,198928.0,99.361,1509
2020-08-14,98.49,100.47,98.2,99.67,189723.0,99.539,1608
2020-08-17,99.9,100.67,98.97,99.23,236195.0,99.556,1744
2020-08-18,99.31,99.78,97.99,98.03,193268.0,98.643,1580
2020-08-19,98.68,99.89,97.69,98.11,283466.0,98.601,2027
2020-08-20,96.91,97.68,95.73,96.72,174826.0,96.431,1417
2020-08-21,96.72,97.35,95.55,95.96,281474.0,96.227,1747
