date,open,high,low,close,volume,average,barCount
2020-07-13,102.61,104.26,101.52,102.68,2286821.0,102.874,16047
2020-07-14,102.66,103.36,100.4,101.26,2432712.0,101.588,16179
2020-07-15,103.7,105.33,101.7,104.07,2906675.0,103.09,18319
2020-07-16,101.85,106.67,101.34,104.99,3144827.0,104.737,20270
2020-07-17,104.29,105.13,102.99,103.02,2208184.0,103.692,15629
2020-07-20,102.0,103.63,101.55,102.94,1643203.0,102.854,11082
2020-07-21,103.69,108.28,103.69,107.7,2662711.0,107.03,16273
2020-07-22,106.64,107.79,106.05,106.63,1815368.0,106.652,11791
2020-07-23,106.01,108.28,105.85,107.34,1229761.0,106.904,7884
2020-07-24,108.07,108.87,106.73,106.84,1236738.0,107.591,8346
2020-07-27,105.86,105.86,103.84,104.92,1308648.0,104.957,9338
2020-07-28,104.41,105.63,104.41,104.83,787749.0,105.019,5480
2020-07-29,104.46,109.3,104.05,108.95,1829161.0,107.421,11429
2020-07-30,106.45,106.62,104.34,106.27,1116904.0,105.787,8098
2020-07-31,105.71,106.78,104.05,106.67,1074618.0,105.41,7728
2020-08-03,106.54,107.6,105.3,105.93,1325085.0,106.538,9394
2020-08-04,105.93,106.14,104.83,105.29,1114610.0,105.24,6854
2020-08-05,106.19,106.78,105.36,106.56,1701670.0,106.206,7841
2020-08-06,105.93,107.38,105.65,107.03,1134245.0,106.575,7028
2020-08-07,105.83,110.03,105.81,109.7,1914456.0,108.614,11432
2020-08-10,110.15,111.61,109.38,109.66,1293054.0,110.38,9464
2020-08-11,112.74,115.3,111.93,112.47,2040438.0,113.767,13739
2020-08-12,114.73,114.85,110.4,112.0,1015223.0,112.546,7637
2020-08-13,110.66,111.79,109.83,111.01,844694.0,110.737,5827
2020-08-14,109.8,112.49,109.5,111.75,1350140.0,111.67,8634
2020-08-17,110.4,111.05,109.54,110.33,1697149.0,110.328,9806
2020-08-18,109.94,110.33,106.81,107.08,1707235.0,108.14,9200
2020-08-19,106.87,108.75,106.17,106.39,1292362.0,107.115,8767
2020-08-20,105.08,106.43,104.41,106.08,1205538.0,105.728,8067
2020-08-21,105.8,106.99,105.5,106.45,1559144.0,106.125,9986
2020-08-24,106.95,109.88,106.5,109.8,1021934.0,108.697,6697
2020-08-25,111.45,112.0,109.57,110.77,1464539.0,110.52,9852
2020-08-26,110.51,111.32,109.52,110.31,1471056.0,110.49,10182
2020-08-27,110.04,113.48,109.55,112.5,1158043.0,112.395,8343
2020-08-28,113.2,113.2,111.41,112.35,726563.0,112.172,5061
2020-08-31,112.04,112.26,111.1,111.2,1301453.0,111.538,8774
2020-09-01,109.81,112.39,109.54,111.6,1178940.0,111.249,7406
2020-09-02,111.0,113.0,110.62,112.4,949539.0,111.989,6384
2020-09-03,113.62,116.67,110.93,111.67,1254883.0,112.653,9358
2020-09-04,113.87,115.56,111.34,113.1,974446.0,113.337,6958
2020-09-08,111.61,112.11,108.84,110.3,1323023.0,110.272,9188
2020-09-09,111.28,111.28,109.77,109.91,585400.0,110.435,4014
2020-09-10,110.61,111.59,108.19,108.22,1388947.0,109.447,9562
2020-09-11,109.08,111.26,108.35,110.75,1063223.0,110.015,7468
2020-09-14,111.5,115.08,111.23,114.18,978644.0,114.001,7144
2020-09-15,113.7,114.43,110.7,111.29,1445643.0,111.606,10022
2020-09-16,111.15,115.13,110.74,113.64,1407197.0,113.562,9276
2020-09-17,111.58,113.59,111.0,111.88,888252.0,112.074,7023
2020-09-18,110.99,112.4,110.67,111.76,1112673.0,111.567,6703
2020-09-21,108.92,110.57,107.48,108.84,1262818.0,108.606,9323
2020-09-22,108.08,108.84,104.16,105.36,1790325.0,105.48,12538
2020-09-23,105.73,107.34,102.42,102.48,1299194.0,104.291,9800
2020-09-24,103.36,105.39,101.58,103.45,1196745.0,103.357,8716
2020-09-25,102.25,105.05,102.01,104.9,890607.0,103.94,6344
2020-09-28,106.68,109.15,106.55,108.13,810464.0,108.342,6212
2020-09-29,107.5,107.76,105.16,106.93,1100561.0,106.705,8413
2020-09-30,107.55,110.28,107.35,109.91,1308749.0,109.352,10024
2020-10-01,110.05,110.9,108.37,109.43,966062.0,109.542,7269
2020-10-02,108.09,113.0,107.79,112.16,1201319.0,111.224,7873
2020-10-05,113.47,114.97,112.5,114.8,1085140.0,114.11,7551
2020-10-06,115.99,117.16,112.59,113.17,1195454.0,115.261,8970
2020-10-07,114.34,117.05,114.24,115.18,1392992.0,115.482,9667
2020-10-08,115.8,117.03,115.1,116.54,1492111.0,116.351,9512
2020-10-09,117.11,117.22,114.84,115.48,1313243.0,115.94,9617
2020-10-12,115.51,116.83,115.21,116.28,960776.0,116.126,6345
2020-10-13,115.86,116.23,111.9,112.51,1604917.0,113.27,11233
2020-10-14,112.18,114.39,109.54,109.83,1828919.0,111.072,12975
2020-10-15,108.44,109.56,107.55,109.56,1819248.0,108.779,13002
2020-10-16,109.58,111.51,108.89,111.48,1421330.0,110.667,8341
2020-10-19,111.91,112.23,109.76,109.99,910772.0,110.757,6311
2020-10-20,110.98,113.85,110.98,112.06,1065256.0,112.639,7189
2020-10-21,112.02,112.73,110.46,110.64,767096.0,111.547,5611
2020-10-22,110.87,115.39,110.62,115.32,1230641.0,114.317,8578
2020-10-23,116.22,116.52,113.6,114.81,939726.0,115.167,6812
2020-10-26,113.36,113.4,110.08,111.63,1065836.0,111.351,8131
2020-10-27,111.06,111.08,108.98,109.19,1232416.0,109.694,8079
2020-10-28,107.71,110.07,107.64,108.72,2032607.0,109.006,12646
2020-10-29,108.27,110.66,106.85,109.82,1209055.0,108.928,8410
2020-10-30,109.46,112.01,108.58,111.88,1370183.0,110.32,9342
2020-11-02,113.45,116.14,112.18,114.45,2498973.0,114.6,13610
2020-11-03,117.29,120.08,116.86,119.39,2225151.0,118.759,13883
2020-11-04,116.2,116.49,112.2,112.86,1398871.0,114.248,9826
2020-11-05,113.44,117.6,113.1,117.17,1355156.0,116.215,9126
2020-11-06,117.84,117.84,114.14,114.68,1113690.0,115.795,8087
2020-11-09,125.56,129.56,125.05,127.98,2808172.0,127.403,20969
2020-11-10,128.75,129.0,126.0,126.74,2727837.0,127.069,18876
2020-11-11,127.4,127.4,123.02,125.44,2148400.0,124.773,14585
2020-11-12,123.31,123.31,118.79,121.0,1560421.0,120.623,11468
2020-11-13,122.0,123.78,121.5,122.78,950246.0,122.852,6828
