date,open,high,low,close,volume,average,barCount
2020-07-13,208.15,211.87,193.04,194.01,196562.0,201.18,1387
2020-07-14,192.24,196.7,185.24,196.17,233327.0,191.956,2013
2020-07-15,198.33,203.78,197.97,202.25,190405.0,200.63,1465
2020-07-16,200.67,201.15,192.44,196.42,137382.0,196.721,1268
2020-07-17,197.2,202.99,196.5,199.93,178333.0,200.331,1504
2020-07-20,201.94,203.99,199.95,203.1,186477.0,201.801,1612
2020-07-21,204.47,207.12,200.96,202.35,94107.0,202.903,844
2020-07-22,203.84,207.15,201.6,203.28,91401.0,203.694,708
2020-07-23,203.04,211.53,200.7,201.62,200999.0,205.909,1559
2020-07-24,199.16,199.16,189.88,196.69,129948.0,195.536,1001
2020-07-27,196.7,199.5,189.02,192.55,233277.0,192.374,1875
2020-07-28,193.19,197.63,189.47,196.38,241264.0,194.338,1821
2020-07-29,198.84,204.71,198.5,200.39,328241.0,201.171,2513
2020-07-30,198.83,203.62,197.84,201.43,133124.0,201.128,1133
2020-07-31,203.96,207.24,200.92,203.36,231148.0,203.776,1992
2020-08-03,204.37,205.89,198.58,202.45,317812.0,202.256,2517
2020-08-04,203.31,206.6,200.44,206.37,174484.0,203.847,1335
2020-08-05,208.0,215.32,206.69,215.32,401704.0,213.103,3024
2020-08-06,214.0,221.8,212.38,220.42,1315706.0,218.103,8823
2020-08-07,218.0,233.99,215.29,217.73,585925.0,224.619,4685
2020-08-10,218.34,225.1,202.73,203.94,352198.0,206.106,2894
2020-08-11,202.09,204.08,192.98,198.84,320287.0,199.374,2444
2020-08-12,199.11,205.41,197.3,204.65,227630.0,202.754,1871
2020-08-13,205.96,209.63,204.83,206.56,134549.0,207.494,1042
2020-08-14,206.22,208.23,201.29,202.13,149426.0,203.216,1055
2020-08-17,203.86,210.0,203.48,209.6,160064.0,207.203,1312
2020-08-18,209.66,211.36,208.43,209.94,121633.0,209.949,990
2020-08-19,211.67,213.2,206.11,209.76,119552.0,209.723,904
2020-08-20,209.0,214.33,206.25,210.04,96035.0,211.731,762
2020-08-21,210.78,211.88,207.86,208.6,84232.0,209.443,700
2020-08-24,211.2,214.19,208.15,209.96,153296.0,211.3,1260
2020-08-25,209.27,218.69,208.64,217.76,186887.0,215.698,1502
2020-08-26,217.46,217.46,212.76,215.43,110905.0,215.11,883
2020-08-27,215.12,219.56,214.62,216.33,192338.0,217.308,1502
2020-08-28,215.59,217.87,212.39,214.34,96628.0,214.144,898
2020-08-31,213.97,220.44,213.06,218.25,157551.0,217.48,1325
2020-09-01,218.4,223.75,218.34,223.21,232178.0,222.01,1933
2020-09-02,223.98,226.72,219.72,224.28,161304.0,223.871,1081
2020-09-03,222.05,222.31,206.84,209.01,307077.0,210.708,1713
2020-09-04,207.97,209.94,197.08,204.83,173820.0,202.853,1470
2020-09-08,200.27,206.71,198.14,204.57,213400.0,204.239,1697
2020-09-09,207.36,213.35,207.36,212.44,124460.0,211.967,975
2020-09-10,214.05,216.12,211.72,213.0,255303.0,213.557,1625
2020-09-11,215.1,216.76,210.24,211.59,170977.0,212.867,1472
2020-09-14,212.6,220.85,212.51,218.11,177351.0,217.67,1295
2020-09-15,221.0,225.78,219.4,225.59,238149.0,223.157,1883
2020-09-16,226.34,230.7,221.66,222.52,199084.0,224.571,1311
2020-09-17,220.01,224.34,218.46,223.72,264570.0,221.976,1645
2020-09-18,226.17,233.0,223.19,225.02,321517.0,227.098,2639
2020-09-21,222.09,226.87,218.64,224.57,184146.0,223.858,1617
2020-09-22,224.87,231.16,220.2,230.56,186367.0,226.536,1441
2020-09-23,229.11,232.59,225.02,227.65,251459.0,229.44,1817
2020-09-24,224.24,225.58,213.51,216.55,233754.0,218.626,1754
