date,open,high,low,close,volume,average,barCount
2020-07-13,108.32,110.82,107.76,109.38,1156417.0,109.605,9177
2020-07-14,108.99,112.24,108.14,111.72,828786.0,110.814,6603
2020-07-15,113.57,116.18,112.94,115.62,1001528.0,114.792,8198
2020-07-16,115.23,115.91,113.35,115.26,1271962.0,115.028,9993
2020-07-17,118.81,119.03,110.56,111.88,3078975.0,113.364,20796
2020-07-20,112.84,112.91,109.13,109.39,1449928.0,110.024,11278
2020-07-21,109.92,111.41,109.75,110.16,881645.0,110.433,6710
2020-07-22,109.76,112.01,109.48,111.68,1514430.0,111.17,9232
2020-07-23,111.48,112.33,110.2,110.83,729840.0,111.047,5709
2020-07-24,110.65,111.67,110.07,110.56,528572.0,110.612,4378
2020-07-27,110.59,111.58,109.65,110.23,955429.0,110.391,7321
2020-07-28,109.85,110.58,108.35,108.58,730719.0,109.134,5589
2020-07-29,109.79,110.56,108.39,110.41,709496.0,109.787,5362
2020-07-30,108.55,108.94,107.57,108.2,715880.0,108.187,5755
2020-07-31,108.12,108.27,105.94,107.65,559797.0,106.724,4261
2020-08-03,108.01,108.78,107.06,107.38,618043.0,108.014,4665
2020-08-04,107.11,108.45,106.93,107.79,608887.0,107.726,4816
2020-08-05,108.41,112.56,108.41,111.66,1352828.0,111.571,9888
2020-08-06,111.75,112.43,110.4,111.44,842800.0,111.753,6054
2020-08-07,110.56,113.73,110.43,113.71,880033.0,112.561,6336
2020-08-10,113.54,115.92,113.5,115.74,483796.0,115.378,3188
2020-08-11,119.55,123.6,119.46,120.89,2408494.0,121.256,16415
2020-08-12,122.11,122.47,119.15,120.99,1035557.0,120.778,7697
2020-08-13,120.19,120.68,118.65,118.81,625115.0,119.5,4927
2020-08-14,118.33,119.95,117.66,118.98,564688.0,119.117,3730
2020-08-17,119.86,120.13,118.56,118.92,499302.0,119.384,3790
2020-08-18,119.16,119.43,118.26,118.69,513443.0,118.788,3830
2020-08-19,119.23,119.7,118.18,118.64,499240.0,118.879,4198
2020-08-20,117.68,118.65,117.35,118.24,446733.0,118.104,3374
2020-08-21,117.98,118.66,117.3,118.23,384614.0,117.969,2691
2020-08-24,119.16,121.16,118.77,121.08,394396.0,120.406,2885
2020-08-25,121.53,121.71,119.27,119.82,342383.0,119.958,2634
2020-08-26,119.58,120.88,119.37,119.95,269770.0,120.041,2121
2020-08-27,120.78,121.54,120.05,120.79,486477.0,120.87,3647
2020-08-28,120.95,122.3,120.12,122.12,454020.0,121.462,3746
2020-08-31,121.67,122.3,119.96,120.4,464903.0,120.682,3792
2020-09-01,120.04,124.0,119.5,124.0,834837.0,122.537,6066
2020-09-02,123.65,126.3,123.52,125.98,821929.0,125.104,6369
2020-09-03,125.97,126.1,121.23,122.79,829193.0,122.481,6651
2020-09-04,123.78,124.81,121.9,122.61,640382.0,122.984,5362
2020-09-08,121.7,121.98,119.39,120.99,747375.0,121.026,6243
2020-09-09,122.64,126.07,122.53,125.34,1082820.0,125.008,8149
2020-09-10,125.75,127.41,125.37,125.74,1206401.0,126.338,8219
2020-09-11,125.94,127.6,125.09,127.1,756120.0,126.64,6151
2020-09-14,128.0,131.05,127.64,130.21,1154686.0,129.832,8816
2020-09-15,130.61,131.09,128.88,129.92,787318.0,129.67,6235
2020-09-16,130.06,131.0,129.0,129.04,657599.0,130.056,5194
2020-09-17,127.98,130.0,127.11,129.25,654107.0,129.015,5154
2020-09-18,128.62,129.27,125.37,125.77,984073.0,127.007,6293
2020-09-21,123.57,123.89,118.8,120.08,770828.0,120.019,6253
2020-09-22,119.77,121.19,119.33,120.82,858833.0,120.233,6821
2020-09-23,120.35,121.15,117.75,118.32,753931.0,119.316,6183
2020-09-24,118.53,120.09,116.95,118.95,702306.0,118.941,5139
