date,open,high,low,close,volume,average,barCount
2020-07-13,194.68,195.34,192.6,192.89,289344.0,194.035,2501
2020-07-14,193.06,196.92,192.95,193.84,325458.0,194.046,2823
2020-07-15,195.63,195.63,191.14,192.8,552897.0,192.779,4276
2020-07-16,192.39,194.74,188.28,188.38,361347.0,189.726,2818
2020-07-17,188.7,192.98,187.35,192.3,364599.0,190.816,2790
2020-07-20,192.3,192.52,187.76,187.79,225953.0,188.88,1933
2020-07-21,189.18,189.48,186.71,186.84,313445.0,188.055,2492
2020-07-22,185.27,189.2,184.2,188.31,417531.0,187.647,3409
2020-07-23,188.9,190.0,185.42,187.02,275054.0,187.293,2291
2020-07-24,187.7,188.24,185.06,185.36,286343.0,185.713,2501
2020-07-27,185.33,186.7,183.22,185.57,267457.0,185.457,2234
2020-07-28,185.96,193.91,185.96,193.87,496970.0,191.604,4150
2020-07-29,194.17,197.88,192.67,196.84,427186.0,195.077,3580
2020-07-30,194.72,198.32,193.75,197.71,622760.0,196.549,4506
2020-07-31,197.03,200.0,193.56,199.88,713634.0,197.292,5406
2020-08-03,198.84,199.0,195.49,195.84,369527.0,196.695,2990
2020-08-04,196.56,202.0,196.05,201.38,568768.0,200.073,4094
2020-08-05,201.78,201.98,195.89,196.97,570169.0,197.453,4290
2020-08-06,192.98,196.45,186.23,196.08,957456.0,193.359,6466
2020-08-07,194.61,201.86,194.61,199.25,647085.0,199.734,4608
2020-08-10,200.1,203.8,199.66,202.49,308003.0,202.254,2575
2020-08-11,204.18,204.46,197.61,198.99,371087.0,199.725,2917
2020-08-12,199.53,200.09,195.26,198.38,287813.0,197.705,2315
2020-08-13,197.45,199.78,196.41,197.3,320197.0,197.269,2257
2020-08-14,197.56,202.88,197.56,200.24,375414.0,201.03,3038
2020-08-17,199.07,200.16,197.45,200.02,314648.0,199.185,2064
2020-08-18,200.03,202.25,198.28,200.94,340351.0,200.683,2882
2020-08-19,201.76,201.76,196.43,197.43,391354.0,197.753,3242
2020-08-20,197.16,203.42,197.06,203.26,315417.0,202.035,2480
