date,open,high,low,close,volume,average,barCount
2020-07-13,93.31,94.13,91.2,91.33,5041063.0,92.941,31117
2020-07-14,90.83,92.62,89.2,92.38,3877182.0,91.315,25011
2020-07-15,92.92,92.93,91.01,92.55,3334583.0,92.157,20729
2020-07-16,91.19,91.75,90.68,91.2,4142551.0,91.253,23782
2020-07-17,91.68,92.46,91.0,92.23,3139802.0,91.969,17668
2020-07-20,92.2,93.27,91.3,93.17,3115343.0,92.353,18418
2020-07-21,93.55,93.85,91.81,92.31,4760830.0,92.439,27126
2020-07-22,92.74,93.29,91.67,92.6,3042467.0,92.444,18978
2020-07-23,92.88,92.97,89.22,89.67,6426164.0,90.641,36924
2020-07-24,89.06,90.29,87.51,88.89,6259286.0,89.225,38456
2020-07-27,89.93,92.84,89.26,92.7,5635441.0,91.384,31170
2020-07-28,92.19,92.59,90.57,91.45,4155753.0,91.68,24909
2020-07-29,92.23,93.62,91.74,93.03,5466519.0,92.801,30087
2020-07-30,102.41,107.69,100.7,107.19,34710096.0,104.841,159493
2020-07-31,105.72,107.76,104.51,105.61,12778446.0,105.648,68325
2020-08-03,107.4,113.0,107.03,109.59,15281837.0,110.507,69934
2020-08-04,109.63,111.02,108.66,110.95,7791913.0,110.12,37981
2020-08-05,111.01,112.46,110.08,111.39,5393805.0,111.286,28513
2020-08-06,111.23,111.36,109.93,111.06,4738921.0,110.822,25252
2020-08-07,110.01,111.05,106.0,108.25,8060296.0,108.107,45764
2020-08-10,108.6,108.99,105.72,106.36,5395337.0,106.713,31476
2020-08-11,106.2,112.01,104.74,108.83,14617447.0,109.8,76318
2020-08-12,110.62,116.25,109.65,115.79,14800139.0,113.738,75729
2020-08-13,116.0,116.22,112.77,113.41,7679540.0,114.174,42739
2020-08-14,113.31,114.52,112.57,113.74,4894986.0,113.597,25746
2020-08-17,113.3,114.49,110.63,112.18,7770976.0,112.216,45167
2020-08-18,112.91,113.38,111.52,112.03,4412397.0,112.322,26793
