date,open,high,low,close,volume,average,barCount
2020-07-13,52.09,52.9,49.36,49.54,11694964.0,50.756,45157
2020-07-14,48.72,48.72,47.14,48.15,8351526.0,47.949,33965
2020-07-15,51.61,58.68,51.35,58.36,29372733.0,55.924,116838
2020-07-16,55.41,56.15,53.75,53.94,13747439.0,54.721,55835
2020-07-17,52.11,54.37,51.5,53.14,9213021.0,53.136,35091
2020-07-20,53.82,54.78,51.97,52.4,6189496.0,52.825,27797
2020-07-21,52.9,53.97,51.96,52.8,7561957.0,52.999,31300
2020-07-22,52.06,52.67,51.38,51.45,5729899.0,51.919,23856
2020-07-23,50.5,51.43,49.4,50.45,9716139.0,50.259,42293
2020-07-24,50.0,52.42,49.6,50.83,6055772.0,50.954,26408
2020-07-27,50.53,50.59,48.22,49.3,6038552.0,49.327,27036
2020-07-28,49.33,51.99,49.25,50.83,8913419.0,50.861,33802
2020-07-29,51.16,51.44,49.62,51.0,4057535.0,50.516,17211
2020-07-30,50.2,50.69,49.1,50.3,4655678.0,50.02,19975
2020-07-31,50.02,50.3,47.88,48.71,6189665.0,48.618,26859
2020-08-03,47.58,47.95,45.71,47.39,7792679.0,46.892,32196
2020-08-04,47.26,50.09,47.15,49.13,6501243.0,49.22,26309
2020-08-05,50.56,50.85,48.38,49.53,8255444.0,49.276,34556
2020-08-06,48.9,51.58,48.55,51.1,7298284.0,50.711,33305
2020-08-07,50.71,52.33,49.46,52.1,7129095.0,51.377,27992
2020-08-10,51.1,58.26,51.1,57.31,17620267.0,56.263,68203
2020-08-11,61.48,62.19,58.29,58.67,15458059.0,60.074,59051
2020-08-12,60.52,60.77,55.03,57.19,11012439.0,56.744,39508
2020-08-13,56.71,59.65,56.39,58.5,7401414.0,58.392,27860
2020-08-14,57.93,60.75,57.6,60.5,8158941.0,59.789,30504
2020-08-17,60.35,60.55,58.56,60.29,6837494.0,59.737,24928
2020-08-18,60.0,60.58,58.71,60.4,6812944.0,59.655,28022
2020-08-19,60.21,64.15,60.04,61.09,9132297.0,62.344,34916
2020-08-20,59.96,61.76,59.27,61.53,4521726.0,60.942,16198
2020-08-21,61.51,63.03,61.29,61.53,5084155.0,62.197,19965
2020-08-24,63.1,65.2,61.2,64.43,10736336.0,63.604,46348
2020-08-25,64.58,65.09,62.7,64.07,6639847.0,63.661,28627
2020-08-26,63.72,64.08,61.89,62.84,4785276.0,62.867,19606
2020-08-27,64.04,67.57,63.97,66.6,8569111.0,66.394,35845
2020-08-28,67.81,71.25,66.64,70.12,12107083.0,69.239,50106
2020-08-31,70.13,71.55,68.2,68.84,6189479.0,70.078,28376
2020-09-01,66.99,69.17,65.67,68.51,4990170.0,68.03,21927
2020-09-02,69.24,69.24,66.73,68.37,5164798.0,67.787,23388
2020-09-03,71.1,74.44,68.93,70.2,10857183.0,71.821,48632
2020-09-04,72.47,73.12,68.58,71.95,6613252.0,71.004,28415
2020-09-08,70.02,73.5,69.55,71.51,5730084.0,72.107,23904
2020-09-09,70.62,70.8,67.61,70.11,5512081.0,69.39,25773
2020-09-10,70.73,74.07,70.09,70.14,4995837.0,71.874,22165
2020-09-11,70.49,70.58,68.15,69.34,3228139.0,69.32,15170
2020-09-14,70.33,71.19,69.36,70.94,3805452.0,70.337,17986
2020-09-15,70.69,70.84,66.94,67.69,7000045.0,68.211,33699
2020-09-16,67.66,71.25,67.0,69.61,5398180.0,69.276,24369
2020-09-17,68.05,70.42,67.51,68.75,4276407.0,69.02,18395
2020-09-18,68.5,69.08,64.52,65.45,7211526.0,66.148,31259
2020-09-21,62.09,62.62,59.11,60.71,7052348.0,60.596,33535
2020-09-22,61.01,63.06,60.66,62.37,4089127.0,61.857,18157
2020-09-23,63.02,65.1,61.17,61.24,4368495.0,62.848,19962
2020-09-24,60.64,61.24,58.27,59.97,5393401.0,59.661,22372
2020-09-25,63.22,64.91,61.78,64.59,6487762.0,63.45,27069
2020-09-28,66.13,66.83,63.32,66.09,4697316.0,65.44,20711
