date,open,high,low,close,volume,average,barCount
2020-07-13,43.39,43.75,42.19,42.59,601470.0,42.883,4648
2020-07-14,43.17,43.19,41.72,42.07,742477.0,42.316,5729
2020-07-15,43.28,43.77,42.38,42.97,817406.0,42.787,6125
2020-07-16,42.53,42.94,41.91,42.1,488536.0,42.287,3640
2020-07-17,42.44,42.44,41.63,41.7,496667.0,41.957,3470
2020-07-20,41.65,41.89,40.67,41.17,907908.0,41.109,6159
2020-07-21,40.89,41.69,40.36,40.58,948500.0,40.927,7294
2020-07-22,40.46,41.55,40.05,41.37,706864.0,41.244,6326
2020-07-23,41.05,41.46,39.85,40.43,588377.0,40.383,4806
2020-07-24,40.48,40.79,39.85,39.96,664857.0,40.217,5580
2020-07-27,39.05,40.03,38.48,39.91,834815.0,39.423,6966
2020-07-28,39.65,42.31,39.49,41.75,911376.0,41.52,6895
2020-07-29,42.24,42.47,41.08,42.11,681153.0,41.722,5536
2020-07-30,41.14,42.06,40.33,41.81,581696.0,41.557,4752
2020-07-31,41.68,41.68,40.1,41.03,796167.0,40.756,5606
2020-08-03,40.57,40.91,39.74,40.59,813994.0,40.581,4797
2020-08-04,40.77,41.27,39.43,41.06,840921.0,40.721,6983
2020-08-05,41.65,41.98,40.81,40.98,406743.0,41.047,3338
2020-08-06,40.36,41.75,40.22,40.96,417031.0,40.988,3254
2020-08-07,40.43,41.7,40.18,41.65,431225.0,41.263,3243
2020-08-10,41.78,43.74,41.51,42.87,707173.0,42.897,5801
2020-08-11,43.65,44.82,43.31,43.5,832457.0,43.945,6082
2020-08-12,43.96,44.24,42.78,43.67,583559.0,43.364,4297
2020-08-13,42.92,43.34,42.21,42.49,763276.0,42.687,4699
2020-08-14,42.4,43.48,42.03,42.88,591366.0,42.924,4469
2020-08-17,42.42,43.02,42.14,42.72,244265.0,42.695,2045
2020-08-18,42.9,42.9,41.28,41.82,307567.0,41.751,2579
2020-08-19,41.33,41.7,40.15,40.2,428184.0,40.599,3541
2020-08-20,40.2,41.48,40.0,41.15,652608.0,41.096,5235
2020-08-21,41.07,41.31,40.13,40.46,319031.0,40.484,2374
2020-08-24,40.47,41.31,39.9,41.05,517734.0,40.807,3969
2020-08-25,41.4,41.59,40.22,40.95,417342.0,40.757,2947
2020-08-26,41.05,41.19,39.88,40.1,448828.0,40.232,3314
2020-08-27,40.63,41.31,40.54,40.65,478713.0,40.804,3615
2020-08-28,40.65,40.66,39.56,40.44,722588.0,40.23,5336
2020-08-31,40.6,40.6,39.35,39.71,654872.0,39.73,4869
2020-09-01,39.32,39.62,38.88,39.4,663817.0,39.429,4903
2020-09-02,39.48,41.13,39.09,41.03,1653681.0,40.397,4605
2020-09-03,41.12,42.23,40.71,41.23,777634.0,41.2,5988
