date,open,high,low,close,volume,average,barCount
2020-07-13,31.1,31.26,30.57,30.67,742563.0,30.92,2763
2020-07-14,30.63,30.89,30.01,30.69,675616.5,30.53333333333333,2450
2020-07-15,31.67,32.32,31.18,32.06,892179.0,31.92933333333333,3274
2020-07-16,31.73,32.87,31.47,32.33,1064837.25,32.37511111111111,4018
2020-07-17,32.41,32.41,31.48,31.49,1186161.75,31.844,3106
2020-07-20,31.25,31.54,31.05,31.25,669946.5,31.25555555555555,1904
2020-07-21,31.38,32.5,31.38,32.45,591896.25,32.29466666666667,2120
2020-07-22,32.09,32.66,31.94,32.19,963391.5,32.22666666666667,3397
2020-07-23,31.86,32.57,31.86,32.11,1438449.75,32.152,4404
2020-07-24,32.18,32.48,31.81,32.05,816117.75,32.13644444444445,2622
2020-07-27,32.0,32.02,31.19,31.64,919948.5,31.69511111111111,2762
2020-07-28,31.42,31.74,30.98,31.12,887591.25,31.19555555555555,2930
2020-07-29,31.17,31.78,30.99,31.78,899635.5,31.49955555555555,3239
2020-07-30,31.12,31.12,30.23,30.7,2086400.25,30.69822222222222,7157
2020-07-31,30.77,31.11,30.32,30.88,939937.5,30.67244444444445,3344
2020-08-03,31.08,32.12,30.87,31.76,913972.5,31.736,3394
2020-08-04,31.59,31.85,31.03,31.52,751601.25,31.41333333333333,2773
2020-08-05,31.85,32.19,31.7,32.08,579856.5,31.99644444444445,2120
2020-08-06,31.97,32.17,31.63,31.98,619020.0,31.92711111111111,2381
2020-08-07,31.72,33.3,31.72,33.24,1794467.25,32.79733333333333,3967
2020-08-10,33.3,33.99,33.09,33.76,855969.75,33.61066666666667,3225
2020-08-11,34.4,34.86,33.67,33.73,1048504.5,34.23155555555555,3911
2020-08-12,34.28,34.59,33.37,33.92,760524.75,33.832,2841
2020-08-13,33.44,33.8,33.24,33.37,457733.25,33.44266666666667,1803
2020-08-14,33.08,34.04,32.97,33.77,480397.5,33.75377777777778,1804
2020-08-17,33.6,33.81,33.12,33.44,592652.25,33.44444444444445,2093
2020-08-18,33.37,33.54,33.04,33.28,569126.25,33.33955555555555,1905
2020-08-19,33.2,34.03,33.15,33.27,646058.25,33.50311111111111,2400
2020-08-20,32.75,33.04,32.43,32.76,582525.0,32.76355555555555,2069
2020-08-21,32.78,33.07,32.61,32.76,366095.25,32.75822222222222,1236
2020-08-24,32.96,33.99,32.81,33.99,640671.75,33.712,2260
2020-08-25,34.4,34.4,33.82,34.2,940830.75,34.09866666666667,3075
2020-08-26,34.04,34.2,33.4,33.42,801625.5,33.65955555555555,3022
2020-08-27,33.42,34.4,33.4,34.11,566505.0,34.16711111111111,2119
2020-08-28,34.36,34.36,33.66,34.1,623625.75,33.964,2162
2020-08-31,34.12,34.22,33.59,33.65,642600.0,33.77111111111111,2439
2020-09-01,33.41,33.84,33.15,33.56,1149493.5,33.47866666666667,3556
2020-09-02,33.59,34.35,33.34,34.19,643304.25,34.028,2495
2020-09-03,34.45,35.05,33.56,33.82,748282.5,34.00577777777778,2720
2020-09-04,34.52,34.89,33.6,34.05,722772.0,34.16177777777778,2827
2020-09-08,33.69,33.72,32.53,32.58,1050594.75,32.85377777777778,4168
2020-09-09,32.86,32.93,32.41,32.69,999470.25,32.72933333333333,3822
2020-09-10,32.84,33.0,32.35,32.42,1437878.25,32.58311111111111,4172
2020-09-11,32.57,33.09,32.48,32.72,1013926.5,32.81733333333333,3720
2020-09-14,32.98,34.08,32.98,33.77,999036.0,33.784,3253
2020-09-15,33.65,33.65,32.64,33.04,893115.0,33.05377777777778,3168
2020-09-16,33.3,34.0,33.02,33.2,1606254.75,33.59066666666667,6014
2020-09-17,32.82,32.95,32.45,32.78,1165603.5,32.75022222222222,4181
2020-09-18,32.56,32.91,32.41,32.43,1393600.5,32.60577777777778,3691
2020-09-21,31.62,31.96,30.86,31.29,1039767.75,31.22088888888889,4005
2020-09-22,31.25,31.72,30.8,31.22,596112.75,31.10533333333333,2152
2020-09-23,31.28,31.72,30.67,30.71,894033.0,31.08933333333333,3211
2020-09-24,30.78,31.37,30.07,30.92,1549563.75,30.90977777777778,5079
2020-09-25,30.67,31.58,30.64,31.46,842105.25,31.30044444444445,3077
2020-09-28,31.97,32.66,31.87,32.31,894089.25,32.42444444444445,3503
2020-09-29,32.22,32.43,31.9,32.13,772391.25,32.20311111111111,3010
2020-09-30,32.06,32.69,32.0,32.34,915664.5,32.37733333333333,3320
2020-10-01,32.64,32.89,31.75,32.31,929553.75,32.2,3139
2020-10-02,31.79,33.41,31.68,33.12,890651.25,32.91377777777778,3368
2020-10-05,33.51,34.02,33.49,33.85,756789.75,33.81333333333333,2526
2020-10-06,34.12,34.26,33.18,33.37,634702.5,33.76577777777778,2330
2020-10-07,33.77,34.39,33.71,34.08,726142.5,34.06222222222222,2594
2020-10-08,34.32,34.85,34.14,34.78,507366.0,34.616,1784
2020-10-09,35.19,35.2,34.46,34.79,439175.25,34.87955555555555,1594
2020-10-12,34.92,35.67,34.76,35.57,677542.5,35.45244444444445,2359
2020-10-13,35.36,35.66,34.52,34.55,502287.75,34.87377777777778,1703
2020-10-14,34.55,35.29,34.52,34.62,815411.25,34.91333333333333,2466
2020-10-15,34.22,35.32,34.0,35.29,541458.0,34.992,1873
2020-10-16,35.31,35.7,35.1,35.43,529848.0,35.45155555555555,1519
2020-10-19,35.6,35.73,34.85,34.91,395523.0,35.21733333333333,1446
2020-10-20,35.32,35.77,35.01,35.03,430553.25,35.30711111111111,1611
2020-10-21,35.0,35.5,34.84,34.93,377118.0,35.104,1362
2020-10-22,34.89,35.81,34.63,35.76,730264.5,35.344,2079
2020-10-23,36.0,36.14,35.69,36.05,461857.5,35.93333333333333,1626
2020-10-26,35.5,35.52,35.03,35.47,608868.0,35.29244444444445,2178
2020-10-27,35.33,35.54,34.74,34.77,523091.25,35.072,1857
2020-10-28,34.04,34.15,33.12,33.43,1273630.5,33.51111111111111,4233
2020-10-29,33.41,33.95,32.57,33.58,1170969.75,33.56311111111111,4116
2020-10-30,33.46,34.15,33.33,33.97,661432.5,33.72577777777778,2396
2020-11-02,34.54,35.04,34.16,34.87,783366.75,34.72888888888889,2799
2020-11-03,35.62,35.97,35.37,35.55,832482.0,35.66711111111111,2736
2020-11-04,34.78,35.22,33.8,34.26,828888.75,34.632,3036
2020-11-05,34.47,35.84,34.47,35.4,601731.0,35.44933333333333,2092
2020-11-06,35.51,35.7,34.3,34.45,611181.0,34.67244444444445,2157
2020-11-09,37.48,38.8,37.29,38.04,2126616.75,38.09866666666667,5888
2020-11-10,38.3,38.36,37.82,38.14,833886.0,38.10977777777778,2652
2020-11-11,38.53,38.54,37.58,37.68,1662603.75,37.88622222222222,3416
2020-11-12,37.23,37.56,36.34,36.8,871695.0,36.87822222222222,2994
2020-11-13,37.2,38.18,37.16,37.89,654176.25,37.77244444444445,2176
2020-11-16,39.1,39.1,38.07,38.99,846648.0,38.70044444444445,3005
2020-11-17,38.85,39.98,38.13,39.75,1044175.5,39.52666666666667,3480
2020-11-18,39.82,40.54,39.57,39.59,953262.0,40.16577777777778,3323
2020-11-19,39.13,39.84,38.75,39.64,1059531.75,39.39555555555555,3520
2020-11-20,39.44,39.57,39.02,39.34,545134.5,39.33022222222222,1689
2020-11-23,39.96,40.35,39.67,40.21,748066.5,40.06888888888889,2228
2020-11-24,40.92,41.8,40.74,41.76,544443.75,41.46488888888889,1833
2020-11-25,41.38,41.65,40.96,41.55,504495.0,41.38933333333333,1610
2020-11-27,41.69,41.78,41.15,41.2,215318.25,41.34222222222222,624
2020-11-30,41.04,41.25,40.26,40.42,704373.75,40.67288888888889,2125
2020-12-01,41.38,41.67,40.87,41.33,732874.5,41.20266666666667,2435
2020-12-02,41.09,42.11,40.96,42.09,530041.5,41.79111111111111,1897
2020-12-03,41.93,42.3,41.64,41.93,943121.25,42.02444444444445,3183
2020-12-04,42.46,43.05,42.32,42.59,581359.5,42.66977777777778,1925
2020-12-07,42.07,42.24,41.69,42.0,389664.0,41.95466666666667,1386
2020-12-08,41.44,41.89,41.02,41.3,1980306.0,41.29022222222222,4001
2020-12-09,41.36,41.47,40.8,41.14,1690985.25,41.18755555555555,3643
2020-12-10,40.73,41.27,40.56,41.18,1819536.75,40.87644444444445,3259
2020-12-11,40.68,41.2,40.37,41.04,748642.5,40.94755555555555,2777
2020-12-14,41.85,41.92,40.6,40.65,1328908.5,41.064,4955
2020-12-15,41.13,41.66,40.44,41.55,1166760.0,41.05866666666667,4288
2020-12-16,41.77,41.77,41.26,41.49,748903.5,41.53422222222222,2343
2020-12-17,41.52,42.15,41.08,42.12,953554.5,41.83777777777778,3465
2020-12-18,42.05,42.19,41.34,41.72,1006200.0,41.69955555555555,2861
2020-12-21,41.81,41.9,40.87,41.76,703797.75,41.54755555555555,2194
2020-12-22,41.9,41.92,41.52,41.66,537462.0,41.75244444444445,1671
2020-12-23,41.94,42.48,41.73,41.8,878967.0,42.09644444444445,2926
2020-12-24,42.12,42.12,41.12,41.3,343701.0,41.352,984
2020-12-28,41.58,42.46,41.52,42.12,662355.0,42.19377777777778,1945
2020-12-29,42.24,42.58,41.61,41.77,352770.75,41.82311111111111,1304
2020-12-30,41.88,42.28,41.85,41.88,397977.75,41.99288888888889,1383
2020-12-31,41.94,42.58,41.77,42.52,356748.75,42.31733333333333,1207
2021-01-04,42.5,42.5,41.35,41.79,687915.0,41.83066666666667,2343
2021-01-05,42.69,42.69,41.6,41.96,932649.75,42.05866666666667,3075
2021-01-06,42.73,44.85,42.36,44.44,1505918.25,44.21644444444445,4782
2021-01-07,45.08,45.76,44.8,45.21,1052982.0,45.22488888888889,3383
2021-01-08,45.29,45.55,44.67,45.33,786321.0,45.17155555555555,2564
2021-01-11,44.92,46.19,44.68,45.92,675630.0,45.69911111111111,2244
2021-01-12,45.96,46.75,45.92,46.01,1033569.0,46.22488888888889,3044
2021-01-13,45.77,45.95,44.82,45.28,974070.0,45.19333333333333,3362
2021-01-14,45.46,45.88,45.31,45.64,675292.5,45.61911111111111,2252
2021-01-15,45.38,46.11,45.12,45.75,783051.75,45.58488888888889,2466
2021-01-19,45.92,46.45,45.7,46.16,913043.25,46.15377777777778,2905
2021-01-20,46.06,46.28,45.65,45.99,805862.25,45.92133333333333,2918
2021-01-21,46.04,46.29,45.51,45.6,582417.0,45.79333333333333,2030
2021-01-22,45.04,45.44,45.0,45.35,591534.0,45.24444444444445,2082
2021-01-25,44.8,45.49,44.27,44.52,1137048.75,44.62088888888889,3274
2021-01-26,44.84,44.88,43.8,43.84,677922.75,44.308,2349
2021-01-27,43.23,43.36,41.96,42.4,1343270.25,42.57066666666667,5148
2021-01-28,42.91,44.86,42.86,44.27,1922046.75,44.156,7328
2021-01-29,44.46,45.39,43.82,44.41,1886501.25,44.60933333333333,6499
2021-02-01,44.66,45.77,44.65,45.52,1190641.5,45.368,4076
2021-02-02,46.18,46.8,45.99,46.6,964428.75,46.52177777777778,3041
2021-02-03,46.33,47.11,46.19,46.9,976135.5,46.84177777777778,2860
2021-02-04,46.94,48.22,46.94,47.95,753691.5,47.84577777777778,2471
2021-02-05,48.36,48.74,47.88,48.63,724041.0,48.47911111111111,2374
2021-02-08,48.89,49.27,48.85,48.99,908572.5,48.992,2912
2021-02-09,48.89,49.71,48.44,49.26,1194045.75,49.22488888888889,3022
2021-02-10,49.49,50.46,49.18,50.09,1159663.5,49.93466666666667,3575
2021-02-11,50.18,50.43,49.2,50.42,814824.0,49.99555555555555,2270
2021-02-12,50.41,51.48,50.24,50.72,872757.0,50.81555555555555,2720
2021-02-16,51.12,52.44,50.96,52.21,1003837.5,52.08044444444445,3599
2021-02-17,51.94,52.3,51.36,51.96,774884.25,51.77466666666667,2743
2021-02-18,51.56,52.24,51.03,51.65,1272892.5,51.63911111111111,4380
2021-02-19,51.85,52.74,51.67,52.56,1155579.75,52.108,3585
2021-02-22,52.33,53.18,52.16,53.12,890239.5,52.90977777777778,2865
2021-02-23,53.35,53.35,52.56,52.86,1528827.75,52.98711111111111,4094
2021-02-24,53.17,54.53,52.8,54.51,1177677.0,54.04355555555555,3948
2021-02-25,54.8,55.12,53.18,53.52,1673181.0,54.04311111111111,5618
2021-02-26,53.16,53.62,51.84,51.88,1060589.25,52.38666666666667,3814
2021-03-01,52.98,54.36,52.93,53.79,729195.75,53.756,2459
2021-03-02,53.68,53.73,52.52,52.56,937593.0,52.94088888888889,3127
2021-03-03,52.9,53.72,52.56,52.72,1119480.75,53.04666666666667,3217
2021-03-04,52.6,52.96,50.83,51.86,894325.5,51.95688888888889,3126
2021-03-05,52.89,53.07,50.6,52.25,1251416.25,51.888,4358
2021-03-08,52.84,53.21,52.18,52.27,1184703.75,52.69911111111111,4268
2021-03-09,52.0,52.46,50.93,51.7,1274692.5,52.01555555555555,4191
2021-03-10,52.12,52.45,51.72,52.19,1570027.5,52.13155555555555,4813
2021-03-11,51.88,52.81,51.48,52.34,787504.5,52.40577777777778,2736
2021-03-12,53.02,53.42,52.33,53.22,1148656.5,52.91511111111111,2923
2021-03-15,53.3,53.51,52.52,53.46,1257009.75,53.14844444444445,3284
2021-03-16,52.99,53.19,52.51,52.84,1124118.0,52.84177777777778,3750
2021-03-17,53.33,53.94,52.96,53.46,587533.5,53.35377777777778,2221
2021-03-18,54.2,54.75,53.14,53.48,1960481.25,53.99955555555555,6444
2021-03-19,52.84,53.42,52.31,53.2,1430460.0,53.05511111111111,4077
2021-03-22,53.13,53.59,52.38,53.14,855760.5,53.13733333333333,3013
2021-03-23,52.8,53.35,51.88,52.44,1854099.0,52.60933333333333,6032
2021-03-24,52.94,53.85,52.69,52.69,1263114.0,53.26933333333333,4536
2021-03-25,52.62,54.09,52.12,53.88,910849.5,53.12622222222222,3468
2021-03-26,54.49,54.96,53.95,54.93,819576.0,54.49644444444445,3088
2021-03-29,54.15,54.63,53.34,53.93,725937.75,53.90711111111111,2743
2021-03-30,54.23,54.92,54.05,54.57,612967.5,54.59377777777778,2244
2021-03-31,54.44,55.34,54.32,54.47,831395.25,54.76533333333333,2735
2021-04-01,54.39,56.26,54.39,56.23,996743.25,55.70177777777778,3193
2021-04-05,56.82,57.6,56.61,57.29,962381.25,57.19911111111111,3125
2021-04-06,56.94,57.39,56.21,56.59,883613.25,56.64266666666667,2805
2021-04-07,56.72,56.84,56.24,56.58,795678.75,56.44355555555555,2610
2021-04-08,56.35,56.56,55.35,55.94,1266471.0,55.81244444444445,3957
2021-04-09,56.65,56.85,55.73,56.46,1825872.75,56.13066666666667,5184
2021-04-12,56.73,57.08,56.58,56.98,920567.25,56.80177777777778,3012
2021-04-13,56.92,56.92,56.05,56.38,525971.25,56.40444444444445,1797
2021-04-14,56.58,58.22,56.52,57.49,903066.75,57.60711111111111,2977
2021-04-15,57.63,58.04,56.92,57.78,533918.25,57.60088888888889,1827
2021-04-16,58.21,58.36,57.18,57.67,583202.25,57.72311111111111,1747
2021-04-19,57.35,58.05,57.05,57.52,532345.5,57.416,1824
2021-04-20,57.05,57.13,55.8,56.32,557905.5,56.22533333333333,1952
2021-04-21,56.22,56.7,55.82,56.51,992346.75,56.48488888888889,3303
2021-04-22,56.64,56.98,55.91,56.2,654531.75,56.34755555555555,2281
2021-04-23,56.08,57.8,56.08,57.58,386563.5,57.36977777777778,1353
2021-04-26,58.03,58.42,57.55,57.74,470533.5,57.85866666666667,1313
2021-04-27,57.74,58.06,57.43,58.06,338170.5,57.78444444444445,1170
2021-04-28,58.18,58.8,58.0,58.3,693636.75,58.35911111111111,2472
2021-04-29,58.6,58.92,57.41,58.7,882987.75,58.35466666666667,3235
2021-04-30,58.43,58.43,57.51,58.12,734449.5,58.00222222222222,2717
2021-05-03,58.99,59.2,58.12,58.61,784149.75,58.66666666666667,2546
2021-05-04,58.46,58.97,57.6,58.9,463574.25,58.60177777777778,1612
2021-05-05,59.33,60.16,58.54,59.98,376600.5,59.75777777777778,1359
2021-05-06,60.24,60.65,59.59,60.64,444228.75,60.08177777777778,1487
2021-05-07,59.8,60.79,59.5,60.73,593700.75,60.35155555555555,1899
2021-05-10,61.04,61.58,60.01,60.02,568323.0,60.88711111111111,2010
2021-05-11,59.74,60.3,58.92,59.23,502969.5,59.27733333333333,1784
2021-05-12,59.4,59.87,57.28,57.49,652209.75,58.05866666666667,2202
