date,open,high,low,close,volume,average,barCount
2020-07-13,68.86,70.79,66.55,69.68,717729.0,69.196,5366
2020-07-14,69.0,70.64,67.82,69.96,360327.0,69.568,2791
2020-07-15,72.35,74.62,71.74,74.19,953932.0,73.64,5585
2020-07-16,73.18,75.21,72.66,74.6,536243.0,74.479,3807
2020-07-17,74.99,75.0,72.83,73.31,484047.0,73.583,3767
2020-07-20,72.28,73.76,70.67,71.3,573801.0,71.694,4434
2020-07-21,72.0,73.45,71.31,71.56,517321.0,72.186,4145
2020-07-22,71.0,72.23,70.28,71.36,440686.0,71.311,3650
2020-07-23,70.86,73.07,70.86,71.65,392900.0,71.755,3127
2020-07-24,72.0,73.13,71.39,71.45,414006.0,72.109,3264
2020-07-27,71.05,71.78,69.9,71.61,472144.0,71.233,3745
2020-07-28,71.36,72.57,71.15,71.4,332117.0,71.827,2657
2020-07-29,71.18,72.86,71.13,72.73,391967.0,72.212,2969
2020-07-30,71.23,71.54,69.38,71.08,512216.0,70.74,3762
2020-07-31,70.85,71.85,69.73,71.3,687313.0,70.722,5379
2020-08-03,71.3,71.3,68.65,69.72,750319.0,69.521,5183
2020-08-04,65.43,67.25,63.9,66.68,3497218.0,65.374,20776
2020-08-05,67.28,69.63,66.72,68.51,1110737.0,68.242,8308
2020-08-06,68.35,68.85,64.7,64.89,2189485.0,65.53,14101
2020-08-07,65.05,66.39,64.08,65.96,1525262.0,65.366,10015
2020-08-10,66.7,69.41,66.6,68.68,1184451.0,68.572,8270
2020-08-11,70.47,72.22,70.08,70.21,1165817.0,71.093,8409
2020-08-12,71.1,71.48,67.93,69.81,758104.0,69.103,4798
2020-08-13,70.04,70.37,69.09,70.13,621370.0,69.863,5195
2020-08-14,69.44,71.27,68.05,70.66,798931.0,70.293,5531
2020-08-17,70.72,70.96,68.53,70.9,523748.0,70.258,3604
2020-08-18,70.7,70.7,68.42,68.5,764161.0,69.301,5902
2020-08-19,67.82,69.52,67.42,67.55,489177.0,68.207,3794
2020-08-20,67.24,68.0,66.53,67.27,510655.0,67.274,3842
2020-08-21,67.39,67.79,66.26,67.05,507015.0,66.832,3448
2020-08-24,67.2,70.42,66.74,70.25,579037.0,69.329,3927
2020-08-25,70.87,70.9,68.75,69.12,646447.0,69.425,4196
2020-08-26,69.12,69.35,67.57,67.65,821676.0,68.093,6005
2020-08-27,68.1,69.75,67.7,68.24,713833.0,68.443,5039
2020-08-28,68.63,71.28,68.35,71.19,667902.0,70.133,5102
2020-08-31,70.79,70.88,68.4,68.83,656512.0,69.041,4906
2020-09-01,68.31,69.29,67.69,69.17,605032.0,68.815,4755
2020-09-02,69.99,71.75,69.61,71.59,886167.0,70.831,6528
2020-09-03,72.36,74.62,71.93,74.15,1605499.0,73.613,12191
2020-09-04,74.34,75.08,72.69,74.05,1108637.0,74.203,7638
2020-09-08,73.22,76.08,72.61,75.06,858746.0,74.815,7018
2020-09-09,74.55,74.65,72.69,73.51,730918.0,73.643,4340
2020-09-10,74.09,76.5,73.78,75.51,664807.0,75.514,5211
2020-09-11,76.07,76.24,74.82,76.16,694064.0,75.687,5567
2020-09-14,76.87,80.88,76.63,80.59,1251256.0,79.601,9165
2020-09-15,80.22,81.55,79.24,80.62,941884.0,80.681,6543
2020-09-16,81.5,82.83,81.24,81.27,583035.0,81.952,4599
2020-09-17,80.37,81.39,77.92,78.76,663610.0,79.254,4936
2020-09-18,77.84,78.89,74.13,75.83,1240770.0,75.673,8372
2020-09-21,73.83,74.02,70.92,71.17,1140006.0,71.542,9366
2020-09-22,72.0,75.14,70.75,75.04,1449231.0,73.47,10702
2020-09-23,76.41,77.12,71.8,72.01,863561.0,73.662,6299
2020-09-24,71.91,72.42,69.5,71.66,1101785.0,71.069,8656
2020-09-25,71.62,72.0,70.52,71.07,879496.0,71.314,5625
2020-09-28,72.59,72.72,70.29,70.44,940998.0,70.921,5961
2020-09-29,70.06,70.06,67.3,67.34,841274.0,68.227,6068
2020-09-30,67.65,68.72,67.11,67.97,1130072.0,67.901,7478
2020-10-01,68.75,69.82,67.76,69.12,929271.0,68.626,6095
2020-10-02,67.16,70.17,66.85,69.93,1067612.0,69.179,6997
2020-10-05,70.88,72.58,70.85,71.8,755517.0,71.65,5769
2020-10-06,72.86,72.97,69.12,69.28,937461.0,71.041,6635
2020-10-07,70.0,72.19,70.0,71.78,1056311.0,71.396,6876
2020-10-08,72.53,74.38,72.0,74.33,896212.0,73.485,6397
2020-10-09,75.0,75.18,71.53,73.89,969749.0,73.202,7076
2020-10-12,72.96,75.22,72.62,73.64,665869.0,74.058,4585
2020-10-13,73.21,74.1,71.32,72.25,623588.0,72.338,4762
2020-10-14,72.26,73.88,72.06,72.97,793084.0,73.05,5382
2020-10-15,71.85,75.76,71.13,75.75,875640.0,74.212,5449
2020-10-16,76.0,76.19,74.73,74.79,633216.0,75.445,4734
2020-10-19,74.99,75.99,74.09,74.36,515965.0,74.898,4138
2020-10-20,75.2,76.1,73.37,73.51,518931.0,74.438,4211
2020-10-21,73.24,75.2,72.65,75.01,474841.0,74.616,3831
2020-10-22,75.43,77.48,75.07,77.11,802377.0,76.357,4231
2020-10-23,77.26,78.01,76.66,77.39,1068733.0,77.314,7875
2020-10-26,76.63,77.47,75.06,76.8,831922.0,76.341,6166
2020-10-27,76.09,77.34,74.09,74.47,756344.0,75.199,6173
2020-10-28,72.95,75.1,72.16,74.3,1389639.0,74.006,10595
2020-10-29,73.98,73.98,67.5,70.58,2919791.0,70.047,18894
2020-10-30,70.18,70.34,65.2,66.85,2137748.0,66.671,12909
2020-11-02,67.43,69.34,66.7,67.43,1093062.0,67.985,6535
2020-11-03,68.25,70.25,67.98,69.12,893561.0,69.414,5888
2020-11-04,70.43,71.43,67.83,68.71,869173.0,69.605,6569
2020-11-05,69.15,70.24,68.35,69.93,632442.0,69.376,5029
2020-11-06,69.69,70.9,67.41,68.23,865833.0,68.609,6711
2020-11-09,76.61,83.39,75.5,81.74,2797391.0,80.388,19733
2020-11-10,81.01,83.46,80.34,81.35,1370739.0,81.465,9183
2020-11-11,80.96,81.26,75.54,76.21,1085455.0,77.025,7827
2020-11-12,75.23,76.2,73.13,74.27,907473.0,74.504,6001
2020-11-13,74.86,77.81,74.65,77.61,1305285.0,75.912,9099
2020-11-16,81.0,81.0,77.48,79.34,1440081.0,78.582,10401
2020-11-17,79.02,84.37,78.15,84.1,1546834.0,82.606,10645
2020-11-18,84.31,85.12,81.74,81.74,992187.0,83.79,7466
2020-11-19,81.01,82.31,79.9,80.59,842435.0,81.084,6374
2020-11-20,80.41,80.65,77.99,78.22,834739.0,78.64,5673
2020-11-23,79.13,83.59,78.44,83.34,1461724.0,81.834,10274
2020-11-24,85.64,89.94,85.53,89.03,1666142.0,88.539,9998
2020-11-25,87.82,88.57,85.21,88.03,998483.0,87.43,6809
2020-11-27,88.12,88.48,86.46,87.98,632917.0,87.495,4645
2020-11-30,87.23,87.76,85.14,85.75,2258614.0,86.032,12845
2020-12-01,87.77,89.69,87.17,88.62,1307502.0,88.471,7679
2020-12-02,87.38,88.97,85.81,88.92,855111.0,88.238,6010
2020-12-03,89.07,98.28,89.07,96.66,2337859.0,96.053,15278
2020-12-04,97.89,98.0,95.18,96.21,1120016.0,96.264,7830
2020-12-07,95.42,95.99,94.04,95.49,772090.0,95.25,5815
2020-12-08,94.89,97.71,94.44,97.15,663295.0,96.577,5155
2020-12-09,98.52,101.95,97.97,100.83,1324912.0,100.458,9419
2020-12-10,103.65,105.65,101.63,103.85,1359973.0,103.863,10125
2020-12-11,105.91,105.91,100.73,101.34,1270899.0,102.199,8765
2020-12-14,103.17,104.76,98.74,98.9,847519.0,100.402,6308
2020-12-15,99.92,100.75,97.72,100.53,802618.0,99.816,5680
2020-12-16,100.95,102.05,99.19,99.5,672599.0,100.129,4705
2020-12-17,100.49,102.26,98.99,100.99,611644.0,100.755,4579
2020-12-18,101.64,102.52,99.79,101.21,754422.0,100.998,5282
2020-12-21,98.83,101.94,98.33,101.33,556348.0,100.475,4425
2020-12-22,101.85,102.0,98.64,98.84,510959.0,99.453,3535
2020-12-23,99.61,102.36,99.44,101.96,278698.0,101.582,2081
2020-12-24,103.16,103.5,100.5,100.92,223843.0,101.351,1728
2020-12-28,101.5,104.23,101.34,103.44,581455.0,103.344,4231
2020-12-29,103.63,104.06,100.83,101.56,418090.0,101.961,3334
2020-12-30,102.38,104.99,101.97,103.94,340221.0,103.855,2682
2020-12-31,103.21,104.7,102.35,103.74,324855.0,103.873,2484
2021-01-04,103.88,103.96,99.33,101.33,738780.0,101.18,5480
2021-01-05,101.01,105.14,100.75,104.0,633643.0,103.774,4088
2021-01-06,104.63,110.63,104.24,109.44,1083020.0,108.466,7601
2021-01-07,111.0,113.27,110.08,112.18,970395.0,112.302,6754
2021-01-08,112.3,112.83,107.83,109.48,954314.0,110.166,6264
2021-01-11,110.02,111.19,108.43,110.59,824534.0,110.201,5170
2021-01-12,111.02,117.0,110.57,114.51,773928.0,114.482,4500
2021-01-13,114.04,116.34,111.64,112.94,1018825.0,113.996,6433
2021-01-14,113.59,115.15,110.84,111.47,760971.0,113.032,5258
2021-01-15,111.3,112.45,109.66,110.07,625195.0,110.756,4714
2021-01-19,109.68,110.73,106.15,107.25,681493.0,107.53,5055
2021-01-20,107.65,109.34,106.36,106.59,594410.0,107.272,4697
2021-01-21,106.5,108.49,105.3,107.89,767027.0,107.264,6022
2021-01-22,106.91,112.89,105.46,108.47,1369637.0,109.18,8309
2021-01-25,107.55,110.27,105.77,109.49,674366.0,108.441,4912
2021-01-26,110.31,110.56,106.15,107.07,749982.0,107.777,4984
2021-01-27,105.45,106.14,100.2,100.81,981963.0,102.807,7851
2021-01-28,102.0,105.39,101.08,103.54,883101.0,103.342,6011
2021-01-29,103.5,103.88,99.92,101.05,720437.0,101.684,5446
2021-02-01,104.16,104.23,100.53,102.48,873437.0,102.027,5694
2021-02-02,104.0,105.0,101.72,103.43,567086.0,103.947,4736
2021-02-03,103.66,106.59,103.66,105.19,1014593.0,105.43,7258
2021-02-04,103.42,109.34,100.34,107.83,2017305.0,105.487,14569
