date,open,high,low,close,volume,average,barCount
2020-07-13,192.93,194.98,187.22,188.09,331693.0,191.266,3025
2020-07-14,187.91,195.5,187.44,195.04,334577.0,192.37,2720
2020-07-15,196.98,198.44,194.86,197.55,308465.0,197.311,2610
2020-07-16,196.84,196.89,192.99,195.82,199834.0,195.184,1372
2020-07-17,197.22,200.27,196.76,199.0,323472.0,198.754,2503
2020-07-20,199.43,203.59,198.65,203.01,204709.0,201.76,1737
2020-07-21,203.73,204.99,201.78,204.4,290153.0,203.585,2281
2020-07-22,205.0,205.9,203.36,205.33,186037.0,204.904,1558
2020-07-23,205.98,209.0,203.06,204.06,248395.0,205.488,1948
2020-07-24,203.43,203.43,199.5,202.44,201823.0,201.6,1611
2020-07-27,203.69,207.04,203.52,205.63,202182.0,205.774,1743
2020-07-28,205.04,205.5,202.1,202.23,210200.0,203.448,1787
2020-07-29,203.65,205.4,202.65,204.1,286362.0,204.48,2387
2020-07-30,201.54,204.79,201.34,204.46,337455.0,203.401,2939
2020-07-31,205.53,206.17,200.8,202.51,377458.0,202.221,3332
2020-08-03,200.0,203.3,199.98,202.0,429593.0,201.957,3654
2020-08-04,201.96,203.84,200.73,202.77,420976.0,202.229,3518
2020-08-05,203.47,205.28,202.65,202.96,618249.0,203.984,4964
2020-08-06,190.0,190.23,173.34,175.52,1603010.0,178.801,11324
2020-08-07,176.6,178.21,172.74,173.24,808111.0,175.249,6601
2020-08-10,175.0,176.74,173.36,175.15,694323.0,175.091,6058
2020-08-11,174.87,175.64,171.69,172.98,471548.0,173.292,3848
2020-08-12,174.0,177.37,173.74,175.84,507601.0,175.826,4203
2020-08-13,175.73,178.07,173.94,177.51,258816.0,176.672,2013
2020-08-14,177.3,178.22,176.51,176.78,245319.0,177.12,1974
2020-08-17,177.55,183.25,177.55,183.2,461863.0,181.765,3833
2020-08-18,183.2,183.72,179.79,183.03,330077.0,182.389,2912
2020-08-19,183.64,185.17,182.1,183.43,422470.0,183.748,3773
2020-08-20,182.13,183.5,180.6,180.97,224912.0,181.57,2052
2020-08-21,180.89,180.91,177.67,179.37,289269.0,178.973,2152
