date,open,high,low,close,volume,average,barCount
2020-07-13,212.27,214.45,210.21,211.8,459740.0,212.92,3404
2020-07-14,211.11,219.75,210.94,219.07,390997.0,216.644,3021
2020-07-15,220.0,223.1,217.24,222.04,399638.0,220.596,3018
2020-07-16,220.64,224.17,220.58,223.28,488190.0,222.9,3518
2020-07-17,225.0,227.19,224.23,225.28,460554.0,225.219,2848
2020-07-20,224.51,226.0,221.42,222.44,268075.0,222.69,2242
2020-07-21,228.56,228.99,224.19,226.83,366309.0,227.308,2787
2020-07-22,226.47,227.81,224.87,226.6,263867.0,225.937,2224
2020-07-23,226.36,228.2,225.13,225.99,239016.0,226.825,1634
2020-07-24,226.6,227.62,225.12,226.19,283754.0,226.244,2117
2020-07-27,225.28,230.93,225.14,229.0,503797.0,229.228,3764
2020-07-28,223.0,225.56,217.21,222.28,789228.0,222.373,6000
2020-07-29,224.19,224.48,219.06,220.97,487382.0,220.852,4007
2020-07-30,218.79,220.85,215.03,219.84,511032.0,218.91,4266
2020-07-31,219.28,219.98,214.5,218.14,463377.0,216.403,3321
2020-08-03,219.23,222.71,218.16,220.77,292503.0,221.175,2321
2020-08-04,218.02,220.64,217.7,220.45,254255.0,219.505,2046
2020-08-05,221.81,224.13,219.91,223.94,434804.0,222.621,2909
2020-08-06,223.04,224.77,220.68,221.95,197653.0,222.257,1508
2020-08-07,222.2,224.72,220.59,223.64,294649.0,222.862,2446
2020-08-10,224.03,231.47,224.03,229.32,537139.0,228.856,4268
2020-08-11,230.42,238.49,230.02,232.18,504409.0,234.283,3482
2020-08-12,233.95,237.43,231.97,236.12,268524.0,235.677,2290
2020-08-13,234.68,235.64,232.51,233.99,239394.0,234.028,1899
2020-08-14,231.63,233.95,231.25,232.05,177341.0,232.335,1291
2020-08-17,233.17,234.99,232.55,233.45,166835.0,233.705,1327
2020-08-18,232.98,234.8,232.36,233.02,198732.0,233.652,1536
2020-08-19,232.0,232.49,227.31,228.68,393463.0,229.73,3006
2020-08-20,227.44,229.0,226.03,226.83,232675.0,227.497,1869
2020-08-21,227.11,229.18,226.42,228.52,141615.0,228.137,1001
2020-08-24,230.18,230.79,227.65,230.79,267641.0,229.347,2046
2020-08-25,232.0,234.09,229.83,230.84,376299.0,231.293,2899
2020-08-26,230.61,233.1,229.26,232.39,178128.0,231.571,1433
2020-08-27,232.29,233.8,230.88,232.01,203048.0,232.38,1726
2020-08-28,231.33,233.45,229.82,233.27,158870.0,231.635,1216
2020-08-31,232.75,233.19,229.5,230.53,146846.0,230.601,1257
2020-09-01,229.22,234.07,228.46,233.94,114850.0,232.119,949
2020-09-02,234.74,238.34,232.48,237.3,311713.0,235.64,2414
2020-09-03,236.34,237.45,225.67,228.81,296832.0,228.808,2292
2020-09-04,231.68,232.42,225.27,228.25,267432.0,229.387,2085
2020-09-08,225.97,226.13,220.38,220.92,216480.0,222.668,1811
2020-09-09,223.12,226.26,222.08,224.57,330683.0,224.297,2663
2020-09-10,225.36,226.74,218.72,219.37,272603.0,221.734,2235
2020-09-11,220.62,223.02,219.14,222.25,286627.0,221.437,2032
2020-09-14,224.63,226.1,222.8,224.66,175115.0,224.543,1542
2020-09-15,224.98,228.38,224.63,224.77,191801.0,225.914,1571
2020-09-16,226.95,229.23,224.78,225.28,232912.0,227.131,1926
2020-09-17,222.89,226.03,219.8,222.2,244058.0,222.413,2108
2020-09-18,222.69,224.34,218.46,218.96,314830.0,221.202,2068
2020-09-21,215.26,216.21,206.57,209.08,545228.0,208.418,4315
2020-09-22,209.32,214.32,209.28,214.09,296651.0,212.393,2353
2020-09-23,214.5,216.48,212.53,212.78,387053.0,214.513,2764
2020-09-24,214.01,219.06,210.74,217.37,272272.0,215.887,2034
2020-09-25,215.55,217.22,214.7,215.67,339898.0,215.953,2600
2020-09-28,218.99,221.74,218.37,219.99,211814.0,220.417,1697
2020-09-29,220.05,222.64,218.69,221.23,204866.0,221.148,1658
2020-09-30,222.58,225.78,219.55,220.68,231044.0,222.573,1830
2020-10-01,222.67,224.36,216.36,219.52,348581.0,220.205,2991
2020-10-02,215.72,225.49,215.51,223.43,222575.0,223.032,1736
2020-10-05,227.13,233.25,226.22,233.22,406641.0,231.206,3202
2020-10-06,233.6,238.23,232.41,232.79,252821.0,234.685,1940
2020-10-07,235.95,238.28,233.39,236.42,188930.0,236.346,1539
2020-10-08,237.43,241.35,235.4,241.12,366458.0,239.54,2130
2020-10-09,243.92,246.46,242.65,244.28,403675.0,244.843,3254
2020-10-12,247.78,249.0,244.04,244.23,310116.0,245.904,2267
2020-10-13,244.0,246.01,241.18,243.15,240551.0,243.255,1529
2020-10-14,244.75,246.84,243.49,243.98,229942.0,245.054,1710
2020-10-15,240.77,248.48,240.77,247.45,183551.0,246.014,1368
2020-10-16,248.98,251.95,248.1,249.03,228178.0,250.041,1513
2020-10-19,248.14,250.87,243.32,244.46,202815.0,246.476,1605
2020-10-20,245.67,247.3,238.64,240.98,532307.0,242.822,4020
2020-10-21,240.54,246.11,236.65,236.82,430343.0,239.827,3035
2020-10-22,237.82,241.3,237.64,239.33,351872.0,239.442,2643
2020-10-23,241.28,243.93,240.25,243.1,325242.0,242.389,2445
2020-10-26,240.03,241.13,234.67,236.94,342276.0,236.939,2258
2020-10-27,237.5,238.69,233.72,236.88,434533.0,236.442,2740
2020-10-28,232.42,236.36,230.68,234.01,398993.0,233.258,3041
2020-10-29,234.0,238.71,231.58,235.84,259086.0,234.932,1915
2020-10-30,235.12,237.63,232.4,237.12,199381.0,235.452,1635
2020-11-02,240.07,246.27,240.07,245.39,318233.0,244.629,2326
2020-11-03,249.19,254.79,246.78,253.37,298207.0,252.351,2284
2020-11-04,251.02,251.27,241.58,242.69,467688.0,245.784,3677
2020-11-05,247.6,255.7,246.34,250.3,283274.0,251.801,2284
2020-11-06,250.68,252.44,249.31,249.44,268276.0,250.883,1910
2020-11-09,264.5,267.48,254.21,254.74,491943.0,260.012,3931
2020-11-10,242.12,253.91,237.02,249.05,639892.0,248.553,4580
2020-11-11,251.12,252.03,241.1,242.19,538974.0,242.909,3754
2020-11-12,242.19,242.19,231.74,235.08,820506.0,235.584,5664
2020-11-13,237.54,239.95,236.73,239.78,424972.0,238.644,2580
2020-11-16,241.95,242.98,236.51,241.22,503496.0,240.515,3435
2020-11-17,241.81,243.69,239.28,241.32,333352.0,241.482,2619
2020-11-18,241.77,249.08,241.19,245.5,500195.0,245.695,3733
2020-11-19,245.5,250.64,242.55,250.14,427283.0,247.535,3285
2020-11-20,250.0,251.34,246.97,247.63,415477.0,249.19,3318
2020-11-23,251.52,253.56,249.46,251.78,270574.0,251.32,2239
2020-11-24,255.96,259.25,253.54,256.81,449036.0,257.173,3408
2020-11-25,256.1,257.81,252.45,256.43,282192.0,256.093,2328
2020-11-27,257.66,259.01,255.21,255.93,104522.0,257.047,773
2020-11-30,253.39,255.58,249.44,255.56,461078.0,253.221,3498
