date,open,high,low,close,volume,average,barCount
2020-07-13,102.93,106.52,102.81,104.5,1397669.0,105.448,9215
2020-07-14,104.42,107.09,103.96,106.76,1382587.0,105.816,9954
2020-07-15,108.25,109.43,107.11,108.97,1203351.0,108.816,8660
2020-07-16,109.41,109.41,107.9,108.94,1006609.0,108.437,7193
2020-07-17,109.29,110.58,108.98,108.98,521787.0,109.713,4127
2020-07-20,109.35,110.9,108.93,109.81,462852.0,109.913,3518
2020-07-21,110.47,112.96,110.0,111.59,735547.0,111.772,5630
2020-07-22,111.47,113.14,111.23,112.02,397342.0,111.83,3324
2020-07-23,112.21,113.49,111.56,112.03,274219.0,112.517,2468
2020-07-24,111.37,111.43,109.54,110.37,489735.0,110.217,4128
2020-07-27,111.03,115.42,110.99,114.97,839423.0,114.209,6368
2020-07-28,114.55,115.81,112.71,112.99,882955.0,114.343,6736
2020-07-29,118.8,121.44,117.22,119.64,2432106.0,119.438,14748
2020-07-30,118.84,119.93,118.29,118.81,492599.0,118.92,4375
2020-07-31,118.95,119.01,117.03,118.91,513853.0,117.904,4568
2020-08-03,119.66,121.92,119.5,121.77,993611.0,120.912,6520
2020-08-04,121.27,122.33,119.93,120.82,498935.0,120.684,3776
2020-08-05,121.78,123.21,121.19,122.09,667391.0,122.155,4963
2020-08-06,122.07,122.58,118.21,119.05,872928.0,119.091,6521
2020-08-07,119.03,119.88,118.65,119.33,467661.0,119.312,3812
2020-08-10,119.19,119.75,118.46,118.6,497286.0,119.01,3474
2020-08-11,118.46,119.21,117.49,117.71,328555.0,118.141,2705
2020-08-12,118.22,120.55,117.75,119.87,325010.0,119.646,2523
2020-08-13,119.87,120.55,119.0,120.0,559276.0,119.836,4006
2020-08-14,119.76,120.06,117.66,118.25,204474.0,118.528,1727
2020-08-17,118.84,120.27,118.59,119.67,558633.0,119.531,3807
2020-08-18,119.76,120.0,117.76,118.04,745854.0,118.406,5183
2020-08-19,118.62,118.91,117.28,117.69,628555.0,118.07,5011
2020-08-20,117.0,117.31,116.28,116.77,287007.0,116.713,2194
2020-08-21,116.78,117.34,116.61,116.9,461556.0,116.903,3343
2020-08-24,117.73,118.26,114.75,115.22,412637.0,115.888,2924
2020-08-25,115.34,116.63,115.22,116.22,401023.0,116.202,3046
2020-08-26,116.2,119.8,116.06,119.44,743997.0,118.533,5307
2020-08-27,115.49,115.87,111.45,114.5,1151855.0,113.922,7754
2020-08-28,114.82,116.94,114.68,116.91,412282.0,116.121,3500
2020-08-31,117.07,118.39,116.82,117.72,475611.0,117.666,3493
2020-09-01,118.73,119.53,117.73,119.39,541934.0,118.903,4659
2020-09-02,120.3,122.29,119.45,122.06,338558.0,121.095,2883
2020-09-03,121.33,121.33,114.72,116.04,593368.0,116.208,4684
2020-09-04,116.64,116.64,111.57,114.3,463161.0,113.77,3749
2020-09-08,112.8,113.4,111.5,112.01,306109.0,112.381,2720
2020-09-09,112.69,115.14,112.38,114.25,182655.0,114.273,1609
2020-09-10,114.85,116.48,113.14,113.46,334817.0,114.767,2935
2020-09-11,116.14,119.57,115.54,117.69,681407.0,117.89,5077
2020-09-14,118.57,118.93,117.06,117.73,360440.0,118.131,3153
2020-09-15,118.34,119.27,118.16,118.51,229179.0,118.658,2038
2020-09-16,119.54,120.63,119.0,120.31,397158.0,120.085,3344
2020-09-17,119.03,121.34,118.37,119.49,310047.0,119.615,2634
2020-09-18,119.32,120.28,117.57,118.2,540740.0,118.768,3629
2020-09-21,116.59,118.47,114.75,118.25,387991.0,116.986,3267
2020-09-22,117.93,120.11,117.34,119.95,405987.0,119.089,2702
2020-09-23,119.66,120.49,117.48,117.58,185130.0,118.907,1451
2020-09-24,117.18,118.36,116.27,117.96,413080.0,117.557,3197
2020-09-25,117.27,120.62,116.76,119.8,292616.0,119.31,2505
2020-09-28,120.61,122.45,120.61,121.89,301583.0,121.837,2476
2020-09-29,121.89,124.66,121.89,123.26,941291.0,123.229,5539
2020-09-30,123.65,126.1,123.65,125.51,824038.0,125.319,5418
2020-10-01,127.5,128.98,123.66,124.86,792146.0,125.656,5688
2020-10-02,123.18,125.14,122.41,124.56,343549.0,124.416,2906
2020-10-05,125.62,129.8,125.15,129.71,455659.0,128.875,3673
2020-10-06,129.57,129.85,124.82,126.55,805922.0,127.812,5271
2020-10-07,127.3,129.29,127.3,128.24,395366.0,128.458,2833
2020-10-08,128.51,129.15,126.68,127.61,375036.0,127.373,2927
2020-10-09,128.86,129.8,128.0,129.68,304226.0,129.081,2450
2020-10-12,134.05,134.39,127.71,128.33,897193.0,130.393,6708
2020-10-13,127.71,128.88,124.33,124.67,838440.0,126.281,6359
