date,open,high,low,close,volume,average,barCount
2020-07-13,35.21,35.44,34.31,34.43,6687744.0,34.674,43241
2020-07-14,34.28,34.88,33.97,34.55,6323139.0,34.421,40478
2020-07-15,35.11,35.81,34.79,35.66,8094917.0,35.47,50515
2020-07-16,34.89,36.08,34.45,34.92,9633723.0,35.046,51740
2020-07-17,34.92,35.09,33.43,33.44,9085465.0,33.927,45563
2020-07-20,33.42,33.94,33.04,33.84,7624584.0,33.626,45370
2020-07-21,34.05,35.36,34.02,35.24,9001640.0,34.828,51888
2020-07-22,35.05,35.17,34.47,34.86,5885400.0,34.798,35951
2020-07-23,34.8,35.85,34.51,35.21,6102178.0,35.166,38529
2020-07-24,35.21,35.51,34.72,34.94,5202574.0,35.022,33914
2020-07-27,34.55,34.68,33.65,33.84,9129917.0,34.043,46855
2020-07-28,33.62,34.02,33.55,33.66,6326741.0,33.743,38141
2020-07-29,33.71,34.11,33.43,34.08,4793771.0,33.789,29264
2020-07-30,33.44,33.73,32.89,33.58,5575057.0,33.405,35780
2020-07-31,33.43,33.47,32.66,33.15,7958314.0,32.999,43569
2020-08-03,33.28,33.62,32.79,33.34,4617882.0,33.364,28828
2020-08-04,33.11,33.95,33.11,33.95,5670243.0,33.652,31621
2020-08-05,34.28,34.36,33.88,34.2,5873887.0,34.137,33290
2020-08-06,33.58,33.98,33.02,33.14,6152614.0,33.332,34098
2020-08-07,33.02,34.06,32.84,34.04,5672792.0,33.559,33226
2020-08-10,34.06,34.28,33.55,33.8,4242359.0,33.784,23784
2020-08-11,34.47,35.56,34.23,34.96,9686929.0,34.938,53704
2020-08-12,35.5,36.0,34.75,34.84,7392016.0,35.118,43564
2020-08-13,34.49,34.92,34.1,34.61,4894116.0,34.504,28030
2020-08-14,34.45,35.46,34.29,35.05,6547585.0,35.125,30941
2020-08-17,34.88,35.28,34.47,34.62,5909747.0,34.738,30028
2020-08-18,34.5,35.0,34.24,34.95,6339790.0,34.731,30217
2020-08-19,34.95,35.9,34.95,35.71,6080304.0,35.658,32959
2020-08-20,35.23,35.35,34.48,34.55,6331709.0,34.875,31806
