date,open,high,low,close,volume,average,barCount
2020-07-13,196.25,196.88,191.87,192.01,541155.0,194.422,1499
2020-07-14,191.75,195.71,191.75,195.57,402744.0,194.2953333333333,1082
2020-07-15,196.67,199.35,195.64,199.15,581097.0,198.0746666666667,1589
2020-07-16,198.28,201.17,197.77,199.59,486030.0,199.301,1186
2020-07-17,200.0,204.38,199.65,203.36,952221.0,202.6113333333333,2152
2020-07-20,202.9,204.24,202.17,202.69,448308.0,203.1006666666667,1247
2020-07-21,205.0,205.01,202.67,204.47,723204.0,204.237,1769
2020-07-22,203.77,208.64,203.77,208.63,581229.0,207.1926666666667,1407
2020-07-23,207.62,209.48,204.29,206.17,568593.0,206.6973333333333,1618
2020-07-24,205.84,207.28,204.64,206.67,747420.0,206.2823333333333,1425
2020-07-27,208.74,210.63,207.84,208.51,1391778.0,209.1513333333333,3430
2020-07-28,216.67,219.96,207.19,211.18,1962207.0,212.8123333333333,4526
2020-07-29,211.68,216.99,211.51,215.88,1133826.0,215.476,2761
2020-07-30,213.78,216.73,213.09,215.88,755673.0,214.9826666666667,2037
2020-07-31,215.36,216.5,213.42,215.97,768942.0,214.808,1956
2020-08-03,216.23,217.55,213.63,213.71,617010.0,215.6736666666667,1592
2020-08-04,213.63,219.28,213.63,216.97,867849.0,217.214,1950
2020-08-05,217.7,219.63,216.91,216.91,680142.0,218.273,1635
2020-08-06,216.76,219.63,216.46,218.19,574053.0,218.5363333333333,1548
2020-08-07,218.02,219.19,217.53,218.91,576360.0,218.4543333333333,1539
2020-08-10,218.67,219.73,216.42,217.08,499053.0,217.5593333333333,1308
2020-08-11,218.33,220.41,216.69,217.47,501609.0,218.7083333333333,1372
2020-08-12,218.74,225.25,218.17,223.96,786171.0,223.394,2179
2020-08-13,222.55,224.85,221.77,223.08,330102.0,223.3433333333333,876
2020-08-14,223.39,224.66,221.1,222.19,283371.0,222.531,762
2020-08-17,223.58,224.72,221.89,223.67,456267.0,223.5203333333333,1252
2020-08-18,225.0,225.34,222.89,223.33,387840.0,224.1813333333333,991
2020-08-19,224.13,224.27,221.28,221.7,460575.0,222.552,1303
2020-08-20,221.11,223.47,221.11,222.52,309897.0,222.557,864
2020-08-21,222.62,225.98,221.5,225.27,431679.0,224.526,1154
2020-08-24,226.67,227.2,222.72,223.8,357438.0,223.9883333333333,967
2020-08-25,224.9,226.2,222.12,223.43,391593.0,223.3603333333333,1057
2020-08-26,223.31,226.3,222.37,225.57,425985.0,224.7006666666667,1148
2020-08-27,226.75,226.75,223.69,223.93,287325.0,224.97,814
2020-08-28,224.66,225.46,223.22,225.3,356490.0,224.3973333333333,877
2020-08-31,225.45,225.45,223.22,223.68,427293.0,223.9456666666667,1238
2020-09-01,223.17,228.68,222.64,228.68,595983.0,225.9096666666667,1665
2020-09-02,228.18,233.27,227.83,233.05,506679.0,231.1376666666667,1440
2020-09-03,232.33,232.33,223.75,226.28,564075.0,226.191,1557
2020-09-04,226.92,228.18,220.36,226.54,719037.0,225.165,1990
2020-09-08,223.61,224.43,220.56,223.1,1034514.0,222.7386666666667,2415
2020-09-09,228.93,232.5,227.37,231.48,683241.0,230.9886666666667,1902
2020-09-10,232.3,236.45,231.0,234.22,1297572.0,234.8183333333333,3592
2020-09-11,235.1,237.66,233.46,236.25,749901.0,236.0936666666667,1857
2020-09-14,238.0,240.34,237.0,239.2,676494.0,239.056,1698
2020-09-15,240.25,241.97,237.95,238.75,512034.0,239.367,1362
2020-09-16,239.58,240.56,237.67,238.37,516642.0,239.037,1414
2020-09-17,236.67,237.87,234.25,237.52,690201.0,236.1936666666667,2002
2020-09-18,236.07,237.82,230.68,231.83,938223.0,233.7863333333333,2140
2020-09-21,229.3,229.94,224.73,227.61,414252.0,227.213,1086
2020-09-22,228.09,232.89,227.8,232.11,669480.0,230.5206666666667,1754
2020-09-23,230.66,231.14,225.28,225.77,538605.0,227.803,1471
2020-09-24,227.11,230.32,226.43,228.63,402717.0,228.372,1126
2020-09-25,228.27,232.75,227.26,232.48,377271.0,231.1543333333333,989
2020-09-28,235.24,237.39,233.96,235.69,651759.0,236.0403333333333,1709
2020-09-29,236.82,238.45,235.21,235.22,443091.0,236.6606666666667,1149
2020-09-30,236.67,238.33,230.64,232.25,1204290.0,234.072,2928
2020-10-01,234.99,236.51,229.56,230.27,620736.0,231.9953333333333,1799
2020-10-02,228.9,232.3,226.92,229.66,455832.0,230.662,1286
2020-10-05,231.17,233.82,228.92,229.87,750801.0,230.6733333333333,2035
2020-10-06,230.63,232.19,226.99,227.46,682980.0,229.3223333333333,1941
2020-10-07,229.25,231.22,228.44,230.6,578484.0,229.64,1623
2020-10-08,231.54,232.65,228.49,229.43,685896.0,229.991,1582
2020-10-09,230.45,232.98,230.0,232.8,516117.0,231.9403333333333,1409
2020-10-12,234.0,236.25,233.06,234.13,428514.0,234.4576666666667,1081
2020-10-13,234.2,235.45,231.72,232.39,481347.0,233.387,1340
2020-10-14,232.93,232.93,230.19,231.33,673248.0,231.7616666666667,1741
2020-10-15,229.45,230.93,227.66,229.33,660918.0,229.5096666666667,1573
2020-10-16,230.55,233.92,230.22,231.77,591021.0,232.078,1188
2020-10-19,232.12,233.03,226.51,227.28,456174.0,229.1476666666667,1145
2020-10-20,229.17,229.56,224.53,224.98,831792.0,226.598,1844
2020-10-21,225.0,228.17,224.37,224.69,845097.0,226.154,2078
2020-10-22,225.41,226.88,222.99,226.0,357957.0,225.0576666666667,949
2020-10-23,227.05,228.35,224.57,227.77,521763.0,226.6496666666667,1439
2020-10-26,225.7,226.61,221.41,223.46,639234.0,223.441,1783
2020-10-27,225.72,227.44,222.59,224.49,814452.0,225.0853333333333,2203
2020-10-28,224.74,228.67,221.98,226.22,1138884.0,225.4446666666667,2667
