date,open,high,low,close,volume,average,barCount
2020-07-13,105.21,105.71,104.29,104.68,292429.0,104.918,2396
2020-07-14,104.7,107.59,104.5,107.19,384505.0,106.84,3152
2020-07-15,107.87,108.24,105.74,105.88,359169.0,106.838,2739
2020-07-16,105.78,107.04,105.72,106.08,220040.0,106.173,1740
2020-07-17,106.61,107.35,106.34,106.71,291712.0,106.774,2236
2020-07-20,106.09,106.34,104.3,105.31,447003.0,105.313,3533
2020-07-21,105.38,107.62,105.32,106.56,319043.0,106.797,2585
2020-07-22,107.35,107.74,105.19,107.59,279634.0,106.904,2168
2020-07-23,107.36,108.95,107.36,108.42,259373.0,108.418,2126
2020-07-24,108.65,110.25,107.45,108.14,282479.0,108.476,2338
2020-07-27,107.99,108.92,107.42,108.87,250491.0,108.413,2064
2020-07-28,108.58,109.86,108.58,109.27,250454.0,109.318,2057
2020-07-29,109.73,110.63,109.1,110.49,305721.0,110.129,2531
2020-07-30,110.02,110.44,108.52,109.35,332928.0,109.171,2754
2020-07-31,109.21,109.51,107.85,109.35,334787.0,108.673,2891
2020-08-03,109.72,111.36,109.11,110.97,334261.0,110.821,2438
2020-08-04,110.67,114.02,110.41,113.26,434474.0,112.936,3491
2020-08-05,113.13,113.13,110.79,111.14,371365.0,111.459,2808
2020-08-06,111.11,111.91,110.14,110.29,335413.0,110.675,2789
2020-08-07,109.94,111.43,109.76,111.05,442242.0,110.848,3459
2020-08-10,111.43,113.13,111.25,112.84,525008.0,112.55,3523
2020-08-11,113.11,114.07,112.17,112.71,465462.0,113.055,3726
2020-08-12,113.43,115.72,113.18,114.96,407703.0,115.058,3243
2020-08-13,114.07,115.16,113.56,114.63,388240.0,114.491,2930
2020-08-14,114.25,115.35,113.67,113.97,379617.0,114.336,2966
2020-08-17,113.83,114.37,113.48,113.5,952353.0,113.831,4865
2020-08-18,113.6,114.78,112.6,113.92,360678.0,113.795,2960
2020-08-19,111.43,112.73,110.46,111.36,690149.0,111.127,5012
2020-08-20,111.61,112.56,111.31,111.9,307334.0,112.041,2498
2020-08-21,111.92,112.5,110.66,112.09,437157.0,111.951,3495
2020-08-24,112.27,113.63,110.77,112.99,469168.0,112.698,3885
2020-08-25,120.0,123.44,117.24,120.75,2686876.0,121.301,17302
2020-08-26,122.15,122.97,120.39,121.73,562195.0,121.42,4522
2020-08-27,121.46,123.3,120.85,120.92,428884.0,121.727,3435
2020-08-28,121.01,121.01,118.57,119.65,446328.0,119.328,3681
2020-08-31,119.11,120.7,119.01,120.18,400841.0,120.083,3276
2020-09-01,119.98,119.98,117.43,117.96,421447.0,118.179,3459
2020-09-02,117.52,121.27,117.31,120.85,446216.0,120.181,3650
2020-09-03,120.58,121.82,117.12,118.23,443505.0,118.599,3924
2020-09-04,118.44,119.63,117.03,117.56,404619.0,117.902,3366
2020-09-08,117.56,118.12,113.65,114.16,502969.0,115.15,4285
2020-09-09,115.03,117.02,114.35,115.76,480055.0,116.133,3914
2020-09-10,115.31,115.31,112.43,113.08,519333.0,113.366,4233
2020-09-11,113.17,113.91,111.78,113.31,380266.0,113.263,2769
2020-09-14,113.49,114.15,113.11,113.46,296140.0,113.61,2146
2020-09-15,113.75,113.83,112.28,112.4,287507.0,112.841,2161
2020-09-16,111.28,112.66,110.3,110.82,638253.0,111.331,4386
2020-09-17,110.42,111.18,108.85,109.98,589285.0,109.9,3873
2020-09-18,109.84,110.98,109.04,109.39,445623.0,109.744,2818
2020-09-21,108.87,111.15,108.1,109.79,763843.0,110.005,4483
2020-09-22,110.14,111.88,109.62,109.88,651720.0,110.74,4797
2020-09-23,110.57,111.04,108.15,108.29,516919.0,109.096,3984
2020-09-24,108.55,111.34,108.15,110.87,479299.0,110.452,3989
2020-09-25,110.87,112.39,110.73,112.15,249695.0,111.77,2155
2020-09-28,112.86,114.28,112.63,113.24,458441.0,113.51,3347
2020-09-29,113.04,113.71,112.34,113.01,199707.0,112.964,1704
2020-09-30,113.62,116.14,113.2,115.52,572712.0,115.282,5050
2020-10-01,115.08,116.18,113.88,116.0,393545.0,115.249,3377
2020-10-02,115.75,117.62,115.65,116.47,306819.0,116.795,2324
2020-10-05,116.32,117.68,115.47,117.38,302096.0,116.833,2481
2020-10-06,117.38,118.75,116.78,117.5,374233.0,117.667,2700
2020-10-07,117.37,118.18,116.31,117.45,337590.0,117.219,2333
2020-10-08,118.0,118.19,116.48,117.13,327257.0,116.917,2474
2020-10-09,117.39,118.75,116.62,118.68,337662.0,118.235,2706
2020-10-12,119.12,120.59,119.12,119.92,248214.0,119.854,1698
2020-10-13,119.92,120.93,119.18,120.09,259236.0,119.959,1999
2020-10-14,119.53,120.47,118.85,118.97,240680.0,119.502,1829
2020-10-15,118.62,119.29,118.01,118.86,217023.0,118.793,1582
2020-10-16,118.74,119.25,117.85,117.88,282982.0,118.322,1962
2020-10-19,117.75,118.25,115.1,115.21,396663.0,116.065,3015
2020-10-20,115.62,116.22,113.98,114.12,376998.0,114.829,2812
2020-10-21,113.49,114.95,112.52,114.4,491305.0,114.15,3259
2020-10-22,114.5,116.04,113.93,115.63,464919.0,115.391,2150
2020-10-23,116.16,116.58,114.88,115.54,184578.0,115.565,1427
