date,open,high,low,close,volume,average,barCount
2020-07-13,17.99,18.01,17.35,17.38,8916150.0,17.591,39461
2020-07-14,17.27,18.44,17.12,18.39,10759160.0,17.993,50139
2020-07-15,19.0,19.27,18.55,18.9,11122147.0,18.848,49256
2020-07-16,18.76,19.22,18.53,18.82,8108143.0,18.841,30884
2020-07-17,18.96,19.18,18.45,18.62,7151094.0,18.72,31532
2020-07-20,18.6,18.96,18.39,18.44,10914685.0,18.645,48086
2020-07-21,18.86,19.92,18.76,19.56,15600232.0,19.497,64535
2020-07-22,19.3,19.45,18.91,19.17,10868521.0,19.131,48135
2020-07-23,18.98,19.36,18.78,19.3,11257656.0,19.093,45167
2020-07-24,19.51,19.66,18.9,19.48,14086371.0,19.33,60367
2020-07-27,19.7,19.73,19.14,19.68,11911508.0,19.464,53226
2020-07-28,19.49,19.6,18.99,19.15,12335869.0,19.274,53425
2020-07-29,19.1,19.48,18.95,19.43,6328315.0,19.23,31113
2020-07-30,19.05,19.16,18.2,18.44,13714101.0,18.466,54291
2020-07-31,18.11,18.56,17.92,18.14,11210522.0,18.113,56776
2020-08-03,18.1,18.97,17.87,18.72,7945859.0,18.632,36860
2020-08-04,18.68,19.36,18.6,19.23,8310856.0,19.117,37028
2020-08-05,19.66,19.95,19.37,19.5,7210584.0,19.579,34021
2020-08-06,19.45,19.69,19.21,19.32,5190947.0,19.378,23733
2020-08-07,19.19,19.65,19.02,19.63,5700515.0,19.333,26612
2020-08-10,19.56,20.39,19.48,20.22,8675800.0,20.118,36363
2020-08-11,20.8,21.27,20.19,20.3,10155672.0,20.715,46899
2020-08-12,20.66,20.76,19.8,20.36,12716436.0,20.132,51602
2020-08-13,20.29,20.29,19.73,19.87,6888255.0,19.937,30398
2020-08-14,19.67,20.17,19.59,20.07,6213671.0,20.017,27509
2020-08-17,19.95,20.24,19.86,20.01,6940588.0,20.029,32204
2020-08-18,19.86,20.15,19.68,19.77,6152960.0,19.814,28549
2020-08-19,19.74,20.13,19.62,19.72,6297543.0,19.885,26623
2020-08-20,19.39,19.58,18.77,18.77,8454990.0,19.04,34536
2020-08-21,18.55,18.7,18.37,18.58,7431813.0,18.547,31660
2020-08-24,18.72,19.73,18.67,19.55,7316243.0,19.318,31703
2020-08-25,19.97,19.98,19.11,19.26,6970346.0,19.363,30895
2020-08-26,19.23,19.27,18.64,18.67,6954211.0,18.875,28098
2020-08-27,18.75,18.87,18.44,18.7,7333457.0,18.634,31363
2020-08-28,18.8,19.46,18.77,19.42,11050552.0,19.185,36167
2020-08-31,19.47,19.54,18.94,19.01,10372232.0,19.129,43295
2020-09-01,18.52,18.92,18.46,18.63,7538818.0,18.696,29891
2020-09-02,18.53,18.79,18.35,18.77,9151384.0,18.601,38044
2020-09-03,18.77,19.56,18.67,19.12,14479460.0,19.214,66741
2020-09-04,19.35,19.69,18.89,19.31,12535463.0,19.237,55404
2020-09-08,18.9,19.02,17.93,18.38,13396558.0,18.369,59821
2020-09-09,18.48,18.74,18.37,18.61,8240904.0,18.567,40306
2020-09-10,18.65,18.65,17.64,17.71,13185816.0,18.017,56552
2020-09-11,17.76,17.97,17.49,17.87,6811691.0,17.786,33400
2020-09-14,17.89,18.21,17.64,18.03,7587103.0,17.971,38048
2020-09-15,18.07,18.45,17.96,18.2,7738959.0,18.245,35893
2020-09-16,18.54,19.39,18.22,19.18,11183860.0,19.012,50843
2020-09-17,18.81,19.13,18.45,19.08,8980446.0,18.877,41454
2020-09-18,18.79,19.34,18.52,18.73,9842155.0,18.801,39757
2020-09-21,18.1,18.19,17.09,17.27,12952058.0,17.366,56813
2020-09-22,17.41,17.74,17.17,17.33,6743639.0,17.386,30971
2020-09-23,17.28,17.62,16.59,16.61,8859495.0,16.926,37447
2020-09-24,16.34,17.08,15.93,16.62,12867600.0,16.49,63426
2020-09-25,16.28,16.41,15.82,15.92,13724179.0,16.038,50639
2020-09-28,16.36,16.85,16.26,16.45,8952913.0,16.57,40777
2020-09-29,16.35,16.4,15.47,15.6,13996892.0,15.724,57929
2020-09-30,15.81,16.02,15.42,15.56,12252015.0,15.709,52773
2020-10-01,15.36,15.53,14.88,15.01,12447814.0,15.103,51780
2020-10-02,14.57,15.73,14.52,15.57,11351940.0,15.369,44623
2020-10-05,15.77,16.13,15.63,16.07,10634345.0,15.864,44448
2020-10-06,16.44,16.56,15.64,15.67,11365871.0,16.136,44869
2020-10-07,15.76,16.03,15.58,15.95,8836845.0,15.866,34433
2020-10-08,16.12,16.44,15.94,16.43,9094600.0,16.255,33579
2020-10-09,16.58,16.6,16.05,16.23,9857865.0,16.271,42676
2020-10-12,16.03,16.2,15.76,16.12,10890509.0,15.964,35901
2020-10-13,15.96,16.14,15.51,15.73,11751501.0,15.744,42925
2020-10-14,15.75,16.51,15.73,15.95,12966355.0,16.131,49074
2020-10-15,15.75,16.44,15.55,16.42,13276065.0,16.104,53524
2020-10-16,15.62,16.26,14.9,14.97,36218756.0,15.185,116950
2020-10-19,15.16,15.44,14.91,15.01,15514462.0,15.165,60333
2020-10-20,15.24,15.65,15.18,15.49,18371311.0,15.5,68231
2020-10-21,15.36,15.59,14.98,15.01,15809513.0,15.206,61363
2020-10-22,15.06,15.42,14.91,15.3,13551516.0,15.211,51052
2020-10-23,15.46,15.78,15.17,15.4,11890209.0,15.444,48560
2020-10-26,15.15,15.26,14.86,15.17,15160077.0,15.072,59640
2020-10-27,15.11,15.23,14.74,15.09,12758309.0,14.98,49928
2020-10-28,14.5,14.75,14.15,14.18,15454164.0,14.409,55912
2020-10-29,13.9,14.49,13.7,14.45,14032193.0,14.245,51754
2020-10-30,14.41,14.96,14.32,14.94,14959645.0,14.645,58678
2020-11-02,15.12,15.8,14.78,15.58,15538565.0,15.418,61260
2020-11-03,15.92,16.05,15.56,15.76,11406371.0,15.767,42002
2020-11-04,15.7,16.2,15.07,15.97,15385356.0,15.913,53430
2020-11-05,15.9,16.14,15.5,15.52,13061133.0,15.824,50437
2020-11-06,15.49,15.83,15.13,15.22,8709093.0,15.355,33905
2020-11-09,17.02,18.76,16.93,18.25,27592776.0,18.053,106612
2020-11-10,18.77,18.91,18.0,18.31,16187923.0,18.32,68604
2020-11-11,18.5,18.51,17.4,17.71,13743711.0,17.771,51823
2020-11-12,17.35,17.88,17.16,17.3,8747153.0,17.482,36787
2020-11-13,17.44,18.11,17.42,18.0,7808574.0,17.899,36024
2020-11-16,18.89,20.05,18.56,20.04,19652964.0,19.531,75074
2020-11-17,19.5,20.1,19.27,20.09,11964483.0,19.746,50924
2020-11-18,20.18,20.57,19.92,19.97,12700376.0,20.178,52275
2020-11-19,19.69,20.5,19.55,20.46,10149156.0,20.083,44647
2020-11-20,20.36,20.5,19.97,20.21,8760106.0,20.216,34065
2020-11-23,20.6,21.65,20.45,21.61,12644180.0,21.171,50023
2020-11-24,22.44,22.5,21.91,22.23,17823640.0,22.155,73096
