date,open,high,low,close,volume,average,barCount
2020-07-13,2.82,2.82,2.71,2.71,2077070.0,2.7572,1574
2020-07-14,2.7,2.79,2.66,2.77,4264810.0,2.7464,2476
2020-07-15,2.81,2.84,2.74,2.79,1471480.0,2.7727,1048
2020-07-16,2.77,2.82,2.75,2.81,1248320.0,2.7996,1005
2020-07-17,2.81,2.89,2.8,2.84,1575150.0,2.8542,1214
2020-07-20,2.85,2.88,2.81,2.86,1731770.0,2.8553,1383
2020-07-21,2.88,2.88,2.79,2.81,2435310.0,2.8222,1946
2020-07-22,2.8,2.84,2.77,2.8,3069420.0,2.7872,2416
2020-07-23,2.8,2.83,2.73,2.76,1640530.0,2.7795,1283
2020-07-24,2.76,2.77,2.67,2.72,1303070.0,2.7242,1011
2020-07-27,2.73,2.85,2.73,2.85,1523750.0,2.8146,1097
2020-07-28,2.85,2.86,2.79,2.81,2894500.0,2.8286,2027
2020-07-29,2.83,2.96,2.82,2.96,1966730.0,2.913,1360
2020-07-30,2.92,2.99,2.9,2.97,1581940.0,2.9498,1150
2020-07-31,2.99,3.03,2.95,3.03,2499290.0,2.9792,1705
2020-08-03,3.1,3.12,3.02,3.03,3919840.0,3.0698,2821
2020-08-04,3.03,3.07,3.01,3.03,1946480.0,3.0329,1366
2020-08-05,3.05,3.11,3.01,3.08,1891810.0,3.0668,1255
2020-08-06,3.06,3.07,2.98,3.01,1614870.0,3.0192,1221
2020-08-07,3.01,3.05,2.97,3.02,1881240.0,3.0192,1236
2020-08-10,3.04,3.06,3.0,3.02,2005110.0,3.0326,1226
2020-08-11,3.05,3.12,3.03,3.05,4800030.0,3.0677,2359
2020-08-12,2.78,2.85,2.56,2.6,19956660.0,2.6468,10372
2020-08-13,2.61,2.64,2.54,2.6,6228370.0,2.5815,3978
2020-08-14,2.57,2.62,2.56,2.61,5238140.0,2.5992,2360
2020-08-17,2.62,2.63,2.56,2.57,2961230.0,2.5801,1613
2020-08-18,2.57,2.59,2.53,2.59,2957980.0,2.5687,2146
2020-08-19,2.6,2.64,2.58,2.59,2725940.0,2.61,1783
2020-08-20,2.57,2.62,2.56,2.62,2595770.0,2.6005,1642
2020-08-21,2.61,2.65,2.6,2.65,1632420.0,2.6278,1152
2020-08-24,2.66,2.7,2.63,2.67,2564570.0,2.6654,1569
2020-08-25,2.66,2.69,2.62,2.67,2884930.0,2.662,1454
2020-08-26,2.57,2.65,2.57,2.6,3979660.0,2.61,2544
2020-08-27,2.61,2.63,2.59,2.61,2593350.0,2.6116,1820
2020-08-28,2.63,2.74,2.63,2.71,4646620.0,2.708,2627
2020-08-31,2.7,2.79,2.7,2.74,3735770.0,2.7562,2246
2020-09-01,2.74,2.75,2.67,2.71,2326950.0,2.7133,1471
2020-09-02,2.69,2.75,2.64,2.73,3713130.0,2.7165,2433
2020-09-03,2.73,2.73,2.57,2.58,3001540.0,2.6243,2314
2020-09-04,2.61,2.63,2.49,2.55,1617160.0,2.557,1249
2020-09-08,2.53,2.58,2.47,2.53,1505500.0,2.5377,1132
2020-09-09,2.52,2.64,2.52,2.62,2147780.0,2.5948,1459
2020-09-10,2.63,2.63,2.54,2.54,1911080.0,2.5874,1379
2020-09-11,2.57,2.58,2.53,2.57,1371460.0,2.5586,1021
2020-09-14,2.59,2.64,2.57,2.63,1500160.0,2.6247,1141
2020-09-15,2.65,2.68,2.61,2.63,1776750.0,2.6433,1099
2020-09-16,2.63,2.66,2.62,2.63,1512830.0,2.6425,1142
2020-09-17,2.61,2.65,2.58,2.64,1288930.0,2.63,767
2020-09-18,2.67,2.71,2.65,2.69,2589590.0,2.6815,1303
2020-09-21,2.65,2.65,2.57,2.59,2216460.0,2.5937,1584
2020-09-22,2.62,2.64,2.54,2.6,2446400.0,2.566,1838
2020-09-23,2.61,2.65,2.51,2.51,1286480.0,2.5737,1004
2020-09-24,2.5,2.59,2.45,2.54,1124490.0,2.5454,874
2020-09-25,2.53,2.6,2.52,2.57,1197050.0,2.573,888
2020-09-28,2.61,2.66,2.61,2.65,1567830.0,2.6384,1027
2020-09-29,2.65,2.69,2.65,2.68,1153220.0,2.6714,805
2020-09-30,2.67,2.71,2.63,2.64,1325910.0,2.6625,840
2020-10-01,2.66,2.68,2.6,2.62,865730.0,2.63,645
