date,open,high,low,close,volume,average,barCount
2020-07-13,133.18,135.51,131.95,133.38,280207.0,133.746,2258
2020-07-14,132.99,136.53,132.2,136.44,197440.0,135.264,1370
2020-07-15,139.52,141.91,138.04,141.44,245752.0,140.883,1842
2020-07-16,140.61,144.32,140.1,142.82,275761.0,142.914,2090
2020-07-17,143.37,143.56,139.33,139.95,320097.0,140.05,1988
2020-07-20,138.97,139.32,136.22,137.16,122884.0,137.098,1044
2020-07-21,137.88,140.49,137.88,139.69,119164.0,139.592,952
2020-07-22,139.49,140.48,138.37,139.39,106952.0,139.166,864
2020-07-23,139.14,143.12,139.14,142.33,180182.0,142.046,1517
2020-07-24,142.75,143.49,139.75,141.75,298430.0,141.554,1820
2020-07-27,141.23,146.04,139.02,145.61,302361.0,144.037,2610
2020-07-28,144.42,145.21,142.71,143.0,234745.0,143.559,1685
2020-07-29,144.0,146.37,143.61,146.02,172331.0,144.95,1192
2020-07-30,144.02,146.85,142.36,145.3,394522.0,145.025,3345
2020-07-31,145.5,146.89,141.55,145.87,741118.0,144.298,4715
2020-08-03,146.46,146.46,141.25,143.62,311071.0,143.048,2286
2020-08-04,142.93,144.76,142.23,143.76,232040.0,143.703,1922
2020-08-05,145.53,148.53,145.53,148.16,283753.0,147.421,2219
2020-08-06,146.6,148.42,145.63,146.23,188431.0,146.977,1564
2020-08-07,146.47,147.39,145.63,147.3,284993.0,146.506,2334
2020-08-10,147.72,151.85,147.72,150.09,195451.0,150.447,1558
2020-08-11,151.89,155.4,151.81,153.88,285524.0,153.83,2326
2020-08-12,155.44,155.44,152.09,153.38,121721.0,153.423,1068
2020-08-13,152.31,153.98,151.81,153.1,119742.0,153.332,1048
2020-08-14,151.98,155.21,151.53,153.64,85491.0,153.965,679
2020-08-17,153.79,154.45,151.51,153.14,232284.0,153.28,1850
2020-08-18,152.88,154.07,151.59,151.77,220041.0,153.047,1790
2020-08-19,150.87,152.66,149.98,150.3,148578.0,151.018,1274
2020-08-20,148.6,149.75,148.12,148.87,208242.0,149.055,1534
2020-08-21,148.98,149.62,147.17,147.9,116157.0,148.155,943
2020-08-24,147.84,149.98,147.49,149.26,188443.0,148.971,1334
2020-08-25,149.98,149.98,146.33,147.83,152848.0,147.195,1054
2020-08-26,147.83,148.25,146.87,147.21,81962.0,147.439,643
2020-08-27,148.18,149.65,147.33,147.62,109830.0,148.072,899
2020-08-28,147.96,150.82,147.15,150.34,143336.0,149.622,1236
2020-08-31,150.1,150.22,148.09,148.27,192812.0,149.244,1229
2020-09-01,147.27,151.38,146.64,151.33,144068.0,149.867,1024
2020-09-02,151.37,155.61,151.37,155.16,203587.0,153.778,1565
2020-09-03,155.64,156.31,150.15,151.3,170622.0,151.823,1106
2020-09-04,153.92,155.16,150.42,151.22,195982.0,152.568,1274
2020-09-08,151.2,151.68,147.57,147.67,174810.0,149.187,1387
2020-09-09,148.77,151.57,148.6,150.45,110629.0,150.48,929
