date,open,high,low,close,volume,average,barCount
2020-07-13,200.0,201.79,193.62,194.15,444179.0,197.913,3584
2020-07-14,192.14,195.64,188.82,195.28,558705.0,192.463,4461
2020-07-15,195.51,196.7,192.34,194.35,563064.0,194.302,4662
2020-07-16,192.96,193.94,189.62,193.22,427120.0,191.585,3819
2020-07-17,194.63,197.11,192.64,196.28,348487.0,195.152,2319
2020-07-20,196.02,202.76,196.02,201.9,454428.0,201.222,3478
2020-07-21,203.5,203.82,198.9,199.69,280605.0,200.846,2442
2020-07-22,201.22,202.45,198.39,200.66,289274.0,200.297,2506
2020-07-23,200.89,204.22,196.92,197.8,237932.0,200.246,1872
2020-07-24,195.82,196.28,190.92,193.37,756099.0,192.882,6133
2020-07-27,194.61,198.09,194.12,197.09,277073.0,196.44,2421
2020-07-28,196.65,197.87,194.36,194.9,207433.0,195.869,1805
2020-07-29,195.92,199.85,195.92,198.42,258315.0,198.321,2107
2020-07-30,195.43,200.11,193.9,199.34,187056.0,198.263,1562
2020-07-31,200.6,200.6,194.93,199.22,545786.0,197.072,3910
2020-08-03,200.74,204.11,200.02,202.8,244376.0,202.693,2065
2020-08-04,201.08,202.8,199.45,201.85,269722.0,200.981,1978
2020-08-05,202.4,203.71,200.75,201.56,218736.0,202.266,1828
2020-08-06,201.21,202.58,198.89,202.26,204492.0,201.298,1766
2020-08-07,201.35,202.22,196.14,198.79,263383.0,199.471,2264
2020-08-10,197.91,198.19,194.4,195.64,331715.0,196.035,2488
2020-08-11,195.87,195.87,190.5,191.04,669464.0,192.533,4956
2020-08-12,191.2,195.07,191.04,194.34,475600.0,193.98,3176
2020-08-13,195.15,198.5,194.14,196.35,362697.0,196.605,2950
2020-08-14,195.77,198.28,195.46,196.16,251569.0,196.371,2095
2020-08-17,197.94,200.47,197.25,200.21,342739.0,199.491,2662
2020-08-18,201.42,201.61,199.3,200.09,533063.0,200.457,3285
2020-08-19,200.66,201.8,197.47,198.22,386572.0,199.16,2976
2020-08-20,206.5,216.2,202.1,215.16,1707033.0,210.699,12641
2020-08-21,213.87,214.45,207.29,213.1,1263726.0,211.44,9442
2020-08-24,214.86,216.64,210.56,213.77,397848.0,213.244,2805
2020-08-25,212.81,216.21,211.77,216.17,336968.0,214.895,2608
2020-08-26,216.89,221.32,216.66,219.77,338569.0,219.079,2406
2020-08-27,220.47,221.0,215.31,217.17,403458.0,217.355,3269
2020-08-28,217.3,219.89,216.79,219.49,322186.0,219.067,2408
2020-08-31,219.17,222.03,218.35,221.3,448674.0,220.941,3359
2020-09-01,221.3,226.21,220.24,225.34,320292.0,224.022,2330
2020-09-02,226.66,230.12,223.23,229.36,309005.0,227.798,2463
2020-09-03,226.33,226.76,212.76,214.79,562781.0,217.543,4508
2020-09-04,213.5,215.23,202.85,208.98,592256.0,208.963,4536
2020-09-08,202.95,206.13,198.47,198.99,883765.0,202.298,6105
2020-09-09,203.23,206.81,199.16,205.33,362664.0,203.609,2873
2020-09-10,205.84,209.11,202.13,203.28,349287.0,205.769,2536
2020-09-11,205.55,207.06,198.52,200.24,388320.0,201.457,3220
2020-09-14,202.7,206.68,201.8,205.54,291865.0,205.109,2297
2020-09-15,208.13,211.83,205.98,210.95,292468.0,210.452,2303
2020-09-16,212.47,213.2,206.71,206.86,323712.0,209.803,2813
2020-09-17,200.99,203.81,198.19,201.86,386108.0,201.283,3110
2020-09-18,202.22,203.22,194.2,197.93,601607.0,199.07,3786
2020-09-21,195.9,202.18,193.55,201.98,282911.0,199.414,2208
2020-09-22,203.41,205.07,198.91,204.8,365333.0,201.652,2927
2020-09-23,203.61,203.83,196.82,197.86,244786.0,199.982,1964
2020-09-24,196.46,202.83,196.46,201.51,479701.0,200.522,3634
2020-09-25,201.27,209.27,200.06,208.5,435620.0,206.536,3696
2020-09-28,210.51,212.84,209.26,212.64,349877.0,211.734,3057
