date,open,high,low,close,volume,average,barCount
2024-03-26,91.05,96.05,79.1,80.0,345968.0,85.627,1227
2024-03-27,80.0,80.0,74.18,75.0,425178.0,76.718,1316
2024-03-28,78.0,78.0,69.0,69.55,1172954.0,72.19,4396
2024-04-01,69.15,72.4,65.0,69.1,7285637.0,68.761,35481
2024-04-02,67.67,68.59,64.46,66.9,4434724.0,66.342,20040
2024-04-03,65.53,67.77,63.86,63.89,3959516.0,65.52,17179
2024-04-04,63.05,68.17,62.33,67.0,3788986.0,66.159,15609
2024-04-05,65.97,70.15,65.17,70.06,3229171.0,68.037,13063
2024-04-08,70.06,71.66,66.25,67.01,3379300.0,67.524,13606
2024-04-09,65.48,68.0,65.01,65.52,1840362.0,65.996,8280
2024-04-10,64.68,64.93,63.59,63.89,1416690.0,64.192,6170
2024-04-11,63.57,64.3,62.3,63.17,1544888.0,63.373,7165
2024-04-12,62.5,63.25,61.87,62.75,1279265.0,62.426,5623
2024-04-15,62.1,63.79,61.56,61.69,1377667.0,62.269,7232
2024-04-16,62.0,62.99,61.65,61.95,953783.0,62.124,4936
2024-04-17,61.82,62.67,61.5,61.75,980688.0,62.084,5644
2024-04-18,61.84,64.11,61.38,64.03,1434135.0,63.19,7631
2024-04-19,63.58,64.06,61.98,62.2,777644.0,62.792,4328
2024-04-22,62.25,62.76,61.82,62.07,874681.0,62.151,3549
2024-04-23,62.03,64.19,61.85,63.5,1068866.0,63.368,5546
2024-04-24,62.85,64.18,62.78,63.54,575422.0,63.427,3088
2024-04-25,62.75,63.07,60.72,61.83,2310309.0,61.833,6140
2024-04-26,61.46,64.69,61.32,64.43,1060530.0,63.602,4996
2024-04-29,63.49,66.67,63.04,65.91,1589733.0,65.261,7785
2024-04-30,65.21,65.86,63.75,65.01,1398796.0,65.029,7237
2024-05-01,64.95,66.85,64.28,65.15,969669.0,65.185,5315
2024-05-02,65.0,66.23,64.7,65.14,1052140.0,65.471,6069
2024-05-03,65.43,65.56,63.8,64.65,1203521.0,64.455,5830
2024-05-06,64.7,65.11,64.3,64.69,688947.0,64.664,3936
2024-05-07,64.79,65.9,64.46,65.56,1542113.0,65.207,7995
2024-05-08,65.23,66.97,65.15,66.43,1355070.0,66.159,6773
2024-05-09,65.52,67.5,63.48,64.83,2352547.0,64.982,10530
2024-05-10,63.8,64.81,63.03,63.74,1410484.0,63.79,6250
2024-05-13,64.0,64.44,63.11,63.14,975299.0,63.418,5838
2024-05-14,63.61,65.41,63.46,65.1,1107517.0,64.688,6374
2024-05-15,64.83,65.18,62.23,62.44,2101653.0,62.939,10025
2024-05-16,62.0,62.03,60.57,61.56,1828383.0,61.317,9986
2024-05-17,61.8,62.42,61.0,62.38,1242835.0,61.599,6705
2024-05-20,62.46,62.82,61.85,62.03,896012.0,62.161,4637
2024-05-21,61.8,62.25,61.14,61.22,888960.0,61.55,4180
2024-05-22,61.07,62.24,60.92,61.89,814737.0,61.771,4281
2024-05-23,61.28,61.6,59.88,59.93,1182219.0,60.31,6155
2024-05-24,59.81,60.78,59.06,60.45,825861.0,60.234,3837
2024-05-28,60.2,60.25,59.34,59.86,1120595.0,59.765,5358
2024-05-29,59.23,60.12,59.23,59.72,541399.0,59.685,3390
2024-05-30,59.11,59.16,56.72,58.35,2330067.0,58.035,10907
2024-05-31,58.06,59.4,57.19,59.34,1242405.0,58.422,7480
2024-06-03,59.34,59.87,56.81,57.05,923797.0,57.915,5793
2024-06-04,56.82,57.25,55.5,55.61,1427103.0,56.007,7091
2024-06-05,55.61,56.01,54.75,55.73,761408.0,55.589,4054
2024-06-06,55.38,55.44,54.47,55.05,1223696.0,55.01,6968
2024-06-07,54.5,56.78,54.47,56.41,898486.0,56.054,4876
2024-06-10,56.05,57.28,56.05,56.71,965307.0,56.896,6074
2024-06-11,56.6,56.79,56.18,56.54,734067.0,56.486,5086
2024-06-12,56.87,57.14,56.13,56.16,608054.0,56.612,3980
2024-06-13,55.83,56.7,54.0,54.13,916693.0,55.107,5217
2024-06-14,52.96,54.78,52.58,54.56,781270.0,54.171,5218
2024-06-17,54.42,54.79,53.19,54.63,910630.0,54.246,5603
2024-06-18,54.12,55.07,52.96,53.32,1229850.0,53.442,5907
2024-06-20,52.94,54.09,52.43,53.8,854870.0,53.387,4809
