date,open,high,low,close,volume,average,barCount
2020-07-13,64.78,65.14,62.2,63.69,4002363.0,63.858,20174
2020-07-14,63.08,63.96,61.37,61.93,3948859.0,62.464,21696
2020-07-15,64.54,66.72,63.83,66.59,5659762.0,65.362,28932
2020-07-16,65.0,65.61,62.59,62.9,4144524.0,63.725,22208
2020-07-17,62.79,63.56,62.08,62.4,3977821.0,62.57,18537
2020-07-20,62.15,62.39,60.12,60.42,4497302.0,60.762,20807
2020-07-21,60.98,62.38,60.39,60.95,4237195.0,61.571,21112
2020-07-22,61.06,62.14,60.12,62.03,2972226.0,61.474,15225
2020-07-23,61.02,62.69,60.61,61.8,2647551.0,61.512,12484
2020-07-24,61.6,62.28,60.3,60.57,2295028.0,60.891,10086
2020-07-27,60.47,61.98,59.03,61.96,3401583.0,60.592,17277
2020-07-28,61.57,65.07,61.35,64.14,4372734.0,63.847,19763
2020-07-29,64.59,65.63,62.65,65.59,2965267.0,64.434,14485
2020-07-30,63.5,64.6,62.62,63.62,2513660.0,63.632,12712
2020-07-31,63.31,63.9,61.5,62.35,2876595.0,62.354,16385
2020-08-03,61.21,61.79,59.91,61.03,2958496.0,61.033,14781
2020-08-04,61.23,63.63,61.07,62.99,2930787.0,62.726,16957
2020-08-05,63.87,64.58,62.27,62.5,2543625.0,62.837,14531
2020-08-06,62.71,62.71,61.19,61.2,3968880.0,61.802,22514
2020-08-07,61.34,62.54,60.51,62.19,5387725.0,61.765,26986
2020-08-10,65.32,69.17,63.82,65.47,14658876.0,66.359,63311
2020-08-11,68.16,70.99,66.83,67.15,11350601.0,68.897,52807
2020-08-12,67.8,68.94,65.62,67.83,5406087.0,67.083,28099
2020-08-13,67.17,68.25,65.73,66.02,4545861.0,66.584,21177
2020-08-14,65.38,68.45,65.17,68.18,4172975.0,67.661,19230
2020-08-17,68.35,68.39,66.18,68.18,3284329.0,67.389,16197
2020-08-18,67.37,67.5,63.88,65.13,6843200.0,65.433,30929
2020-08-19,65.12,65.64,63.74,63.88,3798508.0,64.387,17626
2020-08-20,63.33,65.45,62.9,64.87,3330975.0,64.71,15845
2020-08-21,64.8,65.54,63.9,64.52,2300752.0,64.422,10676
2020-08-24,65.05,68.52,63.86,68.5,4456583.0,66.713,20411
2020-08-25,69.36,70.14,66.52,68.65,4038900.0,68.043,18343
2020-08-26,68.48,68.61,65.75,66.31,3413008.0,66.611,16243
2020-08-27,66.62,69.1,66.62,67.57,3434478.0,67.809,15486
2020-08-28,68.1,69.9,66.95,69.84,2859167.0,68.65,13279
2020-08-31,69.66,69.82,67.44,67.85,2650822.0,68.11,12744
2020-09-01,66.65,67.88,65.9,67.2,2703095.0,67.077,13913
2020-09-02,66.64,68.03,65.96,67.84,2464034.0,67.081,12876
2020-09-03,68.51,70.98,66.87,68.0,4137725.0,68.627,20578
2020-09-04,69.5,72.48,68.84,70.24,5597828.0,70.467,25273
2020-09-08,69.46,70.75,68.79,70.05,2862246.0,69.863,15298
2020-09-09,69.84,70.17,67.96,68.86,3166045.0,68.644,15341
2020-09-10,68.59,69.83,66.0,66.19,3415309.0,67.3,18815
2020-09-11,66.44,66.46,63.38,64.15,3905917.0,64.684,20306
2020-09-14,65.0,67.93,64.52,67.8,2642402.0,66.801,14565
2020-09-15,68.03,71.83,67.69,71.07,4973913.0,70.283,23278
2020-09-16,71.03,75.2,70.04,74.12,6362014.0,73.499,33730
2020-09-17,71.47,74.24,70.87,71.88,3040428.0,72.215,16331
2020-09-18,71.24,71.9,69.59,69.83,3276488.0,70.61,15618
2020-09-21,67.07,67.22,64.35,64.87,4962704.0,65.383,24577
2020-09-22,65.02,67.07,64.75,65.11,4374107.0,65.569,19827
2020-09-23,65.59,66.8,62.72,62.89,3428634.0,64.147,15818
2020-09-24,62.08,64.16,59.6,62.83,4420326.0,62.097,18898
2020-09-25,62.0,63.93,62.0,63.58,1925960.0,63.071,9550
2020-09-28,65.8,66.54,64.8,65.79,2324557.0,65.745,12280
2020-09-29,65.33,65.34,62.9,63.99,3023325.0,63.931,17247
2020-09-30,64.15,66.12,63.7,64.68,2762390.0,64.884,13664
2020-10-01,64.88,66.56,64.25,66.53,2384835.0,65.384,13721
2020-10-02,64.13,68.5,64.05,68.2,3171881.0,66.815,16771
2020-10-05,68.71,69.33,67.42,68.76,2687593.0,68.319,12889
2020-10-06,69.75,72.63,69.01,69.98,4720424.0,70.578,23158
2020-10-07,70.32,72.16,69.8,71.03,2913673.0,71.306,14179
2020-10-08,70.83,71.23,69.4,70.07,2787976.0,70.224,14654
2020-10-09,70.08,70.35,67.51,67.72,2871834.0,68.384,14402
2020-10-12,67.64,68.11,66.7,68.02,2010401.0,67.446,11450
2020-10-13,66.97,67.33,65.47,65.82,2818277.0,66.026,14513
2020-10-14,65.89,66.54,65.26,65.72,1995915.0,65.889,11376
2020-10-15,64.71,66.52,64.59,65.12,2217438.0,65.531,11717
2020-10-16,65.53,65.71,64.15,64.82,2952599.0,64.784,15566
2020-10-19,65.0,65.35,63.84,63.91,2570513.0,64.387,13259
2020-10-20,64.89,66.08,64.43,64.46,2117215.0,65.093,11300
2020-10-21,64.12,65.01,63.34,64.21,2302752.0,64.229,10499
2020-10-22,64.01,66.54,63.9,66.35,2263916.0,65.55,9098
2020-10-23,66.6,67.8,65.92,66.88,2203146.0,66.708,12140
2020-10-26,66.01,66.1,63.87,64.68,3010762.0,64.596,14187
2020-10-27,64.1,64.58,61.95,61.98,2880908.0,62.872,14462
2020-10-28,60.3,61.63,59.35,60.76,4966586.0,60.496,23242
2020-10-29,60.69,64.11,60.17,63.41,4614085.0,63.107,22920
2020-10-30,62.98,63.62,60.83,62.81,2744662.0,62.08,14582
2020-11-02,62.96,64.88,62.59,64.71,2474434.0,64.126,13505
2020-11-03,65.6,66.0,64.4,64.99,2680953.0,65.365,15399
2020-11-04,64.9,64.91,62.12,62.28,3170354.0,63.481,16336
2020-11-05,62.93,64.1,62.45,63.47,2422650.0,63.491,12352
2020-11-06,63.5,64.83,61.64,61.86,3677824.0,62.476,19045
2020-11-09,74.87,82.5,73.1,79.1,19298569.0,77.59,89316
2020-11-10,76.7,84.49,75.31,78.84,11821401.0,79.752,59296
2020-11-11,77.98,78.5,72.52,73.41,5132362.0,74.551,24775
2020-11-12,71.66,72.63,68.01,69.14,6386038.0,70.211,32958
2020-11-13,71.63,75.15,70.8,74.7,5637037.0,73.538,27093
2020-11-16,79.95,82.42,78.85,78.96,10409777.0,80.253,52926
2020-11-17,77.95,81.33,76.98,78.96,4544243.0,79.277,23831
2020-11-18,77.87,81.05,76.6,76.61,5681109.0,78.703,27060
2020-11-19,75.99,81.33,75.49,80.63,11503431.0,79.207,62788
2020-11-20,80.48,81.79,79.26,81.12,5426652.0,80.919,29447
2020-11-23,84.75,86.3,82.3,85.41,7190345.0,84.642,37472
2020-11-24,88.74,91.37,88.42,88.79,7315710.0,89.269,38478
2020-11-25,88.41,88.88,86.3,87.19,4661820.0,87.501,24146
2020-11-27,87.96,88.6,85.53,85.55,1670339.0,86.84,8124
2020-11-30,85.32,86.9,82.4,82.57,3637642.0,83.996,20296
2020-12-01,84.65,86.29,83.89,84.99,3614607.0,85.125,19587
2020-12-02,83.73,87.99,82.6,87.25,3174705.0,86.044,18594
2020-12-03,87.89,91.7,87.29,89.63,4226032.0,89.842,21115
2020-12-04,92.24,94.36,90.7,93.91,3853936.0,93.003,19884
2020-12-07,93.01,93.61,89.0,89.37,3476863.0,90.059,18401
2020-12-08,89.79,91.95,88.5,90.11,3310739.0,90.739,16676
2020-12-09,90.62,92.16,89.19,90.84,3184521.0,90.791,14913
2020-12-10,89.12,90.96,89.08,90.44,1639079.0,90.264,9386
2020-12-11,89.21,89.93,86.29,87.9,3691570.0,87.86,19877
2020-12-14,90.02,90.18,86.75,87.32,3474840.0,87.861,20294
2020-12-15,88.44,89.76,87.22,89.74,4042127.0,88.833,22867
2020-12-16,88.19,90.3,88.1,88.28,2108909.0,88.813,11437
2020-12-17,89.19,89.23,87.49,89.03,1881091.0,88.442,9593
2020-12-18,88.74,89.07,84.92,85.43,3726718.0,86.383,17240
2020-12-21,83.95,84.5,82.25,83.65,3164939.0,83.45,17139
2020-12-22,85.5,85.56,82.02,83.72,3000897.0,83.146,14238
2020-12-23,83.34,85.25,83.21,83.65,1906684.0,84.297,10033
2020-12-24,84.0,84.59,83.05,84.37,587108.0,84.022,2803
2020-12-28,84.53,86.15,84.51,85.48,2238785.0,85.108,7900
2020-12-29,85.79,86.57,82.94,83.29,1670356.0,83.97,9231
2020-12-30,83.21,85.55,83.21,83.97,2082050.0,84.401,9233
2020-12-31,83.52,85.35,82.35,85.28,1694447.0,84.103,7967
2021-01-04,85.66,86.24,82.06,82.81,3032003.0,83.263,16866
2021-01-05,83.15,84.32,82.93,83.17,3140364.0,83.664,14646
2021-01-06,84.0,86.48,83.75,85.07,6357754.0,85.191,22692
2021-01-07,85.84,87.24,84.51,85.13,2725522.0,85.712,13419
2021-01-08,85.34,86.5,83.7,86.49,2569753.0,85.223,15049
2021-01-11,85.54,85.6,82.85,83.14,2990649.0,83.838,15434
2021-01-12,83.84,85.99,83.21,85.43,2761871.0,84.941,15230
2021-01-13,85.4,89.28,85.4,88.87,3004066.0,87.942,15573
2021-01-14,89.42,95.75,89.31,94.95,5814087.0,93.78,26974
2021-01-15,94.0,94.24,92.33,93.0,2896787.0,93.266,15013
2021-01-19,93.1,93.78,90.74,92.67,1968575.0,92.317,11603
2021-01-20,92.33,96.01,92.02,95.29,2589726.0,94.738,14064
2021-01-21,95.06,95.76,93.7,94.51,1971143.0,94.531,12032
2021-01-22,93.0,96.0,92.05,95.49,2854726.0,94.27,15763
2021-01-25,94.66,100.17,94.0,97.48,4051301.0,97.587,22191
2021-01-26,98.5,99.66,96.64,99.05,2623723.0,98.539,15189
2021-01-27,98.23,103.5,96.09,96.64,4330981.0,98.956,25674
2021-01-28,97.24,99.03,96.68,97.51,1903329.0,97.887,13223
2021-01-29,97.19,97.83,92.11,92.93,3140318.0,94.536,17592
2021-02-01,93.43,93.6,90.56,92.94,2326971.0,91.711,15311
2021-02-02,94.11,94.11,91.36,92.46,1926407.0,92.561,11682
2021-02-03,92.36,93.75,91.02,93.38,1931859.0,92.463,11451
2021-02-04,93.38,96.24,93.38,95.16,1868604.0,95.304,11127
2021-02-05,96.41,97.9,95.92,96.75,1861845.0,97.151,9992
2021-02-08,97.6,99.47,96.66,98.94,3008718.0,98.693,15767
2021-02-09,102.5,105.02,101.35,102.55,4515344.0,103.27,24315
