date,open,high,low,close,volume,average,barCount
2020-07-13,151.62,153.88,149.83,150.16,227025.0,151.841,2073
2020-07-14,150.12,153.53,149.82,153.32,286468.0,151.488,2187
2020-07-15,155.82,158.41,155.13,157.59,195000.0,157.59,1656
2020-07-16,157.63,157.95,156.21,157.1,147955.0,156.996,1230
2020-07-17,158.02,160.81,157.18,159.96,304744.0,159.589,2124
2020-07-20,159.94,160.5,156.87,157.45,139864.0,157.768,1200
2020-07-21,157.52,158.52,156.17,157.16,188601.0,157.293,1433
2020-07-22,157.08,158.05,156.22,157.84,165001.0,157.39,1404
2020-07-23,158.23,159.14,156.97,158.03,194760.0,158.082,1480
2020-07-24,158.14,158.14,154.86,156.35,137150.0,156.563,1215
2020-07-27,156.35,158.82,156.34,157.69,199970.0,157.814,1845
2020-07-28,157.27,158.66,155.85,157.11,228074.0,157.644,1542
2020-07-29,157.8,163.34,157.8,161.73,348563.0,162.043,2964
2020-07-30,159.08,161.46,158.13,161.13,190264.0,159.927,1497
2020-07-31,160.22,160.65,157.27,159.63,202911.0,158.561,1761
2020-08-03,159.94,162.9,159.94,161.07,236606.0,161.534,2014
2020-08-04,161.58,164.12,157.3,158.0,367248.0,159.084,3217
2020-08-05,159.7,159.91,157.12,157.67,178792.0,158.16,1551
2020-08-06,157.65,157.65,154.64,155.98,231149.0,155.582,1734
2020-08-07,155.9,157.14,152.37,154.22,233635.0,154.138,1933
2020-08-10,154.1,156.9,153.52,155.88,341951.0,155.885,2745
2020-08-11,156.71,160.26,156.24,158.72,344120.0,159.032,2964
2020-08-12,159.33,160.97,158.78,160.51,206977.0,160.161,1640
2020-08-13,159.53,160.33,158.62,159.2,106814.0,159.346,974
2020-08-14,158.15,159.9,158.05,158.7,115678.0,158.848,1019
2020-08-17,158.7,160.7,157.66,158.11,124531.0,158.402,1093
2020-08-18,158.71,159.62,155.88,157.75,139955.0,157.374,1239
2020-08-19,157.94,157.94,156.27,156.96,203425.0,157.037,1635
2020-08-20,156.14,156.97,154.59,154.66,118720.0,155.34,1042
2020-08-21,154.91,155.0,152.38,153.46,164697.0,153.291,1167
2020-08-24,153.84,154.87,151.87,153.12,142692.0,152.72,1162
2020-08-25,154.3,155.21,153.75,154.59,148215.0,154.421,1318
2020-08-26,153.68,154.61,151.79,154.27,167515.0,153.125,1392
2020-08-27,154.27,157.71,153.8,156.93,179448.0,156.438,1271
2020-08-28,157.75,158.58,155.63,157.64,144526.0,157.058,1075
2020-08-31,157.84,160.4,157.6,159.64,152440.0,159.318,1328
2020-09-01,158.9,160.23,157.7,158.77,212442.0,158.658,1663
2020-09-02,160.25,164.16,159.2,163.55,178712.0,162.268,1491
2020-09-03,163.8,163.8,158.47,160.48,178679.0,160.05,1598
2020-09-04,161.69,162.15,156.96,157.92,129931.0,158.884,1114
2020-09-08,157.1,159.59,155.99,159.02,382167.0,158.585,2651
2020-09-09,160.14,163.74,160.14,163.02,199767.0,162.694,1697
2020-09-10,163.6,165.32,161.25,162.09,306264.0,163.286,2378
2020-09-11,162.9,164.41,161.62,162.28,352993.0,162.87,2636
2020-09-14,163.67,167.85,163.58,167.17,228900.0,166.315,1951
2020-09-15,167.17,170.71,166.97,169.64,407911.0,169.538,2668
2020-09-16,170.63,171.71,169.36,170.16,307023.0,170.141,2691
2020-09-17,169.17,171.89,168.02,171.51,207763.0,170.475,1675
2020-09-18,171.52,176.06,171.25,175.91,521444.0,174.507,4012
2020-09-21,173.95,173.95,168.55,172.05,416992.0,170.37,3472
2020-09-22,171.78,172.21,166.5,169.59,266149.0,168.309,2208
2020-09-23,169.77,170.44,165.19,165.67,216308.0,167.725,1646
2020-09-24,165.28,168.44,164.19,167.26,191347.0,167.067,1571
2020-09-25,166.32,170.67,165.76,170.21,319765.0,168.939,1430
2020-09-28,172.97,175.37,172.47,172.96,231188.0,173.657,1510
2020-09-29,173.47,174.73,172.18,172.82,243945.0,173.071,2157
2020-09-30,173.0,177.75,173.0,176.19,268906.0,175.361,1652
2020-10-01,177.11,178.76,173.21,174.47,248665.0,175.584,1800
2020-10-02,172.04,174.18,171.35,172.67,294066.0,172.916,2463
2020-10-05,173.43,175.02,173.19,174.72,237183.0,174.202,1825
2020-10-06,176.19,184.99,176.03,181.01,474291.0,181.519,3356
2020-10-07,182.97,186.02,181.38,185.29,196709.0,184.549,1571
2020-10-08,187.0,187.0,185.92,186.75,127130.0,186.649,965
2020-10-09,187.57,189.35,186.6,188.45,143957.0,188.221,1202
2020-10-12,189.2,192.97,188.43,191.82,151216.0,191.567,1200
2020-10-13,190.63,191.19,187.36,187.68,165309.0,188.372,1382
2020-10-14,187.92,190.82,185.61,186.58,156925.0,187.104,1263
2020-10-15,185.51,188.42,184.33,187.33,169863.0,186.909,1350
2020-10-16,187.52,190.57,187.52,188.88,104573.0,189.267,722
2020-10-19,189.34,191.52,186.08,186.43,87160.0,187.513,705
2020-10-20,186.87,189.25,185.86,186.34,74349.0,187.312,616
2020-10-21,186.23,187.56,185.66,185.95,74449.0,186.65,626
2020-10-22,186.59,189.58,186.11,188.19,104068.0,188.058,795
2020-10-23,189.27,189.27,185.86,187.54,83326.0,187.29,716
2020-10-26,185.81,186.58,183.78,186.42,86839.0,185.524,679
2020-10-27,186.83,188.01,184.84,185.35,130508.0,185.939,1016
2020-10-28,182.99,182.99,178.18,178.62,131720.0,179.658,1005
2020-10-29,178.06,179.66,175.5,177.33,214440.0,177.433,1718
2020-10-30,176.73,178.66,172.9,177.19,169429.0,175.798,1429
2020-11-02,178.24,182.73,177.68,181.57,273346.0,180.721,2410
2020-11-03,182.15,186.58,174.18,176.38,367534.0,177.355,2864
2020-11-04,178.74,181.77,176.2,177.62,211406.0,178.63,1792
2020-11-05,178.63,180.01,177.95,179.16,133119.0,179.026,1139
2020-11-06,179.2,182.66,179.2,181.67,176059.0,181.514,1426
2020-11-09,190.23,195.24,190.05,190.05,380426.0,192.243,3108
2020-11-10,190.45,190.45,184.17,189.48,217568.0,187.568,1853
2020-11-11,190.33,190.67,187.27,189.18,79544.0,188.838,621
2020-11-12,189.06,190.09,185.69,189.02,144220.0,187.936,1100
2020-11-13,189.78,193.3,189.78,192.79,117645.0,191.757,902
2020-11-16,195.0,196.55,192.14,195.58,178035.0,194.95,1484
2020-11-17,194.69,195.69,191.9,195.21,173129.0,193.998,1226
2020-11-18,195.88,195.88,190.53,191.94,174782.0,192.844,1312
2020-11-19,192.51,195.38,190.72,194.73,143543.0,193.28,1112
2020-11-20,194.46,196.8,193.42,196.05,199931.0,195.5,1444
2020-11-23,196.25,196.42,188.37,189.09,214623.0,190.399,1675
2020-11-24,188.8,191.85,188.27,190.63,153800.0,190.527,1110
2020-11-25,191.14,191.14,188.44,189.29,115358.0,189.32,953
2020-11-27,189.83,191.95,188.49,191.69,86347.0,190.128,659
2020-11-30,191.69,193.82,190.36,193.81,197370.0,192.362,1648
2020-12-01,195.0,195.0,191.9,193.93,242055.0,193.919,1754
2020-12-02,192.54,194.37,191.72,192.8,139635.0,193.363,1037
2020-12-03,192.1,193.08,190.57,192.69,172084.0,191.952,1332
2020-12-04,192.3,194.11,192.17,193.49,193029.0,193.175,1632
2020-12-07,193.94,193.94,186.9,187.63,323535.0,189.15,2954
2020-12-08,186.86,189.36,185.53,189.09,198089.0,188.393,1766
2020-12-09,189.64,190.09,186.94,188.25,114784.0,187.99,1024
2020-12-10,188.0,191.17,186.96,189.76,123428.0,189.965,898
2020-12-11,189.49,190.11,185.99,186.22,127707.0,187.034,1141
2020-12-14,186.93,189.4,185.94,186.33,200013.0,187.184,1450
2020-12-15,187.5,190.68,186.55,188.24,244572.0,188.371,1953
2020-12-16,188.3,188.43,181.31,181.76,418954.0,183.054,2583
2020-12-17,182.4,183.74,180.59,182.64,426124.0,182.407,3169
2020-12-18,182.85,185.0,181.73,184.9,429225.0,183.511,2837
2020-12-21,182.53,184.54,178.08,184.12,138544.0,182.568,1175
2020-12-22,183.39,184.54,181.67,182.59,121999.0,182.802,1021
2020-12-23,183.14,185.12,182.35,184.16,130042.0,184.237,1034
2020-12-24,184.67,186.21,184.06,186.19,50100.0,185.403,393
2020-12-28,188.15,189.09,185.52,185.72,135664.0,186.773,977
2020-12-29,186.52,187.8,184.43,185.59,89701.0,185.402,764
2020-12-30,186.44,187.97,185.46,186.29,78608.0,186.482,700
2020-12-31,187.27,189.7,184.89,189.54,101668.0,187.864,879
2021-01-04,189.78,192.41,186.15,188.49,225438.0,188.648,1722
2021-01-05,189.46,193.22,187.46,191.82,180732.0,191.13,1491
2021-01-06,190.22,197.05,190.22,195.24,364029.0,195.638,2473
2021-01-07,194.92,200.25,194.92,199.79,120831.0,198.041,966
2021-01-08,199.0,203.9,199.0,202.81,141746.0,202.145,1197
2021-01-11,201.64,203.91,199.79,200.46,139602.0,200.971,1130
2021-01-12,199.91,201.43,190.72,192.06,540921.0,193.952,4277
2021-01-13,193.08,195.51,191.05,194.1,253471.0,193.906,2142
2021-01-14,194.71,197.78,189.45,189.84,201334.0,191.671,1703
2021-01-15,189.76,189.98,183.91,184.38,423021.0,185.567,3470
2021-01-19,186.23,188.79,181.75,188.71,513920.0,186.18,3414
2021-01-20,188.27,191.3,188.25,189.53,213641.0,189.559,1688
2021-01-21,188.64,190.5,187.42,188.33,426233.0,188.662,2418
2021-01-22,187.64,189.54,187.06,188.76,207146.0,188.558,1655
2021-01-25,188.7,191.06,188.31,190.41,245524.0,189.77,1941
2021-01-26,190.41,194.1,189.65,193.18,252279.0,192.692,2066
2021-01-27,190.02,192.35,187.27,192.3,787710.0,191.151,5790
2021-01-28,193.76,195.0,189.61,191.18,396991.0,191.817,2959
2021-01-29,190.51,191.44,185.28,187.11,296564.0,187.818,2479
2021-02-01,188.16,189.1,183.96,186.32,478238.0,186.454,3525
2021-02-02,187.89,193.34,186.93,191.08,359730.0,190.773,3006
2021-02-03,189.04,189.05,176.56,182.87,899096.0,181.711,6193
2021-02-04,186.09,190.03,184.78,185.61,328972.0,187.011,2675
2021-02-05,185.88,187.79,182.97,183.18,228304.0,184.146,2070
2021-02-08,183.1,186.07,182.42,183.85,282837.0,184.405,2421
2021-02-09,184.06,185.98,182.03,182.77,125769.0,183.022,1100
2021-02-10,184.31,184.9,182.69,183.3,206666.0,183.38,1607
2021-02-11,184.02,184.42,181.97,182.34,347096.0,182.438,2189
2021-02-12,181.59,184.0,181.52,183.0,430955.0,182.825,3442
2021-02-16,182.92,184.13,181.63,182.5,339921.0,182.824,2907
2021-02-17,182.34,185.03,181.71,185.0,612385.0,183.345,3878
2021-02-18,184.06,185.12,181.81,181.86,513973.0,183.736,3571
2021-02-19,182.0,182.57,178.22,178.73,216007.0,180.028,1757
2021-02-22,177.0,177.9,173.11,175.62,304499.0,175.219,2691
2021-02-23,175.8,176.21,172.52,173.27,366950.0,173.838,3182
2021-02-24,172.73,175.06,172.45,173.11,362786.0,173.908,2922
2021-02-25,173.26,174.92,171.83,172.99,195379.0,173.255,1689
2021-02-26,173.43,176.18,172.19,174.8,711660.0,174.577,4526
2021-03-01,176.05,179.51,175.86,177.77,298066.0,177.588,2298
2021-03-02,178.17,178.78,175.78,177.77,354805.0,177.246,2843
2021-03-03,176.65,177.62,171.32,171.65,381839.0,173.856,2787
2021-03-04,171.34,177.1,170.36,171.2,1070447.0,174.394,6555
2021-03-05,172.66,177.79,172.37,177.15,329593.0,175.628,2659
2021-03-08,176.83,176.83,170.63,172.65,635133.0,173.662,4802
2021-03-09,174.64,179.71,174.34,179.03,596186.0,178.079,3802
2021-03-10,180.62,180.71,178.08,179.99,354886.0,179.724,2715
2021-03-11,180.94,182.32,179.69,181.55,356758.0,181.469,2757
2021-03-12,180.46,185.3,179.26,184.05,233119.0,183.487,1973
2021-03-15,183.97,187.17,183.16,187.06,329282.0,186.037,2756
2021-03-16,186.15,188.18,185.52,186.87,273431.0,186.693,2304
