date,open,high,low,close,volume,average,barCount
2020-07-13,65.06,65.74,63.31,64.59,1139829.0,64.868,8704
2020-07-14,64.62,65.16,63.34,64.99,1131190.0,64.545,8709
2020-07-15,64.3,64.98,62.93,64.64,1894223.0,63.974,14007
2020-07-16,64.02,65.54,63.63,64.52,1172154.0,64.487,8799
2020-07-17,63.88,64.43,61.14,61.71,2555899.0,62.269,16523
2020-07-20,61.33,61.69,60.02,60.36,1910246.0,60.678,12813
2020-07-21,60.75,62.1,60.75,61.8,1105133.0,61.563,8390
2020-07-22,61.28,61.76,60.21,61.4,1295108.0,61.23,8949
2020-07-23,61.09,62.77,60.56,62.41,1513246.0,61.907,9699
2020-07-24,62.56,63.3,61.76,62.35,1184851.0,62.454,8348
2020-07-27,61.81,62.92,60.75,62.85,1441835.0,62.412,9339
2020-07-28,62.37,63.45,62.33,63.09,1827089.0,63.032,10381
2020-07-29,63.02,64.52,62.35,64.39,1029343.0,63.609,7604
2020-07-30,63.09,63.51,62.16,63.5,1100139.0,63.041,6968
2020-07-31,63.33,63.91,62.94,63.79,1597859.0,63.482,9551
2020-08-03,64.01,64.7,63.11,64.32,1011992.0,64.136,6846
2020-08-04,64.35,64.94,64.13,64.91,906239.0,64.545,6317
2020-08-05,65.42,66.89,65.3,66.74,1892037.0,66.24,11719
2020-08-06,66.71,67.23,65.86,66.54,1241229.0,66.409,8098
2020-08-07,66.15,69.59,66.05,69.57,1480006.0,68.415,9868
2020-08-10,69.72,70.07,68.69,69.87,1111189.0,69.679,6836
2020-08-11,71.09,72.13,70.15,70.35,1535190.0,70.929,8887
2020-08-12,71.53,71.96,69.82,71.18,1001616.0,70.95,7041
2020-08-13,70.45,71.15,69.74,70.35,928180.0,70.498,6000
2020-08-14,69.95,71.02,69.95,70.53,499244.0,70.634,3588
2020-08-17,70.35,70.39,68.79,69.21,1084491.0,69.295,7111
2020-08-18,68.95,69.74,68.6,69.67,973877.0,69.438,6386
2020-08-19,69.73,70.68,69.51,70.45,1328703.0,70.255,7401
2020-08-20,69.33,69.44,67.73,67.93,1275261.0,68.363,7246
2020-08-21,67.73,68.19,67.27,67.55,993080.0,67.649,5515
2020-08-24,67.9,69.2,67.65,68.94,1223112.0,68.783,7697
2020-08-25,69.57,70.06,68.87,69.07,961004.0,69.177,5378
2020-08-26,69.0,69.04,67.91,67.98,866604.0,68.327,5679
2020-08-27,68.09,69.71,68.09,69.25,618671.0,69.216,4762
2020-08-28,69.69,70.24,68.99,70.11,693480.0,69.802,5014
2020-08-31,69.93,69.93,68.07,68.09,682403.0,68.537,5024
2020-09-01,67.72,69.04,67.31,68.58,1013648.0,68.351,7960
2020-09-02,68.52,70.23,68.27,69.88,2495299.0,69.888,11823
2020-09-03,70.51,71.14,66.84,67.4,1775084.0,68.368,12171
2020-09-04,68.74,69.77,67.01,68.35,2273964.0,68.257,15162
2020-09-08,67.25,67.63,65.39,65.55,1299409.0,66.09,9824
2020-09-09,66.17,66.49,65.76,65.79,2471914.0,66.168,10328
2020-09-10,66.14,66.2,64.05,64.23,1763493.0,64.805,11040
2020-09-11,64.34,66.21,63.87,64.91,1828288.0,64.884,10437
2020-09-14,65.53,66.79,63.9,64.43,1990715.0,64.924,14839
2020-09-15,64.48,64.77,62.52,63.2,1144598.0,63.375,8291
2020-09-16,63.28,64.68,63.05,63.32,1848026.0,63.972,9949
2020-09-17,62.22,63.16,62.1,62.37,1352492.0,62.495,10402
2020-09-18,61.92,63.61,61.77,61.95,1671682.0,62.395,10751
2020-09-21,60.51,61.37,58.78,59.92,1472407.0,59.692,11233
2020-09-22,59.43,59.98,57.86,58.88,1654483.0,58.564,10851
2020-09-23,59.12,59.8,57.65,57.77,920216.0,58.555,6973
2020-09-24,57.85,58.47,56.63,57.68,778495.0,57.664,5794
2020-09-25,57.02,58.61,56.75,58.5,807052.0,57.999,6443
2020-09-28,59.68,61.2,59.5,60.49,1103889.0,60.635,8315
2020-09-29,60.28,60.59,59.26,59.89,806762.0,59.877,5978
2020-09-30,59.53,60.34,58.72,59.33,1614671.0,59.416,10616
2020-10-01,59.76,60.06,58.05,58.75,1649696.0,58.712,11681
2020-10-02,57.84,59.88,57.6,59.68,1315603.0,59.185,6708
2020-10-05,60.1,61.67,60.1,61.39,819857.0,61.332,5864
2020-10-06,61.99,62.96,60.72,61.02,941865.0,61.718,6670
2020-10-07,61.46,63.72,61.46,63.41,1132260.0,63.074,8097
2020-10-08,63.83,65.05,63.47,65.0,1066549.0,64.498,7549
2020-10-09,65.94,67.31,65.64,66.43,1925191.0,66.565,11882
2020-10-12,66.29,67.64,65.73,67.22,1033562.0,66.801,8208
