date,open,high,low,close,volume,average,barCount
2020-07-13,133.51,134.81,128.82,129.47,1042171.0,132.641,7789
2020-07-14,127.99,131.49,126.53,131.18,1150068.0,129.134,7101
2020-07-15,132.0,132.4,129.01,131.32,738349.0,130.768,5602
2020-07-16,130.09,132.55,129.13,131.63,902261.0,131.249,6664
2020-07-17,132.25,134.28,131.81,133.95,926861.0,133.424,5876
2020-07-20,134.72,138.07,133.83,137.8,1219355.0,136.398,8386
2020-07-21,139.1,139.88,136.67,137.45,1204511.0,137.981,8261
2020-07-22,137.0,138.42,135.19,136.3,975416.0,136.317,6856
2020-07-23,137.12,139.19,134.49,135.34,1772488.0,136.82,11293
2020-07-24,131.69,136.0,128.55,131.61,2100573.0,132.606,13554
2020-07-27,133.61,137.76,132.32,136.69,1319521.0,136.128,8167
2020-07-28,137.37,137.95,134.46,134.66,1064957.0,135.928,7037
2020-07-29,135.88,137.22,134.59,136.45,698236.0,135.896,4896
2020-07-30,134.92,142.26,134.8,142.19,2315606.0,140.039,14433
2020-07-31,144.41,145.9,141.25,145.58,2433784.0,143.729,15440
2020-08-03,146.92,149.49,146.56,147.2,1232590.0,148.182,8440
2020-08-04,147.37,147.89,142.96,145.27,1078536.0,144.611,6961
2020-08-05,144.85,146.12,143.45,145.37,878432.0,144.686,6243
2020-08-06,145.7,149.19,145.09,148.07,751174.0,147.57,5092
2020-08-07,148.71,148.73,142.4,144.37,928037.0,144.603,6298
2020-08-10,143.84,144.49,141.0,143.54,950996.0,143.209,6794
2020-08-11,143.14,144.57,140.77,141.33,1085673.0,142.787,7703
2020-08-12,142.45,147.85,141.35,147.56,1077400.0,145.868,7341
2020-08-13,147.7,149.32,146.8,148.06,941208.0,148.209,6603
2020-08-14,148.48,148.62,145.5,146.12,637311.0,146.303,4191
2020-08-17,147.37,147.68,144.64,146.09,617103.0,146.221,4363
2020-08-18,145.47,146.62,143.07,143.19,776896.0,144.125,5508
2020-08-19,143.59,143.87,141.43,142.05,1136953.0,142.576,8615
2020-08-20,140.64,142.26,139.36,140.63,1155376.0,140.531,8307
2020-08-21,140.25,142.31,139.4,142.05,830074.0,141.509,5668
2020-08-24,143.67,144.25,141.02,142.25,987839.0,141.993,7079
2020-08-25,142.96,143.88,141.41,142.53,802490.0,142.17,4831
2020-08-26,142.5,143.81,141.29,142.71,843173.0,142.561,5217
2020-08-27,143.47,143.47,138.7,140.1,1258574.0,140.525,8755
2020-08-28,140.72,143.71,140.29,143.62,625020.0,142.422,4575
2020-08-31,143.59,145.39,141.94,144.85,971220.0,144.18,6618
2020-09-01,145.98,147.76,144.53,146.46,901786.0,146.603,5976
2020-09-02,148.55,154.24,147.21,153.29,1458243.0,151.177,9529
2020-09-03,149.01,149.59,139.43,139.91,2130999.0,142.04,13993
2020-09-04,139.66,141.65,133.86,139.01,2020518.0,138.319,14369
2020-09-08,133.27,135.44,130.72,130.84,1545962.0,132.853,11036
2020-09-09,135.12,138.58,135.08,137.61,1653332.0,137.377,12112
2020-09-10,139.38,140.65,134.19,135.23,1425568.0,137.093,9535
2020-09-11,138.0,138.44,134.13,136.15,912373.0,136.39,6213
2020-09-14,138.55,138.88,136.08,137.79,708658.0,137.469,4731
2020-09-15,139.4,142.76,139.3,140.91,976734.0,141.237,6627
2020-09-16,142.41,142.83,140.25,140.34,842990.0,141.621,5595
2020-09-17,135.5,138.83,134.95,138.36,964505.0,137.522,6645
2020-09-18,139.42,139.91,133.67,136.01,1358520.0,136.829,7723
2020-09-21,133.58,134.64,131.44,134.25,1175805.0,133.336,9046
2020-09-22,135.59,139.7,133.77,139.64,1039405.0,137.35,7386
2020-09-23,139.02,139.63,133.59,133.92,802660.0,136.185,5752
2020-09-24,131.96,137.63,131.94,135.2,913475.0,135.387,6671
2020-09-25,135.6,138.91,133.62,138.0,1249448.0,136.967,9250
2020-09-28,140.4,144.01,139.02,143.97,1123459.0,141.763,8047
2020-09-29,145.49,146.48,143.71,144.35,925423.0,145.009,6577
2020-09-30,143.65,147.13,143.36,145.5,1057400.0,145.612,7706
2020-10-01,147.5,152.48,147.14,152.1,1223723.0,150.184,8675
2020-10-02,148.23,149.62,146.8,146.83,900913.0,148.224,6420
2020-10-05,148.1,151.76,148.1,151.62,674284.0,150.496,4782
2020-10-06,150.58,151.7,146.54,147.27,961258.0,149.6,6526
2020-10-07,149.64,151.03,149.02,149.86,751198.0,150.057,5007
2020-10-08,150.96,151.66,149.81,151.55,1426811.0,151.087,9119
2020-10-09,153.46,154.84,152.48,154.28,1273064.0,154.024,6573
2020-10-12,156.06,158.61,155.25,157.09,1575769.0,156.945,8958
2020-10-13,157.78,158.0,152.4,153.2,1356626.0,154.869,8122
2020-10-14,154.4,154.83,151.81,153.31,736070.0,153.4,4548
2020-10-15,150.49,153.74,149.6,153.38,651469.0,152.053,3633
2020-10-16,154.06,154.92,152.92,153.15,606898.0,153.945,3579
2020-10-19,154.51,156.98,150.38,151.14,760904.0,153.203,4570
2020-10-20,152.54,153.96,151.43,152.45,586435.0,152.812,3756
2020-10-21,152.55,153.5,150.31,150.39,490401.0,151.638,2930
2020-10-22,150.91,151.53,147.32,149.73,509706.0,149.472,3210
2020-10-23,149.59,150.55,148.82,149.76,469516.0,149.726,3328
2020-10-26,148.39,148.76,144.81,147.29,644959.0,146.682,4623
2020-10-27,147.5,148.2,144.41,145.12,616553.0,145.789,4797
2020-10-28,142.34,142.94,139.09,139.79,950854.0,140.473,6511
2020-10-29,139.89,146.79,139.8,145.16,878104.0,144.54,5998
2020-10-30,142.83,143.92,139.63,141.29,1051796.0,141.139,7330
2020-11-02,143.52,144.85,139.93,142.12,1422656.0,141.874,9113
2020-11-03,141.92,142.93,134.84,138.8,3943588.0,138.09,22512
2020-11-04,142.09,142.62,139.15,139.53,2025985.0,140.548,12698
2020-11-05,143.91,149.33,142.5,149.12,3749371.0,146.443,22091
2020-11-06,148.09,148.71,143.92,146.74,1655478.0,146.632,10899
2020-11-09,151.35,151.89,144.41,144.58,1404540.0,148.323,9496
2020-11-10,142.87,143.99,136.86,137.24,1715311.0,138.871,10634
2020-11-11,139.75,144.5,139.16,143.87,1219054.0,143.271,7948
2020-11-12,144.35,144.43,140.34,141.34,1098139.0,142.421,7362
2020-11-13,144.14,145.05,140.95,141.5,844819.0,142.372,5258
2020-11-16,141.0,143.74,140.66,143.41,1231428.0,142.949,7711
2020-11-17,143.51,143.51,140.55,140.78,905379.0,141.334,6157
2020-11-18,141.11,141.24,137.44,137.56,1296796.0,139.166,8846
2020-11-19,137.17,139.5,136.0,139.36,1177403.0,138.069,8129
2020-11-20,139.02,141.76,138.39,140.39,1187800.0,140.876,7352
2020-11-23,141.05,141.78,136.56,138.03,2057631.0,137.938,14173
2020-11-24,138.51,139.71,135.33,138.85,1394273.0,138.342,10071
2020-11-25,138.75,138.91,134.28,135.95,2181656.0,135.926,14446
2020-11-27,137.42,138.77,135.97,136.16,808075.0,137.179,5029
2020-11-30,136.38,141.25,136.38,141.17,1526787.0,139.08,10800
2020-12-01,142.0,145.46,141.16,144.0,1595611.0,143.693,9635
2020-12-02,143.21,145.06,142.51,143.45,753846.0,143.888,5313
2020-12-03,144.17,145.35,143.05,143.71,693908.0,144.283,4487
2020-12-04,143.74,150.28,143.73,150.17,1378162.0,148.06,8452
2020-12-07,150.97,154.11,150.55,153.42,1164776.0,152.858,7958
2020-12-08,153.6,156.0,152.76,155.79,882322.0,154.435,6130
2020-12-09,155.0,155.04,147.45,148.29,1559424.0,150.498,10284
2020-12-10,147.32,148.06,145.53,145.54,899343.0,146.553,6637
2020-12-11,143.9,144.45,138.61,139.24,2405860.0,140.213,16013
2020-12-14,140.24,140.43,137.94,139.26,1670799.0,139.202,11168
2020-12-15,143.6,146.4,142.96,144.68,1503763.0,144.911,10092
2020-12-16,145.19,148.42,143.6,147.54,1115114.0,146.654,7664
2020-12-17,149.0,150.29,145.4,145.53,1077152.0,147.09,6362
2020-12-18,146.44,149.41,145.06,148.19,1271183.0,147.447,7660
2020-12-21,145.55,148.21,145.17,147.71,675670.0,147.132,4955
2020-12-22,148.29,151.74,147.84,149.43,761326.0,150.167,4908
2020-12-23,150.01,152.94,148.74,150.74,778378.0,151.35,5371
2020-12-24,150.98,151.35,149.5,151.21,309568.0,150.366,1937
2020-12-28,152.76,153.79,151.8,153.22,606340.0,153.081,4262
2020-12-29,153.8,154.84,149.62,150.41,931450.0,150.883,6392
2020-12-30,151.1,153.7,151.06,152.75,406468.0,152.722,2786
2020-12-31,153.16,153.37,151.97,152.88,507028.0,152.827,3763
2021-01-04,153.14,155.69,148.02,150.72,1313079.0,151.538,9444
2021-01-05,150.19,156.46,150.0,156.3,1240089.0,154.596,8620
2021-01-06,154.78,162.35,153.0,158.49,1220139.0,158.675,7373
2021-01-07,160.23,163.42,160.01,162.68,645435.0,161.965,4483
2021-01-08,164.63,165.99,160.6,163.48,893750.0,163.4,6828
2021-01-11,160.12,163.35,159.28,162.05,1084099.0,161.693,6804
2021-01-12,162.21,162.45,158.09,158.18,991096.0,159.861,7383
2021-01-13,158.44,159.17,155.79,157.89,668225.0,157.821,4794
2021-01-14,157.98,161.07,157.2,157.98,899342.0,158.79,6749
2021-01-15,155.06,156.5,150.13,152.0,1374929.0,152.31,8249
2021-01-19,154.46,162.2,154.0,161.39,1521942.0,159.101,9833
2021-01-20,163.1,168.95,162.71,162.94,1319959.0,165.037,9207
2021-01-21,163.38,163.87,160.61,163.52,802239.0,162.261,4787
2021-01-22,161.71,162.48,160.2,161.27,646241.0,161.292,4664
2021-01-25,166.92,170.69,163.36,165.68,2997344.0,167.007,18041
2021-01-26,166.0,166.39,162.22,163.13,1093756.0,163.889,7636
2021-01-27,161.01,161.99,154.45,155.85,1507885.0,157.6,9361
2021-01-28,159.96,162.91,157.61,159.79,1870462.0,160.494,13430
2021-01-29,188.0,188.34,167.33,169.25,6621983.0,175.118,41236
2021-02-01,174.3,186.5,174.3,185.79,3709937.0,182.408,22064
2021-02-02,188.57,189.7,181.35,185.49,2472882.0,184.282,14112
2021-02-03,186.47,186.75,179.07,179.46,2015470.0,181.276,12742
2021-02-04,178.01,181.0,172.89,179.1,3563427.0,176.683,22766
2021-02-05,180.13,182.0,178.23,178.95,1624818.0,179.757,10269
2021-02-08,180.46,182.5,178.53,181.57,1402275.0,180.369,8117
2021-02-09,180.79,186.69,180.54,182.91,1776940.0,184.214,10488
2021-02-10,184.7,186.6,181.2,185.29,1366839.0,184.618,8353
2021-02-11,186.88,189.49,184.23,188.76,1379019.0,187.058,8325
2021-02-12,187.67,190.34,186.18,189.5,1260534.0,188.569,7229
2021-02-16,191.68,195.82,191.06,194.14,1652837.0,193.911,10349
2021-02-17,192.86,193.78,187.7,192.09,1339748.0,191.257,8465
2021-02-18,189.46,190.71,185.53,187.91,1610926.0,187.49,10279
2021-02-19,189.99,193.41,189.42,192.17,1251776.0,191.473,7332
2021-02-22,189.48,192.0,183.64,183.93,1396179.0,186.856,9043
2021-02-23,181.42,185.33,174.51,183.75,1574759.0,180.344,10965
2021-02-24,182.28,190.58,180.04,190.36,1418253.0,187.014,9667
2021-02-25,187.03,188.87,175.0,176.14,2388385.0,180.041,15699
2021-02-26,179.32,180.72,173.91,177.82,1533274.0,177.966,11115
