date,open,high,low,close,volume,average,barCount
2020-07-13,141.41,145.74,140.47,142.04,704663.0,143.313,5972
2020-07-14,141.3,146.96,139.89,146.43,688794.0,145.052,5386
2020-07-15,150.11,152.92,148.67,151.51,814690.0,150.746,6905
2020-07-16,151.07,153.48,149.13,152.82,660036.0,152.228,5240
2020-07-17,153.96,154.33,152.54,153.36,369440.0,153.644,2754
2020-07-20,152.29,153.0,150.5,152.21,470627.0,151.747,3565
2020-07-21,153.73,154.77,152.12,153.79,522253.0,153.9,3951
2020-07-22,153.7,155.18,151.85,152.31,780312.0,152.971,5720
2020-07-23,152.82,154.25,151.24,152.36,747901.0,152.595,5753
2020-07-24,152.7,153.42,150.59,152.91,623910.0,152.142,4640
2020-07-27,152.77,158.34,151.58,157.61,855235.0,156.087,6575
2020-07-28,156.37,156.66,152.31,152.71,772309.0,154.076,5972
2020-07-29,153.27,156.24,153.27,156.08,771636.0,155.161,6634
2020-07-30,154.09,157.14,150.51,154.46,746952.0,153.777,6254
2020-07-31,154.0,154.45,148.88,153.32,595940.0,151.515,4890
2020-08-03,154.27,155.83,153.0,154.4,512915.0,154.757,3975
2020-08-04,153.84,155.96,153.58,154.65,588975.0,154.755,4147
2020-08-05,155.65,157.9,155.41,157.3,556277.0,157.031,4711
2020-08-06,156.58,157.46,154.75,155.04,391891.0,155.405,3218
2020-08-07,155.17,157.35,154.33,157.26,499818.0,155.66,3946
2020-08-10,157.5,160.74,157.02,159.97,767459.0,159.914,5742
2020-08-11,161.58,164.24,160.64,161.41,992148.0,161.935,8024
2020-08-12,162.69,162.98,159.28,160.34,522840.0,160.889,3828
2020-08-13,159.05,160.22,158.32,158.4,569987.0,159.299,4608
2020-08-14,157.94,159.99,157.02,158.78,410887.0,158.909,3338
2020-08-17,159.0,160.18,158.42,159.77,339649.0,159.779,2687
2020-08-18,159.81,161.95,159.56,159.92,591174.0,160.784,5083
2020-08-19,160.11,160.79,158.54,158.97,358571.0,159.653,2828
2020-08-20,157.23,158.55,156.27,158.15,366008.0,157.834,2913
2020-08-21,158.15,159.79,157.69,159.18,280163.0,158.841,2088
2020-08-24,160.05,161.04,159.41,160.37,522129.0,160.172,3346
2020-08-25,161.34,161.66,158.57,159.71,284048.0,159.618,2342
2020-08-26,159.39,160.43,158.54,159.7,383289.0,159.757,2942
2020-08-27,160.91,161.72,159.38,159.48,250996.0,160.116,2094
2020-08-28,161.73,165.58,161.17,165.52,758145.0,164.071,5583
2020-08-31,164.85,164.85,161.13,161.3,492534.0,161.934,3666
2020-09-01,160.49,165.86,160.31,165.34,769712.0,164.025,5499
2020-09-02,165.59,168.25,165.02,166.25,654494.0,166.247,5194
2020-09-03,166.38,166.74,159.0,160.53,531025.0,161.158,3805
2020-09-04,162.93,163.64,157.91,160.13,292402.0,160.396,2406
2020-09-08,158.36,159.14,154.98,155.6,529137.0,156.961,4288
2020-09-09,156.6,159.66,156.6,157.6,544006.0,158.539,4410
2020-09-10,158.19,161.01,156.65,157.24,422060.0,158.444,3473
2020-09-11,157.49,160.43,156.81,159.01,321253.0,159.204,2495
2020-09-14,162.11,163.71,161.11,162.35,468403.0,162.509,3717
2020-09-15,163.13,164.75,162.08,162.84,351315.0,163.57,2768
2020-09-16,163.67,167.35,162.72,165.36,465154.0,165.767,3882
2020-09-17,162.73,167.08,160.89,164.25,565252.0,165.147,4250
2020-09-18,163.7,164.86,159.81,160.33,833347.0,162.007,5279
2020-09-21,156.08,156.86,152.19,154.43,676218.0,153.779,4931
2020-09-22,154.84,157.55,153.91,157.46,393487.0,156.071,3148
2020-09-23,157.94,160.12,156.4,156.72,598003.0,158.367,4197
2020-09-24,156.66,159.77,155.0,157.22,524915.0,157.687,3506
2020-09-25,156.12,161.26,155.95,159.93,396152.0,159.549,3035
2020-09-28,162.53,165.42,161.79,164.07,632006.0,164.504,4830
2020-09-29,164.2,164.53,160.94,161.48,582615.0,162.369,4181
