date,open,high,low,close,volume,average,barCount
2024-07-08,47.4,47.6,44.9,46.22,9234595.0,46.07,45140
2024-07-09,44.76,45.81,44.32,44.83,7097575.0,45.103,34930
2024-07-10,45.04,46.24,44.4,45.83,4959986.0,45.332,25625
2024-07-11,45.48,46.92,45.35,46.87,6105367.0,46.174,31782
2024-07-12,46.91,49.31,46.86,49.08,13874614.0,48.391,68239
2024-07-15,48.35,49.43,48.26,48.84,3799681.0,48.972,18630
2024-07-16,48.42,49.45,48.0,49.26,3274250.0,48.611,17825
2024-07-17,48.61,49.09,47.82,47.85,3531025.0,48.544,17885
2024-07-18,46.86,47.34,46.25,46.82,2862055.0,46.818,16919
2024-07-19,46.82,46.91,46.31,46.53,2333056.0,46.591,12316
2024-07-22,46.51,48.02,46.38,48.0,2343457.0,47.176,13000
2024-07-23,48.09,49.5,47.7,49.11,3012701.0,48.787,16216
2024-07-24,48.29,49.25,48.21,48.86,2590570.0,48.916,12790
2024-07-25,48.42,48.51,47.58,47.69,2014210.0,48.042,10831
2024-07-26,47.72,49.17,47.71,48.81,2403706.0,48.554,11835
2024-07-29,48.45,48.56,47.52,47.55,2867787.0,48.16,16339
2024-07-30,47.14,47.57,46.1,46.74,3140235.0,46.868,18865
2024-07-31,43.29,45.74,43.18,44.84,7938336.0,44.596,40944
2024-08-01,44.8,45.11,42.92,43.32,4148169.0,43.762,23370
2024-08-02,42.78,42.78,41.3,41.78,2437060.0,41.871,13401
2024-08-05,39.74,40.93,39.54,40.04,2811431.0,40.179,15786
2024-08-06,40.2,40.95,40.0,40.33,1827099.0,40.431,9859
2024-08-07,40.81,40.87,38.96,39.06,1884586.0,39.689,11326
2024-08-08,39.0,40.08,39.0,39.31,1963993.0,39.504,11345
2024-08-09,38.91,39.57,38.55,38.96,1901042.0,39.068,10823
2024-08-12,39.01,39.25,38.8,38.85,1510918.0,38.989,7757
2024-08-13,39.25,40.71,39.12,40.35,2520391.0,40.085,12835
2024-08-14,40.63,41.49,40.51,41.21,2417993.0,41.02,12383
2024-08-15,41.18,43.25,41.18,42.74,3687922.0,42.439,19611
2024-08-16,42.44,43.02,42.26,42.91,3436158.0,42.675,17583
2024-08-19,42.53,43.53,42.46,43.49,2226506.0,43.223,11514
2024-08-20,43.0,43.55,42.6,43.01,2603907.0,43.111,13123
2024-08-21,42.94,44.07,42.64,44.02,3185507.0,43.425,14857
2024-08-22,44.13,44.46,43.43,43.79,3154187.0,43.925,15806
2024-08-23,44.61,45.39,44.45,45.33,2421670.0,44.96,9832
2024-08-26,45.55,46.52,45.43,46.18,1667574.0,46.13,10303
2024-08-27,46.26,46.9,45.86,46.89,2508379.0,46.502,13052
2024-08-28,46.36,47.49,46.36,47.07,3076027.0,46.909,18042
2024-08-29,47.2,47.25,46.67,47.17,2097347.0,47.012,12379
2024-08-30,46.97,47.59,46.92,47.42,2637151.0,47.316,14735
2024-09-03,46.32,46.56,45.41,45.7,3767021.0,45.838,18467
2024-09-04,45.06,46.16,45.06,45.57,3486074.0,45.845,14380
2024-09-05,45.82,46.3,45.0,45.34,1626137.0,45.517,10596
2024-09-06,45.13,45.62,44.38,44.72,2215246.0,44.846,12978
2024-09-09,45.11,45.3,44.12,44.47,2960087.0,44.714,13557
2024-09-10,44.68,44.72,43.11,43.32,2525233.0,43.567,15109
2024-09-11,42.86,43.74,42.43,43.53,3251324.0,43.119,15212
2024-09-12,43.66,44.65,43.64,44.59,2383512.0,44.241,12041
2024-09-13,44.67,45.88,44.59,44.92,2374602.0,45.354,12002
2024-09-16,44.71,46.8,44.7,46.73,4424779.0,45.87,20004
2024-09-17,46.9,47.83,46.69,47.33,3247158.0,47.255,16781
2024-09-18,47.44,48.57,47.17,47.86,2553842.0,47.866,13272
2024-09-19,49.0,49.43,48.28,49.02,1770904.0,48.952,11321
2024-09-20,48.46,48.51,46.97,47.41,2841257.0,47.655,13551
2024-09-23,47.19,47.3,46.27,46.74,1577480.0,46.661,8722
2024-09-24,46.71,47.55,46.62,47.5,1479142.0,47.224,8246
2024-09-25,48.27,48.54,47.27,47.8,2035052.0,47.835,11640
2024-09-26,48.72,49.75,48.58,49.51,2441897.0,49.409,14423
2024-09-27,50.0,50.6,49.61,50.09,2372456.0,50.184,10703
2024-09-30,50.25,50.43,49.16,49.42,3186108.0,49.851,15787
2024-10-01,49.74,49.85,48.64,48.77,2856133.0,49.13,14689
2024-10-02,48.41,48.78,47.78,47.83,1823409.0,48.314,9809
2024-10-03,47.33,47.48,46.6,46.63,1464700.0,47.066,9002
2024-10-04,46.93,47.02,46.22,46.76,1026187.0,46.576,6781
2024-10-07,46.34,46.56,45.62,46.45,2337747.0,46.217,12044
2024-10-08,45.9,46.36,45.38,46.12,1711650.0,45.916,9979
2024-10-09,46.37,46.75,46.06,46.06,1542628.0,46.302,8135
2024-10-10,45.82,45.92,45.02,45.4,2391917.0,45.331,11163
2024-10-11,45.45,46.05,45.32,45.6,1014732.0,45.734,5725
2024-10-14,45.19,45.4,44.95,45.29,1526218.0,45.216,9233
2024-10-15,44.2,44.68,43.7,44.44,3397598.0,44.273,16827
2024-10-16,43.95,45.42,43.85,45.39,3038936.0,44.817,16406
2024-10-17,43.74,43.92,43.06,43.42,3651751.0,43.506,19569
2024-10-18,44.17,44.53,43.49,44.35,4177501.0,44.084,19834
2024-10-21,44.39,44.44,43.9,44.2,1321553.0,44.115,6497
2024-10-22,44.31,44.65,43.98,44.54,1112251.0,44.384,5969
2024-10-23,45.5,46.72,45.37,46.65,2149532.0,46.371,13123
2024-10-24,46.8,46.85,45.54,45.86,1255401.0,45.909,7834
2024-10-25,46.17,46.21,45.51,45.84,1592026.0,45.859,7259
2024-10-28,45.45,45.92,45.0,45.29,2330367.0,45.484,12170
