date,open,high,low,close,volume,average,barCount
2020-07-13,22.93,23.21,22.27,22.69,5356532.0,22.82,32450
2020-07-14,22.57,22.96,22.15,22.45,5862142.0,22.469,36017
2020-07-15,22.75,23.77,22.74,23.64,5938170.0,23.364,34193
2020-07-16,23.42,24.13,23.25,23.75,3677998.0,23.724,24260
2020-07-17,23.7,23.83,23.01,23.21,4933899.0,23.243,29815
2020-07-20,23.15,23.28,22.37,22.38,5524032.0,22.658,31934
2020-07-21,22.05,23.21,21.67,22.64,6472014.0,22.553,33473
2020-07-22,22.24,23.15,22.14,22.92,3862752.0,22.829,22928
2020-07-23,22.7,23.5,22.65,23.39,5129629.0,23.239,27477
2020-07-24,23.5,23.84,23.18,23.56,6140773.0,23.552,27959
2020-07-27,23.43,23.81,22.88,23.74,4385768.0,23.531,24212
2020-07-28,23.51,23.8,23.01,23.08,3919485.0,23.264,21623
2020-07-29,23.08,23.81,22.97,23.78,2450002.0,23.53,13480
2020-07-30,23.21,23.32,22.72,23.17,3154931.0,23.005,17877
2020-07-31,23.0,23.0,21.89,22.13,4784203.0,22.24,29558
2020-08-03,22.3,22.99,22.04,22.72,4117977.0,22.654,22876
2020-08-04,22.68,22.98,22.55,22.65,3134478.0,22.732,20930
2020-08-05,22.93,23.39,22.69,23.33,4571451.0,23.078,26441
2020-08-06,23.07,23.34,22.89,23.09,3384505.0,23.096,20898
2020-08-07,22.86,23.69,22.55,23.69,4149698.0,23.129,24952
2020-08-10,23.73,25.0,23.71,24.59,4977658.0,24.609,28749
2020-08-11,25.55,26.13,25.03,25.1,4505953.0,25.63,26472
2020-08-12,25.65,25.71,24.07,24.74,4537098.0,24.694,23730
2020-08-13,24.4,24.77,24.18,24.7,3614240.0,24.516,20077
2020-08-14,24.4,25.24,24.17,24.93,3025307.0,24.728,16743
2020-08-17,24.8,24.88,24.22,24.35,3614230.0,24.471,21749
2020-08-18,24.44,24.55,23.88,23.98,3315841.0,24.083,17896
2020-08-19,24.14,24.53,23.9,24.11,3892091.0,24.117,20434
2020-08-20,23.71,24.12,23.66,23.94,3488354.0,23.929,19118
2020-08-21,23.9,24.28,23.82,23.91,1699468.0,23.956,10956
2020-08-24,24.1,25.26,23.93,25.25,4168204.0,24.922,23170
2020-08-25,25.59,25.72,24.71,24.9,2726673.0,25.011,16097
2020-08-26,24.78,25.01,24.33,24.45,2199194.0,24.57,14309
2020-08-27,24.53,25.75,24.49,25.58,4571345.0,25.457,27562
2020-08-28,25.75,25.93,25.43,25.78,2364712.0,25.682,15148
2020-08-31,25.77,25.77,24.81,24.81,3396701.0,25.087,19624
2020-09-01,24.66,25.19,24.39,24.86,2906512.0,24.852,16609
2020-09-02,24.87,25.01,24.51,24.82,5221647.0,24.772,27224
2020-09-03,25.06,25.88,24.6,25.12,6270347.0,25.088,36241
2020-09-04,25.65,26.49,25.38,26.17,5948581.0,26.004,36410
2020-09-08,25.61,26.1,25.31,25.53,4095269.0,25.778,27179
2020-09-09,25.8,25.86,25.14,25.6,2301420.0,25.558,15159
2020-09-10,25.79,26.59,25.31,25.4,4568788.0,25.732,24179
2020-09-11,25.49,25.85,25.27,25.79,2653863.0,25.582,16515
2020-09-14,26.01,27.38,26.01,26.96,4360719.0,27.007,27265
2020-09-15,27.06,27.14,26.47,26.49,3434320.0,26.699,22818
2020-09-16,26.65,27.92,26.13,27.59,5599987.0,27.301,33912
2020-09-17,27.08,27.73,26.89,27.64,3466492.0,27.431,20590
2020-09-18,27.45,27.77,27.06,27.23,3263117.0,27.415,19183
2020-09-21,26.1,26.49,25.66,25.9,5019221.0,25.9,31315
2020-09-22,25.91,26.27,25.12,25.61,3819448.0,25.554,24168
2020-09-23,25.73,26.28,24.97,25.1,4284105.0,25.467,23866
2020-09-24,24.88,25.46,24.2,24.77,3542770.0,24.766,22020
2020-09-25,24.57,25.27,24.52,25.14,2386631.0,25.021,16744
2020-09-28,25.85,26.26,25.65,25.79,2540034.0,25.956,15743
2020-09-29,25.84,25.97,25.27,25.55,2638426.0,25.629,16383
2020-09-30,25.68,26.62,25.55,26.17,4837730.0,26.259,25925
2020-10-01,26.45,26.7,26.11,26.65,3820683.0,26.466,23265
2020-10-02,26.13,27.6,25.88,27.46,2698093.0,27.215,18025
2020-10-05,27.88,28.48,27.83,28.38,2591049.0,28.264,15548
2020-10-06,28.85,29.03,27.17,27.5,4648379.0,28.031,27051
2020-10-07,27.95,28.71,27.89,28.3,2935748.0,28.271,19012
2020-10-08,28.57,29.2,28.39,29.15,2421574.0,28.887,15658
2020-10-09,29.24,29.49,28.66,28.84,3527278.0,29.065,21349
2020-10-12,29.18,29.18,28.75,28.87,3089103.0,28.911,20130
2020-10-13,28.61,28.9,28.3,28.54,2253792.0,28.584,15153
2020-10-14,28.67,29.05,28.53,28.67,2219265.0,28.79,14645
2020-10-15,28.31,29.14,28.12,29.1,1956424.0,28.808,12713
2020-10-16,29.31,29.87,29.21,29.38,2592904.0,29.469,15373
2020-10-19,29.61,29.99,29.03,29.08,3959643.0,29.438,26531
2020-10-20,28.06,28.41,27.43,27.61,9576338.0,27.83,51533
