date,open,high,low,close,volume,average,barCount
2020-07-13,34.62,34.74,33.67,34.32,1518677.0,34.27,10010
2020-07-14,34.11,35.22,33.71,35.08,1215001.0,34.923,8645
2020-07-15,35.83,36.58,35.58,35.77,1519578.0,35.903,10310
2020-07-16,35.67,36.45,35.48,36.07,849301.0,36.085,6136
2020-07-17,36.01,36.4,35.67,36.08,1146809.0,36.059,6649
2020-07-20,35.92,35.92,34.79,35.0,1392232.0,35.014,8136
2020-07-21,35.31,36.24,35.31,35.85,1325935.0,35.905,8460
2020-07-22,35.6,35.99,35.27,35.8,905975.0,35.655,6254
2020-07-23,35.74,36.77,35.67,36.55,1423792.0,36.378,8056
2020-07-24,36.4,36.75,36.24,36.49,1131410.0,36.422,8335
2020-07-27,36.33,36.49,35.8,36.15,1211548.0,36.15,7800
2020-07-28,36.0,36.84,36.0,36.32,1602200.0,36.443,10510
2020-07-29,36.51,36.93,36.02,36.73,2017932.0,36.64,11458
2020-07-30,38.42,39.02,37.12,37.44,3397244.0,37.991,18679
2020-07-31,37.53,38.31,36.98,37.52,2040440.0,37.48,13420
2020-08-03,37.54,37.56,36.68,36.81,1292263.0,36.921,8357
2020-08-04,36.78,37.24,36.6,36.75,1061367.0,36.912,7229
2020-08-05,37.08,37.28,36.33,36.53,1039201.0,36.584,7180
2020-08-06,36.17,36.76,36.11,36.57,1213828.0,36.468,5500
2020-08-07,36.26,37.32,36.26,37.27,974877.0,36.948,6757
2020-08-10,37.42,37.95,37.4,37.9,1187159.0,37.774,8448
2020-08-11,38.72,39.24,38.11,38.21,1370671.0,38.442,9324
2020-08-12,38.73,39.09,38.16,38.43,1203696.0,38.485,8106
2020-08-13,38.13,38.42,37.6,37.81,779935.0,37.87,4876
2020-08-14,37.46,38.07,37.36,37.68,600172.0,37.795,4142
2020-08-17,37.64,38.08,37.26,37.74,1213786.0,37.779,7227
2020-08-18,37.81,38.01,37.39,37.76,734802.0,37.761,4897
2020-08-19,37.88,38.3,37.65,37.85,798783.0,37.919,5246
2020-08-20,37.5,37.73,37.13,37.16,663095.0,37.332,4279
2020-08-21,36.97,37.02,36.22,36.8,1352000.0,36.544,8031
2020-08-24,36.98,38.04,36.68,38.02,723927.0,37.655,4923
2020-08-25,38.25,38.42,37.61,37.62,611361.0,37.803,4103
2020-08-26,37.62,37.99,37.22,37.5,582989.0,37.465,3962
2020-08-27,37.54,38.28,37.44,37.57,612046.0,37.699,4310
2020-08-28,37.77,37.99,37.43,37.89,896020.0,37.789,5728
2020-08-31,37.69,37.93,37.48,37.64,1333266.0,37.752,8338
2020-09-01,37.45,37.47,36.68,37.01,1466928.0,36.948,7504
2020-09-02,37.17,38.03,37.04,37.92,1121751.0,37.752,7616
2020-09-03,38.3,38.71,37.62,38.0,1808038.0,38.094,12005
2020-09-04,38.21,38.59,37.59,38.32,1203504.0,38.136,7002
2020-09-08,38.23,38.45,37.52,37.76,1306595.0,37.874,9505
2020-09-09,38.0,38.4,37.49,37.52,1759452.0,37.887,10650
2020-09-10,37.77,37.77,35.45,35.6,2414964.0,36.206,16374
2020-09-11,35.6,35.7,34.59,35.09,2106126.0,35.13,14226
