date,open,high,low,close,volume,average,barCount
2020-07-13,426.57,432.64,412.29,414.37,269471.0,422.253,1803
2020-07-14,410.77,422.96,408.53,422.66,229726.0,417.484,1542
2020-07-15,430.09,439.24,430.03,434.21,396715.0,435.348,1922
2020-07-16,429.77,436.95,425.78,431.47,161048.0,432.033,1417
2020-07-17,432.19,435.0,425.94,432.87,143740.0,432.187,974
2020-07-20,431.34,436.97,426.5,430.85,413768.0,433.052,1408
2020-07-21,437.48,448.0,437.43,440.88,115423.0,441.475,1017
2020-07-22,436.07,450.0,436.07,445.57,85504.0,444.926,726
2020-07-23,442.46,444.82,434.81,437.47,129568.0,439.399,1062
2020-07-24,438.94,438.94,423.85,425.56,207323.0,429.932,1594
2020-07-27,425.0,430.22,418.02,424.18,91064.0,423.109,834
2020-07-28,425.0,433.36,424.47,426.95,229133.0,428.158,1674
2020-07-29,428.06,435.93,425.5,433.37,126672.0,431.434,1073
2020-07-30,427.95,438.83,426.75,433.34,166561.0,433.621,1453
2020-07-31,430.27,433.35,422.51,431.58,198293.0,426.502,1744
2020-08-03,430.01,437.77,421.47,436.01,209074.0,430.749,1695
2020-08-04,435.72,453.95,434.57,448.74,435153.0,445.59,3591
2020-08-05,452.12,474.14,450.16,471.61,306162.0,466.629,2676
2020-08-06,466.1,475.47,466.01,472.07,131663.0,471.48,1136
2020-08-07,480.09,480.09,470.0,475.39,306327.0,475.041,2017
2020-08-10,477.87,489.37,477.34,482.57,350366.0,484.12,2773
2020-08-11,494.17,506.08,489.83,490.23,526076.0,498.057,3278
2020-08-12,499.65,500.0,492.72,498.49,367984.0,496.377,2605
2020-08-13,492.49,499.15,492.49,495.15,283623.0,494.796,1562
2020-08-14,491.17,499.7,491.17,498.79,214795.0,496.154,1719
2020-08-17,500.0,500.0,489.31,489.97,255696.0,492.24,1947
2020-08-18,488.02,490.17,482.2,483.0,330129.0,485.494,2282
2020-08-19,486.31,489.62,482.0,482.81,366801.0,485.006,2592
2020-08-20,478.38,486.64,476.18,482.83,127879.0,483.494,1127
2020-08-21,481.69,485.17,477.86,479.28,252856.0,480.02,2052
2020-08-24,481.16,490.99,481.16,488.5,373700.0,487.683,2344
2020-08-25,490.91,493.64,483.46,486.05,175211.0,486.805,1340
2020-08-26,483.9,489.46,481.48,484.89,112993.0,485.287,971
2020-08-27,488.56,502.46,488.03,498.32,239026.0,499.657,2059
2020-08-28,500.59,507.89,498.65,506.77,163935.0,504.967,1464
2020-08-31,506.0,507.58,494.45,499.67,144152.0,500.705,1131
2020-09-01,496.17,505.22,495.54,503.78,142904.0,502.743,1149
2020-09-02,503.06,507.15,496.17,505.15,131737.0,504.423,1147
2020-09-03,507.19,508.94,489.37,493.82,184427.0,494.994,1555
2020-09-04,499.41,506.99,487.8,503.32,191565.0,500.746,1724
2020-09-08,504.39,513.23,493.24,501.93,321867.0,506.504,2661
2020-09-09,502.95,505.22,489.73,500.93,175147.0,499.652,1561
2020-09-10,500.21,510.26,497.44,499.47,143241.0,501.877,1236
2020-09-11,499.61,508.49,493.03,505.75,98645.0,504.256,890
2020-09-14,511.61,513.05,502.0,507.3,241849.0,508.323,2234
2020-09-15,507.0,511.93,504.34,507.3,129110.0,507.409,1166
2020-09-16,508.11,526.23,504.46,518.89,274596.0,520.139,2105
2020-09-17,525.13,529.2,514.41,519.01,245159.0,522.427,1907
2020-09-18,514.22,521.66,505.28,505.5,348765.0,511.448,2351
2020-09-21,493.9,494.99,474.83,487.81,336326.0,484.648,1910
2020-09-22,490.58,502.64,490.58,502.03,158117.0,497.772,1400
2020-09-23,500.85,505.74,479.08,479.28,177630.0,488.379,1534
2020-09-24,476.98,487.55,467.91,479.6,141000.0,478.656,1144
2020-09-25,475.07,497.1,475.07,494.78,123146.0,490.111,956
2020-09-28,502.34,511.44,498.36,498.6,150317.0,502.573,1231
2020-09-29,501.28,501.28,488.5,489.08,191277.0,492.912,1578
2020-09-30,489.0,494.8,471.22,475.12,345893.0,480.634,2530
2020-10-01,481.53,492.47,475.16,481.34,328725.0,481.015,2199
2020-10-02,468.56,489.06,468.56,485.58,201598.0,482.333,1487
2020-10-05,490.0,494.65,486.49,487.0,142197.0,489.452,1129
2020-10-06,493.06,503.01,480.41,480.54,282440.0,490.989,1167
2020-10-07,488.81,496.61,487.5,488.5,161565.0,490.566,922
2020-10-08,492.09,494.01,483.19,490.97,137925.0,488.566,909
2020-10-09,493.91,494.33,484.21,485.0,96170.0,487.255,757
2020-10-12,486.78,488.7,482.45,486.0,149203.0,486.56,1116
2020-10-13,480.03,482.87,469.34,473.39,240955.0,472.708,1377
2020-10-14,474.53,489.55,474.53,483.73,276561.0,482.983,1538
2020-10-15,479.88,494.75,477.02,491.32,156799.0,488.456,1262
2020-10-16,495.95,497.94,487.98,491.99,323514.0,491.538,2291
2020-10-19,492.33,501.71,482.87,484.16,190257.0,492.885,1398
2020-10-20,490.0,498.96,488.99,493.39,164427.0,494.728,1478
2020-10-21,491.8,493.71,480.59,482.91,178599.0,485.027,1457
2020-10-22,484.49,495.93,484.49,493.07,107481.0,491.285,868
2020-10-23,497.84,503.89,492.66,501.97,173412.0,498.087,1354
2020-10-26,496.25,497.2,481.0,483.2,273054.0,483.799,2147
2020-10-27,482.81,484.81,463.62,464.02,405591.0,468.623,3372
2020-10-28,456.81,465.84,453.76,458.14,371127.0,460.184,2775
2020-10-29,456.29,478.0,456.25,476.54,204496.0,469.586,1490
2020-10-30,473.96,482.28,467.66,477.41,198023.0,474.201,1459
2020-11-02,482.36,495.56,479.1,494.43,160512.0,490.916,1165
2020-11-03,504.64,512.45,502.8,508.56,145975.0,508.082,1224
2020-11-04,510.37,519.3,503.34,512.05,133065.0,513.24,1066
2020-11-05,512.72,521.66,512.72,519.29,101011.0,517.886,789
2020-11-06,519.29,523.85,515.35,520.46,94638.0,519.494,757
2020-11-09,574.46,611.66,568.15,568.32,718071.0,581.204,4569
2020-11-10,574.61,579.79,564.51,574.38,382473.0,572.971,2879
2020-11-11,577.35,577.61,553.48,560.81,263125.0,562.147,1611
2020-11-12,545.0,569.35,533.75,556.53,338183.0,555.571,2537
2020-11-13,558.74,568.69,555.51,566.78,166792.0,562.64,1466
2020-11-16,588.34,589.57,572.11,573.96,275611.0,579.9,1891
2020-11-17,567.87,584.55,565.1,577.97,216610.0,578.101,1740
2020-11-18,589.9,600.05,582.1,587.87,307944.0,593.173,2096
2020-11-19,584.03,592.37,576.6,590.65,151183.0,585.433,1154
2020-11-20,590.51,596.13,571.4,574.13,153073.0,577.257,1268
2020-11-23,581.57,599.51,579.99,594.94,128031.0,591.95,1014
2020-11-24,605.26,619.32,600.25,615.41,251029.0,613.328,1928
2020-11-25,610.86,610.86,600.0,603.85,183277.0,606.364,937
2020-11-27,608.86,608.86,590.08,591.54,60966.0,596.788,495
2020-11-30,591.0,595.36,575.46,579.19,112920.0,581.031,957
2020-12-01,587.84,599.19,583.49,593.6,150881.0,592.941,1238
2020-12-02,590.19,599.95,585.8,594.84,143064.0,594.463,1139
2020-12-03,597.94,613.75,595.49,598.64,219917.0,604.731,1578
2020-12-04,601.0,613.26,601.0,605.67,106027.0,607.828,889
2020-12-07,600.7,605.45,594.36,601.01,64819.0,600.447,564
2020-12-08,596.11,609.98,595.31,602.1,107920.0,600.764,924
2020-12-09,603.37,603.86,587.01,595.5,93995.0,595.085,826
2020-12-10,589.16,605.97,589.16,601.01,99206.0,601.024,869
2020-12-11,593.83,609.17,593.83,601.79,88875.0,602.064,785
2020-12-14,607.3,607.3,595.43,595.82,162843.0,599.824,1309
2020-12-15,599.49,618.64,595.86,613.74,225524.0,610.387,1617
2020-12-16,613.74,615.84,601.2,603.53,89449.0,605.764,765
2020-12-17,604.75,606.59,594.99,598.35,104118.0,599.703,925
2020-12-18,598.33,611.01,594.79,608.33,175303.0,603.014,1048
2020-12-21,591.52,602.49,586.67,600.71,119586.0,596.563,1012
2020-12-22,599.18,603.55,595.74,596.23,38704.0,599.218,338
2020-12-23,598.8,616.49,598.8,611.9,67364.0,611.977,582
2020-12-24,609.07,610.75,602.4,606.71,15270.0,605.535,128
2020-12-28,608.86,612.53,606.06,609.86,37337.0,609.961,326
2020-12-29,614.0,614.0,601.58,607.83,35476.0,606.124,306
2020-12-30,607.3,618.91,607.3,616.14,61732.0,614.149,487
2020-12-31,615.0,622.57,613.01,618.85,60051.0,619.046,504
2021-01-04,611.94,616.34,580.21,587.67,161866.0,591.541,1311
2021-01-05,592.87,609.46,590.17,599.22,61300.0,597.808,531
2021-01-06,600.9,613.45,595.66,598.9,72233.0,603.494,599
2021-01-07,604.72,618.74,599.9,605.18,88414.0,608.226,757
2021-01-08,604.13,614.73,604.13,613.26,82503.0,610.997,656
2021-01-11,607.18,614.71,607.18,612.92,55406.0,612.261,440
2021-01-12,612.0,619.76,612.0,617.91,53598.0,616.839,456
2021-01-13,616.15,617.1,604.37,611.01,83337.0,611.515,713
2021-01-14,610.21,616.82,604.03,606.07,135222.0,611.559,998
2021-01-15,605.56,605.56,584.49,584.99,113917.0,591.128,859
2021-01-19,594.27,594.51,572.36,573.41,162757.0,578.458,1441
2021-01-20,573.41,585.15,571.77,577.49,142054.0,578.12,1240
2021-01-21,574.28,577.41,566.73,573.98,120367.0,571.988,956
2021-01-22,571.89,578.78,569.79,576.4,63104.0,575.878,532
2021-01-25,573.64,573.64,555.91,560.11,229143.0,560.494,1645
2021-01-26,563.63,568.89,543.49,544.22,139699.0,555.44,1107
2021-01-27,532.9,546.66,517.37,518.59,332123.0,528.233,2819
2021-01-28,527.44,560.22,525.39,555.73,275862.0,551.02,2235
2021-01-29,555.14,560.8,537.84,553.28,278067.0,551.634,2266
2021-02-01,559.46,573.09,555.5,570.31,168198.0,566.07,1397
2021-02-02,579.45,595.77,577.13,589.4,233225.0,587.708,1548
2021-02-03,585.75,601.06,585.75,599.31,234229.0,595.37,1520
2021-02-04,603.54,610.6,600.06,610.0,196846.0,607.35,1582
2021-02-05,616.82,617.45,601.74,605.0,147806.0,607.394,1204
2021-02-08,606.87,610.0,597.06,600.17,220276.0,602.312,1087
2021-02-09,597.9,611.56,586.48,596.64,148266.0,599.155,1303
2021-02-10,593.74,597.64,572.76,579.72,192619.0,581.029,1454
2021-02-11,578.06,586.32,572.91,575.02,136895.0,577.111,1170
2021-02-12,571.43,585.27,568.88,576.49,156086.0,578.848,651
2021-02-16,578.91,581.31,570.61,572.55,94785.0,575.369,595
2021-02-17,569.38,574.56,563.83,570.37,86928.0,569.523,764
2021-02-18,564.0,578.81,561.63,576.54,97621.0,571.997,834
2021-02-19,579.36,600.71,578.76,600.5,135461.0,595.412,1026
2021-02-22,595.39,599.78,589.02,590.13,131155.0,595.459,1096
2021-02-23,592.46,606.67,581.97,604.3,167635.0,599.473,1424
2021-02-24,606.23,625.05,605.05,609.15,158316.0,614.914,1219
2021-02-25,605.86,605.86,573.96,576.65,157733.0,587.098,1266
2021-02-26,582.37,583.31,571.7,576.67,79086.0,578.939,654
2021-03-01,588.06,604.45,588.06,596.87,67172.0,597.173,566
2021-03-02,596.39,600.98,591.83,596.75,89853.0,597.826,600
2021-03-03,594.91,604.15,589.49,590.11,92766.0,598.053,803
2021-03-04,587.23,592.7,564.46,572.27,184339.0,576.706,1448
2021-03-05,578.61,598.17,562.75,596.93,263800.0,580.238,1888
