date,open,high,low,close,volume,average,barCount
2020-07-13,68.81,69.31,65.56,65.78,389268.0,67.384,801
2020-07-14,65.89,66.79,64.33,66.67,465628.0,65.64425,778
2020-07-15,66.8,68.59,66.64,68.58,357704.0,67.8805,729
2020-07-16,68.57,68.92,67.54,68.17,378976.0,68.066,607
2020-07-17,68.35,70.27,68.35,69.94,374088.0,69.72975,637
2020-07-20,70.53,71.67,69.85,70.74,305088.0,70.6915,487
2020-07-21,71.18,71.28,69.03,69.24,300640.0,69.868,602
2020-07-22,69.69,70.27,68.51,68.98,278060.0,69.0855,592
2020-07-23,69.4,70.05,68.0,68.36,168176.0,68.856,368
2020-07-24,67.95,67.97,66.89,67.52,100912.0,67.50425,216
2020-07-27,68.02,69.41,67.88,69.2,263352.0,69.00475,496
2020-07-28,69.41,69.69,67.63,67.67,136500.0,68.34,299
2020-07-29,67.91,69.38,67.91,68.59,133324.0,68.75825,285
2020-07-30,68.1,69.51,68.1,69.22,190244.0,69.01125,423
2020-07-31,69.41,70.89,67.89,68.79,513984.0,69.49425,793
2020-08-03,69.61,71.0,69.22,69.72,491528.0,69.9615,977
2020-08-04,71.13,71.13,64.99,69.22,1158844.0,67.0665,1871
2020-08-05,69.75,69.75,66.7,66.97,325116.0,67.4525,732
2020-08-06,67.62,67.81,65.58,66.64,250444.0,66.4695,570
2020-08-07,66.44,67.51,65.67,66.44,177564.0,66.3605,369
2020-08-10,66.26,66.46,64.31,64.48,191004.0,64.90625,419
2020-08-11,64.69,66.04,64.38,65.46,337636.0,65.4415,692
2020-08-12,65.79,66.33,65.38,65.86,215832.0,65.71625,457
2020-08-13,65.79,66.96,65.5,66.57,199800.0,66.51875,453
2020-08-14,66.38,66.44,64.68,65.26,189244.0,65.297,423
2020-08-17,65.45,67.18,65.28,65.68,182620.0,66.24375,426
2020-08-18,65.63,66.04,65.39,65.61,101156.0,65.6345,234
2020-08-19,65.63,65.97,64.8,65.01,156336.0,65.32,362
2020-08-20,64.81,65.06,64.41,64.61,140576.0,64.7525,309
2020-08-21,64.74,64.75,63.8,64.46,364964.0,64.173,792
2020-08-24,64.85,64.85,62.45,62.58,268860.0,62.8965,537
2020-08-25,62.74,63.43,62.51,62.73,297680.0,62.80025,534
2020-08-26,62.68,63.4,62.18,63.19,406264.0,62.761,373
2020-08-27,63.45,63.51,61.8,63.26,269256.0,62.966,496
2020-08-28,63.35,63.64,62.35,63.26,237452.0,62.92725,435
2020-08-31,63.26,64.31,63.2,63.87,191608.0,63.9435,439
2020-09-01,64.45,64.88,63.27,64.36,417368.0,64.08275,743
2020-09-02,64.54,65.56,63.79,65.39,285560.0,65.03025,641
2020-09-03,64.72,64.9,61.86,62.67,481428.0,63.226,1054
2020-09-04,62.83,63.67,60.75,61.56,311136.0,61.68625,689
2020-09-08,60.7,62.34,60.43,61.38,575640.0,61.50675,960
2020-09-09,62.27,63.67,61.88,62.51,277532.0,62.93225,587
2020-09-10,62.48,63.26,61.52,61.58,186868.0,62.44875,379
2020-09-11,62.0,62.16,60.87,60.94,141204.0,61.4255,328
2020-09-14,61.58,62.59,61.02,61.84,161744.0,61.99575,338
2020-09-15,62.48,62.83,61.14,61.4,221688.0,61.72375,510
2020-09-16,61.64,61.76,61.05,61.15,127140.0,61.37425,301
2020-09-17,60.52,61.76,60.07,61.31,517016.0,61.25175,521
2020-09-18,61.81,61.88,60.23,60.98,516344.0,60.94025,712
2020-09-21,60.18,60.5,58.94,59.43,279844.0,59.468,553
2020-09-22,59.47,60.82,58.91,60.81,264144.0,59.979,575
2020-09-23,60.97,62.05,60.11,60.75,334100.0,61.26525,732
2020-09-24,60.5,60.9,57.17,58.06,599792.0,58.45925,1154
2020-09-25,58.24,60.56,57.59,60.44,695464.0,59.226,946
2020-09-28,61.0,61.81,60.51,60.94,196612.0,61.0025,431
2020-09-29,61.02,62.4,60.73,61.69,374004.0,61.70775,750
2020-09-30,62.31,62.4,61.35,61.93,447628.0,62.06775,917
2020-10-01,61.9,63.0,61.68,62.18,501396.0,62.0265,738
2020-10-02,61.5,62.19,61.46,61.73,356440.0,61.74675,585
2020-10-05,61.97,63.12,61.97,63.04,376900.0,62.5075,445
2020-10-06,63.25,64.66,63.03,64.05,315036.0,63.9725,588
2020-10-07,64.36,66.22,64.02,65.99,354484.0,65.41825,349
2020-10-08,65.91,66.18,65.05,65.48,397660.0,65.51375,466
2020-10-09,66.0,66.39,65.26,66.27,329372.0,65.93125,588
2020-10-12,66.88,67.36,66.04,67.14,108780.0,67.00175,253
2020-10-13,67.12,67.82,66.63,67.39,370596.0,67.27325,463
2020-10-14,67.58,68.16,66.64,67.22,222612.0,67.168,482
2020-10-15,66.64,66.95,66.12,66.39,453632.0,66.55525,375
2020-10-16,66.77,67.67,66.22,66.42,255412.0,66.73825,372
2020-10-19,66.66,67.32,65.9,66.14,291472.0,66.5335,642
2020-10-20,66.33,66.91,65.94,66.12,184804.0,66.38675,426
2020-10-21,66.32,67.14,65.38,65.45,348404.0,65.89475,595
2020-10-22,65.3,67.5,65.3,67.42,241896.0,66.869,472
2020-10-23,67.75,67.75,66.65,67.11,180316.0,67.1755,378
2020-10-26,66.51,66.93,65.57,66.14,153044.0,66.21325,329
2020-10-27,66.39,67.19,66.23,66.55,183388.0,66.70325,368
2020-10-28,65.82,65.82,64.33,64.41,152964.0,65.05125,336
2020-10-29,64.42,64.42,63.0,63.92,269956.0,63.79575,629
2020-10-30,63.6,64.47,62.56,63.1,309416.0,63.3195,685
2020-11-02,63.8,65.41,63.52,65.0,270784.0,64.52475,616
2020-11-03,65.6,67.08,65.6,66.58,202256.0,66.4935,439
2020-11-04,68.08,69.28,66.01,66.79,460440.0,67.518,963
2020-11-05,70.0,76.53,69.38,76.15,1151100.0,73.83075,2320
2020-11-06,73.78,76.5,73.6,75.62,502072.0,75.1895,957
2020-11-09,77.67,79.22,75.87,76.05,439056.0,77.12125,950
2020-11-10,75.05,76.99,73.07,75.07,388448.0,74.56025,830
2020-11-11,75.76,77.08,75.76,76.61,279872.0,76.66,598
2020-11-12,76.33,76.63,75.27,75.88,182700.0,75.8335,428
2020-11-13,76.5,76.8,75.52,75.71,103292.0,75.95375,221
2020-11-16,75.64,75.83,73.7,75.72,216960.0,75.0045,408
2020-11-17,75.46,77.08,74.81,76.93,296180.0,76.577,615
2020-11-18,77.13,77.13,75.05,75.24,813304.0,75.79275,1125
2020-11-19,75.19,76.43,74.63,75.57,339484.0,75.42175,566
2020-11-20,75.39,76.63,74.5,76.23,333108.0,75.8605,547
2020-11-23,76.39,76.39,75.14,75.94,260476.0,75.702,564
2020-11-24,76.49,76.49,74.77,75.71,266436.0,75.69275,515
2020-11-25,76.4,77.31,75.07,75.44,380592.0,76.00025,733
2020-11-27,75.62,76.07,74.0,74.41,115884.0,74.98525,212
2020-11-30,74.97,75.85,74.57,75.83,401876.0,75.44675,733
2020-12-01,76.49,77.25,76.04,76.24,301448.0,76.579,660
2020-12-02,76.97,76.97,74.16,74.58,222048.0,74.945,483
2020-12-03,74.54,75.08,74.21,74.74,257208.0,74.643,602
2020-12-04,75.29,76.72,75.16,76.64,188844.0,76.14425,443
2020-12-07,76.92,77.91,76.54,76.98,130304.0,77.08725,228
2020-12-08,77.29,78.22,76.68,77.21,304064.0,77.50925,546
2020-12-09,77.46,77.46,75.0,75.41,194052.0,75.7895,425
2020-12-10,75.21,76.48,74.48,76.3,163660.0,75.84475,352
2020-12-11,76.44,77.39,75.42,76.24,111376.0,76.1675,210
2020-12-14,76.32,78.46,75.59,76.61,330544.0,76.92075,694
2020-12-15,77.07,77.67,76.03,77.04,202300.0,77.09125,408
2020-12-16,77.03,77.23,75.42,75.76,250992.0,76.1405,450
2020-12-17,76.3,77.54,75.78,77.44,262428.0,76.94575,570
2020-12-18,77.32,80.17,76.97,80.06,649404.0,78.31925,1034
2020-12-21,79.36,80.76,77.17,80.47,285420.0,79.58475,621
2020-12-22,80.83,81.1,79.66,80.14,186868.0,80.22625,413
2020-12-23,80.74,80.9,79.85,80.02,232788.0,80.3365,390
2020-12-24,80.24,80.78,79.72,80.41,56604.0,80.311,107
2020-12-28,81.09,81.61,78.63,78.95,183024.0,79.3925,396
2020-12-29,79.48,79.59,77.85,78.73,95212.0,78.53725,191
2020-12-30,79.36,79.88,79.02,79.25,133764.0,79.362,277
2020-12-31,79.37,79.88,78.65,79.39,92652.0,79.41325,181
2021-01-04,79.17,79.85,77.66,78.66,252008.0,78.88625,556
2021-01-05,78.72,80.2,77.85,79.25,305344.0,79.41,612
2021-01-06,78.92,83.19,78.92,82.73,443848.0,81.536,974
2021-01-07,82.83,84.78,82.83,83.96,207456.0,84.1025,456
2021-01-08,84.35,85.75,81.69,82.38,282448.0,82.805,638
2021-01-11,81.82,83.92,81.31,83.71,159976.0,83.399,323
2021-01-12,83.61,84.86,83.08,83.5,136336.0,83.53825,315
2021-01-13,83.98,84.84,82.19,82.64,375524.0,82.65675,416
2021-01-14,83.07,85.92,83.07,84.3,405368.0,85.14025,794
2021-01-15,85.23,87.36,84.3,86.93,621120.0,86.19875,1081
2021-01-19,87.69,88.58,86.21,87.95,429000.0,87.2395,811
2021-01-20,88.58,90.37,88.11,89.17,404452.0,89.17375,788
2021-01-21,89.6,89.6,87.66,88.92,313076.0,88.652,711
2021-01-22,89.03,89.55,88.32,89.15,249580.0,89.031,474
2021-01-25,89.73,90.29,87.72,88.11,269716.0,88.72275,466
2021-01-26,88.55,89.16,84.96,85.08,182364.0,86.13725,340
2021-01-27,84.09,84.15,79.42,79.61,418180.0,80.4135,812
2021-01-28,80.29,81.18,77.76,80.63,730276.0,80.63825,1254
2021-01-29,81.11,82.37,80.5,81.23,464992.0,81.34025,1013
2021-02-01,82.55,85.45,82.05,85.02,394124.0,84.6355,848
2021-02-02,89.49,99.96,89.49,94.19,1341924.0,94.51575,2280
2021-02-03,94.76,94.76,90.24,92.1,504368.0,92.08125,1072
2021-02-04,92.5,96.24,92.23,95.68,427572.0,95.06525,895
2021-02-05,96.77,97.14,94.27,95.17,506292.0,95.73575,801
2021-02-08,96.25,97.85,95.55,97.64,815416.0,96.39,1105
2021-02-09,98.22,99.0,96.33,97.49,335332.0,97.81225,492
2021-02-10,98.23,98.86,96.38,97.58,219916.0,97.9005,390
2021-02-11,97.85,99.08,96.75,98.76,272588.0,98.02625,485
2021-02-12,99.06,101.38,98.66,99.72,333572.0,99.92425,624
2021-02-16,100.49,103.75,100.32,102.75,610176.0,102.32975,1271
2021-02-17,101.75,102.56,101.04,101.82,503800.0,101.8605,920
2021-02-18,101.76,101.76,98.83,99.27,272524.0,100.07075,555
2021-02-19,99.56,100.34,97.07,97.39,326352.0,98.022,697
2021-02-22,97.0,97.25,93.95,94.25,352840.0,95.15825,763
2021-02-23,94.98,94.98,92.36,94.22,473036.0,93.4905,1031
2021-02-24,93.95,94.97,93.07,93.67,273280.0,93.9115,591
2021-02-25,93.75,94.49,91.23,91.27,230288.0,92.22925,495
2021-02-26,91.83,92.11,89.74,90.42,437788.0,90.6445,953
2021-03-01,92.24,93.45,91.5,93.11,491396.0,92.3805,737
2021-03-02,94.06,94.28,92.61,93.86,440108.0,93.504,877
2021-03-03,93.04,93.08,90.28,90.31,281268.0,91.2255,597
2021-03-04,90.19,92.44,86.61,86.98,302588.0,88.35075,678
2021-03-05,86.32,89.7,84.7,89.05,254228.0,87.71325,538
2021-03-08,89.65,90.71,86.22,86.22,299056.0,88.40375,668
2021-03-09,88.0,91.51,86.47,91.03,568292.0,90.717,1191
2021-03-10,91.6,93.3,90.03,90.94,629600.0,91.36175,1325
2021-03-11,92.1,97.25,91.74,97.0,779976.0,95.10975,1255
2021-03-12,95.23,96.35,92.64,96.28,771944.0,94.9175,1002
2021-03-15,96.36,100.85,96.36,99.25,423636.0,99.46025,919
2021-03-16,99.61,101.2,96.23,97.09,338808.0,98.52225,655
2021-03-17,96.33,98.26,94.44,95.46,254516.0,95.48375,502
2021-03-18,94.8,96.97,93.19,93.5,227568.0,94.44225,444
2021-03-19,94.24,94.73,92.61,93.81,441824.0,93.80525,736
2021-03-22,94.22,96.74,94.03,96.35,141308.0,95.8515,328
2021-03-23,95.73,95.73,93.29,94.12,248800.0,94.42975,497
2021-03-24,94.42,95.45,92.01,92.36,207308.0,92.84175,433
2021-03-25,91.49,94.67,89.3,94.31,397088.0,92.46775,683
2021-03-26,94.44,97.53,93.15,97.06,348436.0,96.19925,758
2021-03-29,96.07,96.07,89.85,91.75,565520.0,91.7265,1106
2021-03-30,91.29,93.88,91.05,93.37,419572.0,92.464,947
2021-03-31,94.49,96.59,94.49,95.48,665304.0,95.6235,1263
2021-04-01,96.26,97.64,95.52,97.13,452092.0,97.0245,937
2021-04-05,98.14,99.23,97.47,99.2,156312.0,98.49025,327
2021-04-06,99.57,101.14,99.57,99.77,412928.0,100.3025,867
2021-04-07,98.78,100.42,97.87,99.25,317156.0,98.85325,629
2021-04-08,100.38,101.99,99.14,101.29,436588.0,101.017,980
2021-04-09,101.55,102.85,100.67,102.18,357024.0,101.69625,680
2021-04-12,101.76,101.76,99.76,100.76,560804.0,100.912,931
2021-04-13,101.14,105.08,100.68,104.86,598176.0,103.7395,1121
2021-04-14,105.25,105.77,102.75,103.6,317104.0,104.133,602
2021-04-15,103.79,105.03,103.35,103.8,420852.0,103.96325,850
2021-04-16,103.89,104.95,103.01,104.64,328356.0,103.7855,680
2021-04-19,103.81,104.86,102.33,103.63,198516.0,103.32475,446
2021-04-20,103.83,104.81,102.47,102.98,407900.0,103.35075,540
2021-04-21,103.33,106.16,102.57,105.96,478700.0,105.3545,1050
2021-04-22,105.85,107.77,104.91,105.93,308384.0,106.6225,714
2021-04-23,106.75,108.67,104.56,108.12,215012.0,107.197,477
2021-04-26,108.63,111.21,108.22,110.14,382820.0,110.38975,816
2021-04-27,110.53,111.13,108.14,110.35,172064.0,109.733,322
2021-04-28,110.19,110.99,109.01,109.2,224076.0,109.7735,447
2021-04-29,109.71,110.81,107.35,108.44,215088.0,108.3935,482
2021-04-30,107.94,109.4,106.42,106.87,238124.0,107.457,518
2021-05-03,107.97,108.23,105.58,106.6,258080.0,106.77425,572
2021-05-04,105.33,106.04,103.51,104.56,305868.0,104.587,679
2021-05-05,105.62,106.24,103.65,104.2,368732.0,104.33825,785
2021-05-06,104.2,104.57,99.75,102.75,467304.0,102.16775,1007
2021-05-07,102.69,107.26,102.16,105.76,522620.0,106.0125,1145
2021-05-10,105.28,105.83,101.98,102.06,587868.0,104.0695,1245
2021-05-11,99.98,104.04,98.72,103.89,313496.0,102.7045,667
2021-05-12,103.63,106.2,102.13,102.22,428032.0,103.84475,958
2021-05-13,102.96,103.25,96.77,99.17,733764.0,98.78475,1593
2021-05-14,99.59,102.14,98.89,100.34,718344.0,100.38575,1527
2021-05-17,100.2,100.58,96.69,96.84,443284.0,97.90925,1024
2021-05-18,97.14,100.3,96.53,100.0,937968.0,99.4405,1844
2021-05-19,98.39,101.01,98.39,99.39,428788.0,99.4485,926
2021-05-20,99.82,102.81,99.39,102.22,536140.0,101.41475,1188
2021-05-21,103.53,104.45,101.9,102.34,417172.0,102.805,931
2021-05-24,102.89,105.58,102.85,105.25,938004.0,104.50525,1951
2021-05-25,106.0,107.04,104.61,105.04,716316.0,105.766,1488
2021-05-26,105.76,106.2,102.73,104.07,510016.0,104.19275,1140
2021-05-27,104.76,105.82,101.85,102.42,1630060.0,103.33525,3723
2021-05-28,102.73,105.09,102.73,103.46,720696.0,103.9215,1445
2021-06-01,104.57,104.57,100.09,102.56,433816.0,102.14325,920
2021-06-02,102.09,103.31,100.13,102.53,449940.0,101.971,1029
2021-06-03,101.75,102.92,100.53,101.89,467364.0,102.30725,1035
2021-06-04,102.7,106.8,102.34,106.08,693932.0,105.37625,1313
2021-06-07,105.31,107.0,103.78,104.93,397084.0,105.393,916
2021-06-08,106.21,107.45,104.44,106.26,230948.0,105.70875,517
2021-06-09,106.26,108.48,105.92,107.29,407372.0,107.51475,756
2021-06-10,107.51,110.25,107.51,108.95,428576.0,109.2505,736
2021-06-11,109.56,111.11,108.95,110.99,322036.0,110.2355,714
2021-06-14,110.99,112.7,110.88,112.34,293848.0,112.0405,661
2021-06-15,111.29,111.88,108.64,110.33,410388.0,109.9775,827
2021-06-16,110.73,111.58,109.68,110.64,272200.0,110.7665,626
2021-06-17,110.64,113.14,109.92,111.3,279512.0,111.80325,628
2021-06-18,111.86,113.46,106.59,107.98,976724.0,110.39625,1668
2021-06-21,108.08,110.46,107.48,110.05,331544.0,109.59525,775
2021-06-22,110.28,111.14,109.12,110.47,267376.0,110.32375,590
2021-06-23,110.46,111.77,110.37,111.11,186104.0,111.18475,419
2021-06-24,112.1,112.5,109.14,109.88,259080.0,110.22175,567
2021-06-25,109.74,110.71,108.33,109.14,258456.0,109.4445,570
2021-06-28,109.75,112.19,109.14,111.25,303108.0,111.24975,613
2021-06-29,111.46,112.99,111.28,111.95,225992.0,112.2275,493
2021-06-30,111.7,113.17,111.31,112.57,302848.0,112.14175,659
2021-07-01,112.34,114.85,112.02,113.48,439196.0,113.84975,859
2021-07-02,113.61,114.25,111.81,112.39,428852.0,112.4685,822
2021-07-06,112.81,114.5,111.42,113.87,459332.0,113.14675,912
2021-07-07,114.62,116.86,113.58,115.93,471580.0,115.42,814
2021-07-08,114.08,115.58,112.64,115.22,253692.0,114.74425,566
2021-07-09,115.7,116.58,114.58,116.35,496364.0,115.54675,988
2021-07-12,116.64,116.91,112.38,112.86,460432.0,113.59675,1040
2021-07-13,112.75,114.0,112.36,113.36,255060.0,113.16275,524
2021-07-14,112.77,114.07,109.8,111.22,505232.0,111.57925,932
2021-07-15,111.16,112.66,110.47,112.38,199244.0,111.98725,390
2021-07-16,113.03,115.19,111.8,114.67,334360.0,114.28125,743
2021-07-19,113.49,115.35,112.78,113.86,228856.0,114.20625,447
2021-07-20,114.44,117.31,114.44,116.76,373108.0,116.286,835
2021-07-21,116.71,117.33,113.84,115.79,134328.0,115.43975,276
2021-07-22,115.8,117.74,115.79,117.3,104180.0,117.08375,205
2021-07-23,117.64,119.75,117.64,118.6,203640.0,118.59275,410
2021-07-26,118.36,119.15,117.46,118.03,93980.0,118.14875,199
2021-07-27,118.26,118.66,116.54,118.4,126712.0,118.056,227
2021-07-28,117.82,119.47,117.72,119.19,287568.0,118.76575,565
2021-07-29,119.68,121.79,118.98,120.78,88288.0,120.679,180
2021-07-30,120.2,122.06,120.2,120.56,103244.0,121.05025,227
2021-08-02,121.5,121.61,118.54,121.44,195872.0,120.75025,426
2021-08-03,121.33,121.44,118.77,120.32,283184.0,120.1915,594
2021-08-04,120.46,121.97,119.84,121.69,777964.0,121.014,1609
2021-08-05,122.39,126.08,119.89,122.66,411924.0,122.596,855
2021-08-06,122.5,122.5,117.75,120.46,377276.0,120.23675,660
2021-08-09,120.23,122.31,119.04,119.81,531848.0,120.15225,1076
2021-08-10,119.75,119.75,115.45,115.93,253320.0,116.5675,553
2021-08-11,116.37,116.37,114.15,115.72,135588.0,115.2685,294
2021-08-12,115.91,117.36,115.62,115.97,263836.0,116.49375,548
2021-08-13,116.29,117.23,115.43,116.74,257492.0,116.5005,471
2021-08-16,116.08,119.73,116.08,119.36,207392.0,118.62025,429
2021-08-17,119.44,119.44,117.81,118.51,147032.0,118.332,314
2021-08-18,118.71,119.42,117.36,117.71,79292.0,118.35775,169
2021-08-19,116.59,119.87,116.15,118.97,289108.0,118.78725,570
2021-08-20,119.19,120.8,118.92,119.86,226244.0,119.75425,473
2021-08-23,120.25,122.07,119.54,119.98,429576.0,120.85475,904
2021-08-24,120.77,123.8,120.22,123.12,383980.0,122.393,728
2021-08-25,123.96,125.81,122.72,125.06,1815308.0,124.36225,3262
2021-08-26,124.35,125.99,122.78,123.3,1248332.0,123.71925,2521
2021-08-27,123.16,124.01,121.38,123.75,2453812.0,122.769,4961
2021-08-30,125.32,127.81,124.3,126.46,548320.0,125.939,1058
2021-08-31,127.29,127.29,123.7,124.79,512300.0,125.151,1118
