date,open,high,low,close,volume,average,barCount
2020-07-13,79.92,81.17,79.59,79.79,1251897.0,80.476,8773
2020-07-14,79.0,81.56,78.36,81.47,873746.0,80.326,6214
2020-07-15,83.27,85.61,83.11,85.49,1419378.0,84.692,9728
2020-07-16,84.61,85.47,84.16,84.72,1213005.0,84.675,7030
2020-07-17,84.88,86.09,84.3,85.58,1097641.0,85.384,7393
2020-07-20,84.98,85.39,83.8,85.2,905950.0,84.707,6868
2020-07-21,87.65,88.03,85.9,86.14,859855.0,86.596,6052
2020-07-22,86.87,87.55,86.41,86.78,644880.0,86.807,5142
2020-07-23,86.48,88.33,86.22,88.31,1218206.0,87.79,8603
2020-07-24,87.72,87.94,86.75,87.27,1768338.0,87.207,9665
2020-07-27,87.84,90.13,86.96,89.94,1085565.0,89.474,6962
2020-07-28,88.95,89.35,86.87,86.91,1734990.0,88.093,12185
2020-07-29,84.95,90.99,84.16,89.89,1790690.0,89.448,11988
2020-07-30,89.51,89.91,87.92,89.2,1565008.0,88.767,10942
2020-07-31,88.76,89.17,87.46,89.07,1156955.0,88.342,7846
2020-08-03,89.41,90.15,88.94,89.79,809480.0,89.79,5699
2020-08-04,89.7,91.07,89.39,91.07,991453.0,90.359,5640
2020-08-05,91.63,92.52,91.46,92.24,1013310.0,91.94,6852
2020-08-06,91.46,92.17,91.37,91.71,719246.0,91.812,5233
2020-08-07,91.12,92.43,91.12,92.42,681806.0,91.874,4507
2020-08-10,92.55,94.39,92.53,94.25,854168.0,93.985,5996
2020-08-11,95.85,96.95,94.79,95.04,1437353.0,96.074,9501
2020-08-12,95.15,95.76,94.63,95.45,788654.0,95.369,4342
2020-08-13,94.92,96.5,94.57,95.89,1079139.0,95.744,6945
2020-08-14,95.06,95.79,94.34,94.76,682541.0,95.172,3751
2020-08-17,95.12,95.44,94.48,94.76,514167.0,94.991,3622
2020-08-18,94.52,95.0,93.76,94.04,688329.0,94.068,3931
2020-08-19,94.18,94.98,93.78,94.17,867074.0,94.344,5698
2020-08-20,93.05,93.23,92.37,92.39,867586.0,92.665,4675
2020-08-21,92.59,93.7,91.99,93.54,732417.0,93.077,4530
2020-08-24,93.69,94.94,93.42,94.68,683456.0,94.397,3703
2020-08-25,95.0,95.61,94.34,94.91,1042282.0,94.77,5598
2020-08-26,95.25,95.99,94.53,95.8,719447.0,95.345,4306
2020-08-27,95.92,96.29,95.19,95.45,959819.0,95.68,5230
2020-08-28,95.37,98.06,95.26,97.94,1412333.0,97.027,7469
2020-08-31,98.17,98.69,96.45,96.6,1474382.0,97.341,9226
2020-09-01,96.28,98.53,95.81,98.51,1170417.0,97.574,7126
2020-09-02,99.0,100.96,97.88,100.64,1224310.0,99.775,6332
2020-09-03,99.85,100.42,96.99,97.83,1811261.0,98.576,8919
2020-09-04,97.65,99.71,97.34,98.75,1401017.0,98.476,8657
2020-09-08,97.39,97.76,95.27,95.4,915155.0,96.594,6916
2020-09-09,96.88,98.87,96.66,98.05,1119509.0,98.14,6333
2020-09-10,99.08,99.75,96.68,96.8,936806.0,97.73,6108
2020-09-11,97.29,98.8,96.93,97.83,604287.0,97.881,5039
2020-09-14,98.95,100.14,98.8,99.58,743173.0,99.578,5268
2020-09-15,100.29,101.57,99.75,100.95,793930.0,100.952,5572
2020-09-16,102.25,103.2,101.32,101.87,1086264.0,102.321,7019
