date,open,high,low,close,volume,average,barCount
2020-07-13,35.7,36.07,34.75,35.61,4649397.0,35.593,29122
2020-07-14,35.49,36.02,34.64,35.18,4448114.0,35.261,30790
2020-07-15,36.28,37.2,35.9,36.93,4841270.0,36.615,29626
2020-07-16,36.95,37.94,36.08,37.22,3922470.0,37.164,25520
2020-07-17,37.15,37.25,36.29,36.3,2774622.0,36.608,17029
2020-07-20,36.16,36.26,35.58,35.72,1899157.0,35.827,11501
2020-07-21,35.94,37.55,35.94,37.25,3605913.0,37.141,24229
2020-07-22,36.42,37.22,36.24,37.17,3683933.0,36.782,22660
2020-07-23,36.92,38.07,36.84,37.9,3068303.0,37.621,18854
2020-07-24,38.07,38.33,37.41,37.74,3148596.0,37.788,19816
2020-07-27,37.25,37.48,36.35,36.67,3240503.0,36.627,20984
2020-07-28,36.37,37.19,36.34,36.87,2032736.0,36.967,13055
2020-07-29,36.72,38.41,36.48,38.34,2914016.0,37.685,18641
2020-07-30,37.11,37.35,36.19,37.24,2644586.0,36.961,17744
2020-07-31,37.12,37.5,36.57,37.46,3099617.0,37.056,20266
2020-08-03,37.4,38.04,36.86,37.77,3123361.0,37.738,18933
2020-08-04,37.78,37.96,36.78,37.18,3219813.0,37.145,17667
2020-08-05,37.5,37.93,37.38,37.66,2646492.0,37.695,15446
2020-08-06,37.35,37.85,37.14,37.55,2414043.0,37.541,14992
2020-08-07,37.23,39.11,37.0,39.06,2786507.0,38.184,16488
2020-08-10,39.18,40.08,39.12,39.42,2393934.0,39.599,15097
2020-08-11,41.2,42.04,40.45,40.7,5915675.0,41.355,37551
2020-08-12,41.61,41.79,40.11,40.81,8751264.0,40.926,50652
2020-08-13,39.69,39.88,38.54,38.82,3917061.0,39.038,22864
2020-08-14,38.5,39.95,38.3,39.5,2606988.0,39.424,14584
2020-08-17,39.17,39.39,38.51,38.74,2302443.0,38.76,14487
2020-08-18,38.86,38.89,37.78,37.91,1803982.0,38.102,11466
2020-08-19,38.15,38.77,37.78,37.95,2429425.0,38.181,16007
2020-08-20,37.32,37.74,36.89,37.21,1660713.0,37.292,10013
2020-08-21,37.15,37.53,36.75,36.91,1611894.0,36.989,8085
2020-08-24,37.08,38.67,36.88,38.65,2273397.0,38.073,13534
2020-08-25,39.33,39.53,38.33,38.82,2048259.0,38.768,13356
2020-08-26,38.46,38.58,37.86,37.87,1854203.0,38.093,11342
2020-08-27,37.92,39.46,37.81,39.21,2612794.0,39.113,17992
2020-08-28,39.58,39.63,39.0,39.59,2021725.0,39.425,12654
2020-08-31,39.52,39.52,38.71,38.81,2288956.0,38.975,14645
2020-09-01,38.76,39.56,38.13,39.17,3323375.0,38.992,20728
2020-09-02,38.87,39.72,38.62,39.41,4603739.0,39.203,26500
2020-09-03,39.82,41.04,38.44,38.61,5666241.0,39.336,35607
2020-09-04,39.75,40.1,38.58,39.16,6643967.0,39.145,39809
2020-09-08,38.69,38.78,37.16,37.91,5619990.0,37.853,35587
2020-09-09,38.2,38.36,37.44,37.83,3871537.0,37.867,22786
2020-09-10,38.01,38.46,37.17,37.21,3088013.0,37.719,20151
2020-09-11,37.32,38.24,37.05,38.23,3598489.0,37.834,20157
2020-09-14,38.48,39.89,38.36,39.76,4107145.0,39.529,24976
2020-09-15,39.66,39.75,38.94,39.41,4560234.0,39.4,25594
2020-09-16,39.22,40.66,38.98,40.25,3822155.0,40.205,22553
2020-09-17,39.53,40.04,39.0,39.26,3775588.0,39.383,23984
2020-09-18,38.99,39.63,38.85,39.16,3468221.0,39.216,17284
2020-09-21,38.0,38.32,36.78,37.34,4260524.0,37.267,26686
2020-09-22,37.14,37.7,35.92,36.25,3320482.0,36.428,19424
2020-09-23,36.58,37.15,35.43,35.43,3300237.0,36.164,19008
2020-09-24,35.78,36.34,35.09,35.47,2666239.0,35.58,17153
2020-09-25,35.01,36.23,34.86,36.17,2440458.0,35.774,15073
2020-09-28,36.82,37.8,36.72,37.45,3345533.0,37.417,19184
2020-09-29,37.3,37.3,36.23,37.01,3930882.0,36.828,21601
2020-09-30,37.04,38.24,37.0,38.05,5432572.0,37.789,32199
2020-10-01,38.18,38.86,37.86,38.75,6552270.0,38.372,40032
2020-10-02,38.13,40.24,37.94,39.98,4739029.0,39.589,29703
2020-10-05,40.42,41.4,40.41,41.24,3371031.0,41.107,21918
2020-10-06,41.63,42.67,40.65,40.82,4085232.0,41.627,27806
2020-10-07,41.43,42.68,41.43,42.03,4400034.0,41.964,24411
2020-10-08,42.37,43.16,42.05,43.06,3762221.0,42.656,21634
2020-10-09,43.36,43.46,42.5,43.21,4299551.0,43.164,26222
2020-10-12,43.03,43.62,42.82,43.46,2702337.0,43.307,16656
2020-10-13,43.11,43.34,42.37,42.6,3742190.0,42.737,21674
2020-10-14,42.85,43.11,42.1,42.23,4545297.0,42.48,20873
2020-10-15,42.99,43.0,41.0,42.11,5063042.0,41.874,26454
2020-10-16,42.08,42.2,40.94,41.65,3656791.0,41.609,19636
2020-10-19,41.82,42.33,41.37,41.57,2620699.0,41.765,16015
2020-10-20,42.02,43.2,41.96,42.09,3097845.0,42.556,19792
2020-10-21,41.77,42.19,41.55,41.9,3083280.0,41.827,18775
2020-10-22,41.8,43.53,41.77,43.45,2866957.0,42.993,16894
2020-10-23,43.89,44.4,43.16,43.94,2563227.0,43.776,15911
2020-10-26,43.13,43.31,42.53,43.03,3253206.0,42.828,20832
2020-10-27,42.78,42.93,41.71,41.73,2956707.0,42.193,18862
2020-10-28,40.56,41.77,40.52,41.12,4770233.0,41.211,29190
2020-10-29,40.83,42.12,40.05,41.85,3153025.0,41.506,20221
2020-10-30,41.7,42.18,41.22,42.12,3734666.0,41.696,24111
2020-11-02,42.76,43.77,42.09,43.48,4758555.0,43.289,27637
2020-11-03,44.73,45.18,44.19,44.76,3993615.0,44.761,21811
2020-11-04,43.33,43.89,41.98,42.68,3559703.0,43.097,23112
2020-11-05,42.72,45.21,42.66,44.93,5242542.0,44.726,27156
2020-11-06,45.2,45.2,42.8,42.99,3592464.0,43.747,22060
2020-11-09,47.42,49.72,47.4,48.52,7152106.0,48.758,43544
2020-11-10,47.44,49.32,46.98,49.04,4452925.0,48.826,28004
2020-11-11,49.2,49.28,47.91,48.82,4253812.0,48.594,27888
2020-11-12,47.43,47.63,45.63,46.33,3321201.0,46.475,20351
2020-11-13,46.51,47.65,46.5,47.19,3510051.0,47.247,22467
2020-11-16,49.0,49.15,48.07,48.57,4057703.0,48.488,21838
2020-11-17,47.62,48.32,47.07,48.17,3659833.0,47.86,20890
2020-11-18,48.33,48.88,47.44,47.45,3672727.0,48.196,20127
2020-11-19,46.77,47.03,46.15,46.9,4932069.0,46.636,26602
2020-11-20,46.73,46.89,46.07,46.21,4225413.0,46.361,19992
2020-11-23,46.88,47.24,46.45,46.98,3248863.0,46.915,16638
