date,open,high,low,close,volume,average,barCount
2020-07-13,46.4,46.44,44.44,44.48,317023.0,45.381,2679
2020-07-14,44.67,45.91,44.07,45.57,261537.0,45.453,2267
2020-07-15,46.46,47.58,46.02,47.12,383932.0,46.861,3067
2020-07-16,46.86,47.36,46.02,46.73,312846.0,46.755,2617
2020-07-17,46.73,46.79,45.54,46.06,351195.0,45.87,1923
2020-07-20,46.17,46.75,45.31,46.26,218004.0,46.25,1782
2020-07-21,46.3,46.93,45.8,45.84,224438.0,46.154,1765
2020-07-22,46.0,46.54,45.51,45.93,190310.0,45.869,1597
2020-07-23,45.85,46.35,45.1,45.56,453686.0,45.778,2686
2020-07-24,45.45,45.6,44.24,44.72,673366.0,44.55,3712
2020-07-27,45.0,45.17,44.25,44.91,995872.0,44.79,6334
2020-07-28,44.7,45.94,44.52,44.9,343623.0,45.273,2790
2020-07-29,45.12,45.35,44.19,44.56,374617.0,44.604,2800
2020-07-30,44.17,45.76,43.94,45.43,437812.0,45.173,3072
2020-07-31,48.25,48.9,45.07,46.61,1208588.0,46.364,8769
2020-08-03,46.66,47.0,43.79,44.17,868782.0,44.375,6183
2020-08-04,44.18,44.99,43.83,44.31,476004.0,44.257,2953
2020-08-05,44.44,45.45,44.33,45.26,463162.0,45.163,3404
2020-08-06,45.25,45.64,44.76,45.42,268500.0,45.217,2049
2020-08-07,45.5,45.76,43.41,43.7,443074.0,44.181,3182
2020-08-10,43.85,44.74,43.68,44.09,432170.0,44.179,2753
2020-08-11,44.6,46.35,44.45,45.41,545466.0,45.763,3604
2020-08-12,45.8,46.54,45.0,45.51,396837.0,45.653,3147
2020-08-13,45.48,46.27,45.41,45.83,320568.0,45.871,1919
2020-08-14,45.72,46.11,45.23,45.37,185731.0,45.654,1590
2020-08-17,45.49,45.49,44.09,44.89,298445.0,44.817,2415
2020-08-18,44.81,45.1,44.19,44.77,253840.0,44.679,2075
2020-08-19,44.7,45.62,44.52,44.68,203610.0,44.954,1492
2020-08-20,44.44,44.44,43.77,44.03,213043.0,44.041,1670
2020-08-21,43.85,44.17,42.38,42.73,398334.0,42.995,3140
2020-08-24,42.97,45.04,42.72,44.98,448132.0,44.515,3492
2020-08-25,44.71,45.5,44.16,44.5,266698.0,44.633,2289
2020-08-26,44.29,46.04,44.16,45.46,417822.0,45.546,2408
2020-08-27,45.73,46.25,45.02,45.14,254085.0,45.422,2032
2020-08-28,45.18,45.35,44.82,44.92,177730.0,45.036,1389
2020-08-31,44.49,44.78,44.03,44.07,258996.0,44.344,2095
2020-09-01,44.0,44.29,43.32,43.53,252634.0,43.78,2090
2020-09-02,43.81,44.69,43.54,44.36,217797.0,44.384,1850
2020-09-03,44.14,45.49,42.12,42.52,774039.0,43.408,3829
2020-09-04,42.74,43.35,41.04,43.08,402489.0,42.501,3215
2020-09-08,42.36,43.77,42.12,42.72,274326.0,42.997,2370
2020-09-09,42.98,43.09,41.82,42.26,263234.0,42.289,2243
2020-09-10,42.38,43.61,42.38,42.46,288610.0,42.913,2371
2020-09-11,42.0,42.44,40.77,41.4,380131.0,41.589,3116
2020-09-14,42.12,42.26,40.54,41.12,334566.0,41.027,2583
2020-09-15,41.41,41.81,40.69,41.15,205852.0,41.305,1524
2020-09-16,41.23,41.8,40.99,41.08,270359.0,41.339,2165
2020-09-17,40.49,41.02,39.95,40.73,374630.0,40.452,2973
2020-09-18,40.72,41.07,40.06,40.16,381699.0,40.452,2232
2020-09-21,40.15,40.53,38.25,39.36,499085.0,39.294,3753
2020-09-22,39.41,39.94,38.77,39.21,244693.0,39.234,1826
2020-09-23,39.01,39.07,37.88,38.35,775037.0,38.428,4657
2020-09-24,38.16,39.39,37.9,38.82,353561.0,38.861,2851
2020-09-25,38.83,39.47,38.5,39.15,341525.0,39.089,2678
2020-09-28,39.8,40.36,39.21,39.87,358745.0,39.817,2916
2020-09-29,39.95,40.15,39.44,40.03,270590.0,39.836,2297
2020-09-30,40.49,41.09,40.11,40.47,412682.0,40.613,3353
2020-10-01,40.84,41.22,39.97,40.37,448390.0,40.412,3182
2020-10-02,39.89,40.5,39.34,40.16,671859.0,40.054,4701
2020-10-05,40.43,40.48,38.94,39.22,345552.0,39.468,2470
2020-10-06,39.76,40.9,39.47,39.76,375702.0,40.239,2764
2020-10-07,39.94,40.44,39.38,40.08,383594.0,40.054,2612
2020-10-08,40.33,40.54,39.55,39.85,138017.0,39.799,1050
2020-10-09,39.96,40.34,39.51,40.16,234457.0,39.909,1468
2020-10-12,40.42,40.81,39.97,40.08,363929.0,40.201,2981
2020-10-13,40.0,40.75,39.43,40.57,213473.0,40.311,1688
2020-10-14,40.44,41.87,40.44,41.65,435328.0,41.422,3534
2020-10-15,41.34,41.65,40.51,40.96,924007.0,41.049,3078
2020-10-16,40.95,41.74,39.77,39.78,725612.0,40.304,3858
2020-10-19,40.09,40.27,38.49,38.65,614859.0,38.922,3627
2020-10-20,39.04,39.43,38.62,38.71,246874.0,38.943,1980
2020-10-21,38.66,39.29,38.1,38.99,332541.0,38.774,2547
2020-10-22,39.15,39.68,38.3,38.6,340025.0,38.626,2545
2020-10-23,38.83,39.26,38.12,38.28,339865.0,38.475,2368
2020-10-26,38.03,38.63,37.35,37.65,433206.0,37.763,3330
2020-10-27,37.45,37.66,36.76,37.48,452723.0,37.316,3661
2020-10-28,36.88,37.65,36.51,36.65,489459.0,37.058,4097
2020-10-29,36.77,37.88,36.02,37.33,639423.0,36.886,4970
2020-10-30,37.19,39.48,35.44,36.36,1099377.0,36.442,7548
2020-11-02,36.91,38.43,36.16,38.41,1023750.0,37.404,5335
2020-11-03,38.74,39.8,38.34,38.5,447077.0,38.805,3454
2020-11-04,38.77,39.75,38.3,39.1,428215.0,39.156,3292
2020-11-05,39.48,39.91,37.59,37.78,1054254.0,38.08,6274
2020-11-06,37.7,39.41,37.49,38.92,665436.0,38.597,3623
2020-11-09,41.5,42.96,40.18,40.23,975284.0,41.489,7361
2020-11-10,40.53,40.75,39.15,40.53,540813.0,40.053,3893
2020-11-11,40.73,41.75,40.63,41.11,366468.0,41.181,2812
2020-11-12,40.87,41.23,40.02,40.3,304386.0,40.503,2452
2020-11-13,40.49,41.1,40.24,40.88,193160.0,40.811,1405
2020-11-16,41.73,42.74,41.32,42.26,367076.0,42.285,2490
2020-11-17,41.94,42.68,41.85,42.23,795027.0,42.266,3595
2020-11-18,42.2,42.41,41.43,41.47,512407.0,41.914,3043
2020-11-19,41.24,42.74,41.0,41.95,1460427.0,41.975,3667
2020-11-20,42.07,42.35,40.81,40.97,721281.0,41.492,4454
2020-11-23,41.33,41.78,40.78,41.3,382035.0,41.431,2212
2020-11-24,41.56,42.14,41.3,42.03,862553.0,41.817,3788
2020-11-25,42.2,43.09,41.65,41.97,607621.0,42.411,3154
2020-11-27,42.12,42.85,41.58,41.8,364777.0,42.175,2182
2020-11-30,41.64,43.43,41.52,43.04,882755.0,42.781,6222
2020-12-01,43.51,44.89,43.12,44.86,906848.0,44.442,5669
2020-12-02,44.48,45.33,44.21,44.48,530098.0,44.734,3751
2020-12-03,44.3,44.47,43.55,44.12,656609.0,43.999,3699
2020-12-04,44.51,45.07,44.04,44.97,269390.0,44.771,1862
2020-12-07,44.65,45.24,43.84,44.3,434789.0,44.575,2724
2020-12-08,44.13,44.38,43.33,43.77,347338.0,43.639,2668
2020-12-09,44.07,45.09,43.6,43.82,326482.0,44.221,2326
2020-12-10,43.4,44.53,43.2,44.44,310166.0,44.023,2578
2020-12-11,44.57,44.99,44.06,44.25,287223.0,44.383,2392
2020-12-14,44.5,44.83,44.2,44.61,236272.0,44.547,1858
2020-12-15,44.92,45.75,44.75,45.68,468027.0,45.377,3237
2020-12-16,45.88,46.36,45.28,45.53,496357.0,45.85,3552
2020-12-17,45.59,47.55,45.59,47.49,943213.0,46.84,6164
2020-12-18,47.8,48.0,46.02,46.43,682262.0,46.628,4399
2020-12-21,45.26,46.67,44.89,46.19,405938.0,45.91,3037
2020-12-22,46.17,47.49,45.74,47.14,344300.0,46.999,2445
2020-12-23,47.42,48.83,47.2,47.76,570744.0,48.175,3981
2020-12-24,47.79,47.88,47.02,47.32,128697.0,47.343,1025
2020-12-28,47.14,48.77,47.14,47.92,301691.0,48.125,2106
2020-12-29,48.11,48.6,47.86,48.17,269298.0,48.197,1834
2020-12-30,48.47,49.11,48.06,48.38,478712.0,48.478,2828
2020-12-31,48.38,48.76,47.73,48.05,333685.0,48.128,2277
2021-01-04,48.37,48.62,46.44,47.22,526048.0,47.245,3620
2021-01-05,46.99,48.13,46.99,48.02,357805.0,47.794,2513
2021-01-06,48.15,49.42,48.04,48.5,434088.0,48.712,3323
2021-01-07,48.93,49.17,47.88,48.43,362453.0,48.452,2587
2021-01-08,48.75,49.41,47.87,48.24,401860.0,48.436,2449
2021-01-11,47.95,48.48,46.83,47.25,250682.0,47.439,1807
2021-01-12,47.01,48.72,47.01,48.71,523009.0,48.204,2990
2021-01-13,48.99,51.34,48.87,50.18,822398.0,50.447,5424
2021-01-14,50.32,52.48,50.32,51.68,617461.0,51.701,4155
2021-01-15,51.66,52.09,50.45,50.83,511993.0,50.918,3457
2021-01-19,52.28,53.38,51.77,52.08,880815.0,52.534,6055
2021-01-20,52.38,52.69,50.9,51.55,370745.0,51.526,2723
2021-01-21,51.57,52.89,50.2,52.59,650569.0,51.884,4037
2021-01-22,52.6,55.6,52.23,55.52,824822.0,54.394,5280
2021-01-25,56.25,56.99,53.26,53.96,2262620.0,55.215,11397
2021-01-26,55.69,57.66,54.51,57.46,1351808.0,56.443,7881
2021-01-27,57.07,60.0,57.07,57.44,2766105.0,58.387,14460
2021-01-28,57.25,58.12,55.88,56.49,697114.0,56.91,4445
2021-01-29,56.42,58.32,56.33,56.33,909042.0,57.206,4805
2021-02-01,57.09,57.67,55.2,57.58,588801.0,56.616,3376
2021-02-02,58.15,58.28,56.47,57.16,569647.0,57.191,3054
2021-02-03,56.95,58.02,56.44,56.51,999745.0,56.926,5741
2021-02-04,56.5,56.98,55.46,56.0,1090720.0,55.965,7241
2021-02-05,53.02,54.75,48.87,49.23,2146404.0,50.539,14016
2021-02-08,49.41,50.01,46.05,47.42,2713839.0,47.344,14931
2021-02-09,47.3,47.78,46.41,47.24,1250296.0,47.056,7350
2021-02-10,47.66,47.74,46.32,46.68,935290.0,46.857,5325
2021-02-11,46.62,47.39,45.87,47.06,1281581.0,46.753,5666
2021-02-12,47.12,47.22,45.89,46.41,1228672.0,46.348,6315
2021-02-16,46.78,47.25,45.9,46.5,906461.0,46.468,4789
2021-02-17,46.5,47.78,45.92,47.49,1320380.0,47.046,6153
2021-02-18,47.19,48.58,47.19,47.27,688999.0,47.81,4558
2021-02-19,47.22,47.78,46.71,46.81,525706.0,47.041,3562
2021-02-22,46.5,47.98,46.46,47.73,697189.0,47.382,4405
2021-02-23,47.33,48.74,46.67,48.24,770995.0,47.816,5218
2021-02-24,48.16,49.97,48.04,49.81,838060.0,49.508,6064
2021-02-25,49.97,51.84,48.51,48.9,1132220.0,49.927,7806
2021-02-26,48.49,50.14,48.38,49.4,627381.0,49.571,4680
2021-03-01,50.23,52.77,50.06,52.49,1061782.0,52.214,6131
2021-03-02,52.71,54.35,52.5,52.9,1072329.0,53.318,6881
2021-03-03,52.78,52.91,51.23,51.82,975745.0,52.034,6815
2021-03-04,52.11,53.1,51.24,52.58,926634.0,52.165,5721
2021-03-05,52.96,54.78,52.12,54.5,974328.0,53.552,6913
2021-03-08,54.84,56.91,54.36,56.75,534625.0,55.976,3875
2021-03-09,57.39,57.44,55.36,56.07,743740.0,56.211,5039
2021-03-10,56.32,57.26,55.66,57.22,576343.0,56.766,4289
2021-03-11,57.45,59.18,57.1,58.28,665838.0,58.388,4581
2021-03-12,57.91,58.16,57.12,57.21,649558.0,57.515,3510
2021-03-15,57.29,58.16,56.7,57.67,375632.0,57.543,2496
2021-03-16,57.71,57.96,57.04,57.72,293942.0,57.689,2216
2021-03-17,57.54,57.54,55.53,56.57,316011.0,56.219,2386
2021-03-18,56.31,56.69,55.56,55.96,332239.0,56.223,2557
2021-03-19,55.93,57.89,55.57,57.12,448107.0,56.978,2759
2021-03-22,56.99,58.08,56.84,57.74,358763.0,57.727,2205
2021-03-23,57.38,57.54,55.82,56.37,518392.0,56.624,3992
2021-03-24,56.68,61.32,55.17,56.59,1808141.0,58.124,10028
2021-03-25,56.0,57.27,55.17,55.25,551327.0,55.642,4293
2021-03-26,55.53,56.17,53.55,55.0,736946.0,54.782,5479
2021-03-29,54.82,56.4,54.77,56.09,272849.0,55.846,2132
2021-03-30,55.91,57.07,55.51,55.95,464450.0,56.18,3319
2021-03-31,56.19,56.67,54.2,54.26,399427.0,54.63,2953
2021-04-01,54.53,55.66,54.26,55.59,394985.0,55.193,3094
2021-04-05,56.24,56.4,55.09,55.49,253630.0,55.507,1977
2021-04-06,55.22,56.31,55.13,56.05,424123.0,55.82,2986
2021-04-07,56.07,56.5,55.16,56.5,292843.0,56.12,2172
2021-04-08,56.78,57.13,55.73,56.09,339844.0,56.307,1828
2021-04-09,56.21,58.5,56.21,58.36,576456.0,57.717,4148
2021-04-12,58.29,58.44,56.6,56.8,354632.0,57.047,2767
2021-04-13,56.78,56.92,55.8,56.35,283940.0,56.322,2069
2021-04-14,56.2,56.76,55.68,56.23,235046.0,56.353,1607
2021-04-15,56.75,57.17,56.33,56.74,253972.0,56.731,1733
2021-04-16,57.05,57.05,55.81,56.36,318046.0,56.248,2520
2021-04-19,56.69,57.41,56.19,56.74,432234.0,56.67,2943
2021-04-20,57.22,57.22,55.4,56.58,521781.0,56.377,3398
2021-04-21,56.65,57.66,56.18,56.94,322752.0,57.117,2407
2021-04-22,56.47,56.91,55.72,56.22,537089.0,56.186,3831
