date,open,high,low,close,volume,average,barCount
2020-07-13,384.66,390.41,378.47,378.93,546532.0,383.939,4249
2020-07-14,378.93,388.34,375.14,387.46,459528.0,382.172,3718
2020-07-15,392.7,394.24,387.85,392.7,638317.0,391.929,4867
2020-07-16,392.93,393.51,387.93,392.42,443464.0,391.144,3611
2020-07-17,393.82,398.5,390.71,395.4,774886.0,394.295,5082
2020-07-20,397.9,405.21,397.19,402.97,998156.0,402.727,7061
2020-07-21,405.43,409.69,402.08,403.09,829992.0,406.001,6013
2020-07-22,409.84,420.99,406.5,410.76,1326741.0,412.836,9628
2020-07-23,418.14,419.94,409.11,410.48,911984.0,414.475,6216
2020-07-24,403.37,407.29,399.16,406.38,667710.0,404.331,4719
2020-07-27,404.4,416.52,404.35,413.44,652511.0,413.36,4912
2020-07-28,411.62,414.92,406.62,407.36,662548.0,409.563,5583
2020-07-29,410.5,414.0,408.2,409.26,632898.0,410.976,4951
2020-07-30,405.31,412.7,404.44,410.56,533732.0,408.915,4020
2020-07-31,409.02,414.37,407.58,413.95,548981.0,410.891,4172
2020-08-03,418.25,423.7,417.2,419.09,528941.0,419.479,4398
2020-08-04,418.93,418.93,412.77,415.72,523840.0,415.505,3812
2020-08-05,416.91,420.32,415.86,419.9,504969.0,418.917,3820
2020-08-06,419.01,420.21,409.01,415.73,675037.0,413.27,5175
2020-08-07,414.0,416.86,411.53,414.33,554065.0,413.99,4697
2020-08-10,414.11,415.21,408.27,410.16,657826.0,410.756,5114
2020-08-11,409.37,410.16,401.22,407.24,743039.0,406.839,5909
2020-08-12,408.9,418.04,407.24,416.17,530553.0,414.902,4205
2020-08-13,412.02,417.65,412.02,416.6,655142.0,415.859,5172
2020-08-14,414.71,416.47,410.74,413.76,490191.0,413.182,3692
2020-08-17,416.0,419.74,414.6,416.8,668026.0,417.395,4764
2020-08-18,417.71,419.91,416.33,417.3,470798.0,418.442,3499
2020-08-19,419.27,423.4,415.82,420.62,685794.0,420.335,5057
2020-08-20,419.83,423.09,418.58,422.11,457120.0,421.329,3673
2020-08-21,422.89,429.93,421.02,428.57,729469.0,426.42,5086
2020-08-24,429.55,432.38,416.45,419.76,643797.0,421.869,4717
2020-08-25,420.16,423.45,418.3,422.29,483638.0,421.565,3617
2020-08-26,421.43,427.64,420.64,425.65,433681.0,424.263,3506
2020-08-27,409.3,423.82,402.67,420.53,1358807.0,414.449,10076
2020-08-28,420.0,424.73,415.17,424.48,734940.0,420.454,5756
2020-08-31,425.49,433.45,424.96,428.98,749708.0,429.022,5362
2020-09-01,432.15,435.75,430.55,433.73,865742.0,432.841,6294
2020-09-02,434.5,441.96,430.12,441.06,615927.0,436.977,5177
2020-09-03,438.11,438.93,414.49,419.67,1006638.0,422.085,7846
2020-09-04,419.63,419.97,401.06,409.98,1306814.0,407.885,9818
2020-09-08,407.99,408.81,401.24,405.3,774809.0,405.567,5428
2020-09-09,410.58,422.47,409.89,418.32,683770.0,419.019,5563
2020-09-10,423.72,429.34,417.91,419.73,818906.0,424.551,6141
2020-09-11,425.6,434.0,424.99,431.13,961369.0,430.511,7805
2020-09-14,435.44,439.85,433.02,434.1,506614.0,436.185,4018
2020-09-15,435.64,437.47,433.15,435.1,730004.0,435.531,4821
2020-09-16,438.79,440.77,432.62,433.88,894174.0,435.99,6215
2020-09-17,431.16,438.25,429.03,432.93,624004.0,433.708,4848
2020-09-18,426.74,433.84,426.08,429.05,813569.0,428.735,4045
2020-09-21,424.75,426.23,415.47,425.47,664693.0,421.446,5209
2020-09-22,423.9,431.31,422.12,430.24,712002.0,427.763,5138
2020-09-23,430.77,431.76,420.2,420.76,400758.0,425.41,3140
2020-09-24,419.49,421.11,415.58,418.14,506078.0,418.197,3966
2020-09-25,415.77,424.79,412.8,422.29,633276.0,418.838,5039
2020-09-28,426.51,431.12,424.04,428.39,476484.0,428.249,3989
2020-09-29,430.77,436.3,430.0,434.34,477598.0,434.361,3794
2020-09-30,436.6,444.8,435.07,441.52,640158.0,441.432,5041
2020-10-01,445.97,452.69,436.11,438.2,800417.0,442.737,6285
2020-10-02,434.21,441.8,433.01,435.06,446914.0,436.819,3328
2020-10-05,440.0,451.75,440.0,450.67,524839.0,448.967,3645
2020-10-06,451.86,452.0,445.27,445.89,542119.0,447.692,3814
2020-10-07,447.89,455.96,447.89,452.36,465781.0,452.865,3176
2020-10-08,454.76,454.76,447.17,453.54,406323.0,451.813,2986
2020-10-09,457.39,465.4,455.29,464.7,557097.0,462.515,4010
2020-10-12,465.78,471.32,462.51,466.72,530179.0,467.958,3513
2020-10-13,466.89,470.87,466.01,467.53,423701.0,468.575,3227
2020-10-14,467.01,472.44,464.29,467.01,424375.0,467.957,2670
2020-10-15,461.97,466.0,458.37,464.56,555274.0,462.252,3684
2020-10-16,468.2,473.84,467.5,468.59,591802.0,470.087,4021
2020-10-19,468.87,471.26,458.78,461.29,600445.0,465.788,4486
2020-10-20,461.27,470.38,461.17,465.26,533459.0,466.405,4311
2020-10-21,475.0,478.99,462.41,468.76,1263036.0,470.988,8466
2020-10-22,471.69,485.0,470.11,481.99,863812.0,480.508,5651
2020-10-23,481.0,483.71,473.49,480.17,632059.0,479.718,3676
2020-10-26,475.07,482.62,475.0,482.43,693377.0,479.174,4483
2020-10-27,485.0,490.71,484.09,489.3,683759.0,487.878,4711
2020-10-28,482.35,486.23,475.73,476.71,953527.0,481.241,6204
2020-10-29,479.65,479.97,471.1,471.88,721348.0,474.476,5438
2020-10-30,469.06,475.47,465.5,473.12,561429.0,470.069,3872
2020-11-02,478.8,489.32,477.55,480.55,910436.0,482.185,5907
2020-11-03,491.02,501.73,488.89,491.5,1014728.0,494.17,6347
2020-11-04,500.0,518.0,499.22,510.97,1275826.0,510.982,8169
2020-11-05,525.0,529.87,511.75,514.76,754280.0,516.656,5185
2020-11-06,518.58,532.58,514.5,527.66,678991.0,526.498,4737
2020-11-09,521.78,523.0,484.31,484.99,2430007.0,497.919,16838
2020-11-10,480.37,483.98,462.0,468.59,2161354.0,468.901,13683
2020-11-11,472.06,488.55,469.07,484.0,1123311.0,482.673,7523
2020-11-12,485.0,498.03,482.89,486.56,787660.0,489.395,5912
2020-11-13,492.99,494.36,486.08,488.59,549551.0,489.508,4017
2020-11-16,495.73,495.73,480.13,480.99,813078.0,484.587,5759
2020-11-17,479.1,483.93,477.13,479.0,819939.0,479.626,5941
2020-11-18,479.91,481.44,451.74,454.18,1864145.0,461.142,12583
2020-11-19,458.93,459.71,450.05,453.1,1178541.0,454.168,7808
2020-11-20,452.78,457.28,449.75,451.04,1012280.0,452.665,6949
2020-11-23,454.5,455.92,441.76,446.03,1261018.0,447.038,9146
2020-11-24,444.3,445.52,435.77,439.56,1629689.0,438.966,11015
2020-11-25,438.48,449.69,438.18,448.45,1525135.0,445.425,10020
2020-11-27,453.48,454.6,442.0,453.4,484980.0,450.323,3377
2020-11-30,457.07,466.59,455.0,464.98,1133732.0,462.545,8284
2020-12-01,470.0,475.8,465.3,471.1,1693629.0,470.449,11452
2020-12-02,476.47,482.2,469.6,478.89,1042154.0,477.141,7392
2020-12-03,480.0,481.45,471.66,477.2,701064.0,476.768,4653
2020-12-04,476.46,478.72,469.24,474.62,702742.0,472.297,5056
2020-12-07,477.59,477.93,471.0,472.89,438629.0,474.067,3459
2020-12-08,472.89,479.55,472.89,473.98,680589.0,475.936,5072
2020-12-09,477.5,477.5,458.87,461.38,1309453.0,464.421,9089
2020-12-10,463.05,473.0,462.0,468.74,599196.0,469.387,4553
2020-12-11,468.0,471.9,465.04,471.39,517625.0,468.664,4111
2020-12-14,471.41,477.44,466.03,467.13,707830.0,470.434,5532
2020-12-15,469.79,473.48,465.24,470.98,500958.0,470.041,3666
2020-12-16,466.34,468.47,457.58,457.79,1130411.0,461.722,8224
2020-12-17,458.36,464.99,458.14,464.94,710702.0,462.399,5492
2020-12-18,462.74,469.15,455.41,466.68,1328887.0,461.088,7721
2020-12-21,462.31,466.28,454.0,462.88,590489.0,461.023,4284
2020-12-22,462.36,465.39,459.5,465.2,474442.0,463.605,3542
2020-12-23,467.83,469.38,458.34,458.34,552680.0,462.227,3606
2020-12-24,457.4,462.21,456.41,458.09,229711.0,458.752,1860
2020-12-28,462.08,463.5,457.35,460.73,340448.0,460.36,2530
2020-12-29,466.0,466.33,460.75,462.86,397245.0,463.597,2879
2020-12-30,465.32,466.6,461.48,461.73,348775.0,463.215,2574
2020-12-31,461.57,466.23,459.53,465.78,398376.0,463.231,2964
2021-01-04,469.05,476.38,462.17,471.82,1110748.0,469.585,8550
2021-01-05,472.0,482.9,470.99,477.72,1071798.0,475.892,8409
2021-01-06,471.3,489.96,470.23,485.21,1009731.0,482.483,7169
2021-01-07,489.91,505.49,488.12,500.33,1201587.0,500.148,9393
2021-01-08,509.88,519.0,503.05,512.3,1125720.0,511.781,8619
2021-01-11,508.99,518.65,508.96,513.35,787885.0,514.521,5527
2021-01-12,512.27,515.7,495.94,498.77,1131878.0,502.848,7184
2021-01-13,500.0,505.0,499.77,501.71,733457.0,502.927,5661
2021-01-14,502.0,507.32,496.06,496.91,678402.0,501.795,5597
2021-01-15,497.33,511.51,497.0,503.14,843632.0,503.534,5770
2021-01-19,510.0,513.97,503.1,507.38,816849.0,508.495,5927
2021-01-20,509.66,519.76,509.41,515.84,665441.0,515.97,5116
2021-01-21,515.8,520.0,512.01,512.36,706364.0,516.065,5284
2021-01-22,511.71,517.11,510.01,514.6,1225938.0,514.081,6447
2021-01-25,517.92,522.0,515.62,518.83,904067.0,519.489,7106
2021-01-26,516.21,518.16,507.2,507.83,488311.0,512.06,3563
2021-01-27,500.22,501.0,479.18,482.48,1397584.0,488.261,10502
