date,open,high,low,close,volume,average,barCount
2020-07-13,12.7,13.25,12.44,12.9,3427136.0,12.885,18993
2020-07-14,12.86,13.23,12.55,12.97,2503007.0,12.911,15017
2020-07-15,13.52,14.06,13.39,14.02,4545508.0,13.865,23906
2020-07-16,13.83,14.26,13.61,14.04,2660211.0,14.028,15683
2020-07-17,14.08,14.15,13.63,13.66,2407988.0,13.832,13562
2020-07-20,13.51,13.62,12.94,13.12,3288577.0,13.139,18010
2020-07-21,13.21,13.9,13.07,13.65,7903195.0,13.611,38378
2020-07-22,13.5,13.84,13.29,13.7,5798430.0,13.581,24392
2020-07-23,13.68,14.07,13.47,13.87,6257818.0,13.799,28706
2020-07-24,13.81,13.9,13.42,13.47,5000349.0,13.603,28246
2020-07-27,14.34,14.35,13.4,13.65,8204423.0,13.718,34591
2020-07-28,13.59,13.93,13.47,13.51,4252682.0,13.644,20237
2020-07-29,13.64,14.39,13.58,13.87,4020746.0,13.972,19716
2020-07-30,13.64,13.66,13.05,13.3,3051808.0,13.283,15426
2020-07-31,13.29,13.44,13.05,13.36,3330905.0,13.212,17506
2020-08-03,13.38,13.49,12.97,13.34,2862750.0,13.325,14816
2020-08-04,13.23,13.46,13.14,13.28,2271919.0,13.263,11776
2020-08-05,13.67,14.48,13.61,13.74,6925340.0,14.011,30686
2020-08-06,13.71,14.22,13.53,14.03,4792923.0,13.964,23750
2020-08-07,14.08,14.53,13.8,14.51,4620111.0,14.197,24807
2020-08-10,14.77,15.48,14.75,15.43,6292804.0,15.263,31893
2020-08-11,15.82,16.03,15.48,15.53,5971577.0,15.649,32958
2020-08-12,15.7,15.82,15.01,15.6,4941966.0,15.387,26825
2020-08-13,16.12,16.12,15.04,15.43,6242205.0,15.335,30041
2020-08-14,15.55,16.07,15.25,15.93,7834048.0,15.832,37528
2020-08-17,15.91,15.95,15.6,15.83,4173498.0,15.772,22730
2020-08-18,15.63,15.76,15.1,15.33,3706306.0,15.3,18222
2020-08-19,15.18,15.62,15.02,15.08,3386686.0,15.229,18866
2020-08-20,14.89,15.06,14.36,14.36,3466860.0,14.612,18044
2020-08-21,14.54,14.75,14.41,14.54,4315092.0,14.559,19332
2020-08-24,14.66,15.38,14.66,15.33,4808675.0,15.183,24305
2020-08-25,15.54,15.66,14.94,14.94,3769437.0,15.095,20188
2020-08-26,14.96,15.11,14.77,14.85,3367079.0,14.898,16873
2020-08-27,14.98,15.29,14.88,14.89,4864709.0,15.046,20716
2020-08-28,15.0,15.03,14.59,14.88,4978321.0,14.822,22315
2020-08-31,14.83,14.89,14.5,14.73,3713768.0,14.702,19822
2020-09-01,14.54,14.79,14.3,14.75,3056205.0,14.602,16686
2020-09-02,14.92,15.0,14.54,14.73,4614967.0,14.747,24376
2020-09-03,14.79,15.27,14.62,14.71,4373887.0,14.901,25887
2020-09-04,14.94,14.95,14.13,14.56,4286729.0,14.494,24852
2020-09-08,14.4,15.18,14.27,15.0,4778138.0,14.853,24201
2020-09-09,14.86,14.94,14.33,14.58,3119088.0,14.545,17914
2020-09-10,14.71,15.95,14.71,15.8,8457240.0,15.47,40831
2020-09-11,15.91,16.51,15.71,16.15,9387229.0,16.16,30151
2020-09-14,16.3,17.79,16.22,17.52,12004787.0,17.439,45566
2020-09-15,17.59,17.59,16.71,16.84,5866304.0,16.948,26997
2020-09-16,17.78,18.6,17.71,18.1,8857384.0,18.301,45343
2020-09-17,17.86,18.0,17.27,17.6,5445497.0,17.563,24385
2020-09-18,17.56,17.72,17.03,17.36,5976616.0,17.297,30509
2020-09-21,17.3,17.3,16.42,16.51,5685192.0,16.709,30510
