date,open,high,low,close,volume,average,barCount
2020-07-13,17.97,18.3,16.94,17.1,2162871.0,17.44,13486
2020-07-14,16.95,17.97,16.68,17.85,2391343.0,17.469,14215
2020-07-15,18.47,19.14,17.97,19.07,2178964.0,18.625,13558
2020-07-16,18.8,19.48,18.3,19.12,1860320.0,19.022,11643
2020-07-17,19.11,19.74,18.54,18.56,1690461.0,18.857,10607
2020-07-20,18.46,19.05,18.27,18.27,1044102.0,18.559,7178
2020-07-21,18.7,19.89,18.7,19.65,2269706.0,19.513,14116
2020-07-22,19.25,19.26,18.81,19.15,1470535.0,19.094,9561
2020-07-23,18.86,19.27,18.52,19.05,1417771.0,18.964,9704
2020-07-24,18.99,19.28,18.7,18.78,917823.0,18.956,5666
2020-07-27,18.27,18.61,18.04,18.13,1312612.0,18.267,7927
2020-07-28,17.97,18.41,17.86,17.9,1398332.0,18.073,7912
2020-07-29,18.04,19.23,17.93,19.13,1424101.0,18.831,8285
2020-07-30,18.54,18.77,18.16,18.68,1344254.0,18.559,9099
2020-07-31,18.63,18.8,17.71,18.28,2184367.0,18.085,12868
2020-08-03,18.23,18.92,17.97,18.79,1197777.0,18.575,8446
2020-08-04,18.74,19.86,18.71,19.73,1517068.0,19.577,9173
2020-08-05,20.27,20.71,19.91,20.16,2542443.0,20.256,15875
2020-08-06,19.44,20.54,19.17,19.36,2460208.0,19.56,15770
2020-08-07,19.2,20.03,19.06,19.61,2065271.0,19.52,13324
2020-08-10,19.81,20.54,19.81,20.44,1727469.0,20.237,10848
2020-08-11,21.0,21.09,19.54,19.61,2603742.0,20.027,14799
2020-08-12,19.99,20.44,19.62,20.02,1653560.0,19.953,10350
2020-08-13,19.89,20.0,18.97,19.22,1357446.0,19.342,8985
2020-08-14,19.25,19.97,19.07,19.97,1619451.0,19.725,10532
2020-08-17,19.98,20.2,19.27,19.6,2221392.0,19.774,13157
2020-08-18,19.39,19.41,18.31,18.46,2187900.0,18.754,12900
2020-08-19,18.61,19.12,18.35,18.36,1716047.0,18.681,9965
2020-08-20,18.15,18.8,18.0,18.56,2227657.0,18.459,14542
2020-08-21,18.61,18.61,17.95,18.4,1884463.0,18.281,9172
2020-08-24,18.54,18.8,18.2,18.3,1634966.0,18.46,10628
