date,open,high,low,close,volume,average,barCount
2020-07-13,114.61,116.42,112.86,114.24,766071.0,114.946,6303
2020-07-14,114.27,118.97,113.37,118.55,1449420.0,117.219,11792
2020-07-15,121.38,121.66,118.0,119.14,904298.0,119.381,7388
2020-07-16,118.83,122.69,118.81,120.5,872887.0,121.09,7302
2020-07-17,120.81,120.83,118.59,119.16,710004.0,119.441,5727
2020-07-20,118.89,120.4,118.18,118.77,671851.0,119.12,5764
2020-07-21,119.45,121.7,119.23,120.42,771616.0,120.618,6253
2020-07-22,119.39,122.56,119.03,122.24,664138.0,121.51,5647
2020-07-23,121.68,122.3,117.5,118.61,1426892.0,118.983,12079
2020-07-24,119.41,120.47,117.54,118.28,974155.0,118.54,7350
2020-07-27,117.59,117.84,115.84,116.63,662107.0,116.631,5497
2020-07-28,116.39,117.23,114.9,115.03,595923.0,115.663,5138
2020-07-29,114.89,117.25,114.31,116.85,487639.0,116.094,4046
2020-07-30,114.5,116.7,113.27,115.93,722444.0,115.177,5720
2020-07-31,115.23,115.78,112.58,114.42,745290.0,113.829,6149
2020-08-03,114.36,115.54,112.73,114.4,723996.0,114.584,5406
2020-08-04,113.46,114.07,112.3,113.1,940875.0,113.131,7440
2020-08-05,114.36,115.78,114.17,115.08,537617.0,115.119,4523
2020-08-06,114.36,115.5,113.34,113.74,1054135.0,113.872,7466
2020-08-07,113.1,117.59,113.02,117.36,1455994.0,115.841,10532
2020-08-10,118.0,119.38,116.97,119.12,571977.0,118.448,4548
2020-08-11,121.4,123.3,119.62,119.92,798021.0,121.221,6383
2020-08-12,121.56,121.56,118.26,118.86,630258.0,119.339,5221
2020-08-13,118.28,119.51,117.54,119.27,479593.0,118.828,3979
2020-08-14,118.52,119.93,118.01,118.6,328326.0,119.042,2545
2020-08-17,118.09,118.09,114.92,115.91,498254.0,116.137,3809
2020-08-18,116.22,116.25,114.75,114.93,383443.0,115.441,3051
2020-08-19,115.26,116.03,112.78,113.2,672794.0,114.015,5305
2020-08-20,112.0,113.44,111.87,112.53,445398.0,112.835,3677
2020-08-21,112.04,112.92,111.51,111.83,481079.0,112.042,3423
2020-08-24,112.07,114.96,111.52,114.9,699740.0,113.852,5406
2020-08-25,116.27,116.43,114.75,115.62,706159.0,115.437,5422
2020-08-26,114.73,114.73,113.42,113.54,630860.0,113.947,4730
2020-08-27,113.69,118.82,113.67,117.18,998495.0,117.668,7305
2020-08-28,118.1,118.1,114.73,115.89,667989.0,115.813,5180
2020-08-31,116.8,116.97,114.85,116.04,1297035.0,115.836,8095
2020-09-01,115.16,115.34,113.58,114.69,493323.0,114.527,3743
2020-09-02,114.53,117.72,114.02,117.48,701199.0,116.847,5128
2020-09-03,118.25,120.88,114.44,115.35,654806.0,116.601,5607
2020-09-04,117.2,119.0,114.88,116.57,767783.0,116.977,6148
2020-09-08,116.31,116.44,112.66,113.74,827194.0,114.108,5985
2020-09-09,114.21,115.4,112.93,113.63,519696.0,114.208,3952
2020-09-10,113.73,114.95,111.77,111.8,451305.0,112.932,3586
2020-09-11,112.52,114.07,111.65,113.4,533905.0,113.117,4135
2020-09-14,114.17,115.23,113.76,114.46,509621.0,114.417,4210
2020-09-15,114.47,114.68,112.06,112.15,568583.0,112.911,4336
2020-09-16,112.3,114.95,112.11,113.17,550785.0,113.815,4637
2020-09-17,112.5,113.42,111.06,112.6,534431.0,112.618,4379
2020-09-18,112.0,113.19,111.34,111.61,1401889.0,112.083,7828
2020-09-21,109.24,110.38,107.2,109.45,1243511.0,108.667,9889
2020-09-22,109.15,111.45,108.26,109.25,899083.0,109.349,6411
2020-09-23,109.23,110.38,107.45,107.49,1810623.0,108.794,11327
2020-09-24,107.85,109.43,105.67,107.82,1119591.0,107.409,8606
2020-09-25,106.64,108.32,105.96,108.11,873365.0,107.347,6795
2020-09-28,109.65,111.9,109.3,110.22,647396.0,110.681,5154
2020-09-29,109.97,110.25,106.55,107.44,802510.0,107.719,6460
2020-09-30,107.88,109.13,107.22,108.19,880865.0,108.247,6743
2020-10-01,108.18,109.0,106.26,107.81,826518.0,107.557,6650
2020-10-02,106.69,109.49,106.46,108.58,622107.0,108.414,4379
2020-10-05,110.55,112.03,109.55,111.91,771049.0,111.426,5499
2020-10-06,112.55,113.31,110.79,111.53,809525.0,111.84,6218
2020-10-07,112.08,114.34,112.08,113.8,718695.0,113.537,5725
2020-10-08,114.85,116.95,114.35,115.62,399176.0,115.579,2754
2020-10-09,116.52,116.98,115.23,115.83,530109.0,116.011,3934
2020-10-12,114.35,116.92,114.05,116.54,516972.0,116.14,3777
2020-10-13,115.53,116.17,112.32,112.89,555936.0,113.554,3761
2020-10-14,112.76,114.46,112.0,112.03,517672.0,112.89,3515
2020-10-15,110.58,113.06,109.62,112.64,719496.0,111.93,5688
2020-10-16,112.79,114.26,111.69,113.32,1203600.0,113.248,5328
2020-10-19,113.51,114.37,111.69,111.84,652760.0,112.818,4906
2020-10-20,115.58,118.45,114.2,118.11,1452918.0,116.932,10671
2020-10-21,118.45,125.18,118.12,125.0,2235843.0,123.26,11183
2020-10-22,123.32,126.86,122.87,126.14,1442736.0,125.327,9906
2020-10-23,127.43,127.55,123.82,125.97,897830.0,125.616,6680
2020-10-26,123.85,124.02,120.51,121.54,680340.0,121.634,5614
2020-10-27,121.26,122.45,119.03,119.09,627956.0,120.406,4721
2020-10-28,117.18,122.32,116.71,121.5,1948573.0,121.034,12430
2020-10-29,121.04,123.74,118.92,122.46,1722210.0,122.342,12271
2020-10-30,121.67,122.79,118.85,120.71,1450801.0,120.405,9449
2020-11-02,123.07,124.31,120.42,123.92,964895.0,123.193,6610
2020-11-03,125.5,127.51,125.11,126.34,921963.0,126.464,6785
2020-11-04,122.7,127.11,122.51,123.4,1573648.0,125.141,9531
2020-11-05,124.03,128.55,123.63,127.51,763525.0,126.955,6359
2020-11-06,127.84,129.08,126.57,127.0,482935.0,127.57,3696
2020-11-09,138.45,138.47,134.13,134.28,1693492.0,135.817,11161
2020-11-10,135.28,136.82,134.1,136.36,822615.0,135.727,5280
2020-11-11,136.09,136.61,133.85,134.96,521737.0,134.996,3649
2020-11-12,133.98,133.98,131.19,132.4,727203.0,132.355,5400
2020-11-13,133.66,135.09,132.63,134.63,604102.0,134.125,4720
2020-11-16,137.8,138.98,134.98,136.29,550305.0,136.35,4190
2020-11-17,135.9,136.18,134.08,135.04,682117.0,135.108,5751
2020-11-18,135.44,137.28,134.26,134.37,568833.0,135.434,4339
2020-11-19,133.12,134.18,131.46,133.87,660135.0,133.402,4358
2020-11-20,132.95,134.8,132.68,134.55,700605.0,133.856,5337
2020-11-23,135.56,135.56,133.63,134.63,523057.0,134.818,4203
2020-11-24,136.8,136.94,134.76,136.39,780007.0,135.772,5912
2020-11-25,135.51,136.5,134.03,136.02,470536.0,135.597,3607
2020-11-27,135.68,135.68,133.55,134.44,194849.0,134.393,1562
2020-11-30,133.27,134.0,129.57,129.65,816732.0,130.706,5990
2020-12-01,132.51,134.24,131.99,133.41,638405.0,133.145,4107
2020-12-02,132.66,134.28,132.42,134.04,525118.0,133.255,3434
2020-12-03,133.75,135.62,132.43,135.09,531328.0,134.678,3892
2020-12-04,135.54,136.19,134.21,136.16,490414.0,135.306,3621
2020-12-07,135.31,135.31,133.43,133.9,443887.0,134.164,3726
2020-12-08,133.07,135.8,132.75,135.26,510173.0,135.18,3984
2020-12-09,134.9,135.81,134.39,134.91,866696.0,135.2,6056
2020-12-10,134.48,137.54,134.4,136.71,678205.0,136.513,5553
2020-12-11,134.8,136.65,133.66,134.95,693647.0,134.999,5828
2020-12-14,136.19,136.78,133.67,133.99,567517.0,134.654,4516
2020-12-15,134.71,137.32,134.32,137.26,515270.0,136.28,4158
2020-12-16,137.73,137.97,136.22,137.44,649896.0,137.329,4535
2020-12-17,137.75,138.83,137.75,138.03,801619.0,138.259,5141
2020-12-18,138.59,139.78,137.5,138.86,1766742.0,138.575,8532
2020-12-21,139.15,139.15,136.25,138.15,732084.0,137.737,5303
2020-12-22,137.65,137.9,136.26,136.48,504685.0,136.824,3761
2020-12-23,137.29,138.56,136.91,137.95,454713.0,137.936,2470
2020-12-24,138.06,138.64,136.84,138.49,259517.0,138.023,1198
2020-12-28,138.86,139.88,138.47,139.19,437681.0,139.143,2833
2020-12-29,139.58,139.65,138.02,138.35,398777.0,138.693,2711
2020-12-30,138.95,139.9,138.85,139.08,417139.0,139.392,3008
2020-12-31,139.08,140.54,138.11,140.37,500133.0,139.814,3074
2021-01-04,140.63,140.66,134.32,135.65,846269.0,136.002,6585
2021-01-05,135.72,136.45,133.12,134.53,529438.0,134.469,3821
2021-01-06,136.13,139.14,135.46,139.1,675011.0,137.958,5206
2021-01-07,139.52,139.72,137.72,139.07,692221.0,138.804,4533
2021-01-08,139.21,139.77,137.9,139.65,496531.0,139.054,3752
2021-01-11,138.68,139.35,137.22,137.43,507383.0,138.032,3931
2021-01-12,137.53,140.71,137.37,140.42,488406.0,139.605,3777
2021-01-13,139.55,142.74,139.55,142.25,670024.0,141.78,4782
2021-01-14,142.43,143.13,141.11,142.32,1047909.0,142.309,5538
2021-01-15,141.84,144.12,141.07,143.24,1241239.0,142.788,8995
2021-01-19,143.66,144.29,142.04,143.51,1084466.0,143.366,8027
2021-01-20,143.37,145.55,142.66,145.02,1160236.0,144.731,8778
2021-01-21,148.13,152.3,147.1,148.72,2042335.0,149.398,14029
2021-01-22,146.84,147.97,144.45,145.84,702562.0,146.052,4569
2021-01-25,144.5,146.56,143.26,146.36,734334.0,145.498,5134
2021-01-26,146.81,147.56,143.69,143.71,634543.0,145.344,4755
2021-01-27,141.87,143.92,139.3,139.5,795909.0,140.932,6396
2021-01-28,140.28,141.38,139.11,140.0,927628.0,140.063,7690
2021-01-29,138.97,138.97,135.87,136.3,810623.0,136.906,6397
2021-02-01,137.08,138.5,135.89,138.21,713097.0,137.405,5540
2021-02-02,139.16,140.69,138.25,139.83,849296.0,139.908,5116
2021-02-03,139.41,140.35,138.02,138.66,620757.0,138.687,4952
2021-02-04,139.24,144.18,138.79,143.93,1518013.0,142.588,6301
2021-02-05,144.66,146.48,143.57,144.84,560531.0,145.394,4289
2021-02-08,144.58,146.24,143.85,146.2,400280.0,145.214,2804
2021-02-09,146.13,147.17,145.67,147.16,382459.0,146.699,2881
2021-02-10,147.21,147.69,145.33,145.93,733442.0,146.522,5291
2021-02-11,146.0,147.18,145.58,146.34,519754.0,146.11,3928
2021-02-12,145.84,147.14,144.84,145.96,541887.0,145.783,4030
2021-02-16,147.01,147.92,145.67,147.42,524064.0,147.046,3985
2021-02-17,146.91,148.82,146.76,148.45,556250.0,148.098,3925
2021-02-18,148.31,148.41,146.36,147.69,479085.0,147.463,3864
2021-02-19,148.14,148.17,145.74,145.91,630038.0,146.627,4629
2021-02-22,145.83,148.0,144.89,147.87,664776.0,146.806,5336
2021-02-23,149.37,149.96,147.2,149.33,560456.0,149.114,3978
2021-02-24,148.69,151.24,148.69,150.96,879802.0,150.607,6119
2021-02-25,151.31,151.48,147.87,148.0,695583.0,149.633,5447
2021-02-26,148.09,148.18,145.17,145.5,555005.0,146.316,4620
2021-03-01,147.0,151.01,147.0,150.39,634122.0,149.815,5042
2021-03-02,149.84,150.92,149.02,149.12,654190.0,149.987,5355
2021-03-03,149.11,152.15,148.7,150.71,727398.0,151.195,5215
2021-03-04,150.62,152.02,147.56,149.02,643409.0,149.61,5162
2021-03-05,150.45,153.22,149.22,152.36,865636.0,151.275,6386
2021-03-08,153.0,157.25,152.47,155.75,874720.0,155.728,6124
2021-03-09,154.42,155.96,152.78,153.82,713474.0,154.721,5182
2021-03-10,153.56,156.43,153.05,155.38,901993.0,155.476,6503
2021-03-11,153.88,155.37,152.17,155.09,1457105.0,154.418,9071
2021-03-12,157.05,159.04,155.97,157.27,783644.0,157.319,5292
2021-03-15,155.97,157.5,155.6,157.34,478620.0,156.418,3740
2021-03-16,156.87,156.87,154.41,156.47,556021.0,155.804,4030
2021-03-17,157.15,158.18,155.54,157.92,631554.0,157.072,4993
2021-03-18,159.8,161.19,156.35,156.83,1567559.0,158.794,11647
2021-03-19,156.25,156.25,148.88,149.3,2194653.0,152.612,11970
2021-03-22,149.15,149.52,146.76,147.59,760764.0,147.76,5398
2021-03-23,147.65,149.41,146.79,147.0,1001065.0,148.061,7056
2021-03-24,147.69,151.07,147.46,149.28,1048357.0,149.705,7996
2021-03-25,149.88,153.14,147.92,152.78,814942.0,150.755,6302
2021-03-26,153.7,153.86,151.5,153.64,581446.0,152.621,4645
2021-03-29,151.81,154.5,150.77,153.85,624115.0,152.929,4824
2021-03-30,154.57,155.23,153.3,154.03,440927.0,153.989,3313
2021-03-31,154.03,154.13,150.25,150.4,774482.0,151.164,6045
2021-04-01,150.25,151.3,149.46,150.62,1025342.0,150.586,7128
2021-04-05,152.25,152.43,150.6,152.03,735646.0,151.569,5982
2021-04-06,152.03,153.94,151.45,151.75,818237.0,151.988,6053
2021-04-07,151.79,152.45,151.01,152.29,1066689.0,151.767,7129
2021-04-08,150.79,151.12,149.53,150.36,1191532.0,150.097,6976
2021-04-09,151.52,152.55,150.96,151.65,838422.0,151.704,4921
2021-04-12,151.89,152.23,151.27,151.84,530098.0,151.85,3468
2021-04-13,151.21,152.4,150.53,152.21,1203394.0,151.657,4719
2021-04-14,152.42,156.35,152.0,155.43,1051152.0,155.213,6915
2021-04-15,155.53,155.97,153.78,154.36,681823.0,154.587,5028
2021-04-16,154.67,156.46,154.67,155.95,555075.0,155.668,3934
2021-04-19,156.53,157.96,153.57,154.38,599783.0,154.592,4680
2021-04-20,154.93,157.4,153.84,155.73,1142918.0,155.736,8427
2021-04-21,156.28,157.76,156.03,157.38,411530.0,156.979,3222
2021-04-22,156.71,157.32,154.31,155.87,965106.0,155.563,6547
2021-04-23,156.54,158.34,156.01,157.84,645107.0,157.683,3636
2021-04-26,157.84,158.11,155.43,155.73,584524.0,156.577,4083
2021-04-27,155.71,156.44,154.56,155.2,583404.0,155.266,4639
2021-04-28,155.73,155.89,152.85,153.79,657318.0,153.732,4949
