date,open,high,low,close,volume,average,barCount
2020-07-13,27.86,28.2,27.04,27.12,2360230.0,27.7374,3908
2020-07-14,27.12,27.95,26.91,27.93,2629120.0,27.507,4393
2020-07-15,28.3,28.33,27.67,27.84,4771060.0,27.898,5504
2020-07-16,27.82,28.52,27.82,28.43,5290185.0,28.199,6985
2020-07-17,28.71,28.74,28.04,28.15,4170770.0,28.2486,5605
2020-07-20,28.4,29.13,28.23,28.94,5074605.0,28.6482,7345
2020-07-21,28.82,28.99,28.01,28.8,6214215.0,28.6698,9801
2020-07-22,28.91,29.28,28.8,29.19,5442560.0,29.1484,8125
2020-07-23,30.53,30.9,28.85,29.2,11800165.0,29.4248,17730
2020-07-24,28.67,29.35,28.38,29.31,5040540.0,29.0296,7725
2020-07-27,29.57,29.59,28.5,28.6,5161900.0,28.775,8069
2020-07-28,28.55,28.91,28.36,28.61,4407685.0,28.686,6960
2020-07-29,28.79,29.3,28.74,29.09,5095340.0,29.0512,6186
2020-07-30,28.81,29.01,28.56,28.68,2681375.0,28.7232,4476
2020-07-31,28.94,28.94,28.16,28.55,4246840.0,28.4222,6272
2020-08-03,28.75,29.64,28.68,29.48,6667415.0,29.2436,9301
2020-08-04,29.36,29.74,29.2,29.65,3298570.0,29.5134,4834
2020-08-05,29.68,29.76,29.1,29.45,3016555.0,29.3416,4656
2020-08-06,29.55,29.75,29.24,29.63,2942330.0,29.5046,5000
2020-08-07,29.57,29.98,29.53,29.62,3075405.0,29.7076,4772
2020-08-10,29.66,29.67,29.24,29.43,2237090.0,29.4532,3135
2020-08-11,29.6,29.66,28.76,29.02,3724025.0,29.1426,5150
2020-08-12,29.2,29.84,28.96,29.82,5023490.0,29.448,6719
2020-08-13,29.72,30.02,29.55,29.74,3127695.0,29.8244,4489
2020-08-14,29.64,30.04,29.53,29.72,2290945.0,29.7832,3742
2020-08-17,29.77,30.73,29.75,30.72,2938760.0,30.4618,4481
2020-08-18,30.87,31.05,30.24,30.6,2565230.0,30.586,3787
2020-08-19,30.6,30.86,30.48,30.78,2766550.0,30.6708,4253
2020-08-20,30.58,30.9,30.38,30.47,3302930.0,30.5416,5161
2020-08-21,30.53,31.04,30.4,30.66,4183690.0,30.79,5906
2020-08-24,30.94,30.94,30.38,30.7,2812440.0,30.6294,4211
2020-08-25,30.76,30.8,30.41,30.65,1861490.0,30.6148,2885
2020-08-26,30.63,30.98,30.41,30.93,3091120.0,30.7826,4453
2020-08-27,30.94,31.11,29.9,30.2,4074050.0,30.4934,6282
2020-08-28,30.15,30.25,29.31,29.38,4639670.0,29.6174,6650
