date,open,high,low,close,volume,average,barCount
2020-07-13,59.13,59.45,57.77,58.02,1689189.0,58.364,10137
2020-07-14,57.65,59.09,57.26,58.81,1180012.0,58.638,7009
2020-07-15,59.98,61.34,59.44,60.52,1491581.0,60.614,8536
2020-07-16,60.0,61.1,59.75,60.37,1010315.0,60.335,6565
2020-07-17,60.48,61.41,60.28,60.82,931743.0,60.929,5405
2020-07-20,60.47,60.55,59.89,60.16,709871.0,60.167,4651
2020-07-21,60.65,61.45,60.44,60.58,963539.0,60.938,6078
2020-07-22,60.42,60.5,59.63,60.35,957995.0,60.065,6064
2020-07-23,60.35,61.66,60.31,60.91,1046350.0,60.893,6130
2020-07-24,60.85,61.53,60.36,60.82,821658.0,60.806,5664
2020-07-27,60.56,61.06,59.96,60.98,679716.0,60.606,4555
2020-07-28,60.55,61.32,60.37,60.74,851290.0,60.874,6111
2020-07-29,61.12,62.0,60.34,62.0,1089025.0,61.43,6955
2020-07-30,61.33,61.64,60.3,61.57,1044434.0,61.149,6617
2020-07-31,61.39,61.79,60.61,61.45,1291660.0,61.119,7716
2020-08-03,62.9,63.47,61.34,62.43,4092125.0,62.455,23545
2020-08-04,63.1,65.13,62.52,65.12,4169623.0,64.222,28205
2020-08-05,64.45,64.84,62.7,62.93,3152202.0,63.71,18879
2020-08-06,62.55,63.21,62.11,62.46,2188824.0,62.508,13344
2020-08-07,62.2,63.4,62.08,62.8,1662229.0,62.769,10506
2020-08-10,63.34,65.03,63.12,64.56,1797274.0,64.444,10902
2020-08-11,65.33,66.11,65.01,65.21,1692764.0,65.549,11678
2020-08-12,66.38,66.52,65.29,65.71,916424.0,65.807,6566
2020-08-13,65.26,65.58,64.59,64.6,1210671.0,65.112,8518
2020-08-14,64.3,64.97,63.91,63.94,1223496.0,64.237,8331
2020-08-17,63.82,64.06,63.08,63.68,984451.0,63.756,6438
2020-08-18,63.69,64.09,62.78,63.67,843061.0,63.463,5344
2020-08-19,63.56,63.96,63.22,63.48,619777.0,63.479,3952
2020-08-20,63.14,63.55,62.72,62.9,1046433.0,63.053,6007
2020-08-21,62.9,63.3,62.61,62.92,1026934.0,62.99,5216
2020-08-24,63.05,63.92,62.6,63.55,1968677.0,63.481,10639
2020-08-25,64.14,64.14,62.84,63.54,925316.0,63.371,5709
2020-08-26,63.67,63.84,62.92,63.45,1111219.0,63.412,6719
2020-08-27,63.72,64.79,63.53,63.96,1529530.0,64.282,9406
2020-08-28,64.13,64.4,63.15,63.91,1110916.0,63.642,7710
2020-08-31,63.31,63.46,62.54,62.8,1254274.0,62.863,8427
2020-09-01,62.87,62.87,61.51,62.64,1164214.0,62.253,7479
2020-09-02,62.16,63.58,61.65,63.39,3661474.0,63.172,20621
2020-09-03,63.56,64.66,61.2,61.64,2275538.0,62.84,15049
2020-09-04,61.88,62.68,61.4,62.42,2343585.0,62.205,13121
2020-09-08,62.36,62.45,61.03,61.57,1863043.0,61.705,12128
2020-09-09,61.82,62.17,60.53,61.24,2426893.0,61.286,14052
2020-09-10,62.06,64.68,61.81,63.45,2311019.0,63.931,13334
2020-09-11,63.61,64.16,62.92,63.72,1444818.0,63.662,9302
2020-09-14,63.92,65.44,63.92,65.31,1451271.0,65.138,8987
2020-09-15,65.31,65.69,64.8,65.25,2183452.0,65.253,11909
2020-09-16,65.39,66.49,65.09,65.21,1345708.0,65.888,9056
2020-09-17,64.81,64.99,63.38,63.75,1450551.0,63.991,9479
2020-09-18,63.76,64.01,61.82,62.03,1743594.0,62.733,9976
2020-09-21,61.11,61.55,59.41,59.85,1524879.0,60.25,9048
2020-09-22,59.57,60.4,59.03,59.39,1365381.0,59.471,8666
2020-09-23,59.89,60.16,56.89,57.09,1962409.0,57.826,12510
2020-09-24,56.91,57.5,56.27,56.9,6582775.0,56.991,24330
2020-09-25,56.52,59.2,56.52,59.18,1650399.0,58.384,11416
2020-09-28,60.05,60.82,59.58,59.76,1365173.0,60.042,9231
