date,open,high,low,close,volume,average,barCount
2020-07-13,31.56,32.64,30.9,32.03,1011761.0,32.072,7461
2020-07-14,31.8,32.89,31.54,32.61,668297.0,32.517,5326
2020-07-15,33.48,33.91,33.07,33.66,884609.0,33.57,6854
2020-07-16,33.21,34.01,32.6,33.51,516705.0,33.52,4039
2020-07-17,33.6,33.8,33.05,33.44,669725.0,33.367,5083
2020-07-20,33.5,33.5,32.45,32.99,839033.0,32.955,5543
2020-07-21,33.33,34.47,33.15,34.01,1503030.0,33.928,9917
2020-07-22,33.69,34.54,33.35,34.35,468781.0,34.239,3151
2020-07-23,34.0,35.0,33.92,34.61,691223.0,34.584,5234
2020-07-24,34.73,34.99,34.28,34.35,936239.0,34.485,7008
2020-07-27,34.18,34.52,33.66,34.18,483630.0,34.17,3621
2020-07-28,34.09,34.52,33.96,34.2,639929.0,34.278,4850
2020-07-29,34.27,34.46,34.06,34.27,733889.0,34.251,4843
2020-07-30,34.47,37.09,34.3,35.14,1674484.0,35.929,9915
2020-07-31,35.71,35.71,34.18,34.94,1113334.0,34.637,7753
2020-08-03,34.97,36.0,34.0,35.9,962467.0,35.592,5729
2020-08-04,35.8,36.3,35.59,35.91,802032.0,36.006,5063
2020-08-05,36.4,36.92,35.96,36.5,901411.0,36.452,6396
2020-08-06,36.41,37.34,36.32,37.03,1100774.0,36.982,7496
2020-08-07,36.98,37.61,36.78,37.58,629007.0,37.295,4101
2020-08-10,37.68,38.93,37.68,38.86,665743.0,38.502,4774
2020-08-11,39.95,40.35,38.54,38.68,1173465.0,39.349,7956
2020-08-12,39.29,39.39,37.64,38.19,1097076.0,38.1,7209
2020-08-13,37.69,38.28,37.22,37.39,438247.0,37.513,3354
2020-08-14,37.03,38.83,37.01,38.49,1586805.0,38.271,8367
2020-08-17,38.73,38.89,37.71,37.84,1249279.0,37.994,6757
2020-08-18,37.63,37.85,37.18,37.24,838236.0,37.385,5859
2020-08-19,37.29,38.16,37.07,37.71,756505.0,37.921,4950
