date,open,high,low,close,volume,average,barCount
2020-07-13,89.9,92.0,89.09,90.08,398581.0,90.647,3462
2020-07-14,89.69,92.94,88.81,92.68,391197.0,91.879,3341
2020-07-15,94.9,98.6,94.85,97.95,373704.0,97.164,3228
2020-07-16,97.39,99.45,95.54,98.4,260557.0,98.188,2278
2020-07-17,99.03,99.21,96.62,97.6,394627.0,97.544,2987
2020-07-20,97.6,97.64,95.03,96.03,413396.0,95.979,2927
2020-07-21,96.69,101.47,96.69,100.2,709871.0,100.424,5763
2020-07-22,102.06,106.96,101.55,106.01,674391.0,105.17,5519
2020-07-23,105.76,107.91,105.75,107.5,495258.0,107.201,4095
2020-07-24,108.03,108.78,106.69,108.08,441190.0,107.966,3679
2020-07-27,107.1,110.27,105.85,109.37,515228.0,108.905,4250
2020-07-28,112.0,114.41,108.09,109.07,698546.0,110.262,5150
2020-07-29,110.16,114.83,110.16,113.12,472369.0,113.38,3888
2020-07-30,111.51,113.06,108.56,112.07,379641.0,111.77,2996
2020-07-31,111.27,111.57,108.38,109.9,350319.0,109.473,2813
2020-08-03,110.3,110.86,107.11,107.75,656613.0,107.902,5591
2020-08-04,106.99,109.06,106.45,106.71,436073.0,107.4,3914
2020-08-05,107.93,109.8,107.22,108.14,338355.0,108.338,2954
2020-08-06,108.12,109.16,106.78,107.82,355029.0,107.861,2867
2020-08-07,107.21,110.11,107.21,109.44,539040.0,108.807,4656
2020-08-10,109.66,114.1,109.5,112.62,384870.0,112.747,3381
2020-08-11,114.1,115.44,112.68,112.96,328946.0,113.932,2831
2020-08-12,113.84,114.2,112.33,113.46,247768.0,113.058,2094
2020-08-13,112.5,113.0,110.88,111.93,259457.0,111.75,2123
2020-08-14,111.49,114.45,111.36,114.16,243087.0,113.438,1573
2020-08-17,114.6,115.28,113.46,114.39,265821.0,114.522,2183
2020-08-18,114.36,114.75,111.38,112.11,304917.0,112.084,2308
2020-08-19,112.35,113.75,111.7,111.88,234758.0,112.553,1704
2020-08-20,110.75,112.39,109.16,110.22,179676.0,110.908,1496
2020-08-21,110.05,111.33,108.17,108.7,424443.0,108.822,3139
2020-08-24,109.8,112.68,108.21,111.08,210187.0,110.887,1680
2020-08-25,111.6,111.6,108.14,109.7,202729.0,109.078,1540
2020-08-26,109.48,109.59,106.73,108.3,197548.0,108.288,1494
2020-08-27,109.39,113.37,108.8,111.94,195086.0,112.151,1667
2020-08-28,112.09,112.69,110.96,112.62,85172.0,112.2,718
