date,open,high,low,close,volume,average,barCount
2020-07-13,198.03,199.36,192.46,192.71,778363.0,196.267,5260
2020-07-14,191.5,193.34,186.97,191.94,980982.0,190.928,7589
2020-07-15,199.05,205.24,197.75,203.81,897972.0,202.292,6272
2020-07-16,200.38,203.83,200.37,203.18,484906.0,202.485,3887
2020-07-17,203.07,206.5,201.9,203.0,492466.0,204.163,3530
2020-07-20,202.13,202.4,196.0,200.06,469052.0,198.823,3463
2020-07-21,198.0,207.85,196.25,201.96,810262.0,204.052,5983
2020-07-22,201.43,206.07,200.59,205.44,490120.0,204.424,3873
2020-07-23,204.62,209.17,203.12,205.64,590447.0,206.028,4779
2020-07-24,204.49,206.32,202.45,203.71,385257.0,204.159,2541
2020-07-27,202.25,202.54,195.77,198.84,809096.0,197.831,6342
2020-07-28,198.59,202.16,197.18,197.56,392587.0,199.146,2833
2020-07-29,198.91,205.5,198.53,203.02,445751.0,203.125,3276
2020-07-30,200.26,200.77,196.21,198.61,470564.0,198.785,3789
2020-07-31,198.53,199.27,190.84,192.99,829906.0,192.762,6428
2020-08-03,193.14,193.69,188.17,191.29,773256.0,190.45,5843
2020-08-04,191.32,199.11,191.29,198.49,692617.0,195.651,5131
2020-08-05,199.88,203.3,198.11,201.96,596013.0,201.084,4069
2020-08-06,200.85,206.6,200.85,204.01,479680.0,204.434,3200
2020-08-07,204.0,204.37,201.41,203.88,322950.0,203.073,2530
2020-08-10,205.03,220.45,204.87,219.12,1082323.0,216.157,7593
2020-08-11,221.93,226.36,214.67,216.19,660702.0,219.208,4794
2020-08-12,217.84,218.72,212.33,217.78,331980.0,215.594,2423
2020-08-13,215.53,223.11,215.53,222.42,411425.0,220.869,3048
2020-08-14,222.52,226.59,219.13,225.42,452200.0,224.642,3019
2020-08-17,226.43,229.0,220.44,224.08,406842.0,222.872,3176
2020-08-18,222.87,223.59,215.79,216.24,559190.0,217.58,4502
2020-08-19,215.6,218.37,212.16,213.36,485540.0,214.235,3763
2020-08-20,208.5,210.01,203.9,205.4,909771.0,206.207,5515
2020-08-21,204.37,215.2,203.99,214.0,969296.0,212.798,6936
