date,open,high,low,close,volume,average,barCount
2020-07-13,292.09,304.52,291.77,299.71,2589190.0,299.955,18780
2020-07-14,297.81,309.74,296.71,308.52,2471405.0,305.252,18233
2020-07-15,301.12,310.69,298.66,304.07,3383871.0,304.026,23990
2020-07-16,305.01,310.85,303.16,307.15,2595680.0,307.626,17200
2020-07-17,309.09,310.97,306.25,306.53,1669325.0,307.99,11335
2020-07-20,306.79,308.6,302.38,303.46,1381765.0,304.355,10305
2020-07-21,305.03,307.0,303.11,305.11,1282543.0,305.21,9678
2020-07-22,304.86,306.91,301.8,306.71,1019221.0,304.823,7306
2020-07-23,308.2,308.5,301.27,302.97,1159214.0,304.914,8636
2020-07-24,303.83,304.28,299.23,300.79,1473218.0,301.166,11257
2020-07-27,298.43,302.13,297.37,298.6,890393.0,299.241,6283
2020-07-28,297.89,301.4,297.2,299.93,1431633.0,299.887,10563
2020-07-29,301.46,309.75,300.0,306.68,1706584.0,307.69,11314
2020-07-30,301.68,306.46,298.89,305.23,1357224.0,303.465,9437
2020-07-31,303.44,303.74,298.05,302.78,2573394.0,300.843,10591
2020-08-03,303.59,304.91,299.2,303.61,1606073.0,302.086,8609
2020-08-04,301.91,308.86,300.07,304.5,2430486.0,304.047,15602
2020-08-05,306.83,312.96,305.02,312.47,1970516.0,309.935,13157
2020-08-06,312.0,316.24,310.4,314.06,2024007.0,312.594,13550
2020-08-07,313.34,319.0,313.34,317.03,1544069.0,316.178,10793
2020-08-10,317.0,320.47,315.58,319.1,1531473.0,318.005,11141
2020-08-11,322.92,324.57,314.66,315.55,1708170.0,320.507,12154
2020-08-12,318.0,323.29,317.64,322.27,1579439.0,321.386,11275
2020-08-13,320.68,321.87,317.84,321.52,1106128.0,320.076,8167
2020-08-14,320.54,323.93,318.72,323.7,960835.0,322.523,7272
2020-08-17,321.45,323.8,319.35,320.51,1518201.0,321.447,11247
2020-08-18,321.98,322.67,315.71,316.81,1302493.0,318.04,9187
2020-08-19,316.77,319.49,315.18,315.4,1007152.0,317.355,7366
2020-08-20,314.83,315.28,312.01,313.33,1157326.0,313.809,8659
2020-08-21,311.28,315.29,310.09,314.14,1432544.0,313.226,9142
2020-08-24,316.81,316.9,306.49,308.84,1670004.0,309.575,11110
2020-08-25,312.2,312.36,307.8,312.22,1017003.0,310.545,7333
2020-08-26,310.98,311.36,303.61,308.82,1574943.0,307.195,10424
2020-08-27,310.41,314.78,305.49,311.67,1465567.0,311.121,9197
2020-08-28,312.34,315.82,308.97,314.37,1506521.0,313.637,10721
2020-08-31,314.92,319.56,312.54,312.55,2010636.0,315.816,14708
