date,open,high,low,close,volume,average,barCount
2020-07-13,115.62,115.76,113.72,113.76,1419502.0,114.736,10054
2020-07-14,113.57,115.65,113.04,115.33,1630218.0,114.772,11945
2020-07-15,116.72,119.71,116.11,119.21,3739209.0,118.365,21005
2020-07-16,118.8,119.85,118.17,119.74,1759869.0,119.062,12280
2020-07-17,120.0,120.68,118.46,118.55,1794901.0,119.275,11273
2020-07-20,118.42,118.72,117.06,118.35,1533709.0,118.055,11186
2020-07-21,119.0,120.31,118.82,119.04,1324304.0,119.445,8741
2020-07-22,118.75,119.25,117.9,118.72,1291672.0,118.709,7992
2020-07-23,118.71,119.4,117.94,118.14,1296264.0,118.509,8173
2020-07-24,118.16,119.48,117.56,118.35,1355634.0,118.575,8987
2020-07-27,118.12,121.78,117.54,121.01,3129445.0,120.663,19993
2020-07-28,120.22,120.74,119.23,119.62,1728299.0,119.959,11836
2020-07-29,120.58,124.3,120.43,123.68,4512329.0,123.429,28449
2020-07-30,137.66,145.5,135.15,141.46,25995294.0,141.12,140659
2020-07-31,141.82,144.13,139.7,142.76,4728724.0,141.788,30957
2020-08-03,143.47,143.5,140.53,142.18,3101201.0,141.961,21730
2020-08-04,141.63,145.94,141.34,144.72,3660523.0,144.564,22408
2020-08-05,145.35,146.0,143.28,145.08,2866626.0,144.681,19058
2020-08-06,144.97,145.66,144.43,145.47,1644903.0,145.061,10981
2020-08-07,145.68,156.9,145.59,156.9,8105742.0,153.772,45212
2020-08-10,157.47,162.7,157.0,159.59,5826766.0,160.224,34206
2020-08-11,160.66,161.26,154.87,155.85,4276133.0,157.102,27613
2020-08-12,157.25,160.25,156.4,157.79,3119616.0,158.68,19678
2020-08-13,156.77,159.72,156.48,159.29,1963817.0,158.591,12728
2020-08-14,158.73,162.43,158.38,160.74,2491684.0,160.859,15270
2020-08-17,161.0,162.14,159.75,160.3,1537154.0,160.411,10069
2020-08-18,160.39,161.35,159.05,159.99,1790881.0,160.235,10768
2020-08-19,160.55,161.89,159.86,160.34,1886885.0,160.709,12000
