date,open,high,low,close,volume,average,barCount
2020-07-13,20.09,20.45,19.66,19.75,1796034.0,20.029,11217
2020-07-14,19.74,19.88,19.32,19.68,2362566.0,19.584,13179
2020-07-15,20.09,21.19,20.07,21.19,3222938.0,20.859,19271
2020-07-16,20.99,21.13,20.24,21.06,2881668.0,20.902,15470
2020-07-17,21.13,21.7,20.97,21.55,3741474.0,21.468,18560
2020-07-20,21.5,21.63,20.92,21.13,3641496.0,21.122,12538
2020-07-21,21.24,21.58,21.15,21.47,2646992.0,21.475,15162
2020-07-22,21.31,22.3,21.3,22.26,4243404.0,22.035,13949
2020-07-23,22.03,22.22,21.56,21.6,4179419.0,21.888,16617
2020-07-24,21.37,21.59,21.01,21.03,1784812.0,21.228,9904
2020-07-27,21.0,21.0,20.34,20.77,2605662.0,20.693,13917
2020-07-28,20.62,20.99,20.39,20.71,3243692.0,20.695,17943
2020-07-29,20.89,21.57,20.71,21.42,2514573.0,21.306,14730
2020-07-30,20.97,21.94,20.97,21.66,2093321.0,21.619,10921
2020-07-31,21.69,21.74,21.1,21.71,1761864.0,21.397,11281
2020-08-03,21.7,22.06,21.4,22.0,1678025.0,21.862,9729
2020-08-04,21.99,22.74,21.99,22.7,2077555.0,22.58,10970
2020-08-05,22.82,22.95,22.13,22.36,2369268.0,22.464,11969
2020-08-06,22.3,22.9,22.26,22.7,1809232.0,22.62,10538
2020-08-07,22.57,22.99,22.55,22.88,1252315.0,22.827,7731
2020-08-10,23.0,23.44,22.96,23.13,3862211.0,23.222,16118
2020-08-11,23.34,23.66,23.17,23.27,2936878.0,23.33,15781
2020-08-12,23.47,23.66,23.3,23.34,2241904.0,23.437,9764
2020-08-13,23.28,23.51,22.97,23.02,3988632.0,23.179,16006
2020-08-14,22.85,23.23,22.69,22.93,1477720.0,23.028,8554
2020-08-17,22.96,23.21,22.66,23.19,1944290.0,23.04,11125
2020-08-18,23.19,23.29,22.79,22.98,1363062.0,22.96,7660
2020-08-19,22.93,23.17,22.82,23.11,2481532.0,23.058,12890
