date,open,high,low,close,volume,average,barCount
2020-07-13,54.17,54.54,52.51,53.23,3197919.0,53.774,20495
2020-07-14,52.7,54.51,52.36,54.4,2311949.0,54.027,15610
2020-07-15,56.24,57.45,55.49,57.23,2988082.0,56.604,18954
2020-07-16,56.65,57.84,55.76,56.58,1803326.0,56.874,11458
2020-07-17,56.98,57.92,55.32,55.47,2273584.0,56.2,13741
2020-07-20,55.34,56.14,54.26,54.33,1729131.0,54.925,10739
2020-07-21,55.3,57.94,55.02,57.58,2849303.0,57.167,16163
2020-07-22,56.56,57.94,56.02,57.07,1994684.0,57.02,12720
2020-07-23,56.47,57.81,56.39,57.67,2712474.0,57.197,16518
2020-07-24,57.72,58.75,57.46,57.98,2325794.0,58.058,14522
2020-07-27,57.8,58.14,56.81,58.03,1796399.0,57.663,11038
2020-07-28,57.62,58.54,56.52,56.89,2039869.0,57.114,12930
2020-07-29,57.6,59.76,57.14,59.69,2967864.0,58.999,17321
2020-07-30,56.43,57.37,54.4,56.33,5093089.0,55.799,28000
2020-07-31,55.54,56.46,55.07,56.23,2944858.0,55.913,17573
2020-08-03,55.23,55.66,53.58,53.91,4171530.0,54.352,24187
2020-08-04,53.69,53.93,51.93,53.02,4208258.0,53.008,26300
2020-08-05,54.28,54.38,51.29,51.62,4044341.0,52.24,23356
2020-08-06,51.36,52.98,51.1,51.48,2850821.0,51.838,18339
2020-08-07,51.22,52.87,50.73,52.66,2456238.0,51.677,13801
2020-08-10,53.0,53.77,52.39,53.55,2226051.0,53.139,11563
2020-08-11,55.03,55.73,53.45,53.65,2723268.0,54.603,14349
2020-08-12,54.65,55.15,53.5,55.12,2243388.0,54.554,13045
2020-08-13,54.33,54.94,53.1,53.19,2402209.0,53.957,12611
2020-08-14,52.85,54.52,52.65,54.46,2648983.0,53.797,13773
2020-08-17,54.36,56.18,54.16,55.6,3444600.0,55.569,18525
2020-08-18,55.25,55.78,54.62,54.74,1707844.0,55.082,11028
2020-08-19,54.32,54.98,53.66,54.26,1619603.0,54.564,10473
2020-08-20,53.68,53.95,51.98,52.7,2720911.0,52.791,15705
2020-08-21,52.56,53.23,52.04,52.62,1919711.0,52.472,10530
2020-08-24,53.07,55.18,52.78,54.99,2361774.0,54.593,13418
2020-08-25,55.15,55.81,53.7,54.25,2566435.0,54.374,16055
2020-08-26,54.15,54.66,53.26,53.7,3077809.0,53.758,16378
2020-08-27,53.83,53.95,52.33,53.44,2645685.0,52.917,15483
2020-08-28,53.64,55.02,53.64,54.89,2513931.0,54.44,14851
2020-08-31,55.11,55.25,52.53,52.59,2455917.0,53.172,13576
